metric,side,day_type,hor,hor_ms,x_form,y_kind,n,beta,r,r2,t
kappa_depth,売り,立会日,10ms,10,log1p,二乗,1556897,3.5016631947173892e-12,0.003306494595376295,0.000010932906509252647,4.125720976386483
kappa_depth,売り,立会日,20ms,20,log1p,二乗,1556897,3.489973134628769e-12,0.003274563664611661,0.000010722767193594952,4.0858783192912425
kappa_depth,売り,立会日,50ms,50,log1p,二乗,1556897,6.740471296186294e-12,0.0022965354467939557,5.274075058381114e-6,2.8655234067499853
kappa_depth,売り,立会日,100ms,100,log1p,二乗,1556896,5.453138370142728e-10,0.006312181362425998,0.00003984363355215813,7.876216458860363
kappa_depth,売り,立会日,500ms,500,log1p,二乗,1556886,3.5598382395258377e-9,0.0016185640226807872,2.619749495516612e-6,2.019568458517034
kappa_depth,売り,立会日,1s,1000,log1p,二乗,1556877,4.125735723685637e-9,0.0007999322070954463,6.39891535948592e-7,0.9981141079607297
kappa_depth,売り,立会日,3s,3000,log1p,二乗,1556806,1.7969100356502465e-8,0.0035060244193672618,0.000012292207229199545,4.374561991407518
kappa_depth,売り,立会日,5s,5000,log1p,二乗,1556766,4.444402527497836e-8,0.009649584213957327,0.00009311447550225444,12.040380484738787
kappa_depth,売り,立会日,10s,10000,log1p,二乗,1556667,1.2048739932239183e-7,0.01929215871919939,0.0003721873880467811,24.07460893367398
kappa_depth,売り,立会日,30s,30000,log1p,二乗,1556244,3.8636994107597995e-7,0.03167763959775975,0.0010034728504855566,39.53751686484605
kappa_depth,売り,立会日,50s,50000,log1p,二乗,1555782,6.537902523093282e-7,0.035507265057197354,0.0012607658718420682,44.316480114569686
kappa_depth,売り,立会日,100s,100000,log1p,二乗,1554956,1.2907219102788672e-6,0.038095202765499034,0.0014512444737444852,47.538385164028156
kappa_depth,売り,立会日,10ms,10,log1p,符号つき,1556897,2.1548009349795308e-9,0.0007937395586979443,6.300224870420073e-7,0.9903935974850575
kappa_depth,売り,立会日,20ms,20,log1p,符号つき,1556897,2.190201688072824e-9,0.0007935536208737705,6.297273492018719e-7,0.9901615922327641
kappa_depth,売り,立会日,50ms,50,log1p,符号つき,1556897,6.066407238492746e-9,0.0011592024009830701,1.3437502064449144e-6,1.4464027063363256
kappa_depth,売り,立会日,100ms,100,log1p,符号つき,1556896,-1.443201354715996e-7,-0.0024522893568785847,6.013723089859982e-6,-3.059866941790938
kappa_depth,売り,立会日,500ms,500,log1p,符号つき,1556886,-2.010199061574738e-6,-0.009759423092277364,0.00009524633909407667,-12.177915526934651
kappa_depth,売り,立会日,1s,1000,log1p,符号つき,1556877,-2.5571529060008647e-6,-0.007868638544283314,0.00006191547254058103,-9.818381740468114
kappa_depth,売り,立会日,3s,3000,log1p,符号つき,1556806,-4.478887056677727e-7,-0.0007402607075117449,5.479859150857891e-7,-0.9236379875470202
kappa_depth,売り,立会日,5s,5000,log1p,符号つき,1556766,4.034847865712073e-6,0.005117397897212165,0.000026187761238391487,6.385078824214004
kappa_depth,売り,立会日,10s,10000,log1p,符号つき,1556667,5.884452896203401e-6,0.00524277618626592,0.00002748670213927703,6.54131204787156
kappa_depth,売り,立会日,30s,30000,log1p,符号つき,1556244,9.881360060798457e-6,0.005007921626496725,0.000025079279017133608,6.247431967667118
kappa_depth,売り,立会日,50s,50000,log1p,符号つき,1555782,9.94570220493533e-6,0.003909039636151564,0.000015280590877003954,4.875817977457217
kappa_depth,売り,立会日,100s,100000,log1p,符号つき,1554956,0.000013914958585605794,0.0038801243962992556,0.000015055365330756663,4.838465975901916
kappa_depth,売り,立会日,10ms,10,log1p,絶対値,1556897,1.274576319171558e-8,0.004695257754155525,0.000022045445377957584,5.858600545518856
kappa_depth,売り,立会日,20ms,20,log1p,絶対値,1556897,1.2716602944643654e-8,0.004607728655167108,0.00002123116335964809,5.7493820436014484
kappa_depth,売り,立会日,50ms,50,log1p,絶対値,1556897,2.5147746158740823e-8,0.0048062124248377715,0.000023099677872664973,5.997049587282419
kappa_depth,売り,立会日,100ms,100,log1p,絶対値,1556896,2.549394349733341e-6,0.04440540390535488,0.001971839895997706,55.46179860458683
kappa_depth,売り,立会日,500ms,500,log1p,絶対値,1556886,0.000012710738308348932,0.06948115243055068,0.004827630543077419,86.90524457168071
