dt,h,b_obi,b_spread,b_delta,solo_obi,solo_delta,n
2026-05-04,fwd_micro_1s,-0.302306662113726,-0.23869397943535592,-0.5910288474226145,-0.5830152420957954,-0.6494100056485862,17279
2026-05-04,fwd_micro_10s,-0.056173215895804984,-0.9036698888881795,-1.9665048564696848,-0.9867591393948507,-1.6567848121123978,17277
2026-05-04,fwd_micro_60s,1.0163068867660434,-1.6728992351891874,-4.101790228797892,-0.9311385975005809,-2.9822050619837137,17267
2026-05-05,fwd_micro_1s,0.3481779286366024,-0.05041514144380735,-0.9803027933420942,-0.47749031806638575,-0.6866062019153143,17279
2026-05-05,fwd_micro_10s,0.4964740262941291,0.14180659247243455,-1.392761524218351,-0.6862499744041579,-0.9724148505697071,17277
2026-05-05,fwd_micro_60s,0.8688534590353256,0.5454493734759145,-1.6400751917089427,-0.5407877562949731,-0.9019295341163259,17267
2026-05-06,fwd_micro_1s,0.43074685838517157,-0.059419517499183214,-1.2762183496375288,-0.6546246713613665,-0.905897758148806,17279
2026-05-06,fwd_micro_10s,0.41069057301275835,-0.13906959636897964,-1.5548711234004275,-0.910964617236674,-1.1965483722002743,17277
2026-05-06,fwd_micro_60s,0.17159447589431714,0.23441753151533568,-1.0917503754906033,-0.7601498859599736,-0.9605890691411335,17267
2026-05-07,fwd_micro_1s,0.4123514694228136,0.007626555053362405,-1.0266687260969432,-0.5030788635074744,-0.6588246187339781,17279
2026-05-07,fwd_micro_10s,0.3625305501655869,-0.04873268532023123,-1.3863043959723722,-0.8760250040816617,-1.0632150367592137,17277
2026-05-07,fwd_micro_60s,0.18293637400155494,-0.07864864861196405,-1.1251828089588147,-0.823892405181957,-0.9624396161019911,17267
2026-05-08,fwd_micro_1s,0.30328679726592556,0.005919055746210822,-0.8576591710700833,-0.45897131589712087,-0.5879642582842104,17279
2026-05-08,fwd_micro_10s,0.2492895119106217,-0.018303448093927255,-1.1685304810555315,-0.7892144116875209,-0.9474288331000396,17277
2026-05-08,fwd_micro_60s,0.5933796949877339,-0.15057619704642367,-1.5382180115571158,-0.7734725674277836,-1.0146269794833753,17267
2026-05-09,fwd_micro_1s,0.2607676970624665,0.012505670393925417,-0.7996525420049797,-0.4090395489719568,-0.5832485506562467,17278
2026-05-09,fwd_micro_10s,0.42173862165873316,-0.2386514117636629,-1.594481256880793,-0.9224954720997139,-1.1998802542267488,17276
2026-05-09,fwd_micro_60s,0.38805538574099285,-0.19864947850894316,-1.4862695897550633,-0.8641522383297603,-1.1267961451104667,17266
2026-05-10,fwd_micro_1s,0.17512837391438685,0.047448913859423236,-0.4436332338124751,-0.1519419892803019,-0.31211302659360335,17279
2026-05-10,fwd_micro_10s,0.37369242003036307,0.0075832439172026644,-0.8103679359541514,-0.22450331354853675,-0.5341269399723891,17277
2026-05-10,fwd_micro_60s,0.5916625794998631,-0.1809130022441916,-0.9197016348364091,-0.08891305279682485,-0.4915997753132857,17267
2026-05-11,fwd_micro_1s,0.339630041845039,0.061818020470660984,-1.117503449746868,-0.5761932997159894,-0.8381136768756265,17279
2026-05-11,fwd_micro_10s,0.12873794749017584,0.18873314297793686,-1.1022993061879784,-0.771899861386521,-0.9946621660767134,17277
2026-05-11,fwd_micro_60s,-0.24029626200767806,0.6250732372557564,-0.7658524388470034,-0.855159717464039,-0.9564953277039123,17267
2026-05-12,fwd_micro_1s,0.25790945691750344,0.019043740938026354,-0.8563945572984242,-0.4529888452866062,-0.6424160075882257,17279
2026-05-12,fwd_micro_10s,0.34655944123104954,0.0863382740645154,-0.9778325407784316,-0.46673606755890923,-0.6902215755001427,17277
2026-05-12,fwd_micro_60s,0.5282720697249256,0.3396129522656499,-1.2000085202197508,-0.475496576536102,-0.7613085090480217,17267
2026-05-13,fwd_micro_1s,0.35993113954055866,-0.000011062726477661933,-0.7984285248187176,-0.2750115519631804,-0.5121967772045571,17279
2026-05-13,fwd_micro_10s,0.42982279666237555,-0.07554427677497669,-0.7849945068102058,-0.19488713670123603,-0.44344142881151,17277
2026-05-13,fwd_micro_60s,0.1855468759086848,-0.12259171819067677,-0.342888427377547,-0.08781929798517443,-0.19575928433854903,17267
2026-05-14,fwd_micro_1s,0.21285798729460054,-0.024375727524011966,-0.6310876974440892,-0.27595419095696816,-0.46647343738976177,17279
2026-05-14,fwd_micro_10s,0.3278740459140008,0.051341819519561516,-0.8535749799118603,-0.3323367378698066,-0.5994137043759034,17277
