dt,h,b_obi,b_spread,b_delta,solo_obi,solo_delta,n
2026-05-04,fwd_micro_1s,-0.16160768158387007,-0.03444586504158914,-0.08718243372629676,-0.2019238821151539,-0.15854154601726198,17279
2026-05-04,fwd_micro_10s,-0.2579703938490665,-0.0885898203935429,-0.24608362856785268,-0.37188278412229675,-0.3558494194352306,17277
2026-05-04,fwd_micro_60s,0.14940489839227705,-0.5809932729839606,-1.0732136569746262,-0.3446290711344827,-0.9316785104156672,17267
2026-05-05,fwd_micro_1s,0.5760903439419583,0.02190275819991544,-1.0131158414545456,-0.3091125204601867,-0.5120723103826339,17279
2026-05-05,fwd_micro_10s,0.6418366865768425,0.20913583478860676,-1.3771568678765769,-0.5682327172566913,-0.8344373299900694,17277
2026-05-05,fwd_micro_60s,0.9129552341749607,0.6006114686418514,-1.6703970997962807,-0.5677872663210183,-0.9238471690824447,17267
2026-05-06,fwd_micro_1s,0.5494980368869664,-0.018865175265442402,-1.1708530117437046,-0.4698051043859325,-0.6921930861340664,17279
2026-05-06,fwd_micro_10s,0.5821376307607307,-0.043399128078424054,-1.414724620080143,-0.6493250169068762,-0.9073512537783711,17277
2026-05-06,fwd_micro_60s,0.8108460791455046,-0.019951898167503146,-1.738009041617702,-0.7022589500653603,-1.031776092691683,17267
2026-05-07,fwd_micro_1s,0.44200006486962656,-0.0019120768040505887,-0.9515732984410527,-0.39920474508717074,-0.5608741790517054,17279
2026-05-07,fwd_micro_10s,0.17665754688786534,0.09601225173037406,-0.9622310549793937,-0.6753975299436824,-0.80361667828756,17277
2026-05-07,fwd_micro_60s,-0.5387446191525996,0.3937819114241927,-0.2550796218781316,-0.7698064219435112,-0.7213000499619161,17267
2026-05-08,fwd_micro_1s,0.579700976048914,0.0025211065130607,-1.1210577833222999,-0.3707806773418222,-0.6295765949103194,17279
2026-05-08,fwd_micro_10s,0.39838093970174665,0.012197784698915259,-1.207385104013442,-0.6255461009511607,-0.8695515785227468,17277
2026-05-08,fwd_micro_60s,0.4842928428170629,0.8297360402877204,-1.2994168208642758,-0.638290290840686,-0.8831999497011316,17267
2026-05-09,fwd_micro_1s,0.09300099918173338,0.03874217080950097,-0.16556803838564413,-0.055173468443705534,-0.08452127718473443,17279
2026-05-09,fwd_micro_10s,0.2039740917578201,0.04938236103028951,-0.43832839715270616,-0.1844457186742564,-0.2600182241534795,17277
