hd,qd,n,n_fill,sum_pnl,mean_p,mean_q,mean_spread,mean_obi,mean_ofi,p_fill,pnl_per_fill,ev_pooled,ev_daily,se_daily,n_days,ev_h1,ev_h2
0,0,68435,93.0,-195.08515547960997,0.0006412478122467958,-2.9384939893397557,0.5471055970712925,0.6832106803627535,36.537898646722816,0.001358953751735223,-2.0976898438667737,-0.0028506634832996267,-0.0036191180138867908,0.0007963063742300537,39,-0.004258663067455051,-0.001964024766310155
0,1,53456,32.0,-29.639412466436625,0.0007995365658058103,-1.3254241797476831,0.9504820256863615,0.5325470767754759,48.85044528792596,0.000598623166716552,-0.9262316395761445,-0.0005544637171961356,-0.0011500320120479885,0.000860447965175832,39,-0.001004792270319146,-0.00003863545800000788
0,2,69288,35.0,-73.7475625127554,0.0008299433531264614,-0.8122399951031093,1.0867530341939622,0.5171836525284721,60.57870341626508,0.0005051379748296964,-2.1070732146501543,-0.001064362696466277,-0.0011953425156903921,0.0007013478288991625,39,-0.001767609148953008,-0.00017809552312033383
0,3,84397,47.0,-27.675234097987413,0.0008507583026627386,-0.4229065736872543,1.1451334841979763,0.54575188637892,75.47253695788235,0.0005568918326480799,-0.5888347680422854,-0.00032791727310197533,-0.000373693244629317,0.00014308926116762032,39,-0.0005103490982261848,-0.00009524304163542419
0,4,103125,66.0,2.9599809013307095,0.0008617464213803665,-0.08811767704817029,1.1839849886020748,0.6007991255605666,89.880761631908,0.00064,0.04484819547470772,0.00002870284510381294,-0.0002122426570015977,0.0004991915845361329,39,-0.0003264827744577478,0.00047728534599793563
0,5,131755,82.0,-13.687771439552307,0.0008648673830732596,0.2237600417261887,1.2358190892765764,0.6317148249937353,100.92989350695555,0.0006223672725892756,-0.16692404194575985,-0.00010388806071536038,-0.00010390247734833265,0.00010962733624358124,39,0.000032546466769082116,-0.0002707782243318193
0,6,172957,94.0,-29.63486239593476,0.0008613901127639819,0.5366375664662559,1.3655443399393905,0.6428682137364647,103.75984295684184,0.0005434876876911603,-0.31526449357377406,-0.0001713423706235351,-0.0001280610945267947,0.00010050007827955748,39,-0.0003158179786615309,-0.000010944162265790923
0,7,247615,135.0,36.191414166241884,0.0008579572366670855,0.8818936970043073,1.5653599142239014,0.636497802680833,100.54815615048444,0.0005452012196353209,0.2680845493795695,0.00014616002328712673,0.0001343255032701962,0.00010215827501615544,39,0.00023437743580006256,0.00006059342835837304
0,8,400860,199.0,14.810495915822685,0.0008461541190174503,1.3143308944727585,1.8005984616008872,0.6142971904350223,98.79051301554432,0.000496432669760016,0.0744246025920738,0.0000369468041606114,0.000028989835105602996,0.000051332941301861654,39,0.00015808936776400546,-0.00006832221011225708
0,9,483418,437.0,825.4085618499666,0.000761620639475025,2.073733110688181,2.4004827266990834,0.5785598213890671,111.83447424569515,0.0009039795787496535,1.888806777688711,0.0017074427552345314,0.001394358763501808,0.0003658934693636141,39,0.002694146176360763,0.0007193667623730728
1,0,59774,159.0,-358.5689970385283,0.002122268811272438,-2.586325863290478,0.638853508161156,0.5336702924934366,12.136576895087874,0.00266001940643089,-2.2551509247706183,-0.005998745224320412,-0.0063688810763352895,0.0017345176172776672,39,-0.009235493472160093,-0.004066554392107486
1,1,88428,92.0,-79.45587646588683,0.0021433747569785284,-1.3199706051711626,0.9641148239165543,0.46911041320597113,43.76264090011084,0.0010403944451983535,-0.8636508311509438,-0.000898537527320383,-0.0012115107620170628,0.000451509908042351,39,-0.0012748808852712948,-0.0005385808176381424
1,2,121545,125.0,-13.034467682242393,0.0021445737446529737,-0.810438670413405,1.0359849174387699,0.49317959606626344,53.13212074536639,0.0010284256859599324,-0.10427574145793915,-0.00010723985093786164,-0.00025816987263066064,0.0004133993094389109,39,-0.00005028797205009885,-0.00016709299574807447
1,3,156384,161.0,-32.981489626690745,0.0021469133565350618,-0.4218910795093962,1.0331007841283104,0.5236892131824769,62.215010461452565,0.0010295170861469203,-0.2048539728365885,-0.00021090066520034495,-0.0003703127584742449,0.0002784234803447027,39,-0.00047512938179199285,0.0000461612387117258
1,4,195044,187.0,-0.17941275797784328,0.0021390486837199922,-0.08892410156419243,1.0400919620778435,0.5386176840007143,66.64263123482667,0.0009587580238305203,-0.0009594265132504988,-9.198578678546548e-7,0.000021892069639138958,0.00015575449608016363,39,0.0003251247500958992,-0.0003101386684714292
1,5,235062,262.0,20.322195536457002,0.002130157494482184,0.22226200754886516,1.1315553801826808,0.5268747151238196,65.451705131571,0.0011145995524585004,0.07756563181853818,0.00008645461851110347,0.00011028370926214774,0.00009881561940711546,39,0.00015962757863569976,0.000015329536262795158
1,6,295187,352.0,39.583151046186686,0.002126121741678649,0.5359988447585257,1.2802798917835996,0.4972151949518284,63.08029505478981,0.0011924644377970574,0.11245213365393945,0.00013409517033672447,0.00012213012010819346,0.00008061927825794808,39,0.0001720916351397138,0.0000968493769735323
1,7,405286,510.0,130.68669534940273,0.002113309376742367,0.8791177944442016,1.4476975480270602,0.45912747278820454,61.670090239653355,0.0012583706320968403,0.25624842225373085,0.0003224554890852453,0.00022384758589232776,0.00018266540539312433,39,0.0005387656262883524,0.00011956278848728958
1,8,509688,778.0,344.6303689898923,0.0020663526190345992,1.2958691399172169,1.6764281059434447,0.4358351109250555,64.81190201429234,0.0015264240084129899,0.4429696259510184,0.0006761594720493563,0.0006134919868974702,0.0001431453210744357,39,0.0009251848038530463,0.0004369000649455282
1,9,353100,935.0,1195.931955570355,0.002038945814691368,1.986493416521474,2.178030864484302,0.39238796589867636,73.1861928877002,0.00264797507788162,1.2790716102356738,0.0033869497467299775,0.003191460669229854,0.0004791589649316078,39,0.0027573274536417947,0.004149409203448857
2,0,78706,358.0,-894.648200398311,0.0036372205232155386,-2.4289973458704766,0.7820912821504871,0.4330238532918888,1.2372092052779002,0.004548573171041598,-2.4990173195483547,-0.011366963133665935,-0.011896278963136064,0.0024016117481924578,39,-0.014722471278553058,-0.009148888971202772
2,1,127884,236.0,-61.845720652490854,0.003647134606640834,-1.3195002310298383,1.0590289398691195,0.4144504772852382,28.395732700758867,0.0018454224140627444,-0.2620581383580121,-0.00048360796231343135,-0.0006404679809440427,0.0005013818565457217,39,-0.0011830967396905543,0.0002127155593107406
2,2,173892,316.0,-84.53633360564709,0.003641587772766649,-0.8108551961438146,1.0460451044992483,0.4363217866148561,39.67539609370919,0.0018172198836059162,-0.2675200430558452,-0.00048614274150419275,-0.00027406638200099204,0.00021994515199529047,39,-0.0003115609666101986,-0.0006454079342229597
2,3,215107,383.0,1.8979592369869351,0.003627397329435984,-0.423476453637792,0.9879394411511324,0.4558432070963795,46.41571379874173,0.0017805092349388908,0.004955507146179987,8.823326237579135e-6,-0.00011704300221298827,0.00018540254960959358,39,0.0002367485791971208,-0.0001856762673389983
2,4,247658,473.0,-77.97202122863382,0.0036188040524839466,-0.09075105719387791,0.9995567642399541,0.4460064463266791,48.22553435148818,0.001909891867010151,-0.16484571084277763,-0.0003148374824501281,-0.00034552401388465476,0.00032244209816387665,39,-0.000811206019469148,0.00012414649176193597
2,5,281164,541.0,35.088086957111955,0.003613837601015798,0.22157989401311642,1.0870115861696896,0.40508914989387557,46.922431358483415,0.0019241439160063165,0.06485783171370046,0.00012479580229727828,0.00007623373788980583,0.0002916096009341131,39,0.00059942974908778,-0.0003190463100705161
2,6,336283,811.0,207.0423081908375,0.0036026168488952444,0.5338752236850118,1.2259230329398092,0.3663038512168849,46.74386678087777,0.002411659227495889,0.2552926118259402,0.0006156787830215548,0.0005375754659542907,0.00017547924813146132,39,0.0005584193616246843,0.0006698476768100308
2,7,388037,956.0,353.2429722957313,0.003579692398436364,0.8714392684387344,1.3909306089045093,0.34278689090033454,47.42807836065647,0.002463682586969799,0.36950101704574406,0.0009103332215632306,0.0008646235523284846,0.00013835715053037736,39,0.0012478396466053625,0.0005763276707346055
2,8,385548,1244.0,827.5129635212943,0.0035713874775072183,1.2882465857591887,1.6044473704174422,0.31159507189532654,47.957163266842294,0.0032265761980350047,0.6652033468820694,0.002146329285902908,0.00195814740171761,0.00020732157787085856,39,0.0020411367186619293,0.00226927732604235
