dt,series,n,rate_per_s,B,A_n,zero_share,B_uniq,A_n_uniq,n_uniq,rate_uniq_per_s,B_null,B_null_hi
2026-05-04,NEW,1204325,13.939002900873055,0.9646643229602748,0.9663944507289997,0.6346406780899492,0.9421931743857395,0.9449600757471047,440012,5.09274464796521,0.0001519771502626548,0.0023142816065292817
2026-05-04,REMOVE,1220067,14.12117983700305,0.9648867319317753,0.9666062328757452,0.6578103151796706,0.9406950982454823,0.9435291524121011,417495,4.8321220777152645,0.00004643226312520409,0.0022492457043654505
2026-05-04,UPDATE,2424392,28.060171585972938,0.9749480182153063,0.9761862173636349,0.7727788133184788,0.9481436966980673,0.9506390179479407,550874,6.375865486251875,0.00003902184908553193,0.0021679858447404173
2026-05-04,bid,1339767,15.506975385020143,0.966476904335444,0.9681216951272729,0.6885545684843473,0.9406990462781846,0.9435339014783628,417265,4.8295766402902025,-0.00005357612461990889,0.002132450091753306
2026-05-04,ask,1084625,12.553579503818355,0.9629208743973513,0.9647392389319287,0.675035772765493,0.9358293297688964,0.93889093541708,352465,4.079464262485279,-0.00003900715416065299,0.0018528441629659395
2026-05-04,BBO,136920,1.584725770898178,0.8993707660017967,0.9040118121612032,0.0,0.8993707660017967,0.9040118121612032,136920,1.584725770898178,-0.00005669716903279257,0.002866757363247423
2026-05-05,NEW,1403763,16.2472834087256,0.5320150935665163,0.5327041634869008,0.6646618158918677,0.26238811018966096,0.26287277032259043,470736,5.448334514972228,3.4585581792399846e-6,0.002133828142422987
2026-05-05,REMOVE,1423173,16.47193671246467,0.5352269253833936,0.5359168458691516,0.6821016714775164,0.25073297355902746,0.2512011128453623,452425,5.2364011484206525,0.00007159675595894214,0.0027205254793445897
2026-05-05,UPDATE,2826936,32.71923169529145,0.6069124725745034,0.6074931824784021,0.793900461100096,0.23895394862819316,0.23934324779495314,582631,6.743418565558689,-0.0000900644082673855,0.0020217481140353045
2026-05-05,bid,1580027,18.287437150384477,0.5777387672480548,0.578465050636025,0.7071389964468939,0.29549250449236525,0.29605732004190083,462729,5.355677196275954,-0.00010486410734160303,0.0017778058316677663
2026-05-05,ask,1246909,14.431839343569083,0.6427165363011809,0.643663672071049,0.6944425731489412,0.4119437047721426,0.4128892620957596,381003,4.409755694548842,0.00010547130083740698,0.0021772373142612523
