dt,n_open,n_kept,n_blocks,n_wallet_active,share_kept
2026-05-04,1168524,882440,447318,9,0.7551749044093232
2026-05-05,1362666,941029,430551,12,0.6905793495985076
2026-05-06,1917798,1195745,522208,14,0.6234989295014386
2026-05-07,2103767,1085384,465203,15,0.515924054327309
2026-05-08,2238003,950280,417035,15,0.42461069087038755
2026-05-09,306960,203532,101656,11,0.6630570758405004
2026-05-10,308608,192914,130107,8,0.6251101721277478
2026-05-11,2298291,1305004,508715,15,0.5678149546771928
2026-05-12,3146651,2018374,587191,18,0.641435608842544
2026-05-13,2821353,2071925,593146,22,0.7343728345938988
2026-05-14,3218518,2597242,635346,24,0.8069683003171024
2026-05-15,4220558,3414585,727510,24,0.809036388079491
2026-05-16,444035,346549,190772,19,0.7804542434717984
2026-05-17,664088,525323,265470,15,0.7910442591945646
2026-05-18,4572456,3725792,690190,24,0.8148338660885965
2026-05-19,5033239,4174135,742022,25,0.8293138871410637
2026-05-20,4101058,3351114,693724,25,0.8171340176120406
2026-05-21,4198751,3310506,662005,25,0.788450184352442
2026-05-22,2718649,2108612,523308,25,0.7756102387619733
2026-05-23,632322,473932,245454,19,0.7495105341898589
2026-05-24,692734,548576,262140,18,0.7918999211818678
2026-05-25,910242,688373,313177,18,0.7562527327897416
2026-05-26,4265347,3426779,664908,30,0.8033998171778287
2026-05-27,5542871,4539061,811119,29,0.8189007104801825
2026-05-28,5031228,4088225,744030,29,0.8125700127285028
2026-05-29,3166347,2497354,581707,26,0.7887177242418472
2026-05-30,585947,471422,217235,21,0.8045471689419009
2026-05-31,627925,460644,223643,17,0.7335971652665525
2026-06-01,3252227,2661911,644338,26,0.8184886848304255
2026-06-02,3232833,2683776,660407,26,0.8301622756263624
2026-06-03,3044890,2514413,614360,28,0.8257812269080328
2026-06-04,4990592,4318982,723779,29,0.865424783272205
2026-06-05,7544515,6659415,827135,30,0.8826829822725516
2026-06-06,1542501,1276949,423089,24,0.8278432234403738
2026-06-07,1797479,1486974,451075,22,0.8272552836500454
2026-06-08,6383919,5405415,811781,30,0.8467236191436639
2026-06-09,6475031,5501936,758185,32,0.8497157774225328
2026-06-10,8464379,7030238,850727,32,0.8305674875853267
2026-06-11,7014682,6040434,824834,33,0.8611130198061723
2026-06-12,5371362,4649333,774923,33,0.8655780414725353
2026-06-13,746612,619162,300932,27,0.8292955377090109
2026-06-14,768272,596377,261430,24,0.7762576275069246
2026-06-15,2958996,2454196,603132,33,0.8294015943245614
2026-06-16,4115148,3448289,665663,34,0.8379501782195926
2026-06-17,4620028,3904166,699311,33,0.8450524542275502
2026-06-18,3710238,2940154,616205,33,0.7924435036242958
2026-06-19,1702060,1356230,415205,31,0.7968167984677391
2026-06-20,883234,627052,276428,27,0.7099500245688005
2026-06-21,777573,613052,295554,26,0.7884172932959349
2026-06-22,3754992,3274070,737555,33,0.8719246272695121
2026-06-23,6385400,5452820,895987,33,0.8539512011776866
2026-06-24,6799763,5607462,875147,36,0.8246555063757369
2026-06-25,6043166,5215379,815059,37,0.8630209727814857
2026-06-26,6661530,5738623,849600,37,0.8614572027747379
2026-06-27,810757,600426,264402,29,0.7405745494642662
2026-06-28,1067433,800109,299230,29,0.7495636728487877
2026-06-29,5747994,4805085,778904,40,0.8359585970340261
2026-06-30,4216500,3537560,705757,39,0.8389801968457251
2026-07-01,5384318,4504378,796781,39,0.8365735456189624
2026-07-02,9101333,7967053,919785,40,0.8753721020865844
2026-07-03,2866073,2511868,568251,35,0.8764145225889222
2026-07-04,687815,536939,238995,33,0.7806445046996648
2026-07-05,1114362,884522,324274,33,0.7937474536999647
2026-07-06,6281861,5410881,803468,40,0.8613500044015618
2026-07-07,8867548,7594246,875717,41,0.8564087840291363
2026-07-08,10613548,9404752,932344,42,0.8861082081128762
2026-07-09,9754850,8827791,940611,44,0.9049642998098382
2026-07-10,8933085,8250326,900928,44,0.923569629081107
2026-07-11,1479027,1258884,446502,36,0.8511568754322943
2026-07-12,1706732,1559260,459554,36,0.9135939327322626
2026-07-13,10324332,9518874,914793,45,0.9219844925560318
2026-07-14,9638255,8741649,858369,45,0.9069742396315515
2026-07-15,8632627,7974767,825893,45,0.9237937652119106
2026-07-16,11127010,10321055,897273,44,0.9275676933875318
2026-07-17,14427623,13383895,918019,45,0.9276576605862241
2026-07-18,1041424,924548,378339,38,0.8877728955737528
2026-07-19,2162201,1974367,475202,38,0.9131283354322748
2026-07-20,11768140,10977878,878291,45,0.932847331863829
2026-07-21,9576978,8805639,855790,45,0.9194590402108055
2026-07-22,10803147,9906881,896323,45,0.9170365820255894
2026-07-23,13670170,12642623,904196,46,0.9248329025900921
2026-07-24,12475415,11488014,876198,50,0.920852252209646
2026-07-25,1275683,1055386,342836,38,0.827310546585633
2026-07-26,1936487,1700713,408023,43,0.8782465361244356
2026-07-27,13878010,12725917,874897,49,0.9169842794464048
2026-07-28,18208850,16372793,961362,50,0.8991667787916315
2026-07-29,23378120,21064913,994687,50,0.901052479840124
2026-07-30,16315277,14724812,918115,48,0.9025168251816993
