dt,n_open,n_kept,n_blocks,n_wallet_active,share_kept
2026-07-31,16721345,15096987,915509,49,0.902857216330385
2026-08-01,1506106,1308572,377538,43,0.8688445567576253
2026-08-02,3455159,3071564,538602,44,0.8889790600085263
2026-08-03,13987634,12831880,880418,53,0.917373159749533
2026-08-04,17709546,16588547,944771,54,0.9367008617838086
2026-08-05,18400353,17290013,942387,54,0.9396565924577642
2026-08-06,16460135,15469039,897747,54,0.9397881001583522
2026-08-07,12770592,11822478,797964,53,0.9257580228074
2026-08-08,1074259,967871,275130,46,0.9009661543445295
2026-08-09,1222179,1109971,297682,47,0.9081902078173492
