dt,side,delta,grp,n,markout,obi,ofi,aggr,depth,qdepl,drift
2026-06-25,1,0.0,0,908,-57.54085872267524,-0.33460765089686,-11.007907488987367,-20.17266079295151,2.194802863436123,2.182571721741913,-13.374404394522921
2026-06-25,1,0.0,1,895,-18.008964108308614,-0.31323452163303855,-12.887812290500353,-4.612644692737417,2.832327374301676,2.2392110869827024,-11.787265246533257
2026-06-25,1,0.0,2,907,-7.119512298642553,-0.14344341294701485,-12.365567805952008,-3.7101411245865554,2.6667905181918417,2.2481765081486538,-5.523821638847231
2026-06-25,1,0.0,3,1018,-0.7529153416434893,-0.029859443327237528,-2.1892043221986635,-2.509540275049094,4.828476424361493,2.438838924389369,-4.1508966026844325
2026-06-25,1,0.0,4,780,20.25154438028549,-0.15938297493670783,-3.2501474358979516,2.0116717948717895,4.93280641025641,2.2017017449649097,-7.450042059677057
2026-06-25,1,0.5,0,908,-57.54085872267524,-0.34328533002365297,-9.277545154183883,-1.4324790748898666,1.0858028634361232,0.1569277580270083,-2.4579566125555887
2026-06-25,1,0.5,1,895,-18.008964108308614,-0.48816033600821845,-8.800453631285038,-0.04779999999999841,2.2119553072625697,0.1399615175901746,-0.6503844343379565
2026-06-25,1,0.5,2,907,-7.119512298642553,-0.37775044253836343,-15.074899669239874,-0.042205071664831006,1.2330859977949284,0.11217889000711727,0.19346017664303775
2026-06-25,1,0.5,3,1018,-0.7529153416434893,-0.48978059539747126,-1.40113163064809,-0.0034037328094285,0.702180746561886,0.0713499245173965,-0.0962678840722553
2026-06-25,1,0.5,4,780,20.25154438028549,-0.3297141217287026,-2.5945025641031285,6.45038974358974,2.078239743589744,0.18965120084597187,-3.8146127542426203
2026-06-25,1,1.0,0,908,-57.54085872267524,-0.34366576865852283,-6.1131574889868965,-1.574758810572689,1.217340308370044,0.1368468153402456,-1.968977261563623
2026-06-25,1,1.0,1,895,-18.008964108308614,-0.4560414728218544,-10.096738547486593,-0.1539541899441291,2.2323988826815646,0.12771466217910252,-0.9660545195715011
2026-06-25,1,1.0,2,907,-7.119512298642553,-0.38539118385179505,-15.568625137815811,-0.04752811466372821,1.2922767364939358,0.1052430044184374,-0.742179898039732
2026-06-25,1,1.0,3,1018,-0.7529153416434893,-0.48914177446621915,-1.1301728880152626,0.02082907662082398,0.7746994106090374,0.06235041736338261,0.016432046156225937
2026-06-25,1,1.0,4,780,20.25154438028549,-0.3521418326530444,-3.1476384615381763,-0.05053974358974259,2.250939743589744,0.18458444866764795,-3.4535608784405243
2026-06-25,1,2.0,0,908,-57.54085872267524,-0.3295698533764329,-8.726574889866434,-0.6239185022026421,2.7625253303964756,0.0747748821396722,-2.904244602126752
2026-06-25,1,2.0,1,895,-18.008964108308614,-0.4753368340286397,-5.455944134078564,-0.08868491620111921,2.355083798882682,0.09791729416388648,-1.11180973991526
2026-06-25,1,2.0,2,907,-7.119512298642553,-0.3926758698940422,-14.361256890849106,-0.1757816979051787,0.9144740904079383,0.03665694728565527,-0.6498662949358721
2026-06-25,1,2.0,3,1018,-0.7529153416434893,-0.47832614625169717,-1.2927475442041447,0.02042436149311946,0.8304155206286837,0.046752877275367005,-0.051353231840499176
2026-06-25,1,2.0,4,780,20.25154438028549,-0.34400965041682097,-3.7531666666674446,-0.0851166666666694,1.7289935897435897,0.12878933261793157,-2.3741875273485364
2026-06-25,-1,0.0,0,1218,-40.92435407266517,0.0737805800956568,-1.6299408866997531,-10.875189655172393,3.751639573070608,2.129911191018175,-9.881559325538525
2026-06-25,-1,0.0,1,1216,-13.174806887952357,0.1562883813492792,-2.2184917763156284,-5.571849506578951,5.674856907894737,2.1606843475001303,-7.590708110028231
2026-06-25,-1,0.0,2,1212,-4.837621243781679,0.20009227187258696,-1.1855643564335934,-3.8885305280528035,5.439752475247524,2.2094881855127952,-4.738902135158931
2026-06-25,-1,0.0,3,1226,-0.4711374678631259,0.40714788081959663,-0.4159494290352852,-2.2150611745513764,12.370178629690049,2.1162813870335704,-2.1514949772801115
2026-06-25,-1,0.0,4,1204,16.456163668790573,0.3304635379007471,0.9199991694382128,-1.8342076411960058,7.754195182724252,2.1154045899745144,-7.354358392667008
2026-06-25,-1,0.5,0,1218,-40.92435407266517,-0.16603270534038436,0.7549441707718846,0.18053694581280771,2.4403973727422,0.14790900493735465,-1.0670169749977023
2026-06-25,-1,0.5,1,1216,-13.174806887952357,-0.22307845327428283,-0.2278355263172085,-0.007630756578948324,2.920879111842105,0.11617099236101792,-0.7153020459287704
2026-06-25,-1,0.5,2,1212,-4.837621243781679,-0.19734777166185438,0.1754975247522988,0.04114273927392583,2.221549504950495,0.1501822457092561,-1.1997528565960562
2026-06-25,-1,0.5,3,1226,-0.4711374678631259,-0.25417889952375144,-0.3972789559539802,0.0002789559543215517,1.1086068515497554,0.18182695636341029,-0.8525003276364044
2026-06-25,-1,0.5,4,1204,16.456163668790573,-0.15228557629594605,2.144695182724237,0.4080730897010005,4.030230066445183,0.2964896559142757,-3.1778012316995823
2026-06-25,-1,1.0,0,1218,-40.92435407266517,-0.1471160948619931,-0.9228111658448301,1.0575862068965536,2.5722471264367814,0.13035625164194464,-1.281382134838741
2026-06-25,-1,1.0,1,1216,-13.174806887952357,-0.19326755408159688,0.11761266447232747,-0.013697368421053478,2.9970254934210523,0.09406018032244738,-0.7045977714314802
2026-06-25,-1,1.0,2,1212,-4.837621243781679,-0.17574159032980077,0.3654207920796298,-0.011245874587462165,2.148628712871287,0.1445950143507051,-1.2798410256706516
2026-06-25,-1,1.0,3,1226,-0.4711374678631259,-0.2552237931504746,-0.4962707993468544,-0.02616150081566438,1.0815456769983687,0.17368547271918247,-0.702910551448062
2026-06-25,-1,1.0,4,1204,16.456163668790573,-0.12814447524528302,1.2709950166110526,0.20643106312292406,2.59856146179402,0.24659713461776145,-2.5548951768668062
