dt,n_post_bid,n_post_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-04,54500,49504,302,145,-13480.93050351083,12,-216.48736426116633,37.16909212633087,-13697.417867771996,19.35430463576159,39,0.9403973509933775,10312.461,-92.97193450697124,0.006896551724137931,0.006896551724137931,0.006896551724137931,0.006896551724137931,0.006896551724137931,0.006896551724137931
2026-05-05,77472,74107,351,165,-28775.45994932634,21,-6948.171534272607,20.97472210790801,-35723.63148359895,21.97150997150997,35,0.9886039886039886,7666.651,-174.39672696561422,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-06,87064,85420,495,224,5481.374317644331,47,-144.31995807655284,168.00269644815577,5337.054359567778,16.056565656565656,47,0.9373737373737374,1842.0104999999999,24.47042106091219,0.0,0.0,0.0,0.0,0.004464285714285714,0.004464285714285714
