dt,ok,n_hl,n_bnc,cells,usable,usable_pct,hl_fresh_pct,bnc_fresh_pct,hl_move_pct,bnc_move_pct,bnc_half_spread_bp
2026-05-04,true,126692,98821,864000,246324,28.509722222222223,65.42627314814816,36.36990740740741,21.47537389779315,9.649892012146603,0.993268720678711
2026-05-05,true,178538,150450,864000,338280,39.15277777777778,76.30219907407407,41.667245370370374,25.430708288991365,11.38494738086792,0.8765424387970461
2026-05-06,true,188681,218262,864000,475619,55.04849537037037,85.02777777777779,58.16261574074074,23.286706376322226,12.078996003103324,0.814795068741854
2026-05-07,true,175145,194351,864000,418934,48.48773148148148,80.27060185185185,51.149652777777774,24.725613103734716,11.13516687592795,0.6404289600323915
2026-05-08,true,175657,232468,864000,444828,51.484722222222224,79.2542824074074,55.19444444444444,24.67920184880448,12.29688778584082,0.47034526525860804
2026-05-09,true,48936,32839,864000,104135,12.052662037037038,38.86921296296296,22.56724537037037,12.71618572045902,6.322562058865895,0.2829027001116967
2026-05-10,true,56702,64722,864000,178127,20.616550925925925,43.65405092592592,30.772222222222222,14.850640273512719,8.662358878777502,0.32619177987365855
2026-05-11,true,241162,535359,864000,613948,71.0587962962963,92.28298611111111,73.47974537037038,26.910911021780347,16.03474561363503,0.690661150804229
2026-05-12,true,287947,524089,864000,626020,72.45601851851852,94.50347222222221,74.0125,29.158972556787322,16.12919715025079,0.5085661081581891
2026-05-13,true,248094,438061,864000,578470,66.9525462962963,92.16469907407408,68.95844907407407,25.547565128701578,14.59453385655263,0.4952326484309361
2026-05-14,true,286195,334999,864000,533687,61.76932870370371,92.61400462962963,63.10208333333334,29.40506326742079,12.42863326256776,0.3110495312325538
2026-05-15,true,343340,455704,864000,636921,73.71770833333333,94.42511574074074,75.29027777777777,32.221892511002146,14.681098597785283,0.33445385839450353
2026-05-16,true,83179,40749,864000,163195,18.888310185185187,46.4162037037037,25.798842592592592,16.552590459266522,5.744048530898619,0.36610619610048206
2026-05-17,true,117941,55768,864000,212840,24.63425925925926,57.04780092592593,29.516203703703702,19.517947754181545,6.5297876339034016,0.3408040945976487
2026-05-18,true,349121,493660,864000,584663,67.6693287037037,91.61412037037037,72.52939814814815,33.436526682892534,15.097415092112893,0.6581266289914461
2026-05-19,true,379187,493207,864000,629761,72.88900462962962,96.28252314814814,73.66666666666667,34.42512318165145,16.061331203424793,0.39791094658946724
2026-05-20,true,330412,397358,864000,554881,64.22233796296297,92.0068287037037,68.98831018518518,31.05170297775559,12.756969512381936,0.28102783238313517
2026-05-21,true,352333,413287,864000,579121,67.02789351851852,93.01712962962962,68.00127314814814,32.4291469312976,13.528088257894291,0.2137752797168397
2026-05-22,true,249024,319461,864000,494649,57.251041666666666,85.78368055555555,59.603125,26.316034197986856,11.519279327361422,0.17501342353274751
2026-05-23,true,136579,139457,864000,254828,29.49398148148148,59.04722222222222,34.350462962962965,21.515296592211218,7.699703329304472,0.11899845274865925
2026-05-24,true,124866,103683,864000,225044,26.04675925925926,57.5119212962963,31.266666666666666,20.54353815253906,6.930644673930432,0.17058374031247203
2026-05-25,true,165794,96160,864000,348267,40.308680555555554,82.66828703703703,43.58310185185185,18.6084239965314,6.900165677483081,0.09544241613770585
2026-05-26,true,348952,487778,864000,611017,70.71956018518519,95.1517361111111,71.84502314814814,30.60962297284691,17.044042964434706,0.2173976909869248
2026-05-27,true,409343,1380322,864000,768900,88.99305555555556,94.63402777777777,93.83657407407408,33.13629860840162,24.097932110807648,0.0
2026-05-28,true,369170,806635,864000,722919,83.67118055555555,96.91782407407408,84.80601851851853,30.489999571182942,18.27659806976992,0.0
2026-05-29,true,305805,524304,864000,604789,69.99872685185186,91.36226851851852,72.3474537037037,28.164037375018395,15.140983053593898,0.016241568718760365
2026-05-30,true,99440,104671,864000,253120,29.296296296296298,56.856944444444444,37.44386574074074,17.76469658659924,6.565660556257901,0.0
2026-05-31,true,105776,120983,864000,266158,30.805324074074075,55.815740740740736,41.23078703703704,16.909880597239237,7.42190728815215,0.003770171740515996
2026-06-01,true,367245,659034,864000,688595,79.69849537037037,97.53310185185185,80.47650462962963,17.83602843471126,16.14185406516167,0.0
2026-06-02,true,361876,692713,864000,693600,80.27777777777779,95.99525462962963,81.69004629629629,18.223039215686274,16.133506343713957,0.0
2026-06-03,true,306888,589929,864000,652285,75.49594907407408,93.02326388888889,77.95949074074075,17.250741623676767,15.288562514851636,0.0
2026-06-04,true,358160,749780,864000,703491,81.42256944444445,93.20833333333334,83.92939814814815,23.42474885961583,19.05013710196719,0.0
2026-06-05,true,422049,1052739,864000,776164,89.8337962962963,97.27777777777777,91.20277777777778,36.810390587556235,24.963796311088892,0.007201236488647853
2026-06-06,true,161989,348007,864000,516003,59.72256944444444,75.1181712962963,70.15972222222221,19.168299409111963,12.63074051895047,0.011761340974454006
2026-06-07,true,180215,329406,864000,529157,61.24502314814815,80.10324074074074,69.25138888888888,20.17076217455311,11.44594137467708,0.0788868729673422
