dt,OBI,OFI,empty
2026-05-04,0.9707848964905994,-0.025469630660187197,0.9465833333333333
2026-05-05,0.9863286006263738,-0.003547107155056029,0.9642824074074074
2026-05-06,0.9715856040356379,-0.004367241985043149,0.9280833333333334
2026-05-07,0.9649938313902123,-0.011318548355057233,0.9100787037037037
2026-05-08,0.9812308029528483,-0.00007596172841454072,0.9507986111111111
2026-05-09,0.9926588189012503,0.002150088231368307,0.9664490740740741
2026-05-10,0.988067932687699,0.003534399036003582,0.9909351851851852
2026-05-11,0.9663167834619711,-0.09230575620497124,0.8868773148148148
2026-05-12,0.9476949597698193,-0.004469333681530955,0.8237245370370371
2026-05-13,0.9441059108129436,0.002857692426749852,0.8299768518518519
2026-05-14,0.9626435281596707,0.0010399389792237037,0.8944583333333334
2026-05-15,0.9344209653255329,-0.004394433585881389,0.8218842592592592
2026-05-16,0.9669172100871667,-0.00005641099111702027,0.8793541666666667
2026-05-17,0.9779077704111667,-0.009870895784493782,0.9070787037037037
2026-05-18,0.9495427588748994,-0.0063164906191750395,0.8572476851851852
2026-05-19,0.9275337562304811,-0.013272409413955837,0.8159444444444445
2026-05-20,0.9572516878944042,-0.009137772792400902,0.8723078703703704
2026-05-21,0.9532581010750061,-0.003043273999891694,0.8506481481481482
2026-05-22,0.9687382739561355,0.0016038733936470778,0.8840023148148148
2026-05-23,0.9672671159981957,-0.0035559360593331274,0.8859560185185186
2026-05-24,0.9786779714602413,-0.0005535788938296062,0.9237199074074074
2026-05-25,0.9715033938245273,-0.029960427969457807,0.8829189814814815
2026-05-26,0.9584438387113527,-0.0009654400058726605,0.8799768518518518
2026-05-27,0.9276237251178091,0.002078348994134339,0.8012199074074075
2026-05-28,0.9253614587355871,-0.0027886956321404423,0.8053703703703704
2026-05-29,0.9249916761257615,-0.0021322770248607204,0.8809490740740741
2026-05-30,0.9407955905970279,-0.005641774261568095,0.9398657407407407
2026-05-31,0.9200848176807624,0.002776620809117949,0.849125
2026-06-01,0.9439949061704923,0.005436896346837049,0.845099537037037
2026-06-02,0.8908441312755864,-0.002057279181214333,0.7612731481481482
2026-06-03,0.894432157110852,-0.006302545563603988,0.7456527777777778
2026-06-04,0.8416646079896749,-0.006504289997611137,0.6465972222222223
2026-06-05,0.8135559413545782,-0.0010557630151327938,0.5870416666666667
2026-06-06,0.9593989972783442,0.012967937552290537,0.9252754629629629
2026-06-07,0.8346788715397402,-7.706020939660644e-6,0.6472708333333334
2026-06-08,0.7488046229331521,-0.013580437516514218,0.5029189814814815
2026-06-09,0.7593387989517739,-0.003180366284353118,0.5291898148148149
2026-06-10,0.7219766637837902,-0.013026913821105967,0.47937962962962966
2026-06-11,0.7305602870598026,-0.007243457776363432,0.4757222222222222
2026-06-12,0.7530167964398266,-0.0008211938027932731,0.5502175925925926
2026-06-13,0.8701857623024026,-0.04119680786245235,0.8128703703703704
2026-06-14,0.8505680139976564,-0.003718718953375262,0.7676412037037037
2026-06-15,0.8110674013669783,-0.006639407219125839,0.642724537037037
2026-06-16,0.7947402666323974,-0.024007811197018548,0.6296712962962963
2026-06-17,0.7215589415472019,-0.006490827219414975,0.4890787037037037
2026-06-18,0.7226720314057633,-0.00011239406113621219,0.5013009259259259
2026-06-19,0.7255382810910204,-0.015474696426035972,0.5740393518518518
2026-06-20,0.8268166308086525,0.0020971506011578135,0.6943101851851852
2026-06-21,0.8380858872473779,-0.025204303178986864,0.7021319444444445
2026-06-22,0.7296035381593301,-0.006096815801013102,0.4982523148148148
2026-06-23,0.6459423354934761,-0.011044598413523768,0.3693125
2026-06-24,0.6591576757737838,-0.0229958712118877,0.3343773148148148
2026-06-25,0.7190833067879971,-0.011006415857631818,0.40888425925925925
2026-06-26,0.6967278054991615,-0.011058663894043448,0.39741666666666664
2026-06-27,0.9046348229953403,0.021696383785288566,0.8262037037037037
2026-06-28,0.8454136048926081,-0.006584352478653929,0.6954814814814815
2026-06-29,0.7071078807799115,0.0148056246975714,0.40141203703703704
2026-06-30,0.7188281063924821,-0.005438867427097461,0.4441527777777778
2026-07-01,0.6618068071286684,0.0026805905919291065,0.3303726851851852
2026-07-02,0.5648853665337451,0.04675306899744947,0.1962824074074074
2026-07-03,0.7310651950135463,0.03203616975338531,0.4503009259259259
2026-07-04,0.9163435197128601,0.0027181488255683503,0.7979652777777778
2026-07-05,0.8665706755250565,0.010238919402742002,0.6967430555555556
2026-07-06,0.6588013935482414,0.03705609322760665,0.29213657407407406
2026-07-07,0.6154985993837715,0.035977792418101916,0.23564583333333333
2026-07-08,0.5336275903589695,0.027437336525325023,0.1733611111111111
2026-07-09,0.6064045018747389,0.05481011230130915,0.2154513888888889
2026-07-10,0.6422437642829624,0.03676673495278355,0.2594560185185185
2026-07-11,0.9144711214354136,-0.0004544328487340246,0.7156782407407407
2026-07-12,0.8898075902654571,0.016537586482571802,0.6622870370370371
2026-07-13,0.5441180686260011,0.017172739056276712,0.13893055555555556
2026-07-14,0.49349540932122343,0.01803085934798582,0.13921064814814815
2026-07-15,0.5938165661161199,0.006747620810686041,0.1749837962962963
2026-07-16,0.596643681347024,-0.1114563631235563,0.18182870370370371
2026-07-17,0.620184470491089,-0.03793465950815865,0.2148912037037037
2026-07-18,0.9225165983417452,0.004271364560727272,0.7329212962962963
2026-07-19,0.8395570242535249,-0.005337702319462749,0.6251180555555556
2026-07-20,0.6373212123355922,0.005039867682050963,0.22113657407407408
2026-07-21,0.7155241681216394,-0.012844709748493052,0.27347685185185183
2026-07-22,0.6676709842379945,-0.023896561237111306,0.21235648148148148
2026-07-23,0.6046731524016915,-0.019764775073516545,0.19525694444444444
2026-07-24,0.6603835212343458,-0.00595595419158479,0.25136574074074075
2026-07-25,0.8944392612796327,0.013381406306692998,0.6884861111111111
2026-07-26,0.8670364376261642,-0.001389435816755125,0.6611064814814814
2026-07-27,0.6252686078243898,-0.010794627572107422,0.21029398148148148
2026-07-28,0.597086348320662,-0.01094288870355958,0.10371064814814815
2026-07-29,0.474223321495349,0.06968216109241336,0.056949074074074076
2026-07-30,0.5389260499314891,0.07372391140662725,0.13470601851851852
2026-07-31,0.6038949232597237,0.05518498765844468,0.14225231481481482
2026-08-01,0.9029383142577885,0.05432880718578104,0.6852569444444444
2026-08-02,0.8298100281057437,0.012529442084249161,0.5394606481481482
2026-08-03,0.6496180534378412,0.06919371887490951,0.14444907407407406
2026-08-04,0.6337134324783239,0.07593715380179639,0.13978009259259258
2026-08-05,0.6831144974066143,0.053270621595025776,0.16889814814814816
2026-08-06,0.7159776994944499,0.06357315405124117,0.20853472222222222
2026-08-07,0.723713153156521,0.043060893290744126,0.25239814814814815
2026-08-08,0.947391104736441,0.0064108310677384525,0.7411666666666666
2026-08-09,0.9346437836818304,0.038050535309364676,0.7183032407407407
2026-08-10,0.7134085525033219,0.10181598869425938,0.2995231481481481
