feat,target,direction,day_type,n,pearson,spearman,partial_sp,beta,t,n_sub
ask_first_gap,|OBI|,同時点,立会日,39094864,0.04115449651499189,0.0462039681093696,NaN,0.0029611229317987294,257.54031799427656,385464
ask_first_gap,|OBI|,同時点,閉場日,16395037,0.05658949543895011,0.06380816017062231,NaN,0.005368542024080259,229.50306909121684,161952
ask_first_gap,|OFI|,同時点,立会日,39094799,-0.009465179507170272,-0.03512512606831193,NaN,-0.04802215172996793,-59.184473835816725,385464
ask_first_gap,|OFI|,同時点,閉場日,16395006,-0.0035470211878236126,-0.025629371839146528,NaN,-0.00468919582220737,-14.362243256861692,161952
ask_first_gap,回復力 10s,前向き,立会日,19463459,-0.01811323798744133,-0.007760440070035818,-0.014393701282910044,-0.005334687185819498,-79.92402347018906,189918
ask_first_gap,回復力 10s,前向き,閉場日,7255296,-0.030400728935633243,-0.029029592115448047,-0.025889224070877508,-0.009980675087577044,-81.92421452009867,70715
ask_first_gap,回復力 1s,前向き,立会日,19464988,-0.014702270643932777,-0.003227929867396096,-0.006804761680310945,-0.003830403908311609,-64.87216677071457,189936
ask_first_gap,回復力 1s,前向き,閉場日,7256047,-0.015238841492134487,-0.023172557262452296,-0.020319328942507275,-0.003419752507204799,-41.05370598894321,70726
ask_first_gap,回復力 2s,前向き,立会日,19464791,-0.01627096585313188,-0.0034627130385634325,-0.007787881465170461,-0.0044814029703521595,-71.79524467652877,189936
ask_first_gap,回復力 2s,前向き,閉場日,7255942,-0.019123793806411476,-0.02348691094894149,-0.02048293763645866,-0.004921025647763585,-51.52290282431105,70726
ask_first_gap,回復力 30s,前向き,立会日,19459303,-0.016148254792591236,-0.005858845954271715,-0.0132624207039251,-0.004845772606269421,-71.24359779900537,189877
ask_first_gap,回復力 30s,前向き,閉場日,7253360,-0.037657472842132965,-0.04348468299699554,-0.04065482203651879,-0.01354490905828229,-101.4913150982063,70698
ask_first_gap,回復力 5s,前向き,立会日,19464207,-0.01857910033170331,-0.0064789345530397,-0.012351823786134943,-0.0053606554280151535,-81.98190080477508,189936
ask_first_gap,回復力 5s,前向き,閉場日,7255686,-0.026526244947492134,-0.03158471634051139,-0.02859128168418234,-0.007960810892267094,-71.47724474935009,70726
bid_first_gap,|OBI|,同時点,立会日,39107492,0.03254296455196293,0.039039450626934355,NaN,0.0026273534449735786,203.61847245938515,385559
bid_first_gap,|OBI|,同時点,閉場日,16376579,0.033644288630719714,0.04606890607012631,NaN,0.0027558676370139047,136.22877529870362,161777
bid_first_gap,|OFI|,同時点,立会日,39107426,-0.015011126200058074,-0.0421917776451385,NaN,-0.0861912321157982,-93.88405026093697,385559
bid_first_gap,|OFI|,同時点,閉場日,16376548,-0.00032262844325239224,-0.027769375102132104,NaN,-0.0003684523667380259,-1.3056110886002272,161777
bid_first_gap,回復力 10s,前向き,立会日,19466770,-0.0276488247545673,-0.0224017017159556,-0.02698229852137827,-0.008970146805605548,-122.03647811132092,189958
bid_first_gap,回復力 10s,前向き,閉場日,7248549,-0.050667459414847404,-0.05683999671637937,-0.0550827073513324,-0.014266479879685115,-136.58807464716398,70663
bid_first_gap,回復力 1s,前向き,立会日,19468299,-0.025987246819895983,-0.026268579746206614,-0.028721613396380824,-0.007458281424860534,-114.70198926173985,189976
bid_first_gap,回復力 1s,前向き,閉場日,7249300,-0.028472630674164248,-0.042547286534010485,-0.04067797546023444,-0.005481234351692613,-76.69228577219091,70674
bid_first_gap,回復力 2s,前向き,立会日,19468102,-0.02744870899811955,-0.023519659694369074,-0.026485196417843825,-0.008328015433653985,-121.15668289685861,189976
bid_first_gap,回復力 2s,前向き,閉場日,7249195,-0.03431022490410316,-0.04472361939310145,-0.04281606730964922,-0.00757353729305045,-92.43238743106929,70674
bid_first_gap,回復力 30s,前向き,立会日,19462614,-0.026440737406888647,-0.019318653029911693,-0.024430177291184435,-0.008740903724478898,-116.68794429530601,189917
bid_first_gap,回復力 30s,前向き,閉場日,7246613,-0.05751085237371908,-0.06148822194265629,-0.05982350185030736,-0.01773577208980196,-155.07317659590421,70646
bid_first_gap,回復力 5s,前向き,立会日,19467518,-0.02836506324463225,-0.025733059335766036,-0.029795233388711987,-0.009015646677125492,-125.20273280608885,189976
