feat,q,burstiness,memory,n_sel,gini_day,gini_hour,top10day_share,fano_1s,fano_5s,fano_15s,fano_60s,fano_300s,fano_900s,fano_3600s
obi,0,0.37902925956561345,0.19057512893691927,1450409,0.10896103829211988,0.026517778778261857,0.1567233794053953,0.8025073529411765,1.8092777702037293,3.3578602137942015,7.256866638382108,18.20961377239049,35.937959027904995,90.00384488721494
obi,4,0.33749994190684096,0.17409144607441307,1484471,0.13121861949079344,0.0431028123823234,0.17217513848367533,0.7978686002178649,1.8284689282827085,3.4400365373562884,7.611895581707618,19.62464972603584,40.01466026832056,105.46879888898941
ofi_10s,0,0.6429104474015982,0.3242904269410242,1439077,0.3002146351241721,0.14357179984114818,0.2359554075285756,0.8040494281045752,3.0837086616119747,6.335224574124356,13.394425561846147,41.552534060251375,103.7194348619261,359.2331774729168
ofi_10s,4,0.6395580234355018,0.2683765712279797,1448322,0.30882692076030865,0.14933661160984918,0.25093314884397255,0.8027908496732026,3.0878144324157706,6.385341738458549,13.81584385923527,44.16549952463669,111.60486946841836,392.83094397471297
ai_net_10s,0,0.37318432968353576,0.3306183276965133,1454495,0.25827525745240465,0.12354491306833873,0.21639400616708893,0.8019504357298476,3.267310227046049,6.72846779828549,13.5318793280304,39.41651191740646,94.49359065584107,302.199697383099
ai_net_10s,4,0.3880563828359631,0.2998889530478974,1455276,0.27718503528661553,0.11111529130327626,0.22470995192664484,0.8018443627450981,3.2655610807268065,6.728416855876986,13.511616923767352,39.94023894917749,97.93137786570456,321.98458289703416
