event,n,rel_min,ofi_mean,ofi_ctl,obi_mean,ret_mean,ret_ctl,ofi_excess,ret_excess
上バンド到達,4083,-10,0.029325731098651886,-0.0864058759052708,-0.005443449132144451,0.7917565027910495,-1.5891568778605758,0.11573160700392268,2.3809133806516254
上バンド到達,4083,-9,0.05423181504011154,-0.09213181365068014,0.01236778125166893,0.9377051750463256,-1.9802234304698858,0.14636362869079167,2.9179286055162112
上バンド到達,4083,-8,0.06786083430051804,-0.10744344577395062,0.018202826380729675,1.152002123586987,-2.33654766631699,0.17530428007446866,3.488549789903977
上バンド到達,4083,-7,0.0751647874712944,-0.11475394302987688,0.008729257620871067,1.5800969424453553,-2.3763786578308217,0.18991873050117128,3.956475600276177
上バンド到達,4083,-6,0.13610699772834778,-0.13484096289566005,0.004348426591604948,2.1067652758110054,-2.4958715121124153,0.27094796062400783,4.602636787923421
上バンド到達,4083,-5,0.1558564305305481,-0.1311336745163198,0.011475891806185246,2.5936219557068654,-2.316168872546372,0.2869901050468679,4.909790828253238
上バンド到達,4083,-4,0.1919046938419342,-0.12457197346792517,0.016157031059265137,3.159863046672682,-2.5327996092997718,0.31647666730985935,5.692662655972454
上バンド到達,4083,-3,0.24166499078273773,-0.12555531783290552,0.012425177730619907,3.7457915872519685,-2.4248866372888043,0.36722030861564325,6.170678224540772
上バンド到達,4083,-2,0.2729859948158264,-0.11290050242394056,0.026207180693745613,4.281748888931646,-2.0840496348124846,0.385886497239767,6.365798523744131
上バンド到達,4083,-1,0.32607585191726685,-0.0517074028749535,0.05629657953977585,4.980967377193275,-1.330614393175301,0.37778325479222036,6.311581770368576
上バンド到達,4083,0,1.1419591903686523,0.7058082035196097,0.046831946820020676,18.90589785912178,16.121780993626405,0.43615098684904263,2.784116865495374
上バンド到達,4083,1,0.12090174853801727,0.0674843602765247,0.04464148357510567,1.018896029419175,0.09975779020465107,0.053417388261492574,0.9191382392145239
上バンド到達,4083,2,0.03065483644604683,0.032632390848843625,0.03311469405889511,0.4761022388221479,-0.055831505957278045,-0.0019775544027967953,0.531933744779426
上バンド到達,4083,3,-0.006027378607541323,0.018037484373335806,0.024643149226903915,0.029525610176970096,0.022303972676928293,-0.02406486298087713,0.007221637500041803
上バンド到達,4083,4,-0.0130256162956357,0.011368737356663623,0.00011766421084757894,0.1188462979796159,-0.028976870644811865,-0.024394353652299323,0.14782316862442776
上バンド到達,4083,5,-0.03739279881119728,0.012137150843949993,0.04077344387769699,-0.08456384299774822,-0.01154368784497584,-0.04952994965514727,-0.07302015515277238
上バンド到達,4083,6,-0.009329710155725479,-0.008529417338892294,0.018931696191430092,0.263184249203082,-0.4340091468245177,-0.0008002928168331855,0.6971933960275997
上バンド到達,4083,7,-0.027136724442243576,0.00787557581347127,0.03708825260400772,0.09962385843260235,-0.08003565978209361,-0.03501230025571485,0.17965951821469595
上バンド到達,4083,8,-0.016340630128979683,0.016707667509945262,0.009832780808210373,0.12082255733327771,-0.2776912422140721,-0.033048297638924945,0.3985137995473498
上バンド到達,4083,9,-0.029870370402932167,0.003234113651857251,0.014914659783244133,0.012819092976558472,0.014580860033706048,-0.03310448405478942,-0.0017617670571475758
上バンド到達,4083,10,-0.014227766543626785,0.008277026012565785,0.01582677662372589,0.643782370940595,0.1627434236598976,-0.02250479255619257,0.4810389472806974
下バンド到達,4103,-10,0.051994092762470245,-0.06456347428781097,0.009026788175106049,0.9257911576636944,-1.4157642226540512,0.11655756705028121,2.341555380317746
下バンド到達,4103,-9,0.08861993253231049,-0.08719452289078372,0.006335977464914322,0.9861495348118903,-1.8565454923695301,0.1758144554230942,2.8426950271814206
下バンド到達,4103,-8,0.07786039263010025,-0.10307896602630162,0.008387326262891293,0.8365797172321434,-2.0326858999765904,0.18093935865640187,2.869265617208734
下バンド到達,4103,-7,0.11298450827598572,-0.11083286163292587,0.004136166535317898,1.6898455324342567,-2.6320471726410624,0.2238173699089116,4.321892705075319
下バンド到達,4103,-6,0.14691151678562164,-0.11632091995967715,0.03715311735868454,2.348458479287753,-2.3098479600217465,0.2632324367452988,4.6583064393094995
下バンド到達,4103,-5,0.17844529449939728,-0.11080440141301849,0.02534203790128231,2.881510940104119,-2.2455952275834044,0.2892496959124158,5.127106167687524
下バンド到達,4103,-4,0.1970238983631134,-0.10191085953244124,0.02064986526966095,3.139377787521775,-2.2104214834939144,0.2989347578955546,5.349799271015689
下バンド到達,4103,-3,0.2634209990501404,-0.1028905388526281,0.040348149836063385,4.117566409263157,-2.208333792835426,0.3663115379027685,6.325900202098582
下バンド到達,4103,-2,0.27119266986846924,-0.1080637988442525,0.024632511660456657,4.633187038889653,-2.506990640912611,0.37925646871272173,7.140177679802264
下バンド到達,4103,-1,0.3637683391571045,-0.053952453377387286,0.07822587341070175,5.225223977316905,-1.6710696056016108,0.4177207925344918,6.896293582918516
下バンド到達,4103,0,1.1396472454071045,0.7101192627032042,0.04541250318288803,19.756824907396545,16.242028176483533,0.42952798270390025,3.5147967309130124
下バンド到達,4103,1,0.0744604840874672,0.06897849550572747,0.06211915984749794,0.25640266153752955,0.09575307573976609,0.005481988581739719,0.16064958579776345
下バンド到達,4103,2,0.009713362902402878,0.017987059243466014,0.044447172433137894,-0.32838238091503913,0.03304964030877536,-0.008273696341063137,-0.36143202122381446
