bin,n,share,adv10,ttf_med
0(先頭),2290524,0.5523363667909099,0.523818085176397,0.4053861745
0〜1,2307,0.0005563093851828791,0.5002868389088507,0.405145625
1〜5,3969,0.000957083636667034,0.40518147276590216,0.468777597
5〜20,14005,0.003377162089070751,0.8992681038886995,0.405386975
20〜100,58402,0.014083043222128526,0.8540581393015466,0.5433554985
100〜300,66367,0.016003721268501147,1.0175232228184201,0.59919744
300 超,1711399,0.41268631360753977,0.8180129292091539,0.801763686
