scope,kind,defn,lv,h,h_ms,n_day,n,slope,ci_lo,ci_hi,bonf_lo,bonf_hi,r,sd_x,slope_per_sd,mean_y
全日,実測,bbo 最良,1,100ms,100,98,84671557.0,0.052119866768929685,0.04450068143884268,0.06049708034745878,0.04026446782476891,0.06649165645924399,0.07807349858138574,0.6878566392784933,0.035850996395318795,0.00005607658378438074
立会日,実測,bbo 最良,1,100ms,100,67,57887787.0,0.06643647803444529,0.05755796601984294,0.07520085069319545,0.053531956041163786,0.0810145005696849,0.08918794962907148,0.7032678830088785,0.0467226412618502,0.00002898667442516074
閉場日,実測,bbo 最良,1,100ms,100,31,26783770.0,0.016268640712895653,0.012472270814589556,0.021006335623090813,0.009596481656946187,0.023726323448601868,0.039212228528419144,0.6532425613061928,0.010627368528262163,0.00011462603006605943
全日,実測,bbo 最良,1,10s,10000,98,84661855.0,0.40567860780636794,0.3708570031850768,0.44112368076397207,0.3519696328134574,0.4505609344185102,0.05022262158494008,0.6878537361720722,0.279047546064695,0.005531788249223226
立会日,実測,bbo 最良,1,10s,10000,67,57881154.0,0.46540804897909105,0.43334556514591593,0.501287333668475,0.4100053642277093,0.5201374638425551,0.05051233252426823,0.7032645085112558,0.3273049628224629,0.002863511217475695
閉場日,実測,bbo 最良,1,10s,10000,31,26780701.0,0.25628788976114836,0.21191137025733872,0.29907276492572393,0.193799765855395,0.3221786111149288,0.06397432485773615,0.6532409111907653,0.16741773463473097,0.011298737881693333
全日,実測,bbo 最良,1,1s,1000,98,84670675.0,0.23275157461705656,0.20264706409167998,0.26459579120683546,0.1899601495882816,0.28338221315838025,0.09665298244411905,0.6878560590845755,0.16009958086181802,0.0005628297170989591
立会日,実測,bbo 最良,1,1s,1000,67,57887184.0,0.286949134008275,0.25523147538932633,0.3175661768161616,0.23675228805926327,0.3405455145593743,0.10576629584988682,0.7032670708003207,0.20180187694268822,0.0002922311148128849
閉場日,実測,bbo 最良,1,1s,1000,31,26783491.0,0.09704850842280965,0.07572937397410967,0.12130340405076913,0.06049536000518099,0.1377247894409828,0.07062339416145112,0.653242529486793,0.06339621312503652,0.0011476747278063683
全日,実測,bbo 最良,1,200ms,200,98,84671459.0,0.09601635503287469,0.08196387982571529,0.11131293547084879,0.07451797094588455,0.1220000350876499,0.09901308448479547,0.6878565807046781,0.0660454816646396,0.00011218119521230735
立会日,実測,bbo 最良,1,200ms,200,67,57887720.0,0.1219542667516269,0.10587437315026162,0.13753209744901382,0.09803090501613411,0.14869749817729627,0.11237476587254927,0.7032678037784231,0.08576650933982462,0.00005794857689456893
閉場日,実測,bbo 最良,1,200ms,200,31,26783739.0,0.031064038209182226,0.02391372056836329,0.04001955481825378,0.018534249025600007,0.04515617881028634,0.05281449960789473,0.6532425520382132,0.020292351596378766,0.000229394203599378
全日,実測,bbo 最良,1,20s,20000,98,84652055.0,0.45172878323165594,0.4190658402932656,0.4890631979112211,0.3948290651534939,0.5045591867311172,0.0388884190193182,0.6878494657815933,0.3107214022240637,0.011134008779708986
立会日,実測,bbo 最良,1,20s,20000,67,57874454.0,0.5076064813583584,0.47060045555234203,0.544248625614195,0.44868183170896364,0.5738026929534474,0.038220875323523536,0.7032611082559675,0.35697989663799123,0.005900148088983368
閉場日,実測,bbo 最良,1,20s,20000,31,26777601.0,0.31213905720239454,0.26090726817870785,0.36142211362181415,0.24471976306336313,0.37870099448381006,0.05594757576724051,0.6532346057939497,0.2039000339845013,0.02244595676891863
全日,実測,bbo 最良,1,2s,2000,98,84669695.0,0.2873532848705169,0.2536708095191374,0.32192358884761413,0.24131172045565724,0.33910889732075833,0.08275171898302022,0.687855580126581,0.19765756046588812,0.0011275916064445665
立会日,実測,bbo 最良,1,2s,2000,67,57886514.0,0.3468373277342713,0.31307743694956536,0.38040389241598693,0.2938045216256927,0.40058325766988984,0.08846963014859834,0.7032666041349137,0.24391910966290908,0.000588367185513681
閉場日,実測,bbo 最良,1,2s,2000,31,26783181.0,0.13843356951541946,0.10859554131864126,0.16967774075942607,0.09036448960349823,0.18926694508672864,0.07134346805827801,0.6532420486938973,0.09043062855826166,0.0022930178488075477
全日,実測,bbo 最良,1,500ms,500,98,84671165.0,0.1777496129002572,0.1533712736394356,0.2049132258893121,0.14003328699812229,0.22225540852124395,0.10975663727931532,0.6878563700904714,0.12226620351455735,0.00028038169986718055
立会日,実測,bbo 最良,1,500ms,500,67,57887519.0,0.22347441629689913,0.19558894183725167,0.2508651481657604,0.18039744570311764,0.2703503228018538,0.12269818500113075,0.7032675016040871,0.15716229442155194,0.00014446369001721828
閉場日,実測,bbo 最良,1,500ms,500,31,26783646.0,0.06325209255783493,0.04877130044097876,0.08075495022243964,0.03851336460205265,0.09118229183571931,0.06729311990315764,0.6532425585136263,0.04131895877382079,0.0005741414209160576
全日,実測,bbo 最良,1,50s,50000,98,84622655.0,0.49940601350004793,0.4513437631151744,0.5463177406818965,0.4261196764211794,0.5831452282664109,0.026680489481014424,0.6878394379040477,0.3435111516117742,0.026924001303735807
立会日,実測,bbo 最良,1,50s,50000,67,57854354.0,0.546076320505745,0.4957370054299461,0.6040357163882467,0.47326957097693606,0.6299919341591736,0.025459519027092706,0.7032528612350303,0.38402973484836256,0.013916012984982754
閉場日,実測,bbo 最良,1,50s,50000,31,26768301.0,0.3833300987762443,0.3167079986726593,0.4478773015425045,0.2720456066265954,0.46387494037126314,0.04407009693522933,0.6532198572376848,0.2503988323975259,0.05503817862940932
全日,実測,bbo 最良,1,5s,5000,98,84666755.0,0.353256944882845,0.3175162608553674,0.3889347015955992,0.30041291236393786,0.39875170315790903,0.06291836786719573,0.6878544910514501,0.2429893760327795,0.002787102746261786
立会日,実測,bbo 最良,1,5s,5000,67,57884504.0,0.41338492674840766,0.37958088577271454,0.450868342346117,0.3629319547707172,0.465329901144937,0.06476570504808062,0.7032654081713035,0.2907193192415833,0.0014321501433038656
閉場日,実測,bbo 最良,1,5s,5000,31,26782251.0,0.20278338451701572,0.16628494141700947,0.23910428107312104,0.1435436930640009,0.26340492057077874,0.06979716196971746,0.653241231766945,0.1324664678837654,0.005715563067454659
全日,実測,水準ごと,1,100ms,100,98,84671095.0,0.048512818175958455,0.04121365705865476,0.056596049042295274,0.03734546459963611,0.062048969780452164,0.07275934788001973,0.6886424034512862,0.03340798370688727,0.000057058451341525245
立会日,実測,水準ごと,1,100ms,100,67,57887342.0,0.06236939498059187,0.05379907726897537,0.07071141244036484,0.05021989844480859,0.07529571425121952,0.08367506361068809,0.70275929347871,0.04383067195125535,0.000030291611964793075
閉場日,実測,水準ごと,1,100ms,100,31,26783753.0,0.01426627405495797,0.010723053343194972,0.018819837723776697,0.008555353173545294,0.020878640960468778,0.03458204086205991,0.6569544980028476,0.009372292910145961,0.0001149092381696431
全日,実測,水準ごと,1,10s,10000,98,84661393.0,0.3631016049604489,0.33026264174089615,0.3964611104283396,0.3163616850807412,0.40793700742405364,0.04500350747477274,0.688638675917005,0.25004580846330293,0.005533233021693532
立会日,実測,水準ごと,1,10s,10000,67,57880709.0,0.4215445495083786,0.38927899094569773,0.4547483281487299,0.37091759839084676,0.47392591049951915,0.045719093178339325,0.702754805938915,0.296242458084368,0.002866211429240135
閉場日,実測,水準ごと,1,10s,10000,31,26780684.0,0.21894037764492416,0.18141866719396668,0.25778927355415987,0.17056709774846462,0.27692980130714956,0.054962480197520966,0.656952697952014,0.14383347178446576,0.01129742861466314
全日,実測,水準ごと,1,1s,1000,98,84670213.0,0.21223233209049208,0.1845773357729854,0.2417994718224253,0.17209870755360449,0.2592267488215371,0.0882346325088245,0.688641727732415,0.14615203985147615,0.000567704120141403
立会日,実測,水準ごと,1,1s,1000,67,57886739.0,0.26443569045482246,0.2332568148969188,0.29400903608581025,0.21738382855607735,0.31237771024235905,0.09739962214736908,0.7027584389142714,0.1858344130172485,0.00029865754247039746
閉場日,実測,水準ごと,1,1s,1000,31,26783474.0,0.08323854107003512,0.06403770353462841,0.10666748025028118,0.05267426445125241,0.11851102879285756,0.06091878729959359,0.656954245791963,0.05468391296948826,0.0011491906375545196
全日,実測,水準ごと,1,200ms,200,98,84670997.0,0.0892475656735886,0.07599758471227246,0.10424782891816896,0.06899106911880461,0.1136905549726723,0.0921427543143066,0.6886423319041346,0.06145965174222745,0.00011344371008834075
立会日,実測,水準ごと,1,200ms,200,67,57887275.0,0.11433868862501115,0.09892703468118179,0.12923161769833,0.09181876533960148,0.13809902544594682,0.10528670729552606,0.7027592064054227,0.08035256607954956,0.0000595612980681301
閉場日,実測,水準ごと,1,200ms,200,31,26783722.0,0.027235891459310643,0.020637784643820597,0.03589071484400824,0.016518759237371634,0.03966690724371907,0.04657005035467646,0.6569544640690018,0.01789274047709293,0.0002298989959622473
全日,実測,水準ごと,1,20s,20000,98,84651593.0,0.4021278259644445,0.37079180330723105,0.435647315856283,0.35010283639172723,0.453906369653591,0.03465819372556228,0.6886332140295233,0.27691857724460023,0.011133873911142296
立会日,実測,水準ごと,1,20s,20000,67,57874009.0,0.4572334656578873,0.42420734474554805,0.4896690993030844,0.40437051187002865,0.5164392217454147,0.03440328277330058,0.7027493725640068,0.3213205311063467,0.005900429566713284
閉場日,実測,水準ごと,1,20s,20000,31,26777584.0,0.2664491607951392,0.2229640099285549,0.3111267570868642,0.20845556178001107,0.3253429296123014,0.048029728019767064,0.6569471579022235,0.17504301890979923,0.022444842260283992
全日,実測,水準ごと,1,2s,2000,98,84669233.0,0.2597976821759906,0.22957174435506714,0.29153595192116394,0.21818779470717442,0.3075587195157305,0.0749038411255281,0.6886412607847393,0.17890740340262715,0.001132400947417776
立会日,実測,水準ごと,1,2s,2000,67,57886069.0,0.3172416394073348,0.2842914059812002,0.34912807975466825,0.2674257187913686,0.3701786878398111,0.08086431298614548,0.7027579878472547,0.22294409617126296,0.0005946339610596349
閉場日,実測,水準ごと,1,2s,2000,31,26783164.0,0.11788574130207437,0.09218620484937667,0.146370727034336,0.07838753265191478,0.16150187325691617,0.061099744452797256,0.6569537737845019,0.07744548262378129,0.002294669037858825
全日,実測,水準ごと,1,500ms,500,98,84670703.0,0.16393693769794673,0.1404488526140029,0.189733774221626,0.1284354085306283,0.20561873462064958,0.10134544430327509,0.688642078424617,0.11289387350688099,0.0002828642945017042
立会日,実測,水準ごと,1,500ms,500,67,57887074.0,0.20807393128044532,0.18096221545715524,0.23410130275442717,0.16759256188467825,0.24942441361979334,0.11416225825342786,0.702758879364438,0.14622580277159886,0.00014742523209262858
閉場日,実測,水準ごと,1,500ms,500,31,26783629.0,0.054860619633172014,0.04202227959685962,0.07174728883886572,0.03385801551863935,0.07929906474109068,0.05869891721446368,0.6569543863854478,0.03604092470783597,0.0005755868015288425
全日,実測,水準ごと,1,50s,50000,98,84622193.0,0.4402103630819091,0.39545852982540414,0.48590695561720426,0.3763487609497781,0.5217423989250839,0.023545148540395095,0.6886228858526959,0.3031389306077273,0.026937031287297176
立会日,実測,水準ごと,1,50s,50000,67,57853909.0,0.490294816333399,0.43664577002609783,0.5473187647378182,0.4261125119845073,0.5614304836650807,0.022842509873017624,0.7027397754094656,0.34454966911455803,0.013937370431645307
閉場日,実測,水準ごと,1,50s,50000,31,26768284.0,0.3176112577613618,0.25824824973001104,0.37441544725092596,0.21926210310143446,0.396977695150443,0.03672246984085046,0.6569343088642601,0.20864973210496857,0.05503301219416983
全日,実測,水準ごと,1,5s,5000,98,84666293.0,0.31683350855686393,0.2845140779286983,0.3495673580244221,0.2698287516321863,0.3617241614583815,0.05649646716834108,0.6886401008731922,0.21818425929260618,0.002792339006890726
立会日,実測,水準ごと,1,5s,5000,67,57884059.0,0.3753434198553081,0.3420452736417755,0.40960919411640506,0.32804482384141453,0.4265870403741393,0.05876418148577219,0.7027565869299276,0.26377506066412315,0.0014392783350432698
閉場日,実測,水準ごと,1,5s,5000,31,26782234.0,0.1723776901707139,0.14030838586682085,0.20677107256091287,0.12494968914229782,0.2254918313466859,0.059669125563026525,0.6569531694682668,0.11324406990326938,0.005716689670087747
全日,実測,水準ごと,2,100ms,100,98,65907170.0,0.04788768604152258,0.041275980377059436,0.055348906288757424,0.03757473260973597,0.061051090478581704,0.09864831175634123,0.8645531303130342,0.04140144887064614,0.00008849232045074158
立会日,実測,水準ごと,2,100ms,100,67,45252939.0,0.06384332366394078,0.05756334095689023,0.07122108063226415,0.054255832929990123,0.07535781590733528,0.11478164985996073,0.8658808269554625,0.055280709889718296,0.00003749938434557729
閉場日,実測,水準ごと,2,100ms,100,31,20654231.0,0.012597743113416052,0.010013569695286426,0.01602286025257645,0.00819695995616583,0.017558165639270484,0.046761138144758574,0.8613149659291052,0.010850624680515567,0.00020021665562438727
全日,実測,水準ごと,2,10s,10000,98,65899446.0,0.3521175521804758,0.31520520022209303,0.3893117156831493,0.2974765143912006,0.40266154852049607,0.056900876411453166,0.864552804368092,0.30442421720485835,0.0029011246274262205
立会日,実測,水準ごと,2,10s,10000,67,45247575.0,0.4374567541778258,0.40348257896633627,0.4769195697338795,0.38392298714372636,0.49354009007614924,0.060833879082485616,0.865879437305728,0.378784808153086,-0.0014557732942465657
閉場日,実測,水準ごと,2,10s,10000,31,20651871.0,0.16378526845777183,0.14168160557095888,0.19175291267350184,0.12417654519867835,0.20757163364367887,0.05579557561977704,0.8613169803985684,0.14107103286181694,0.01244694570476267
全日,実測,水準ごと,2,1s,1000,98,65906475.0,0.2051816134627151,0.17890899306433722,0.2337889218447828,0.16624441353372948,0.2519141278236549,0.11453512374462149,0.8645530724986308,0.17739039433941678,0.0010006097708479033
立会日,実測,水準ごと,2,1s,1000,67,45252469.0,0.2656169545100178,0.2421964482698364,0.2947829398111529,0.23136392202363917,0.31180069860935644,0.1283569853430512,0.8658806228395166,0.2299925740078698,0.0006584784007426114
閉場日,実測,水準ごと,2,1s,1000,31,20654006.0,0.07154390888261562,0.05840861159672517,0.08898245648668436,0.04960304288742818,0.09803872895134161,0.07826446332879038,0.8613151939900098,0.06162185575803366,0.0017502120136097812
全日,実測,水準ごと,2,200ms,200,98,65907086.0,0.08656054038261934,0.07437896315029312,0.09981327218816857,0.06792741768519593,0.1105330407927717,0.12169398243856598,0.8645531235179919,0.07483618556119882,0.0001834739238424546
立会日,実測,水準ごと,2,200ms,200,67,45252883.0,0.11501825502641903,0.10345901964285088,0.1285117803480552,0.09738488572655092,0.1368034884675656,0.14069298884686465,0.8658807997268372,0.09959209864546102,0.00008244760598628304
