feat,h,metric,grad_signal,grad_queue,ratio_signal_over_queue,vmin,vmax
obi,0.1,fill_rate,3.559372262356293,3.6177196118772112,0.9838717878164576,0.07649372504700663,9.322748518286513
obi,0.1,ret_mid,0.1867863792296375,0.008277385151422737,22.565867820894162,-0.14172557997842786,0.15038808674568727
obi,0.1,ret_micro,0.20345470544262312,0.03587504054561955,5.67120489198905,-0.22440715536406516,0.15048917452662053
obi,0.1,pnl,0.41093363439517794,0.346204725805144,1.1869671433268234,-0.5391174339375551,0.3096713551709987
obi,0.5,fill_rate,9.489720906906328,11.645812849386381,0.8148611891360028,0.2583513874974708,25.834417513933726
obi,0.5,ret_mid,0.5441339093098664,0.047228896503509185,11.52120734536824,-0.43614329518151196,0.3761228459351171
obi,0.5,ret_micro,0.4321400792760245,0.07577315119991056,5.703076517643027,-0.3935577465058773,0.2906050767776228
obi,0.5,pnl,0.570026672384785,0.38374275539534386,1.4854395669242684,-0.9581511903476149,0.006099916989067676
obi,1.0,fill_rate,13.167024965628016,18.308301039441126,0.7191833331373902,0.5036310291987554,36.235759919368114
obi,1.0,ret_mid,0.6990871255336583,0.06529336183276457,10.706863698092697,-0.5634635234350849,0.48396309578673563
obi,1.0,ret_micro,0.4781445070380071,0.09115114051075436,5.245622867237671,-0.4069841387849657,0.30788866728256004
obi,1.0,pnl,0.38526322709869876,0.4054698113306681,0.9501650094105514,-1.1510631941270169,-0.2726311113419593
obi,3.0,fill_rate,19.585716433150175,29.167884443372355,0.6714822417503276,1.3781684301958306,52.64087829833712
obi,3.0,ret_mid,0.9054375403833134,0.10332672814131033,8.76285891047504,-0.7149680502353198,0.5532236516012194
obi,3.0,ret_micro,0.5345051052486252,0.1325613928342677,4.032132537388768,-0.46397967153112873,0.303625707431451
obi,3.0,pnl,0.5532676455322505,0.5513460618271806,1.003485258784114,-2.0820539326878995,-0.7555493178494712
obi,5.0,fill_rate,22.4633416486889,34.74530488090627,0.6465144492380976,2.2436031892133323,60.53304741367194
obi,5.0,ret_mid,0.9917605089427616,0.1274612215860068,7.780880306984606,-0.7813808853520453,0.6165497558170443
obi,5.0,ret_micro,0.566384941432565,0.15175291425126414,3.73228378662156,-0.47470143128168457,0.3116549821614872
obi,5.0,pnl,0.9400702964582512,0.7109579107192596,1.3222587192358601,-2.7153239511870026,-1.0208208110092083
obi,10.0,fill_rate,25.61037797133026,40.90523782754041,0.6260904307488825,4.362343232531625,70.51542582671347
obi,10.0,ret_mid,1.121577390081591,0.15274041041331254,7.343029831114272,-0.8612778599554073,0.7009377295073952
obi,10.0,ret_micro,0.5848458914188246,0.18819291482080175,3.107693464314094,-0.5109155364524803,0.3497665140403088
obi,10.0,pnl,1.6811084144716801,0.9459998740985545,1.7770704420797225,-4.000584215336078,-1.3804401725764748
obi,30.0,fill_rate,26.987826055992386,44.00448430755635,0.6132971782459474,11.726284660595843,83.17405992536445
obi,30.0,ret_mid,1.3191787484356188,0.2345488672700743,5.6243236805600665,-0.8956595304491746,1.129619413993438
obi,30.0,ret_micro,0.5876924694003031,0.25673507928117045,2.2891007767453373,-0.48077014243223753,0.4326808948623964
obi,30.0,pnl,2.7859183981962303,1.5517214312575147,1.7953727660631218,-5.974619556245193,-1.75716377499848
obi,60.0,fill_rate,24.48867303871546,40.024091608151785,0.6118483157211194,20.043960929106827,88.26008864101193
obi,60.0,ret_mid,1.377186188930711,0.3189907835005751,4.317322819855791,-0.936092663782041,1.1467524447174677
obi,60.0,ret_micro,0.6229432866796172,0.3425634086235241,1.8184758529310103,-0.6191330720552294,0.49747655749070924
obi,60.0,pnl,3.254767857282273,2.0593429156416687,1.5804885298901872,-7.214183897741465,-1.9993787328994537
ofi_10s,0.1,fill_rate,0.36290718006655776,5.7503832769947625,0.06311008546481071,0.2531830821015659,6.767437924118935
ofi_10s,0.1,ret_mid,0.040451508900066616,0.08190718513777323,0.4938700900540598,-0.0969790176699291,0.0558328369216221
ofi_10s,0.1,ret_micro,0.04056478645383242,0.06686622290032315,0.6066558674071058,-0.04120377833562243,0.0952044419916601
ofi_10s,0.1,pnl,0.26005625065889965,0.3060742301826456,0.849650918026371,-0.4823788594449886,0.17329069944150702
