dt,n_ord,large_lots,share_large,share_short,share_near,share_cancel,fleeting_ratio,n_reached,fake_share,fake_share_sz,cbt_share,cbt_share_large,push_all,push_pre_all,push_pre_large_near,push_large_near
2026-05-04,1167552,441254.0,0.010087773392534123,0.6082341514553528,0.12017794496519213,0.9925211039850902,0.01856709922523377,132060,0.8812282295926094,0.8825705534618185,0.012805425368634545,0.0,0.19543176293508369,0.35618566589678713,7.981401684174251,3.327797695935946
2026-05-05,1361965,441254.0,0.002897284438293201,0.5722423116599913,0.14758529037089793,0.9933184773470684,0.018327398873296347,194850,0.9057736720554272,0.9191446071749124,0.01715536008634583,0.0010136847440446021,0.22275473027007578,0.4392018246528564,-11.289839331428949,3.750869190029526
2026-05-06,1916856,412869.0,0.0011289319594168785,0.5515703840038062,0.11211118623412504,0.992478829917323,0.02447203141393075,210623,0.8393527772370539,0.8745211189781776,0.020456935732261577,0.0,0.20892773611314025,0.37281743072908136,18.132609929958484,9.408007177276811
2026-05-07,2103032,257244.0,0.012656488346349462,0.5398857459135191,0.09275417587559295,0.9923529456518018,0.02029484305438869,194295,0.8605316657659744,0.8894076452540385,0.017743429486569866,0.00011270992223015366,0.19202309711216517,0.2658004490947982,1.0167335562767181,-5.049537437039804
2026-05-08,2236998,267043.0,0.005810465632959887,0.6346737904995892,0.08350119222279144,0.9920813518831935,0.01587105615248288,191326,0.8460115196052811,0.8643835587395592,0.017259738274240745,0.0004616094783812894,0.14489482593594458,0.18962970232634854,-0.35377291011336776,2.3835296588809345
2026-05-09,306029,231971.0,0.0001274389028490764,0.5705505033836663,0.14566266595649432,0.9514817223204337,0.0028124846034235356,50369,0.6199249538406559,0.6222651296673897,0.007855464678184093,0.0,0.061460326606397324,0.030541044398011107,NaN,NaN
2026-05-10,307992,163984.0,0.0016428998155796255,0.4815482220317411,0.16155614431543677,0.9454174134393101,0.002862805147801328,56995,0.6241424686375998,0.5919333348377661,0.01382503441647835,0.0,0.10341028660455638,0.08942519478064496,-19.21409863269437,3.245158933773386
2026-05-11,2296761,162273.0,0.01333443053064729,0.4422889451710474,0.11840718298508203,0.9786612538265845,0.014652226132777297,281412,0.7405974158884483,0.7820929755810518,0.04121804576096512,0.001861163717103115,0.23125065181780066,0.11297978953323833,5.38440053949535,6.47001217266924
2026-05-12,3145183,204167.0,0.012085147350726492,0.5180146910370557,0.11284685183660219,0.9864433961394298,0.0183477797300769,350852,0.8209045409460399,0.848015756789022,0.03666845458594937,0.00044725072349381743,0.22505169946114095,0.22000019963604397,0.4061630668481098,0.8136352226845858
2026-05-13,2820206,215678.5400000005,0.0030363030218359937,0.49312709780774877,0.1076318538433008,0.9849784022869251,0.012500739033611544,298058,0.8029913640969207,0.7828831632322961,0.03079101313875653,0.0016349410253415858,0.23698382256227207,0.2991526052119232,2.934215563947636,1.649977169445182
2026-05-14,3217503,201222.0,0.015096178620501674,0.5486844922910716,0.1482416644211365,0.9873563443452888,0.013603368773254576,373847,0.8425505621283573,0.8133564750952661,0.03664798447740375,0.00045293584781355516,0.21450940972552524,0.2658750624227369,1.0418201945616128,5.279094922312199
2026-05-15,4219335,208858.0,0.012906299215397687,0.5734763890518293,0.1260855087353813,0.9884569487845833,0.018668630990369365,477730,0.8565256525652565,0.8553578246103881,0.030236518313904916,0.0007161745262230057,0.22123827439037708,0.23611463685429207,5.257196498374666,2.049360712350483
2026-05-16,443404,219016.0,0.000367610576359257,0.5035362784277995,0.22220142353248956,0.9699529097617523,0.004299938384226442,101257,0.8189359747968041,0.6937206833637198,0.011023806731558578,0.0,0.1573297950952717,0.16101115267927657,-8.805611501957651,8.574341273939456
2026-05-17,663459,117766.0,0.0052618172336195606,0.4926378269041493,0.2197814785842079,0.9736878993276148,0.003544262229100328,148672,0.836667294446836,0.7275519355144096,0.014382199955083885,0.0,0.2032940083471783,0.20981918825443968,-9.67876659853779,3.121573539633325
2026-05-18,4570926,114938.42000000004,0.018813912104461983,0.6016513940501333,0.14521258930903716,0.9900595634232539,0.01891225268355517,507809,0.8719557944030137,0.8850726812259352,0.04088011925811094,0.0007442120073956069,0.2927143578529273,0.4014658360570303,-0.8865839313776208,3.2261681736906587
2026-05-19,5032114,163518.0,0.016965235684247217,0.6312283465756141,0.13863636634623142,0.9914226903444556,0.020836661490963818,562222,0.888166951844645,0.8882664933764213,0.04221486238189357,0.0007730962504831851,0.21882433379628582,0.3379277907535404,7.0071645404963805,4.683638995257986
2026-05-20,4099205,250436.0,0.009109815195873346,0.6242032296506274,0.16755151303728405,0.992488055610783,0.017312701397971197,478009,0.9075414898045853,0.9203968518342104,0.03088281752193413,0.0006159119513697346,0.24606691203644795,0.3948397783514945,2.9487562662419666,3.010413291775304
2026-05-21,4197721,239123.95999999996,0.0030437944780036595,0.6299935131467765,0.18801964208674182,0.990356195659502,0.008622521804606972,555504,0.8943463953454881,0.8953004124463787,0.04525955869863671,0.0033654222430930577,0.20256403817320193,0.43507335545863046,-2.59717427636936,-1.7721913795659212
2026-05-22,2718006,134307.0,0.006037146349198641,0.5629461450784141,0.1943814693565798,0.9916898638192851,0.006739292378568063,357965,0.8983029067087565,0.9060698840623908,0.03980638747670167,0.000792248156499482,0.20845596329990873,0.39333315492311516,3.5453255113779205,2.3916593619010116
2026-05-23,631633,132392.0,0.002446040659686875,0.46629609282605566,0.28507376910326093,0.9781360378574268,0.0005169232326881522,170168,0.8665436509802078,0.7699603284084674,0.021545739377138308,0.0,0.20935824450449958,0.1932761485056606,0.6450456119892723,2.651554765266448
2026-05-24,691857,109433.0,0.01364154731396806,0.4718865314653172,0.23790609909273158,0.9821827342933583,0.002072493415849672,157909,0.8796965340797548,0.730020638552874,0.018083216618463065,0.00010595465140919687,0.20107215673869358,0.2803149601642356,-4.492212441677972,8.490307446212647
2026-05-25,909572,122431.87999999989,0.017807276389334763,0.4386590616245883,0.22399766043809616,0.9839539915476729,0.003509986121166141,194532,0.8703863631690416,0.7823193191071481,0.01709815165814251,0.00006173982836327716,0.15283666151949793,0.19641054675575503,0.2986382218949603,2.3085769438301225
2026-05-26,4264010,133209.29000000004,0.031705835586689525,0.629774085895671,0.17427609222304827,0.9890129244537419,0.02050704543891733,539325,0.8685208362304733,0.87637699253408,0.05402473258740012,0.0005325680133733745,0.22836300112417146,0.3651555456204836,5.667251729628305,3.7955754836044817
2026-05-27,5540292,268281.73000000045,0.0030749281806807293,0.6311548199986571,0.14442289323378624,0.9854153896581624,0.03213471034183053,624365,0.8219470982518239,0.835931513371165,0.04536908884946858,0.0,0.2916799201576526,0.3248195193842362,1.4026170892893075,5.760985081489526
2026-05-28,5030282,242226.0,0.007896376386055493,0.5763100358985839,0.14404361425462828,0.98840780695794,0.01468336360277116,553048,0.8533147213261778,0.8662860698372569,0.04076292343053531,0.0003776339971299816,0.33376027470789715,0.39278360416578656,-0.7591200899838785,4.502530663298579
2026-05-29,3165406,201527.0,0.004459143629600752,0.549926296974227,0.1640326706905844,0.9905721414567358,0.009234757699907016,417148,0.8892455435480933,0.8987902108150174,0.0393096493783104,0.0021253985122210413,0.3065589461616048,0.28443093490573845,3.028507328704165,3.7277643306093755
2026-05-30,584998,107182.0,0.000022222298195891267,0.42990916208260543,0.22061442945104087,0.9823418199720341,0.0010682521527533287,115438,0.8612501949098217,0.8540670433362387,0.024323160079179756,0.0,0.18215170195219962,0.2051117035947122,0.9237306401453336,1.0775862068965516
2026-05-31,627140,52111.12000000011,0.012381605383168032,0.3835283987626367,0.20422074815830596,0.9800172210351755,0.0011951257754094773,121710,0.8396269821707337,0.9024924382383469,0.024402844659884557,0.0,0.1847345104320394,0.16299520569899123,1.5283891037636903,3.478918426194796
2026-06-01,3251393,62537.439999999944,0.04294897602350746,0.532982324806629,0.18407464123838613,0.9889093689996872,0.009008210654048793,607901,0.9089966951855648,0.9377256658868304,0.052619907836425804,0.04651112829767122,0.2994542218782606,0.3264478091800886,-0.3937322152905408,0.38837852266193496
2026-06-02,3231586,98804.0,0.009724017866149934,0.52458019065561,0.1782746923646779,0.987861997174143,0.00887838464972856,586397,0.9022283538285496,0.934523817080419,0.05300462373583745,0.012920061099796334,0.27425261312032695,0.2854706711697253,-1.7850658161896986,2.919887043771386
2026-06-03,3044086,98319.0,0.008859473746799532,0.49915344047441496,0.1530107887884902,0.9888505121077394,0.008937851913689643,481127,0.895129560386343,0.9418586377453521,0.04507099996517838,0.014757684749156438,0.28381722463783954,0.2771375007639658,-1.319393444768303,2.1280127484392164
2026-06-04,4989405,95676.0,0.03155706943012243,0.6033007943832982,0.13320826832057128,0.990289824137347,0.01850137586869182,584485,0.8878978930169295,0.9322130025575928,0.04810914327459888,0.03210522638789211,0.3929171105610174,0.4447747160080108,-1.7401642303199194,1.1172793457247892
2026-06-05,7543308,175259.0,0.007699142074007849,0.6715532495822788,0.14148222503973057,0.9886235587887966,0.026938970673595058,660510,0.8376875444732101,0.8613757570362145,0.04978386140404183,0.0017218520240370543,0.532359425642028,0.42457999747553693,-1.6478915940349468,-0.4011799399542741
2026-06-06,1541395,170559.0,0.022173420829832716,0.45371497896386065,0.13685135867185244,0.9762695480392761,0.007991864105841538,193087,0.7310590562803296,0.6453018388739201,0.038972489206206065,0.0000585171747908011,0.2890531061905461,0.16048735239875933,3.0815295320498626,8.360615429699546
2026-06-07,1796485,229399.06000000006,0.01029009426741665,0.45845136474838366,0.14109441492692676,0.9758522893316671,0.009498093249260974,218251,0.7163632698131968,0.6699918491166805,0.03149093925081479,0.0,0.2747233040567021,0.06913108730567494,-2.3570436598741313,5.290473625092235
2026-06-08,6382489,237420.0,0.0030436401848871184,0.6219579853564965,0.14374219838060043,0.9877624544280452,0.01985704717048466,599462,0.8285996443477651,0.802097242415086,0.04524018764466339,0.0002573870071038814,0.505288352462315,0.307896080814258,0.5842671728554619,-0.5473941955361802
2026-06-09,6472786,210757.0,0.013346803061309304,0.647586989589954,0.12338937205710185,0.9867769458159129,0.030653926623280602,566364,0.8057803815214244,0.8444965040890139,0.05709689768825974,0.009375976664235858,0.4338074119372859,0.24514442630435498,-7.426070300636383,10.05842104818153
2026-06-10,8463263,217526.0,0.014083456936172254,0.6650719704681279,0.12142940612858184,0.9900479283226812,0.03158836038647494,714179,0.848283133500145,0.882769487674491,0.04496031849654206,0.006594402308879791,0.46103594219918925,0.3251753107751942,-1.0272003163127896,4.579759486600816
