dt,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-04,36697,26146,1807,1808,3615,1807,-306.36893256585057,1,-3.5273609958502297,3.0935795297371276,0,0.0,0.0,-309.8962935617008,0.5001383125864454,1,0.0,15.296,-0.16954561846477603,0.016602102933038185,0.05921416712783619,0.23298284449363585,0.3929164360819037,0.7028223574986165,0.8433868289983398
2026-05-05,44591,40460,1494,1493,2987,1493,-769.2328256227847,1,1.5799375656222403,0.9938786803305222,0,0.0,0.0,-767.6528880571625,0.5001673920321392,1,0.0,19.75,-0.515226273022629,0.03148024112525117,0.07300736771600803,0.23308774279973207,0.347622237106497,0.6128600133958473,0.7776289350301406
2026-05-06,44447,50142,2480,2481,4961,2480,2229.347987476769,1,-4.421041094021517,3.574988682277596,0,0.0,0.0,2224.9269463827477,0.5001007861318283,1,0.0,13.724499999999999,0.8989306401116015,0.039112903225806454,0.1060483870967742,0.2903225806451613,0.4221774193548387,0.6887096774193548,0.8383064516129032
2026-05-07,48800,40070,2047,2048,4095,2047,205.16972241508225,1,-5.589565728828109,3.1737828644140547,0,0.0,0.0,199.58015668625413,0.5001221001221001,1,0.0,13.789,0.10022946869325002,0.0361504640937958,0.09574987787005373,0.2872496336101612,0.42501221299462627,0.6888128969223254,0.8304836345872008
2026-05-08,50221,43224,2377,2377,4754,2377,845.934957351221,0,0.0,0.0,0,0.0,0.0,845.934957351221,0.5,1,0.0,11.875,0.3558834486122078,0.04585612116112747,0.11653344551956248,0.3222549432057215,0.4556163230963399,0.7168700042069835,0.852334875893984
2026-05-09,12498,10172,1579,1578,3157,1578,6974.804679099518,1,-3.2664370727908256,4.085495934432602,0,0.0,0.0,6971.538242026727,0.5001583782071587,1,0.0,19.9255,4.420028313751278,0.015209125475285171,0.043726235741444866,0.1888466413181242,0.32129277566539927,0.6894803548795945,0.8187579214195184
2026-05-10,12342,13764,1404,1403,2807,1403,-68.48339977299909,1,-7.535749463606355,3.0245773229901123,0,0.0,0.0,-76.01914923660544,0.5001781261132882,1,0.0,14.951,-0.04881211673057693,0.03706343549536707,0.08339272986457591,0.30648610121168923,0.4255167498218104,0.6614397719173201,0.7890235210263721
2026-05-11,64820,66112,5989,5990,11979,5989,970.0206242150675,1,-1.0591627115248685,0.9085813557624343,0,0.0,0.0,968.9614615035426,0.5000417397111612,1,0.0,5.168,0.16196704361580536,0.07814326264818834,0.19953247620637837,0.49023209216897645,0.6540323927199866,0.9016530305560194,0.9689430622808483
2026-05-12,78236,70676,5088,5087,10175,5087,-6254.730567768148,1,-6.274204396322966,2.5815664288050018,0,0.0,0.0,-6261.0047721644705,0.50004914004914,1,0.0,6.724,-1.2295519103141623,0.05052093571849813,0.1405543542362886,0.42009042657755064,0.6040888539414193,0.8680951444859446,0.9559661883231767
2026-05-13,67825,56262,5361,5360,10721,5360,-8277.545819043946,1,-1.3072828986657963,1.468138164443701,0,0.0,0.0,-8278.853101942612,0.5000466374405372,1,0.0,6.5775,-1.5443182498216317,0.04757462686567164,0.1281716417910448,0.42388059701492536,0.625,0.8854477611940299,0.9679104477611941
2026-05-14,69451,70148,4773,4772,9545,4772,-3342.065643947702,1,-2.7326882423602177,0.9744777315977844,0,0.0,0.0,-3344.7983321900624,0.5000523834468308,1,0.0,6.975,-0.7003490452530831,0.0442162615255658,0.12615255658005028,0.4172254819782062,0.6049874266554903,0.8665129924559933,0.9526404023470243
2026-05-15,85426,85555,5257,5258,10515,5257,-4309.048830673258,1,2.557644494724125,1.2649973393673077,0,0.0,0.0,-4306.491186178534,0.5000475511174512,1,0.0,6.535,-0.819678301440606,0.045272969374167776,0.13696024348487731,0.4299029864941982,0.6157504280007609,0.880920677192315,0.9651892714475937
2026-05-16,20148,13486,1539,1540,3079,1539,-183.31768954782862,1,-3.3206180919684556,0.9161946497637311,0,0.0,0.0,-186.63830763979706,0.5001623903864891,1,0.0,14.405,-0.1191148080232807,0.12020792722547108,0.1728395061728395,0.3489278752436647,0.43664717348927873,0.686809616634178,0.8187134502923976
2026-05-17,21296,25390,1912,1911,3823,1911,-797.9911532230343,1,-4.2578695381207545,2.300192922928027,0,0.0,0.0,-802.2490227611551,0.5001307873397856,1,0.0,17.5,-0.41757778818578445,0.029304029304029304,0.08948194662480377,0.25588697017268447,0.3741496598639456,0.6792255363683936,0.8388278388278388
