var,spread_bp,qsize,fillsz,obi,abs_obi,ofi_z,abs_ofi_z
spread_bp,1.0,0.23303758846545303,-0.3262165805852785,-0.0250172114318249,0.0515879050278472,0.022497636658067706,0.0637425756904098
qsize,0.23303758846545303,1.0,-0.018015443162293143,-0.05562600663826311,0.6407461105377418,0.01679342097834196,0.16551323569896295
fillsz,-0.3262165805852785,-0.018015443162293143,1.0,0.011168637271066904,0.010203581364984204,0.003257671181630426,-0.2159117282504547
obi,-0.0250172114318249,-0.05562600663826311,0.011168637271066904,1.0,-0.051945394338604955,0.12739495518894028,-0.0012739334181577843
abs_obi,0.0515879050278472,0.6407461105377418,0.010203581364984204,-0.051945394338604955,1.0,0.012283939793045168,0.05867425449958261
ofi_z,0.022497636658067706,0.01679342097834196,0.003257671181630426,0.12739495518894028,0.012283939793045168,1.0,0.059490696493568355
abs_ofi_z,0.0637425756904098,0.16551323569896295,-0.2159117282504547,-0.0012739334181577843,0.05867425449958261,0.059490696493568355,1.0
