x,day_type,k,n,beta_ols,se_ols,t_ols,se_hac,t_hac,beta_gls,se_gls,t_gls,beta_nonoverlap,se_nonoverlap,t_nonoverlap,n_nonoverlap,r2,r2_nonoverlap,rho,dw,beta_placebo
BookSlope_z,立会日,1,26783662,0.04518509690392003,0.000829356542906299,54.48211301930376,0.0036366396643327387,12.424958498661352,0.04436119689736829,0.0005285727915530144,83.92637231104807,0.04518509690392003,0.0008293565429062986,54.48211301930378,26783662,0.00011081277590197405,0.00011081277590197405,-0.4792314730125363,2.9584328353157994,-0.00011412231020058557
BookSlope_z,立会日,2,26783594,0.08705451890697892,0.0008463742023723755,102.85582743775304,0.006423921341594949,13.551616571532424,0.08621367195565792,0.0008681213336033203,99.31062470013255,0.07850349235764131,0.001570195948522077,49.9959845339886,13391814,0.0003948366647010036,0.00018661641930208935,0.03755236736240598,1.9248649206582957,0.00007266129182949717
BookSlope_z,立会日,3,26783526,0.1246299754640407,0.0008612003954118777,144.71657947211597,0.008940426660822495,13.940047851427158,0.121285815337604,0.000902339344764045,134.4126420302767,0.12382651832057379,0.0005270545379603098,234.94061696115904,8927864,0.0007813208321331272,0.006144576465943714,0.07095867838076418,1.8580746332194011,0.00006686196756364509
BookSlope_z,立会日,5,26783390,0.18109786357134783,0.0008876610497005423,204.01690896817232,0.012630422943005811,14.33822639103563,0.16941872068351632,0.0009608486305975071,176.32196715330977,0.20286152381177147,0.00430738745339946,47.096186727216725,5356706,0.001551645190431383,0.0004138986876870115,0.12671915946769405,1.7465495826266302,-0.0003616284811208131
BookSlope_z,立会日,10,26783050,0.250054080065027,0.0009552274312134232,261.7743920391648,0.01694962525408693,14.752779268953654,0.20790472854814365,0.0010924722305792828,190.3066482869796,0.2747568970865595,0.008487873637074343,32.37052162115653,2678333,0.002552022937477648,0.0003910796973573666,0.24606263851396948,1.5078573787965046,0.0009484613790029469
BookSlope_z,立会日,20,26782370,0.2971133220430577,0.0010930084438393268,271.83076555146323,0.020382267297638222,14.57704963360408,0.18735203715044488,0.0012887281799378355,145.37746599091378,0.32797626369684046,0.017025117842709908,19.2642580642858,1339150,0.0027513870209894156,0.00027704840904687255,0.4236897346435435,1.1525833678394641,-0.000668178527537144
BookSlope_z,立会日,30,26781690,0.3127373420119554,0.0012233644737864838,255.63709647705372,0.02152389090401371,14.529777325420149,0.1495495347365071,0.0014005937831953578,106.77580932518504,0.3548620189094173,0.005346366356873504,66.37442988791676,892756,0.0024341726004887643,0.004910570109371956,0.5397854435490589,0.9203924742545048,0.002928379202959396
BookSlope_z,立会日,50,26780330,0.33234884127031,0.001457547058076201,228.01928721874222,0.02335175098285773,14.232287827764338,0.10377738102318963,0.0014944175828358287,69.44336189237023,0.3964432075455899,0.009294893144358055,42.651722982552904,535634,0.0019376928198013223,0.0033848088472166467,0.675718304729062,0.6485223428736436,-0.009655629548762588
BookSlope_z,立会日,100,26776930,0.3486368365442627,0.0019471082302002245,179.05365050427207,0.03052895829397534,11.41987332771402,0.0635035784349505,0.0015350215531726532,41.369828523709245,0.4275768589223456,0.019426819448625454,22.009617171409847,267802,0.0011958754096969457,0.001805633149205105,0.8182495065144397,0.3634620135707183,0.0008077767868209374
BookSlope_z,立会日,300,26763330,0.3689935403943658,0.0032605724100870136,113.16833180972621,0.06392117728321696,5.772633672866475,0.047613683912529986,0.0015247240290677143,31.227738925084797,0.4722797944829008,0.05894199222095291,8.012620148848873,89246,0.0004783017149592955,0.0007188822544097618,0.9350956721992204,0.1297769220041016,-0.004194478064994791
BookSlope_z,立会日,500,26749730,0.37432140834754085,0.004166256079138238,89.84599151787297,0.06909947025433123,5.417138611479847,0.045644462711023966,0.0015186999765330123,30.054957145139443,0.37713402655036143,0.09548181446648009,3.949799536777324,53534,0.0003016803362258621,0.0002913466917983601,0.9601958283057035,0.07957459935852358,0.008160797985890849
BookSlope_z,閉場日,1,4349587,0.013831490746779536,0.0005566708893980303,24.84680088397753,0.0006400980935192177,21.608392349264623,0.011016641657595106,0.0003797904528170971,29.007157962711084,0.013831490746779536,0.0005566708893980302,24.846800883977533,4349587,0.00014191604495136865,0.00014191604495136865,-0.38252033094748983,2.7650398151135502,-0.00022489582863365482
BookSlope_z,閉場日,2,4349556,0.0253590184237462,0.0006185905283413983,40.994837880464004,0.0008406514871037968,30.16591157307389,0.028090858487120434,0.0007219764952400866,38.90827287636155,0.026033356533588254,0.001062406441444064,24.504140334656395,2174786,0.00038622986263071087,0.0002760215063327564,0.1786158766799431,1.642764905812433,0.00017244290858009666
BookSlope_z,閉場日,3,4349525,0.03489068553953639,0.0006682350081516865,52.21319612697747,0.0010926658399268887,31.93170708244248,0.039597163850340955,0.0008563979254095953,46.236875026761126,0.035857675306017876,0.001578485380186787,22.716507708024974,1449852,0.0006263928633988221,0.0003557996452726588,0.2958228172953382,1.40833993974355,0.0008150835848621736
