feat,side,h,s_dec,q_dec,n,n_fill,sum_pnl,sum_ret,sum_retc,sum_ret_fill,sum_retc_fill,sum_mm
obi,1,1.0,0,3,46282.0,8175.0,-8452.711963841262,-13784.528461727667,4324.855254310315,-12206.728583836555,-9876.233543960852,-1290.2388500244379
obi,1,3.0,0,3,46281.0,14070.0,-18328.83736127075,-18899.881784413177,3003.9552881494196,-25488.707533334764,-19886.546028932768,-1284.8414958900635
obi,1,5.0,0,3,46280.0,17643.0,-26179.605507555516,-21181.09755623574,2584.7327728929936,-35646.21023320927,-27822.323770743085,-1271.984779519641
obi,1,10.0,0,3,46278.0,23169.0,-41338.09879189699,-24822.67195006343,523.624864324274,-54687.11104482383,-43405.0493535986,-1517.4288875956602
obi,1,30.0,0,3,46263.0,32229.0,-70962.11720142895,-27114.600377392315,-79.60016470586939,-91324.6137192854,-73963.52909961453,-2043.402666097913
obi,1,60.0,0,3,46242.0,36475.0,-89626.15699097831,-30029.875987395215,-2275.7063128702466,-113595.38860817414,-92952.92709106917,-2029.3894562144922
obi,1,0.1,0,4,36165.0,1440.0,-549.5231725421045,-2566.6291792149127,1055.2590771706866,-1254.0539809776694,-1270.141314989344,-699.6867729404952
obi,1,0.5,0,4,36165.0,3969.0,-3592.7613294960265,-7946.884634138458,2806.896632044895,-5267.443904197106,-4814.159041074734,-1166.2680871156003
obi,1,1.0,0,4,36163.0,5929.0,-6278.863057376999,-10419.5845846005,2740.500590462539,-8902.002985586134,-7361.778134826409,-989.1168732517473
obi,1,3.0,0,4,36161.0,10030.0,-14193.68594706392,-14410.76538953413,1773.4711176001326,-19010.83815763972,-15357.405612545444,-980.2803569421316
obi,1,5.0,0,4,36161.0,12660.0,-20130.298291541752,-15882.810978502283,1653.9391184745427,-26571.903237060178,-21306.30326549586,-920.4774192264506
obi,1,10.0,0,4,36159.0,16989.0,-31881.546992883228,-18397.09060182564,451.7210313119501,-41170.486566198844,-33505.084566027355,-1234.7107308948148
obi,1,30.0,0,4,36151.0,24373.0,-58459.15033514719,-24165.55090532431,-3814.802049133207,-73036.7081457431,-60618.74507031983,-1465.448936166825
obi,1,60.0,0,4,36142.0,27738.0,-72091.06145604198,-24451.754774669775,-3554.5073417043627,-89368.04824369408,-74277.0452339072,-1250.2512037352801
obi,1,0.1,0,5,29933.0,1093.0,-495.6944556327316,-1885.0263947821772,829.0642778313987,-983.610580261578,-1050.3401100424985,-539.1105666154863
obi,1,0.5,0,5,29933.0,3012.0,-2804.7768756946884,-6093.075021135768,2052.0611312650485,-3960.1848161081407,-3705.94706839971,-862.9222023896599
obi,1,1.0,0,5,29933.0,4489.0,-4871.3026988087395,-8065.221442778626,2113.9334521833753,-6699.822636835473,-5671.887427494668,-735.6985574391574
obi,1,3.0,0,5,29932.0,7802.0,-10453.281449089209,-11466.656360006005,1286.1445542789875,-13924.49235078814,-11233.014269064803,-651.3542711726659
obi,1,5.0,0,5,29929.0,9960.0,-15323.206723012332,-12665.047932060177,1044.2354046057203,-20029.901967955175,-16265.2053394082,-760.3266057207583
obi,1,10.0,0,5,29924.0,13257.0,-25180.354069680016,-14956.019698444896,148.55772219003234,-32050.656871357773,-26289.53103404643,-827.3758482996827
obi,1,30.0,0,5,29921.0,19212.0,-46842.856539040935,-19848.06320590387,-3607.8964512127827,-57820.04020405502,-48507.06181107045,-1156.8347448932668
obi,1,60.0,0,5,29900.0,22297.0,-59692.98634160833,-21402.180697433145,-4806.607795979796,-73188.68633500728,-61895.67218945445,-1490.8902310860494
obi,1,0.1,0,6,23444.0,685.0,-369.2954422472252,-1268.231515060574,952.1127272175451,-653.3807684999006,-755.8487486282049,-376.47803587243635
obi,1,0.5,0,6,23444.0,2098.0,-2010.201197349296,-4271.174951316655,2101.9439687051286,-2753.721111206912,-2624.926675737554,-589.0025426363097
obi,1,1.0,0,6,23444.0,3207.0,-3455.912006581737,-5580.038091162179,2607.127798632538,-4668.026864787924,-4021.144473958591,-522.5198596358728
obi,1,3.0,0,6,23442.0,5647.0,-7498.76496005814,-7746.086570430031,2639.060329431837,-9874.31050708793,-8023.28300224443,-434.479341739138
obi,1,5.0,0,6,23441.0,7163.0,-10585.545836770252,-8577.569028995837,2836.0387538562927,-13813.842445396212,-11169.839684726658,-455.2485762216918
obi,1,10.0,0,6,23441.0,9665.0,-16958.03780389201,-10100.37945231004,2345.8249088520492,-21862.691376090435,-17721.304656946475,-557.609776062566
obi,1,30.0,0,6,23440.0,14227.0,-32543.47731084685,-11222.022412958062,2294.1687329715805,-40782.0165439431,-33712.80898159784,-783.3887487149045
obi,1,60.0,0,6,23438.0,16858.0,-42703.27647143441,-12603.608093200039,1497.4840114417184,-53072.51286641001,-44002.83413175583,-755.8299352672205
obi,1,0.1,0,7,18772.0,413.0,-180.10938319372184,-935.3457944903101,1002.215715675154,-373.92884088181864,-417.4326936561455,-230.30618746489932
obi,1,0.5,0,7,18772.0,1231.0,-1145.5893173616494,-3138.6967912188443,2446.102890265786,-1698.8726258899244,-1541.8544960954341,-375.9817372031282
obi,1,1.0,0,7,18772.0,1900.0,-2107.625162750166,-3717.8180917247414,3380.7130648275497,-3024.6544283676167,-2462.7591425596224,-318.3070060027315
obi,1,3.0,0,7,18772.0,3477.0,-5107.555689424583,-5491.604901648062,3356.55430182614,-6952.153706296345,-5597.703627972229,-412.24357606642684
obi,1,5.0,0,7,18769.0,4547.0,-7776.926775736676,-5872.461297295829,3685.49175570534,-10302.712679350272,-8404.900855934666,-516.8338764403658
obi,1,10.0,0,7,18767.0,6530.0,-13725.3705120409,-7503.346485853374,3425.814517497788,-17645.789477810624,-14364.569649270416,-461.45001504002346
obi,1,30.0,0,7,18761.0,10445.0,-29144.667681552517,-12433.226991044867,-530.5131454500954,-36042.40456334812,-30172.84104920566,-689.5369946668861
obi,1,60.0,0,7,18747.0,12789.0,-38872.12707913962,-11885.819607173375,326.77428711732347,-47720.02930085429,-40216.987327633295,-866.8541257685367
obi,1,0.1,0,8,16594.0,295.0,-128.6630235484733,-825.3749382430265,735.7516502149153,-272.4219281939621,-307.99318857475555,-173.33406162192588
obi,1,0.5,0,8,16594.0,891.0,-771.4919211062621,-2590.2659770216555,2163.1473227100278,-1189.6853172484077,-1081.840663276443,-292.3788119529735
obi,1,1.0,0,8,16594.0,1375.0,-1307.7110347793198,-3116.961845552862,2967.758775798205,-1992.378431161281,-1571.584206448992,-233.3626902034248
obi,1,3.0,0,8,16594.0,2519.0,-3538.6674919824404,-4255.336882622432,3266.0823805763603,-4871.488188353163,-3874.1316391531022,-273.18526867706106
obi,1,5.0,0,8,16594.0,3450.0,-5758.656372122985,-4433.021630523691,3740.69557147105,-7681.142429754297,-6140.407143642593,-289.1325844454152
obi,1,10.0,0,8,16593.0,5213.0,-10500.28135500267,-5523.448296192203,3432.1082655391087,-13588.236416865337,-11048.631834642476,-393.4592391881072
obi,1,30.0,0,8,16590.0,8651.0,-23940.816785112056,-8889.990716802706,958.2076184589439,-29460.80529776169,-24673.57742688787,-435.00149966044773
obi,1,60.0,0,8,16577.0,10886.0,-34570.62392254786,-12468.93989362356,-2318.8384732903,-41798.92182869687,-35496.024704459836,-499.0256076284006
obi,1,0.1,0,9,270989.0,7567.0,-636.5513391666158,-8396.00669839231,6524.198460780071,-5037.629696283261,-3003.0775396074914,-2244.933137260539
obi,1,0.5,0,9,270989.0,15047.0,-8123.560549263471,-25082.196319322153,21504.73040521318,-15733.887191573154,-12271.402964634857,-3931.8574599954013
obi,1,1.0,0,9,270985.0,21274.0,-15709.889616605167,-36040.96637900634,25844.705502254863,-26325.754011776182,-19730.98692632618,-3705.717944192308
obi,1,3.0,0,9,270975.0,39719.0,-39194.06490653279,-56293.685027187545,33190.65663205287,-59530.9866872203,-44261.32524080212,-4406.527583533829
obi,1,5.0,0,9,270967.0,53117.0,-60316.4931965797,-67198.32790006608,36796.495820849144,-88379.26686846672,-65879.0647605494,-4605.329972795785
obi,1,10.0,0,9,270945.0,77584.0,-107100.07034917321,-85113.71448511463,37322.539869481836,-149807.1652903386,-114344.98127599926,-5698.0099688316095
obi,1,30.0,0,9,270845.0,127236.0,-223574.49007570662,-106466.11731384961,34121.407371018126,-298596.57146887266,-236395.23822100327,-9826.789601197199
obi,1,60.0,0,9,270757.0,160370.0,-320640.3673950854,-118157.459693105,32324.516371418544,-420346.2408871837,-336191.46724294056,-11225.998191309474
obi,1,0.1,1,0,114069.0,6304.0,-933.9701136998648,-7648.7836864702185,17166.149649077077,-5547.5324088084935,-1710.325637835313,-157.23939967677404
obi,1,0.5,1,0,114069.0,19855.0,-10717.414274652645,-23596.896822768587,32498.77422945524,-24136.144111285063,-14362.955196299294,-1811.2036564302516
obi,1,1.0,1,0,114065.0,30871.0,-24866.72281448941,-31574.21612484093,32107.918442356888,-46009.064670676235,-29461.254527020967,-1675.4756083150728
obi,1,3.0,1,0,114063.0,48825.0,-61392.47416347595,-43391.15050813635,27515.29407285545,-95722.578227736,-67203.21472261206,-1008.3122397887226
obi,1,5.0,1,0,114060.0,58298.0,-87510.71073741624,-46251.11959298345,26356.08767596665,-129934.57176401089,-95012.58787696171,-1478.7243326994214
obi,1,10.0,1,0,114056.0,70924.0,-127682.43991194207,-51204.63755385256,24225.718457788716,-181355.72166448453,-136833.8083577174,-1338.3896634714883
obi,1,30.0,1,0,114036.0,88378.0,-178141.72199907622,-43609.838073072344,33454.776839111866,-248290.10050743393,-191362.69247245818,-2302.5175247096486
obi,1,60.0,1,0,113983.0,95886.0,-200877.79414200978,-41972.36692672035,35931.97310965362,-279287.18829615077,-216370.30375976142,-2332.9214689966084
obi,1,0.1,1,1,95750.0,3456.0,-867.7315749916246,-5530.503102893194,10295.175205157335,-2850.91809319984,-1977.4255838852198,-839.3476321129433
obi,1,0.5,1,1,95750.0,11408.0,-7366.844259384942,-17378.521965435473,20844.068479627676,-13436.707614424462,-10137.008704071975,-1958.087629576211
obi,1,1.0,1,1,95750.0,18169.0,-15514.25918679723,-23018.28716945323,21943.139490669946,-25622.78468257612,-18641.874992501052,-1766.306046401293
obi,1,3.0,1,1,95750.0,31486.0,-41598.98080043903,-31921.796426124656,19117.334049974845,-60496.73084210983,-45662.97251235473,-1439.2076636948489
obi,1,5.0,1,1,95744.0,39574.0,-63072.99717581428,-34702.594052112334,18321.451854790306,-87969.64136898276,-68369.69253001115,-1789.7049167319435
obi,1,10.0,1,1,95738.0,51276.0,-100880.44263501574,-39883.66048104766,15458.053493801737,-134853.90483004015,-107619.0241379902,-1860.82272708389
obi,1,30.0,1,1,95713.0,69074.0,-168211.001885016,-48803.93212894897,9253.092031337892,-217305.4405383474,-177913.09588450778,-2220.1247857406324
obi,1,60.0,1,1,95687.0,76735.0,-188579.47115116476,-35285.00616120367,24080.254761489778,-244911.14845975302,-199549.78451021574,-1868.893110730188
obi,1,0.1,1,2,73798.0,2111.0,-685.3248374954936,-3845.993021618954,6558.845169612848,-1756.2214773539781,-1491.106519360743,-663.371390490823
obi,1,0.5,1,2,73798.0,7120.0,-4996.422286968704,-12989.871561219188,13311.121278918936,-8430.74242804968,-6877.074457037036,-1416.7007981644012
obi,1,1.0,1,2,73797.0,11509.0,-9819.819200391834,-16604.811576571017,14743.775581422904,-15696.416088616537,-11843.041625776463,-1218.779956343807
obi,1,3.0,1,2,73793.0,20972.0,-27307.23538403479,-21919.96900152517,14789.63023327494,-39032.63042305795,-30085.788080967224,-1138.5617958550042
obi,1,5.0,1,2,73791.0,26757.0,-42327.772103191004,-25067.453788877236,13171.590279972095,-58093.15320457641,-45827.22985728117,-1259.7308276050258
obi,1,10.0,1,2,73788.0,35657.0,-71490.42386127835,-28046.911817435506,12090.586424201872,-93875.35313676384,-76273.12438267375,-1537.4333847866324
obi,1,30.0,1,2,73765.0,49989.0,-120999.17244159227,-26327.799042258874,16359.552296298863,-155010.84822307414,-127843.91646106687,-1714.7052350497204
obi,1,60.0,1,2,73727.0,56993.0,-143154.3457626224,-25254.159012090142,18465.712019420014,-183347.3615324171,-151212.72748388525,-1653.7675403683227
obi,1,0.1,1,3,58923.0,1411.0,-477.6890116248995,-3096.181544460671,4866.109732779676,-1186.5082608034425,-1013.9302636361865,-437.28342533531986
obi,1,0.5,1,3,58923.0,4811.0,-3642.818718541975,-10085.878050946489,10133.358010946715,-5910.597209287172,-4934.583566742177,-977.2721933628325
obi,1,1.0,1,3,58921.0,7807.0,-7218.917987533411,-13207.352286405703,10915.94230802701,-11129.095222158501,-8640.095646626794,-876.9343184906743
obi,1,3.0,1,3,58920.0,14461.0,-19587.11176787358,-17523.22115291157,11067.61051262657,-27424.116432596864,-21513.098939486903,-828.0076350149111
obi,1,5.0,1,3,58918.0,18916.0,-31185.664221677347,-19146.67494157295,11258.373122675988,-41985.312696593544,-33647.34670681118,-926.5578401245466
obi,1,10.0,1,3,58913.0,26043.0,-52813.22345056382,-21440.517441400465,10444.329058207879,-68841.37424876411,-56333.263025032385,-1200.2603052470376
obi,1,30.0,1,3,58906.0,38233.0,-98665.55492670646,-24996.469561644044,8859.565324339635,-124496.0522840546,-104169.54321574968,-1587.4255614724304
obi,1,60.0,1,3,58893.0,44290.0,-123429.71618256699,-25487.431855873114,9323.19993174625,-154347.60781851556,-129582.59874959661,-1256.6933989718439
obi,1,0.1,1,4,50792.0,1046.0,-365.5419770222633,-2268.8379056952267,3948.231011857046,-901.4421958415752,-739.4398875887731,-302.88335119883493
obi,1,0.5,1,4,50792.0,3440.0,-2580.8526838841303,-7046.034649954719,9176.179981346655,-4080.2930161842446,-3541.9917988783823,-755.3043253621278
obi,1,1.0,1,4,50792.0,5588.0,-5170.412886050217,-9349.700110890284,9816.557878771288,-7747.881944222296,-6268.868419909931,-739.0837775935299
obi,1,3.0,1,4,50791.0,10737.0,-14194.829617302608,-12795.613096670104,10140.646422439353,-19714.739313912436,-15944.586028346079,-963.5128070746115
obi,1,5.0,1,4,50791.0,14210.0,-22255.389491924798,-13456.62698789927,11230.704389685774,-30035.655017001383,-24228.421720207178,-855.9060020831935
obi,1,10.0,1,4,50787.0,20274.0,-40252.91288684761,-15161.713731408197,11043.652659546648,-52172.4577474077,-43011.19734576858,-1010.0518939055546
obi,1,30.0,1,4,50769.0,30925.0,-77908.53964328209,-13267.144116274783,14486.814484110491,-98057.23871851193,-82543.61407419282,-1541.187598003511
obi,1,60.0,1,4,50759.0,36441.0,-101136.81206872234,-14603.920572813407,14243.61020719019,-125721.77532691509,-106409.9850585514,-1356.5750051962414
obi,1,0.1,1,5,42774.0,781.0,-199.95117669136673,-1749.0360225000322,3199.9542772135314,-593.0109077638599,-528.5873502517459,-269.83695555741417
obi,1,0.5,1,5,42774.0,2499.0,-1832.7393196610155,-5474.731971617012,7209.257160628282,-2930.8916089251725,-2550.9230281990467,-562.8159392548416
obi,1,1.0,1,5,42774.0,4053.0,-3549.481538942081,-7025.606842197833,8606.775668651624,-5410.165942092035,-4255.598395026023,-445.07019792442634
obi,1,3.0,1,5,42774.0,7823.0,-10024.647117889896,-9721.774921018636,9426.704120037775,-14030.64609465077,-11002.91840077488,-399.3930905199418
obi,1,5.0,1,5,42772.0,10579.0,-16880.64802041376,-10651.109849675151,9669.489659301487,-22637.62812732022,-18269.559658829963,-546.3253675191562
obi,1,10.0,1,5,42771.0,15269.0,-31043.617686678564,-10939.964770175444,10730.696784019556,-39937.51950380705,-32931.25662009783,-561.9148109970416
obi,1,30.0,1,5,42747.0,24318.0,-63613.35002382834,-12807.332458762401,10356.058908407435,-79171.8260786829,-67053.07226381238,-1017.9981713756534
obi,1,60.0,1,5,42728.0,29332.0,-86794.98812600166,-14419.24171655892,9378.912125452514,-106415.30332610791,-90905.70675233651,-941.929340264513
obi,1,0.1,1,6,36280.0,559.0,-144.74440765063372,-1364.3989882930362,2801.1781144939796,-436.29211499834673,-363.1303543815001,-175.63700691087374
obi,1,0.5,1,6,36280.0,1832.0,-1289.1089424819506,-4245.0798535280555,6663.750372338734,-2119.945715090576,-1824.65022710673,-417.0327027965559
obi,1,1.0,1,6,36277.0,2977.0,-2636.490910447304,-5515.033372035169,7702.491993657637,-4030.1611895754877,-3178.8168691467877,-345.0044181978828
obi,1,3.0,1,6,36272.0,5852.0,-7238.646461882155,-7161.818631594649,8974.202594033008,-10266.252506451005,-8075.672855687789,-395.9338203072527
obi,1,5.0,1,6,36272.0,7934.0,-12136.369892566765,-8131.847284499032,9279.721331489533,-16496.537000043212,-13188.110909717683,-415.60803830748216
obi,1,10.0,1,6,36272.0,11852.0,-24133.860612704622,-9203.782870866233,9736.31784153783,-31143.299648497145,-25714.509162346898,-543.5310747363611
obi,1,30.0,1,6,36260.0,19306.0,-54794.67174119686,-12318.067159959406,7793.948080573916,-67302.89356755548,-57367.22431834377,-661.040112690055
obi,1,60.0,1,6,36250.0,23950.0,-74575.43475644932,-12995.643776286592,8126.75188202829,-90824.74251590607,-77800.02412864777,-638.2320508277852
obi,1,0.1,1,7,31038.0,406.0,-150.7272721517647,-1152.837253834935,2437.5527534530047,-372.47103556696345,-375.23238719884057,-189.11216121209054
obi,1,0.5,1,7,31038.0,1261.0,-936.3383827821743,-3369.539959472495,6067.838255927536,-1543.3497821784133,-1347.5601155778702,-318.27957250195374
obi,1,1.0,1,7,31037.0,2005.0,-1839.6205334013807,-4075.096137289024,7458.756227237373,-2882.3473775365383,-2226.7792493795737,-233.06083905329632
obi,1,3.0,1,7,31034.0,4119.0,-5807.930369932684,-5080.898473815463,8790.94467742978,-8049.693959508748,-6441.104217596099,-298.0202302467473
obi,1,5.0,1,7,31034.0,5768.0,-10771.977868316737,-7025.575176180399,7993.232911502764,-14071.898366896014,-11589.453785013635,-318.8693384454221
obi,1,10.0,1,7,31031.0,8817.0,-21375.1510503178,-9044.292556558976,7240.323118596107,-26805.116674727,-22603.591716435934,-399.48383783498184
obi,1,30.0,1,7,31018.0,15400.0,-46575.42916151119,-10534.282622360992,6763.913853403601,-56928.18719482258,-48876.71015687912,-666.0008249678565
obi,1,60.0,1,7,31014.0,19483.0,-65620.72453305466,-9577.572253533763,8154.927909754025,-79227.86729259993,-68695.15155821001,-859.8492039371306
obi,1,0.1,1,8,30855.0,332.0,-104.4521427147262,-931.4254770903754,2426.304008221559,-276.5501192951625,-251.90056932395063,-122.17382530883114
obi,1,0.5,1,8,30855.0,1096.0,-763.4200341192209,-2852.39736189844,6085.842778490524,-1268.0763871431018,-1101.0682903261506,-260.36528779269656
obi,1,1.0,1,8,30855.0,1790.0,-1598.0203993388013,-3715.843682647318,7017.217298391359,-2448.5206327267056,-1994.5633776573416,-266.48061768243633
obi,1,3.0,1,8,30854.0,3674.0,-4660.383739232738,-4610.906982553196,8504.553248181252,-6587.520937966708,-5204.306204832642,-242.01398984930117
obi,1,5.0,1,8,30850.0,5124.0,-7893.594052462409,-4997.715626815654,8936.720700829765,-10741.287323877867,-8593.455135092672,-253.27902071238924
obi,1,10.0,1,8,30846.0,7901.0,-16513.06534332515,-5303.570147638679,9777.734324544354,-21277.89691120108,-17650.55952569147,-380.45096148533014
obi,1,30.0,1,8,30832.0,14169.0,-41619.67163889683,-6047.752845161048,10276.125585258607,-50871.843353725686,-43657.610740894415,-546.1494252906273
obi,1,60.0,1,8,30813.0,18371.0,-60669.08682622788,-7046.806140321559,9718.232913571263,-73039.77032375093,-63446.0064750296,-728.7650109568224
obi,1,0.1,1,9,293303.0,3029.0,247.54382037552293,-4346.550509097665,15528.15070808072,-1744.9992057222023,-346.61831263950825,-308.009755332792
obi,1,0.5,1,9,293303.0,7397.0,-2414.961974777615,-14030.87961239491,43284.347527893275,-6595.18872223683,-4268.171324938689,-1258.9210761693973
obi,1,1.0,1,9,293298.0,11763.0,-6425.603674485583,-18801.365752804784,54061.36077765904,-13041.67177440522,-8815.77671883064,-1440.917752490805
obi,1,3.0,1,9,293290.0,25802.0,-22793.235687299388,-27871.506853512597,73185.70281420668,-37675.699010519376,-26978.78339920523,-2024.4839287657614
obi,1,5.0,1,9,293277.0,37106.0,-40047.99944540731,-32465.79293744044,82405.34458724734,-62046.622816663075,-45629.59211953801,-2370.3562373987274
obi,1,10.0,1,9,293256.0,59412.0,-85402.58789452555,-39072.295731097656,93309.28881261888,-122044.44594173414,-93741.70344200841,-2929.649110931915
obi,1,30.0,1,9,293158.0,110108.0,-231002.4129965697,-52193.93065361035,98412.30569532001,-303076.1972140693,-247594.89698740825,-5727.320036436973
obi,1,60.0,1,9,293050.0,149590.0,-361342.8536403364,-46738.49430130583,111902.12745760086,-462418.7922713323,-383821.2567633174,-6953.144049503718
obi,1,0.1,2,0,76676.0,3544.0,-180.59693320941855,-3078.721543827775,11196.027099936198,-2761.9083025808327,-727.1882033702503,290.8973683481264
obi,1,0.5,2,0,76676.0,11575.0,-4017.9078736488414,-8634.93661409603,22282.434867001008,-11786.612983591747,-6850.299410851759,-336.1137689764159
obi,1,1.0,2,0,76673.0,18354.0,-10493.141672785285,-11097.73717476347,23606.747786555727,-22873.567428088747,-14919.036858665508,-430.5187703899449
obi,1,3.0,2,0,76671.0,30111.0,-32101.7580190082,-14750.47097184261,23279.28661447678,-52928.96572031671,-39203.539492622156,-334.2906362334029
obi,1,5.0,2,0,76666.0,36332.0,-48829.91212456394,-16018.952035835415,23315.410382814443,-74801.77060080026,-57449.28159594705,-130.82209744855967
obi,1,10.0,2,0,76658.0,44975.0,-76351.08286947614,-19229.223638960048,20778.382121103714,-109699.13564710182,-87938.89474166022,-591.2574124851044
obi,1,30.0,2,0,76646.0,57264.0,-112808.80054317885,-14202.17226164162,27456.164324522786,-157875.1469558334,-128519.7049625648,-514.6926863989695
obi,1,60.0,2,0,76602.0,62600.0,-134006.27519525398,-15649.498118106081,25729.023356072194,-184850.99751986147,-152670.70172678013,-1048.8875730762531
obi,1,0.1,2,1,82384.0,2249.0,-294.94627248577956,-3042.225731921456,8913.575808383737,-1664.5670542743571,-913.7223180812624,-189.9805265702437
obi,1,0.5,2,1,82384.0,7991.0,-3900.2240391645814,-9561.997706975457,18628.05999027763,-8669.259142893752,-6068.397152918134,-679.2026764486092
obi,1,1.0,2,1,82384.0,13396.0,-9228.76306902674,-12854.549699371844,19535.634500614997,-17396.790868675354,-12657.354451552808,-856.490755228192
obi,1,3.0,2,1,82380.0,24599.0,-28550.73020803447,-17711.1466996436,19556.36459746474,-44638.27387818582,-34643.01841245322,-970.0364477033038
obi,1,5.0,2,1,82379.0,31133.0,-45945.03272443595,-19886.328525656187,18630.219924344226,-67187.39339143281,-53875.94399317342,-1091.6837420707636
obi,1,10.0,2,1,82377.0,40883.0,-78296.336106481,-23127.988518604747,17058.269217102952,-107472.87993080734,-88780.63980993428,-992.4229538029382
obi,1,30.0,2,1,82354.0,56855.0,-140504.46067283468,-32513.016803605635,9425.596448489534,-183649.6803118088,-156339.9300609737,-1526.0069784701986
obi,1,60.0,2,1,82316.0,64132.0,-170838.39190771815,-36427.09887594933,6301.930746265433,-221063.10437648752,-189473.76725418965,-1623.643487732701
obi,1,0.1,2,2,72844.0,1576.0,-322.93171896892494,-2527.67898310741,6780.90204351232,-1259.221485279456,-893.9455234713289,-272.49700592901337
obi,1,0.5,2,2,72844.0,5775.0,-3017.358923116196,-8166.065080335086,14681.978664454164,-6222.448237050282,-4871.1062694976,-843.3885695852438
obi,1,1.0,2,2,72844.0,9678.0,-7272.857406597944,-10895.150403389916,15386.400307015017,-12777.642328636042,-9791.605911640305,-787.059964452759
obi,1,3.0,2,2,72841.0,18167.0,-21879.72383624833,-13983.484308826282,17019.80098564098,-33011.25374198096,-26083.494619134333,-653.8186821295258
