feat,side,h,s_dec,q_dec,n,n_fill,sum_pnl,sum_ret,sum_retc,sum_ret_fill,sum_retc_fill,sum_mm
obi,1,0.1,0,0,249036.0,23217.0,-10096.454100957622,-35294.77153550776,5099.8317635751455,-23558.65018508866,-19378.84164184831,-8981.160634735917
obi,1,0.5,0,0,249036.0,64337.0,-60694.76441205267,-108615.38165882301,-2750.817497378474,-96330.18352976133,-74992.97483913471,-13448.628143386337
obi,1,1.0,0,0,249033.0,90239.0,-103870.79157482788,-140321.0116316095,-11096.061463384725,-156029.14878555085,-114112.01807352711,-8909.49937002586
obi,1,3.0,0,0,249027.0,131090.0,-190756.30511850334,-178046.348645951,-31291.765055522752,-270358.7103258013,-199424.0433895076,-6415.304390124025
obi,1,5.0,0,0,249021.0,150740.0,-246911.0767667219,-194580.24945125167,-42102.61358152522,-341859.67537757393,-256615.81540570923,-6837.779928090943
obi,1,10.0,0,0,248998.0,175582.0,-329653.6873567249,-214456.4645731765,-58109.88650449196,-444462.16924285004,-341038.37429709063,-7533.091837184625
obi,1,30.0,0,0,248943.0,207056.0,-431009.4867859875,-222968.17048860886,-60752.47462989999,-573202.0274057267,-444572.9632320144,-7215.570257705876
obi,1,60.0,0,0,248869.0,219652.0,-480415.0088900033,-232964.44514277278,-69209.62545242108,-636030.8396818582,-496495.2278119254,-6840.899763269591
obi,1,0.1,0,1,100017.0,5718.0,-2504.1955598592695,-10095.0480832233,2709.269548816371,-5278.777724974074,-5255.271578719778,-2671.4103276377623
obi,1,0.5,0,1,100017.0,17192.0,-15285.190356302783,-31340.32553265512,4077.494473379654,-23102.556798937123,-19652.55257045827,-4123.057622723101
obi,1,1.0,0,1,100016.0,25293.0,-26322.70478554368,-40284.38829111458,3504.3219538374847,-38627.94026486047,-29810.466809238544,-3079.6789357830266
obi,1,3.0,0,1,100014.0,40577.0,-54504.4055489945,-52991.121724635756,-1863.6125025138917,-75959.31709713377,-58281.82194381111,-3014.714238371106
obi,1,5.0,0,1,100012.0,48786.0,-75536.78654455602,-57090.08261367519,-3448.9495872818757,-102872.24455143102,-79866.71032113442,-3321.0352687489935
obi,1,10.0,0,1,100009.0,60135.0,-110661.7698903906,-64480.16656083914,-7663.190767987555,-146345.1907895157,-115417.4468399311,-3345.2211786704015
obi,1,30.0,0,1,99992.0,76709.0,-167147.02342618548,-70681.1830521047,-10928.702369511906,-216037.94820860447,-173132.54516858337,-3693.4904368783887
obi,1,60.0,0,1,99969.0,83661.0,-196181.5355239069,-75893.6812034962,-14264.54943326553,-251274.7185333756,-202351.42551478982,-3040.3593942216935
obi,1,0.1,0,2,63192.0,3162.0,-1315.00746896542,-5646.74615087889,1994.2272277210097,-2831.0315298071664,-2823.2862326365193,-1461.2335972389797
obi,1,0.5,0,2,63192.0,8977.0,-7673.343749456156,-16946.482544733524,3883.103904241581,-11669.035890486293,-10117.161776486266,-2313.503755924362
obi,1,1.0,0,2,63192.0,13290.0,-13522.108725943122,-22433.780728925496,3484.456057033688,-19672.78457698027,-15775.310262856308,-2042.2786772301106
obi,1,3.0,0,2,63190.0,21976.0,-28733.42211612626,-29423.64652222588,1586.0717454849319,-40165.35994883763,-31152.304052593772,-2000.3197914290909
obi,1,5.0,0,2,63189.0,26940.0,-40654.66817619132,-31960.049602656454,1051.0415333711303,-55492.093390991526,-43179.538237398694,-1959.769171556163
obi,1,10.0,0,2,63188.0,34492.0,-62293.25961663134,-37049.75567890486,-1523.869445029854,-82742.28630502718,-65417.40224957681,-2286.017364732187
obi,1,30.0,0,2,63173.0,46115.0,-99826.64897679337,-42099.443159029506,-3903.6426421055685,-129326.8785893414,-103488.403741476,-2264.9944370685303
obi,1,60.0,0,2,63157.0,51238.0,-117260.28659756754,-42967.0776323979,-3986.0669374898202,-151212.96654278913,-121207.95895553533,-2069.6816019100875
obi,1,0.1,0,3,46282.0,1918.0,-870.8701012078249,-3477.857648820128,1582.7275452765214,-1781.0116130997142,-1799.8837523209766,-899.748119754955
obi,1,0.5,0,3,46282.0,5525.0,-5026.6500970238185,-10792.260219950827,3573.5720542210897,-7403.101218627482,-6662.378657339058,-1553.872930299862
