dt,n_trade,n_row,vol,notional,px_open,px_close,px_min,px_max,px_med,sz_med,sz_p99,n_taker,buy_vol,sell_vol,n_liq,n_maker
2026-05-04,9163,9163,22097.343,7813657.39773,365.28,343.55,338.96,366.73,350.93,0.227,34.4,518,7489.9400000000005,14607.403,26,215
2026-05-05,20815,20815,122965.702,44802109.64973,343.55,414.46,336.73,415.24,356.33,0.871,83.9,1074,72283.118,50682.584,168,407
2026-05-06,35597,35924,87229.255,36314570.81156,415.1,415.33,402.86,432.86,415.71,0.487,29.195,1272,37998.302,49230.953,67,383
2026-05-07,17825,18025,42876.611,17682520.85569,415.28,408.01,401.23,427.02,415.23,0.385,28.686,680,21057.608,21819.003,5,236
2026-05-08,17990,17990,64494.495,28385667.83716,408.1,461.5,408.1,463.28,441.45,1.017,44.861,793,25983.054,38511.441,66,250
2026-05-09,3961,3961,3131.113,1443123.19794,461.5,461.35,459.44,465.42,460.75,0.14,11.481,323,1618.578,1512.535,0,115
2026-05-10,8220,8220,6394.925,2956916.31108,461.22,458.04,452.61,469.58,464.69,0.07,11.836,388,3230.946,3163.979,26,174
2026-05-11,21828,21828,45482.89,20977169.18676,458.67,458.57,451.14,473.29,462.24,0.35,25.906,559,21043.702,24439.188000000002,27,203
2026-05-12,16384,16539,40638.08,18081267.92302,458.57,444.84,426.46,459.02,446.43,0.734,29.245,696,18055.545,22582.535,121,230
2026-05-13,18681,18681,33041.051,14860717.55972,445.08,446.44,433.26,464.59,449.84,0.434,19.314,514,17099.625,15941.426,12,188
2026-05-14,12382,12399,35453.168,15726460.46652,446.88,447.81,433.87,453.51,445.46,0.48,34.5,412,15065.413,20387.755,0,164
2026-05-15,14982,15179,34983.908,15149894.82729,447.93,420.41,419.86,448.12,433.34,0.455,28.506,451,15308.934,19674.974,15,191
2026-05-16,3475,3475,3110.878,1302469.34106,420.26,418.16,417.03,420.52,418.69,0.125,14.6,264,1380.7069999999999,1730.171,2,153
2026-05-17,5375,5375,3913.27,1647082.04121,418.18,419.16,417.0,422.79,420.48,0.124,8.822,242,2263.191,1650.079,0,137
2026-05-18,16991,17214,49897.897,20829910.85818,419.72,422.86,410.62,429.58,417.5,0.486,31.8,462,22173.400999999998,27724.496,36,193
2026-05-19,12982,13031,30856.017,12706723.84527,422.82,417.07,393.65,428.38,415.28,0.45,30.0,458,15570.249,15285.768,97,180
2026-05-20,14977,15319,30463.57,13278342.48286,416.86,439.87,409.59,449.27,443.45,0.33,24.885,483,15481.397,14982.173,16,175
2026-05-21,15496,15496,43729.295,19363351.76048,443.94,452.1,432.0,452.35,443.63,0.451,29.9,495,20419.507,23309.788,0,173
2026-05-22,15968,15968,47224.665,22034591.04064,452.19,462.41,450.36,481.06,467.65,0.486,36.391,608,22489.26,24735.405,64,207
2026-05-23,9187,9187,10532.118,4913762.14698,462.23,478.63,458.31,479.83,463.78,0.18,13.999,320,6058.473,4473.645,0,111
2026-05-24,6955,6955,5571.81,2651357.08823,478.87,474.09,470.65,482.06,475.98,0.19,10.0,266,2093.276,3478.534,0,99
2026-05-25,1849,1849,2078.343,993148.68948,473.55,478.81,472.93,480.77,478.01,0.386,9.876,208,1086.162,992.181,0,72
2026-05-26,17689,17796,39281.951,19295029.00132,478.09,508.2,473.84,509.8,491.71,0.418,21.143,605,20154.957,19126.994,1,193
