dt,OBI,OFI,empty
2026-05-04,0.9484041195505535,-0.22909297317911093,0.8540208333333333
2026-05-05,0.9198337972118305,-0.19280126482451712,0.7792430555555555
2026-05-06,0.8904272623256935,-0.18293433222008504,0.6809097222222222
2026-05-07,0.9212465468344878,-0.24063761427660513,0.7786875
2026-05-08,0.9120385353640947,-0.17456910400082687,0.7689166666666667
2026-05-09,0.9908793900501117,-0.1276132653562776,0.9622638888888889
2026-05-10,0.9774765743812183,-0.1817480202303453,0.9392175925925926
2026-05-11,0.881652436054652,-0.2678329414844744,0.7315046296296296
2026-05-12,0.8689591160055097,-0.2309658855947001,0.7174189814814815
2026-05-13,0.9038925823963843,-0.26241476097346056,0.7362615740740741
2026-05-14,0.926091229884286,-0.22964117202194567,0.794212962962963
2026-05-15,0.9076731461653068,-0.22842778833796973,0.7694398148148148
2026-05-16,0.9888505747480084,-0.04730224693127824,0.9521064814814815
2026-05-17,0.9811248202410783,-0.12015356775336929,0.9397916666666667
2026-05-18,0.926713545228603,-0.07553125383720027,0.8126111111111111
2026-05-19,0.9123660155885225,-0.08212483303711764,0.7896342592592592
2026-05-20,0.9131666344301869,-0.11142893274065556,0.7821527777777778
2026-05-21,0.9064319419926528,-0.08827490904163986,0.7579537037037037
2026-05-22,0.9051183628855949,-0.012313366654709891,0.7609189814814815
2026-05-23,0.9778442493020102,-0.0393084628478961,0.9291967592592593
2026-05-24,0.9802737129319814,-0.012074343406053265,0.9338611111111111
2026-05-25,0.9801972228254561,-0.08995478404019573,0.9429305555555556
2026-05-26,0.9139754125271253,-0.12423106194278717,0.7769421296296296
2026-05-27,0.903909623505939,-0.10428470876644212,0.7562569444444445
2026-05-28,0.8986806297457244,-0.11013825109773388,0.7421412037037037
2026-05-29,0.9252412367417449,-0.11603134830010824,0.8044282407407407
2026-05-30,0.9751797591313118,-0.0476760008067279,0.9325949074074074
2026-05-31,0.9644587316099898,-0.20821131707684576,0.9137800925925926
2026-06-01,0.9080023935923396,-0.10507807034580231,0.7585046296296296
2026-06-02,0.9240355664747164,-0.14498065379011316,0.7965185185185185
2026-06-03,0.9076703573298748,-0.05555976401105777,0.7543356481481481
2026-06-04,0.9138382130136824,-0.12977800511361193,0.7602453703703703
2026-06-05,0.8573827991232212,0.0027366753445901624,0.6826226851851852
2026-06-06,0.9263692563173056,-0.0179625504526007,0.820787037037037
2026-06-07,0.9460818864672005,-0.015042543990216662,0.858400462962963
2026-06-08,0.8345519228742585,-0.013723181732110132,0.6371226851851852
2026-06-09,0.80216525566002,-0.034605744232150515,0.6378611111111111
2026-06-10,0.7586040549597196,0.04139869908697897,0.5461018518518519
2026-06-11,0.794437527681539,0.02766358334154929,0.5919652777777777
2026-06-12,0.816783424097556,-0.008471040234196049,0.6300185185185185
2026-06-13,0.9652724093519687,-0.017158387546069135,0.9231041666666666
2026-06-14,0.9465950516318841,-0.10235973406387507,0.8816435185185185
2026-06-15,0.8627396772866701,-0.005562756664598102,0.721113425925926
2026-06-16,0.8690973239739371,-0.035548444684864004,0.7193425925925926
2026-06-17,0.8322227257895899,0.02214027123311038,0.6800046296296296
2026-06-18,0.8636167977844843,-0.00043051336107444247,0.7000648148148149
2026-06-19,0.93967915976137,0.00808263868525146,0.8641296296296296
2026-06-20,0.969437856151257,-0.004496418063439268,0.9314606481481481
2026-06-21,0.971552680068708,0.01273471756648619,0.931050925925926
2026-06-22,0.8787736284950562,0.05833043709211414,0.7187824074074074
2026-06-23,0.8653662833683502,0.07165824771909464,0.7007337962962963
2026-06-24,0.8926000703521878,0.061785629237206964,0.7556643518518519
