feat,side,h,s_dec,q_dec,n,n_fill,sum_as,sum_as2,sum_hs,sum_hs_post,sum_imp,sum_edge,sum_sprT,sum_wait,p_fill,AS,half_spread,half_spread_post,impact,edge,wait_s,core,core_realized,EV,EV_realized,core_daily,core_se,n_day,core_t
obi,1,0.1,0,0,249036.0,23254.0,-25376.973527481212,73456.08573254645,13423.654054893863,31707.11392771203,-18153.746624372383,13172.304470174246,176802.02467713392,1106.668,0.09337605807995632,-1.091294982690342,0.5772621508081991,1.3635122528473393,-0.780671997263799,0.5664532755729873,0.04759043605401221,-0.6020328318821428,-0.6128417071173546,-0.05621545267586755,-0.057224742837609685,-0.4166008488756848,0.1425442945326121,97,-2.9226062694524226
obi,1,0.5,0,0,249036.0,64408.0,-96070.98500915804,507724.5212127638,32894.800248184845,85058.85570536499,-51796.9254605603,26716.395210789255,176802.02467713392,12192.86,0.25862927448240414,-1.4916001895596516,0.5107253795830463,1.3206256319923766,-0.8042001841473155,0.41479932944338055,0.18930660787479817,-1.0688748099766052,-1.1648008601162712,-0.276442316616767,-0.3012516013683515,,,,
obi,1,1.0,0,0,249036.0,90239.0,-140004.55122643363,1300615.7997233053,45818.58012848829,115619.23089116567,-69198.23106403444,27386.412956872522,176802.02467713392,30870.060999999987,0.3623532340705761,-1.551486067292785,0.5077469844356464,1.2812556753860933,-0.7668328667653058,0.3034875492511278,0.34209223284832485,-1.1317390828571385,-1.3359985180416571,-0.4100893167973519,-0.4841033837258914,-0.9158584947188266,0.09475417994570695,97,-9.665626310560684
obi,1,3.0,0,0,249036.0,131087.0,-204064.98506101684,3939806.3368357504,68777.98984223662,161463.6465328918,-91461.08211933624,4574.522263760065,176802.02467713392,104633.22500000002,0.5263777124592428,-1.5567141292501685,0.5246743753555778,1.2317289016675323,-0.6977128328464015,0.03489684151563515,0.7981968082265978,-1.1200397538945905,-1.6098172877345334,-0.5895639635184479,-0.8473719413950463,,,,
obi,1,5.0,0,0,249036.0,150738.0,-234773.11814166667,7141711.985961958,81449.0715816946,183865.4826969115,-100967.59213490984,-19036.68516900103,176802.02467713392,180346.44700000001,0.605285982749482,-1.5574912639259288,0.5403353605706233,1.2197686230208142,-0.6698217578507731,-0.1262898882100136,1.1964232443046876,-1.1051559033553056,-1.7717811521359423,-0.6689353770538077,-1.0724342958876132,,,,
obi,1,10.0,0,0,249036.0,175575.0,-283443.411646617,14968589.779897438,97754.61876960994,211738.16735117842,-112251.25635323387,-56110.52884896056,176802.02467713392,356835.0289999999,0.7050185515347178,-1.6143722719442801,0.556768439525046,1.2059699122949077,-0.6393350781901402,-0.31958153979188697,2.032379490246333,-1.1456038324192341,-2.021953811736167,-0.8076719545648301,-1.425514947620334,-0.920872993622214,0.08682080620492032,97,-10.606593440847664
obi,1,30.0,0,0,249036.0,207048.0,-332279.16119279654,50005977.650245436,119708.08535331163,247554.17695048996,-125729.36366843937,-106973.85787142024,176802.02467713392,914580.9910000005,0.8313978701874428,-1.6048412020053153,0.5781658617968376,1.1956366492334625,-0.6072474192865392,-0.5166621163760106,4.417241369151117,-1.1146753402084777,-2.209503318381326,-0.9267387037997916,-1.8369763530743217,,,,
obi,1,60.0,0,0,249036.0,219639.0,-359698.8594373022,103372210.48145801,129136.20338978851,262397.89927029685,-131038.6575073279,-128609.78312822964,176802.02467713392,1455037.8060000003,0.8819568255192021,-1.637682103075056,0.587947511096793,1.1946780820814922,-0.5966092429273849,-0.5855507588735591,6.624678704601643,-1.1377345919782629,-2.311232861948615,-1.0034327890245334,-2.0384075979598606,,,,
obi,1,0.1,0,1,100017.0,5741.0,-5838.186235056494,14611.815157274581,2774.6616655955904,6986.833326506561,-4185.648571225166,2739.231665676029,67895.27475700805,273.75500000000005,0.05740024195886699,-1.0169284506281997,0.48330633436606696,1.2170063275573177,-0.7290800507272541,0.47713493566905224,0.04768420135864833,-0.6216221162621327,-0.6277935149591475,-0.03568125988042936,-0.03603549965886265,-0.44761076305030106,0.12453039356250384,96,-3.5943896927109438
obi,1,0.5,0,1,100017.0,17225.0,-23055.094900080134,98362.1141508006,7557.58310071508,20423.546082427325,-12811.652142571002,5882.456020664627,67895.27475700805,3393.1839999999997,0.17222072247717887,-1.3384670479001528,0.4387566386481904,1.185692080257029,-0.7437824175658057,0.3415068807352469,0.19699181422351233,-0.9877104092519624,-1.084960167164906,-0.170104200279603,-0.1868526238481009,,,,
