dt,n_full,lots_full,ev_full,n_live,lots_live,ev_live
2026-07-02,6563,126,-0.01687345840036869,10212,213,-0.06723528355360031
2026-07-03,9512,267,-0.6276991963386536,5185,63,-0.28397130966186523
2026-07-04,1831,52,-1.3357690572738647,2703,65,-1.1341350078582764
2026-07-05,2606,167,-0.007906148210167885,3012,113,0.04704941809177399
2026-07-06,6773,138,1.0900657176971436,5782,94,1.5672425031661987
2026-07-07,11009,138,0.4023609161376953,11260,111,-0.12484317272901535
2026-07-08,11223,91,-0.6557134389877319,11984,77,-0.17024317383766174
2026-07-09,7571,100,0.192227303981781,7583,76,0.42136773467063904
2026-07-10,8158,73,0.3820858299732208,6474,36,0.07148154824972153
2026-07-11,8681,98,-0.26684296131134033,4784,31,0.39481788873672485
2026-07-12,7643,101,-0.20503544807434082,4580,42,-0.20280638337135315
2026-07-13,7934,46,-0.2596484124660492,7076,32,0.48995932936668396
2026-07-14,8977,61,0.4018910229206085,7270,41,1.6214420795440674
2026-07-15,10975,67,-0.4009830951690674,7866,46,-0.2316480278968811
2026-07-16,7337,43,-0.5821211338043213,9908,64,-0.28112325072288513
2026-07-17,6656,56,0.17574384808540344,9682,66,0.2548724114894867
2026-07-18,13735,56,-0.1457393318414688,9033,22,0.4974900186061859
2026-07-19,16017,96,-0.5248436331748962,11223,50,-0.39163053035736084
2026-07-20,5361,46,-0.21773487329483032,6610,53,-0.3165595531463623
2026-07-21,7107,65,-0.08725471794605255,6036,50,0.21449942886829376
2026-07-22,6399,59,-0.13652634620666504,6981,63,-0.22376659512519836
2026-07-23,3914,23,-0.5618606805801392,6126,46,-0.726925790309906
2026-07-24,4095,36,-0.38935214281082153,6455,44,-0.6365631222724915
2026-07-25,6050,41,-1.314504623413086,6270,27,0.5373189449310303
2026-07-26,6591,29,-0.6641261577606201,6652,20,-0.6377130746841431
2026-07-27,3779,20,1.0500624179840088,6018,34,1.094724416732788
2026-07-28,3128,17,2.375150442123413,7032,51,-0.28173667192459106
2026-07-29,3398,35,1.1735303401947021,9061,100,-0.6219173669815063
2026-07-30,3565,30,0.10685399174690247,6886,49,1.1576999425888062
2026-07-31,4985,38,0.6321451663970947,9170,92,-0.2543174922466278
2026-08-01,3037,25,-0.5646283030509949,4410,30,-0.13372312486171722
2026-08-02,3364,27,0.5226231217384338,5755,47,-0.16544760763645172
2026-08-03,4542,21,0.936394214630127,7535,44,-0.7740100622177124
2026-08-04,3857,27,-1.0487061738967896,6544,50,-0.34326279163360596
2026-08-05,4548,29,0.47282737493515015,6528,47,0.07558909803628922
2026-08-06,2792,12,-1.2372664213180542,4559,25,-0.8228293061256409
2026-08-07,2407,10,0.7929605841636658,3880,19,-0.3332992196083069
2026-08-08,1386,25,-0.8888027667999268,1309,5,-0.9942883253097534
2026-08-09,1221,25,-0.4715295135974884,1140,8,-0.7463035583496094
