label,model,quotes,reject,stale,alone,behind,fills,fill_rate,full_fill,partial,cxpend,days,t_fill_med_s,t_fill_p90_s,fq_per_quote,imp_bp,imp_pre_bp,spr0_bp,imp_live_bp,spr_fill_bp,mk0.25,dr0.25,mk0.5,dr0.5,mk1,dr1,mk2,dr2,mk5,dr5,mk10,dr10,mk30,dr30,mk60,dr60,mk300,dr300,net_usd,notional_usd,net_bp,ev_per_quote_usd,fee_usd,pnl_per_day_usd,ci_lo,ci_hi,pos_days,n_days,sign_p,max_day_share
main_Std_mk0,Q2,117607,1330,0,11168,32536,1542,0.013111464453646467,1160,382,355,20,0.5711908,1.19835302,0.0036608690564177574,-0.59690259273997,-0.59690259273997,1.099704812112533,0.5906298525467609,0.9697258118749259,-1.0215176173612306,-0.42461502462126044,-1.1612649163223443,-0.5643623235823741,-1.262926094966006,-0.666023502226036,-1.3017592163582477,-0.7048566236182775,-1.5415137600003204,-0.9446111672603502,-1.723031668457395,-1.1255289750909658,-1.554996453565639,-0.9574937601992102,-2.123360011067464,-1.5258573177010355,-1.916834628937228,-1.3186433004602862,-36.675420543399284,127616.82653591855,-2.873870283326373,-0.0003118472586104508,0.0,-1.8337710271699639,-3.3204999584009527,-0.3898730656211317,4,20,0.9987115859985352,0.1879811091046153
main_Std_mk0,Q3,116907,1330,0,11121,32335,1615,0.01381439947992849,1192,423,382,20,0.5773558,1.20246526,0.0037757285955253876,-0.5071639543764075,-0.5071639543764075,1.099704812112533,0.6013590722009405,0.9029141554354841,-0.9042879723084202,-0.39712401793201274,-0.9879523014615788,-0.4807883470851711,-1.0471050853168242,-0.5399411309404167,-1.0327721215037942,-0.5256081671273867,-1.212015634251063,-0.7048516798746556,-1.361915607617397,-0.8542342948599426,-1.2888362501591437,-0.7811549374016894,-1.649862962242929,-1.1421816494854746,-1.4058793166100136,-0.8975962204120255,-30.57592705219534,132316.47430207947,-2.3108178489089934,-0.0002615406010948475,0.0,-1.528796352609767,-2.935346218255694,-0.16509989428181496,4,20,0.9987115859985352,0.20460023032449715
pl_cadence,Q1,291369,7169,0,44073,82676,2647,0.009084700156845787,1800,847,590,21,0.5583263,1.21143068,0.0021998019974198133,-0.47151233377110663,-0.47151233377110663,1.1177874582839185,0.28136868086002204,0.9866685894058531,-0.7280493570931363,-0.25653702332202966,-0.8240352317916909,-0.35252289802058434,-0.8706542855293983,-0.39914195175829165,-0.8711350004856377,-0.3996226667145312,-0.9595118464298352,-0.48799951265872854,-0.9662943307454662,-0.49478199697435954,-1.009971085965696,-0.5384587521945894,-1.2851931958419702,-0.8136808620708638,-1.8308052610889092,-1.359029961789636,-48.278981534811145,202650.1523092782,-2.3823807179344874,-0.00016569704235801043,0.0,-2.298999120705293,-3.6724096321719677,-1.1697506217665166,3,21,0.9998893737792969,0.23503182224987348
pl_cadence,Q2,289533,7169,0,43760,82150,3028,0.010458220651877334,2068,960,682,21,0.5703071,1.20528129,0.002591285572980357,-0.36166108062169294,-0.36166108062169294,1.1177874582839185,0.31204761565095346,0.9201322039846225,-0.6270591566783088,-0.26539807605661586,-0.715003728904477,-0.35334264828278406,-0.7790245335912245,-0.4173634529695315,-0.7766526879099784,-0.4149916072882855,-0.8688623509078144,-0.5072012702861215,-0.8853523613241792,-0.5236912807024862,-0.9034539596511918,-0.5417928790294987,-1.0122961860051112,-0.6506351053834183,-1.637606003476559,-1.2757513465303265,-49.823743816508156,235279.0345628842,-2.1176448598182054,-0.0001720831263327778,0.0,-2.372559229357531,-3.7362781999252888,-1.1753361697123192,3,21,0.9998893737792969,0.1905086007237033
pl_cadence,Q3,289304,7169,0,43730,82062,3077,0.0106358709177889,2119,958,697,21,0.5719811,1.20543166,0.002623277263289123,-0.3588172879693782,-0.3588172879693782,1.1177874582839185,0.317788692586133,0.9056763914748958,-0.6238602289331727,-0.26504294096379455,-0.7068819372655528,-0.3480646492961746,-0.77223274672262,-0.4134154587532418,-0.7729703615003638,-0.4141530735309855,-0.8619561339396399,-0.5031388459702616,-0.8789398197003067,-0.5201225317309285,-0.8878816299659196,-0.5290643419965413,-0.9960629698058275,-0.6372456818364494,-1.6163891362204699,-1.2573822800645738,-50.625984701846384,239880.7439166692,-2.1104647198956936,-0.00017499234266324138,0.0,-2.4107611762783994,-3.7923186642164524,-1.185842019816563,3,21,0.9998893737792969,0.17899301454281333
pl_flip,Q1,94506,13179,0,13340,26694,3439,0.036389223964616,1651,1788,664,20,0.4886585,1.1996130999999999,0.006207069680878569,-1.3393233487421004,-1.3393233487421004,1.099704812112533,0.1702790068227556,0.10654336048403612,-2.123518578956748,-0.7841952302146479,-2.1802996770174,-0.8409763282752997,-2.219941275472963,-0.8806179267308627,-2.296378348625657,-0.9570549998835565,-2.493467439184879,-1.1541440904427784,-2.5839033987933444,-1.2445800500512436,-2.4447357844473414,-1.1054124357052415,-2.5033922692907415,-1.1640689205486414,-1.8059783083127632,-0.46665495957066255,-47.68711797946561,186546.95641274506,-2.556306406519725,-0.0005045935493986161,0.0,-2.38435589897328,-3.967206813380964,-0.9832998581870206,3,20,0.9997987747192383,0.22837093140983247
pl_flip,Q2,89623,13179,0,12883,25618,3901,0.043526773261328006,2339,1562,774,20,0.4915303,1.1992515,0.010347166958418131,-0.8962326279254862,-0.8962326279254862,1.099704812112533,0.1928086636852359,0.10506353717401049,-1.781952755892883,-0.8857201279673966,-1.9267233901768317,-1.0304907622513453,-2.0291483151354295,-1.1329156872099428,-2.1698060661469687,-1.2735734382214825,-2.3644659555309544,-1.4682333276054673,-2.4454510693827047,-1.5492184414572183,-2.312613715728354,-1.4163810878028675,-2.387599820535437,-1.4913671926099505,-1.6984548595927624,-0.8022222316672764,-77.02454075850846,261522.87151905618,-2.9452315321834472,-0.000859428280223921,0.0,-3.8512270379254234,-5.622033879627963,-2.1803096421883383,1,20,0.9999990463256836,0.16278372310099087
pl_flip,Q3,89444,13179,0,12876,25569,3914,0.04375922364831626,2368,1546,771,20,0.49151585,1.19959636,0.010454035364564943,-0.8831055289624924,-0.8831055289624924,1.099704812112533,0.19603034205602757,0.1053413352442486,-1.7590775359533202,-0.8759720069908278,-1.9079794099304033,-1.0248738809679105,-2.010755021701132,-1.1276494927386398,-2.1624002626605914,-1.2792947336980993,-2.3513017148183315,-1.4681961858558388,-2.42614511469927,-1.5430395857367778,-2.308274872071169,-1.4251693431086767,-2.3554398434143464,-1.472334314451854,-1.6969722975413943,-0.8138667685789022,-77.88618907940882,263642.2173787905,-2.9542381282397234,-0.0008707815960758555,0.0,-3.894309453970441,-5.583298614789634,-2.29330767713989,1,20,0.9999990463256836,0.16191736374430563
pl_shift,Q1,125122,3567,0,20606,37314,1117,0.00892728696791931,700,417,261,20,0.5743534,1.22149404,0.002021626925381048,-0.48001199534420697,-0.48001199534420697,1.118677926087325,0.258032651933596,0.9999000099995118,-0.7289636293559901,-0.24895163401178314,-0.8118733205893596,-0.3318613252451526,-0.9054159640166967,-0.42540396867248975,-0.9678497320564768,-0.4878377367122699,-0.9280340209976424,-0.44802202565343546,-0.879705599368161,-0.399693604023954,-1.2221076377860616,-0.7420956424418546,-1.7354635553327178,-1.2554515599885105,-1.4189324510812102,-0.9389204557370031,-29.515431888147774,79725.22428227117,-3.7021447294581327,-0.00023589322331922264,0.0,-1.4757715944073886,-2.6439158583912303,-0.548725833147855,4,20,0.9987115859985352,0.3096713283223207
pl_shift,Q2,123940,3567,0,20397,37010,1234,0.00995643053090205,801,433,292,20,0.5908768,1.22037663,0.0023594888316601226,-0.39761167326458,-0.39761167326458,1.118677926087325,0.27823231476789806,0.9413357944156215,-0.655648029796169,-0.258036356531589,-0.7478093927133501,-0.3501977194487701,-0.8480793859860246,-0.4504677127214445,-0.9107499404018803,-0.5131382671373003,-0.8994571946418946,-0.5018455213773145,-0.8832815403413065,-0.48566986707672644,-1.2941034260053341,-0.8964917527407538,-1.750887092470876,-1.3532754192062961,-1.4404092883863675,-1.042797615121787,-30.999183953283527,91192.12711416036,-3.3993267768035165,-0.0002501144420952358,0.0,-1.5499591976641764,-2.97892064621536,-0.4063640484398007,4,20,0.9987115859985352,0.29508314482965287
pl_shift,Q3,123594,3567,0,20331,36923,1264,0.010227033674773857,815,449,304,20,0.5962785500000001,1.22157897,0.0024025891574158396,-0.3805935123238766,-0.3805935123238766,1.118677926087325,0.2835514150579763,0.9294040794861836,-0.6365934978903245,-0.25599998556644793,-0.725594492806959,-0.3450009804830825,-0.8319214325795102,-0.45132792025563356,-0.8906019253340544,-0.5100084130101779,-0.875774282285312,-0.49518076996143545,-0.8896799613773716,-0.5090864490534949,-1.319116031815239,-0.9385225194913623,-1.7752568440834529,-1.3946633317595765,-1.7406838903421606,-1.3600903780182838,-35.02145555700183,93067.16853648363,-3.763030089743509,-0.00028335886496918806,0.0,-1.7510727778500914,-3.1708580025380697,-0.5759903885321718,4,20,0.9987115859985352,0.26949274128967515
