label,model,quotes,reject,stale,alone,behind,fills,fill_rate,full_fill,partial,cxpend,days,t_fill_med_s,t_fill_p90_s,fq_per_quote,imp_bp,imp_pre_bp,spr0_bp,imp_live_bp,spr_fill_bp,mk0.25,dr0.25,mk0.5,dr0.5,mk1,dr1,mk2,dr2,mk5,dr5,mk10,dr10,mk30,dr30,mk60,dr60,mk300,dr300,net_usd,notional_usd,net_bp,ev_per_quote_usd,fee_usd,pnl_per_day_usd,ci_lo,ci_hi,pos_days,n_days,sign_p,max_day_share
g_p-1_l0.25,Q1,8158,4242,0,2899,4378,100,0.012257906349595489,76,24,48,20,0.24411644999999998,0.5852919800000002,0.0010915052726028244,-0.45821098599675386,-0.45821098599675386,0.5481644736406004,0.35012880497121446,1.7394212676988956,-0.5100573932082068,-0.05184640721145296,-0.585235701060655,-0.12702471506390103,-0.934650572352879,-0.4764395863561253,-0.7291274892607572,-0.27091650326400335,-0.484776664813094,-0.02656567881634011,-0.12182630183190397,0.3363846841648497,2.7805343606983355,3.2387453466950893,2.900109863253421,3.358320849250175,-3.4946741779400954,-3.036463191943343,-3.228932545151326,8474.592517862606,-3.8101330988427295,-0.0003957995274762597,0.0,-0.16144662725756634,-0.7052349122017898,0.340625373329109,8,20,0.8684120178222656,0.20122536745761124
g_p-1_l0.25,Q2,8137,4242,0,2889,4369,102,0.012535332432100282,78,24,50,20,0.24708475000000002,0.58313828,0.0011197861636836478,-0.43030639402073856,-0.43030639402073856,0.5481644736406004,0.3904982241675759,1.8348888028547385,-0.49057780486002445,-0.06027141083928581,-0.5290666499104661,-0.09876025588972748,-0.877814590312752,-0.4475081962920137,-0.7257730737050839,-0.2954666796843455,-0.5355464983946925,-0.10524010437395413,-0.016365337947844165,0.4139410560728942,2.9135590759667345,3.343865469987472,3.3048643044481993,3.7351706984689383,-1.5623129675468845,-1.1320065735261475,-1.3156625451513337,8674.520051862604,-1.5166977968640847,-0.00016168889580328545,0.0,-0.06578312725756671,-0.5837145678955266,0.3999052195601426,9,20,0.7482776641845703,0.2195152041865524
g_p-1_l0.25,Q3,8137,4242,0,2889,4369,102,0.012535332432100282,78,24,50,20,0.24708475000000002,0.58313828,0.0011197861636836478,-0.43030639402073856,-0.43030639402073856,0.5481644736406004,0.3904982241675759,1.8348888028547385,-0.49057780486002445,-0.06027141083928581,-0.5290666499104661,-0.09876025588972748,-0.877814590312752,-0.4475081962920137,-0.7257730737050839,-0.2954666796843455,-0.5355464983946925,-0.10524010437395413,-0.016365337947844165,0.4139410560728942,2.9135590759667345,3.343865469987472,3.3048643044481993,3.7351706984689383,-1.5623129675468845,-1.1320065735261475,-1.3156625451513337,8674.520051862604,-1.5166977968640847,-0.00016168889580328545,0.0,-0.06578312725756671,-0.5837145678955266,0.3999052195601426,9,20,0.7482776641845703,0.2195152041865524
main_Premium,Q1,123086,1330,0,11878,34085,1139,0.009253692540175162,860,279,78,20,0.4372449,0.9493825,0.0025521489672843956,-0.6559619661625867,-0.6559619661625867,1.099704812112533,0.5504126506386382,1.0972732759099266,-1.1093484798507185,-0.4533865136881317,-1.2410739430025892,-0.5851119768400026,-1.371184590339609,-0.7152226241770224,-1.37787661329694,-0.7219146471343532,-1.408404059199696,-0.7524420930371093,-1.490213446754078,-0.8333869687823561,-1.7375614007182216,-1.0807349227465,-2.6490092071315203,-1.9921827291597984,-2.409056176745068,-1.7512448070804745,-58.31365848492793,93873.39079857501,-6.211947601855788,-0.0004737635351293236,29.972282829476587,-2.915682924246397,-4.451151511061777,-1.594990467641425,2,20,0.9999799728393555,0.2094807853119182
main_Premium,Q2,120456,1330,0,11603,33346,1348,0.01119080826193797,995,353,96,20,0.45586865,0.9557848099999999,0.0030757227530927847,-0.49502680215204736,-0.49502680215204736,1.099704812112533,0.5782531153847864,0.9202647617955777,-0.9396638690264054,-0.44463706687435806,-1.0261247228506336,-0.5310979206985864,-1.150221033300573,-0.6551942311485255,-1.1453775854806025,-0.6503507833285553,-1.319977002361962,-0.8249502002099146,-1.4983139472652944,-1.0026762473591377,-1.4344383516022399,-0.9388006516960832,-2.250750688947888,-1.7551129890417314,-2.089161806933852,-1.5928118982039732,-70.90753781566015,110634.65838796305,-6.409161364877936,-0.0005886592433391458,35.334502111392105,-3.5453768907830083,-5.299806170926792,-1.9703350099246029,2,20,0.9999799728393555,0.17873556251007924
main_Premium,Q3,119900,1330,0,11562,33186,1406,0.011726438698915763,1021,385,102,20,0.45754485,0.9599409000000001,0.0031686121992944407,-0.43629237685230465,-0.43629237685230465,1.099704812112533,0.5870778999357444,0.8639319687130036,-0.8551804298243532,-0.4188880529720485,-0.9148759002501192,-0.4785835233978145,-1.011755941027463,-0.5754635641751584,-0.9710072486851307,-0.5347148718328261,-1.1047420346610302,-0.6684496578087255,-1.2894562053525767,-0.8526199531625599,-1.2399571937999967,-0.8031209416099799,-2.052916696914399,-1.616080444724382,-1.9766353450466372,-1.5391581871379496,-73.1065131143157,114500.4451581215,-6.384823483730384,-0.0006097290501610984,36.571663370446025,-3.655325655715785,-5.456085717780966,-2.031381529711324,2,20,0.9999799728393555,0.17203568944129255
main_Standard,Q1,117818,3849,0,13815,43974,1321,0.011212208660815834,953,368,307,20,0.5591524,1.2223013,0.003064916258786132,-0.7242005921558232,-0.7242005921558232,1.099704812112533,0.5856588628945543,1.2829806205780179,-1.032010665242998,-0.3078100730871747,-1.2098371238093208,-0.48563653165349785,-1.3664861408190603,-0.6422855486632368,-1.3421719438063728,-0.6179713516505496,-1.5780349396332236,-0.8538343474774004,-1.716938069743801,-0.9919404676904102,-1.306467493465206,-0.5814698914118153,-1.5836380680889257,-0.8586404660355348,-1.3592837154064545,-0.6342861133530636,-29.031073114019144,105831.61203961374,-2.743138137511554,-0.0002464060934154301,0.0,-1.4515536557009574,-2.707750878381948,-0.2950087636755494,6,20,0.9793052673339844,0.1966766238243626
main_Standard,Q2,115775,3849,0,13587,43287,1486,0.012835240768732456,1075,411,351,20,0.57970435,1.22266145,0.0035427776090010484,-0.6189676086665281,-0.6189676086665281,1.099704812112533,0.5927674078047923,1.1163693604103888,-0.9221101138288177,-0.3031425051622895,-1.0760996972388939,-0.45713208857236565,-1.2348874066719524,-0.6159197980054241,-1.2148356855894487,-0.5958680769229204,-1.4345411282357754,-0.8155735195692473,-1.5255536361131823,-0.9059484381663175,-1.033782537015554,-0.4141773390686893,-1.5155240782103423,-0.8959188802634775,-1.3902289285764997,-0.770623730629635,-31.06258085303558,120087.9108513818,-2.586653446863436,-0.0002683012813909357,0.0,-1.5531290426517788,-3.023580373079316,-0.2794803966707154,6,20,0.9793052673339844,0.23092143066845608
main_Standard,Q3,115331,3849,0,13546,43068,1531,0.01327483504001526,1096,435,372,20,0.5992088,1.2389489,0.003654240405682667,-0.5573648570960716,-0.5573648570960716,1.099704812112533,0.6409405552365889,1.0860239576887536,-0.856843499766619,-0.2994786426705476,-0.9893925030616613,-0.4320276459655898,-1.095217717737055,-0.5378528606409835,-1.081732195434473,-0.5243673383384013,-1.2992243904980583,-0.7418595334019868,-1.3266650113831637,-0.7687215808689684,-0.7535989600543699,-0.19565552954017465,-1.0911733697241786,-0.5332299392099833,-0.9620466962270611,-0.404103265712866,-27.145957042618303,122912.04230056133,-2.208567731405626,-0.00023537433164212834,0.0,-1.3572978521309151,-2.816427422053717,-0.15018999300762823,7,20,0.9423408508300781,0.26663973177879596
main_Std_mk0,Q1,120489,1330,0,11470,33319,1305,0.0108308642282698,996,309,308,20,0.5573772,1.20246526,0.003023203841303267,-0.7752311248474949,-0.7752311248474949,1.099704812112533,0.5755677641112256,1.1020962518993034,-1.2185786936092817,-0.4433475687617867,-1.4367176656224632,-0.6614865407749684,-1.5583135162982305,-0.7830823914507353,-1.5826505532810748,-0.80741942843358,-1.7667718430453714,-0.9915407181978763,-1.8483771988840718,-1.0723001510323742,-1.9062600884931822,-1.1301830406414846,-2.5109012363975847,-1.7348241885458866,-2.0730982542279848,-1.2960702682146024,-28.94128345338552,108091.69607540147,-2.6774751904343295,-0.00024019855300803824,0.0,-1.4470641726692755,-2.962620337429416,-0.14132915106710783,5,20,0.9940910339355469,0.2405881675087985
