coin,n_days,beta5,beta20,beta60,t_beta20,sd_D_bp,edge1sd_20_bp,cover,spread_bp,sd_1min_bp,tick_bp,phi_sma20,phi_rw,rho1_mid,rho1_rw,phi_rth,phi_oth,vr20_rth,vr20_oth,vr20_diff_z
xyz:MU,98,-0.015096875731957666,-0.03464575304260122,-0.0848552710185026,-1.4460876650502572,31.544490145327835,-1.0928826154297961,0.996109693877551,1.071139746523754,14.067553073507419,0.10831243805882448,0.9194691957174618,0.9232120234264726,0.006078960033909213,0.0013748491545489535,0.9121521310394732,0.9200284395524042,0.8362263681270057,0.9135997142200737,-2.2050522358318623
xyz:SNDK,99,-0.03160495839483944,-0.05920700067434616,-0.11850035408779083,-2.2266447649777588,35.66819807274893,-2.111807027345958,0.995861391694725,1.2981112481342603,16.222164883626316,0.6332721170286874,0.9178196360916221,0.9213986498151764,0.01577777410867977,-0.00046883510528498485,0.9125975647027409,0.918490078405587,0.8413989143260199,0.8849841898363074,-1.4564593829268162
xyz:INTC,99,-0.022462634153483103,-0.043777683444694654,-0.07892963485459137,-1.994506259260256,29.562570135027777,-1.29418083718283,0.992368125701459,2.0410245943459557,12.968088508913745,0.8960172035303078,0.9182204446527216,0.921551368529546,0.008613313075344154,-0.002327756050983898,0.9087899397668097,0.9194220784335693,0.8325050208106834,0.9697428307608481,-2.774754342669821
xyz:AMD,99,-0.009596521314829572,-0.02260888394708054,-0.0685673268932679,-1.004735575712848,24.634131643293212,-0.5569502234603206,0.9900112233445567,2.8283927114494523,10.9129279373928,0.19802666429034668,0.9215277208535477,0.9223715545531124,0.019851741644287376,-0.004320075470905632,0.914133935781698,0.9215255742487272,0.8926122039796384,0.9721011998553127,-1.7293546763413756
xyz:SMSN,99,-0.05414088281788304,-0.06529166696104313,-0.11557584751087448,-2.138582711931725,33.1851781488297,-2.1667155997362744,0.938608305274972,3.6921656879018245,17.17368183684259,0.5172770535899028,0.9006881035715139,0.9226329689787296,-0.031761749742346024,-0.0010564632360285584,0.8964827960992903,0.8959765721967703,0.747233045113807,0.8752644665826134,-3.5687455810388165
xyz:DRAM,99,-0.030567042886732763,-0.05411448988703936,-0.08929936304286397,-2.2003666306151604,31.96556035680224,-1.7297999926617211,0.9815516273849607,2.311954603731132,14.196854897189576,1.7360056246582238,0.9174922414753861,0.9200593538426113,0.01605599416552662,-0.009795293398445034,0.91121337346505,0.917189902923196,0.8452892427989094,0.9453421219166064,-2.852385729915503
xyz:KIOXIA,47,-0.006508938186290562,0.014445337234861402,-0.0010508845626373187,0.44541434026201976,47.015530446572974,0.6791551925766405,0.9620124113475177,13.934003492548598,21.28753520740548,0.2631163500499921,0.9225463440979093,0.9224491679735465,0.02870003775135169,-0.0004759905274300457,0.9077815965383823,0.9213992365378403,1.1507710230047907,1.010850606452904,1.0827402514456206
xyz:SKHX,99,-0.05772452012456373,-0.07619222832343653,-0.08915501692738845,-3.2079556813219066,37.83859735804168,-2.883007049342494,0.9757786195286196,2.183723980182797,18.544214733140862,0.7544322897019993,0.9019502272172952,0.9216686469543877,-0.015540220857649972,-0.00028895898371100265,0.8924347497016357,0.9039727036314604,0.7146966712452747,0.8794878526002785,-4.9293180823853255
