dt,side,d1,d2,d3,d4,d5,d6,d7,d8,d9
2026-05-04,1,0.3769841269835174,1.6514127854770602,4.170386904770213,8.733191790513754,14.931972789122298,35.19885701840535,85.07547939616407,215.74089068831628,779.8676004702178
2026-05-04,-1,1.0208812242846779,3.5498556830215264,8.23389021479971,15.574457889062401,35.03700657893731,83.53921568623876,173.99999999620195,491.9538461494011,1549.2727272645293
2026-05-05,1,1.0100279942697237,3.166982609411921,6.971149527930161,12.62319316688622,25.68563172022646,52.44186046552447,119.3322981366028,268.91066012377365,942.241379310463
2026-05-05,-1,1.1239719768518763,3.5711935792452136,7.856897819160666,15.28996576805757,29.463087248074686,60.27718550106929,128.76056943333043,300.00000003809953,970.9882352918374
2026-05-06,1,1.1757812499999554,3.830521466086565,8.36065573769694,16.675461741428965,42.02574266084605,82.48425673164486,154.24667427127187,311.11111111060814,1135.5555555537194
2026-05-06,-1,1.5697865525721277,5.289335993188412,12.097390054349843,26.634889737451978,60.653159157495864,136.1857585139503,308.2354372431139,686.4530663424678,4386.470588280352
2026-05-07,1,0.6283278332359363,2.053956168350973,4.578779730279966,8.748481166460753,15.625642079314868,33.0951761722366,66.66812227066396,140.56678700358802,420.90243902430626
2026-05-07,-1,1.3648004692888058,4.906976744182725,10.970166784118472,25.256410256418505,49.897916667165845,101.66666666675914,192.3404255299497,437.56620392287857,1319.4545454584718
2026-05-08,1,0.6012531328320851,1.8816845712073949,3.8195488721754365,7.035398230088524,12.280701754392235,23.080176454365112,47.137523335408446,111.07038123170592,361.4947368349068
2026-05-08,-1,0.8630697203084573,3.328636734594058,7.91366906474116,17.98710250093248,40.04465395473176,88.38973162194,174.70588235473573,357.4869817117498,1807.3684210304837
2026-05-09,1,0.564726324935141,1.3779462951152914,2.4,3.8402457757305912,6.123222748816116,9.999999999944965,16.387258064501946,33.91250854410614,126.25000000059325
2026-05-09,-1,0.9520159435842201,1.3336992316135263,1.8762679628058263,4.943736565064936,24.996153846167836,76.74559774129095,127.34557963506762,164.61132877353631,530.5882352995678
2026-05-10,1,0.6136842105263297,1.2242990654203734,2.3306862778386077,4.162895927600671,7.815126050440715,15.321861057994674,37.13734567901257,115.17647058941837,504.67561576378534
2026-05-10,-1,0.9719428571428824,2.77974728651521,6.199805510534659,13.789473684210499,39.762321113591646,104.99999999983022,137.8640040747719,272.5540510537162,984.2962056300723
2026-05-11,1,0.403378228029318,1.3187940935260174,3.128666264957247,6.011954309807377,10.708127853794124,21.728142076503598,46.68921824807737,107.88685524083616,305.29268292422876
2026-05-11,-1,0.4700940188037799,1.8811806787098968,4.7435571918240536,10.07117437725862,22.465116279092573,51.2346760071763,121.23784834697278,326.0714286744621,1232.1428575321952
2026-05-12,1,0.2716626460207478,1.157635467972661,3.0825793205527368,6.539157306496692,12.528735632250967,27.264563665709815,63.13953488332207,147.09069457807286,513.9471044179572
2026-05-12,-1,0.3609515996717574,1.4948859166011506,3.982080637132873,8.293936279548163,16.069946650854707,34.47058823269753,82.29634380969223,226.08695651144,866.6666666402423
2026-05-13,1,0.3160099836686824,1.1103468345723437,2.535292422933202,4.954171906483039,8.849999999967803,16.238429408763807,32.889441334877404,76.99502308489896,248.41463414716435
2026-05-13,-1,0.4174888848828098,1.639312856585547,3.8219729890857863,8.063910759302614,16.428571429493545,40.59923444975581,100.266384333916,276.512141279536,865.2897057792015
2026-05-14,1,0.28053392814664424,0.9673208108180763,2.2905044856537184,4.773987907721477,9.31595329123464,18.94252873563456,48.915915919896825,137.19500000449213,464.58199103171347
2026-05-14,-1,0.3836904169608266,1.3449023861169669,3.316658291283573,6.865059111957811,12.955415899600958,28.092244861412517,71.12211875081518,184.41570408638364,649.9268292532424
2026-05-15,1,0.21321502293552874,0.9249126675346002,2.448338379465244,5.506348714773467,10.761178320098594,25.051546391346687,64.93516483522714,173.14850264288825,733.1565238771677
2026-05-15,-1,0.23180108971540525,0.9137842169512659,2.264300726568445,4.912944272000243,9.85480093677554,20.455088804247858,45.827586206758575,116.58838878021166,413.3636363652068
2026-05-16,1,1.0263072697646374,2.687013764212967,5.0000000000016325,7.499999999999776,11.424657534253406,20.824175824199965,37.09424083773449,89.24187725630362,240.8663446055091
2026-05-16,-1,1.4818292789458705,3.809117388065452,7.400722021659482,10.671641791043616,20.309660449650693,44.14285714284949,80.1880244090699,140.47619047494936,326.3079222720008
2026-05-17,1,1.0687744512926878,2.8493150684931905,4.999999999997287,7.115384615383975,9.689922480618721,14.45054945054815,23.789491758218066,45.91590140165429,114.80769230768198
2026-05-17,-1,0.8315365833820981,2.080613121269061,3.81926153546091,6.509683098591737,10.230769230760641,18.279569892473358,34.91736380330011,76.01894102456791,205.98788110483468
2026-05-18,1,0.2469766649634136,1.0107508558102656,2.661870503602218,5.82236692106874,11.929433857628613,28.998450754232156,66.78508876046156,174.80519480261802,623.0277161842107
2026-05-18,-1,0.28108530158112716,1.1391778108055037,2.8247184030085375,5.960363582178461,11.750437798886804,25.784313725295235,54.89795918267896,136.09589041714446,488.4865023460894
2026-05-19,1,0.24668588081190596,0.9533687742211227,2.3142898677136,4.919507267157419,9.96389891703137,20.729166666371306,47.039549037320334,123.0012300131103,425.09090908865966
2026-05-19,-1,0.29941348080921815,1.2865093662573908,3.295903400501486,7.166210894424197,14.000888099464607,29.298903637066058,61.19205397267734,137.8226591378589,475.5710188919695
2026-05-20,1,0.40540540540617986,1.5050441064337985,3.376813958426858,6.865573109243703,12.573219428658149,25.401206110751296,51.342499999999994,127.31584192267016,402.64400000666393
2026-05-20,-1,0.31107775662692855,1.3229772335112107,3.706980181858667,8.409092641275087,19.760495364884775,50.196380316891926,112.19999999959184,326.16838487953754,1296.875000030667
2026-05-21,1,0.37264292128106535,1.2349999999999999,2.7464832716851544,5.528353734703156,10.086956521917825,19.797297297157147,39.70588235334903,93.06461538461538,317.63636363643366
