dt,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-04,45585,40630,1806,1805,3611,1805,-3784.833997665035,1,-2.6631763932842722,3.0939293112689645,-3787.497174058319,1.5574633065632788,3,0.5286624203821656,38.606,-2.096860940534647,0.0033240997229916896,0.01551246537396122,0.07756232686980609,0.16565096952908587,0.41717451523545707,0.6282548476454294
2026-05-05,61126,58328,1567,1564,3131,1564,-3742.6459509313186,3,1.0426325196453434,2.9815704516322286,-3741.603318411673,1.5784094538486106,3,0.5391248802299585,52.302499999999995,-2.3929961323090265,0.0019181585677749361,0.014066496163682864,0.0632992327365729,0.14066496163682865,0.3510230179028133,0.5383631713554987
2026-05-06,61895,69985,2276,2278,4554,2276,-5330.599780664722,2,-31.311914117026316,7.155796673400027,-5361.911694781748,1.6624945103205973,3,0.5812472551602986,48.613,-2.342091292031952,0.004393673110720563,0.018892794376098417,0.08084358523725835,0.1555360281195079,0.35500878734622143,0.5830404217926186
2026-05-07,60044,67621,2123,2126,4249,2123,-2439.824894933688,3,-3.1274100978612926,9.517326197153029,-2442.9523050315493,1.5766062602965403,3,0.5382442927747705,35.675,-1.1492345242268864,0.0051813471502590676,0.018841262364578427,0.10927932171455487,0.19218087611869994,0.45690061234102686,0.6391898257183232
2026-05-08,65627,66799,2414,2414,4828,2414,-2712.517226168388,0,0.0,0.0,-2712.517226168388,1.5994200497100248,3,0.5497100248550124,36.74,-1.1236608227706661,0.005385252692626346,0.016984258492129246,0.11060480530240265,0.20588235294117646,0.44490472245236123,0.6685998342999171
2026-05-09,15417,14348,1744,1741,3485,1741,7145.915205868062,3,-16.665503191803317,12.255837301571638,7129.2497026762585,1.6100430416068867,3,0.5549497847919656,54.443,4.1044889177875135,0.005743825387708214,0.014359563469270534,0.07639287765651924,0.12751292360712235,0.3095921883974727,0.5313038483630098
2026-05-10,15026,18679,1547,1546,3093,1546,-2484.416502969414,1,-4.10378141715506,3.025224724294573,-2488.520284386569,1.6492078887811186,3,0.5745231167151633,43.53,-1.6069964443527933,0.008408796895213453,0.02328589909443726,0.14165588615782665,0.21927554980595085,0.41332470892626133,0.5769728331177232
2026-05-11,86471,96303,5821,5823,11644,5821,-12599.819664911138,2,-1.8679999999999999,1.8171309965718625,-12601.687664911138,1.5867399519065613,3,0.5433699759532806,15.612,-2.1645455531542974,0.011510049819618623,0.04569661570176946,0.2327778732176602,0.37794193437553686,0.6985054114413332,0.8800893317299433
2026-05-12,100580,103567,5507,5504,11011,5504,-17396.34090947006,3,-30.435482135792306,7.744398223513042,-17426.77639160585,1.583144128598674,3,0.5415493597311779,18.241500000000002,-3.160672403610109,0.007085755813953488,0.026526162790697673,0.1660610465116279,0.31413517441860467,0.6693313953488372,0.8640988372093024
2026-05-13,85350,84744,5988,5987,11975,5987,-17521.724896993877,1,-1.5561923569885208,1.4681923569892281,-17523.281089350865,1.5520668058455114,3,0.5260125260960334,16.161,-2.926628511273406,0.007182228161015534,0.027058627025221313,0.1762151327877067,0.34341072323367294,0.7202271588441623,0.8895941205946217
2026-05-14,91965,97431,5169,5166,10335,5166,-7467.482460690316,3,-6.399583658531797,2.9234719910774136,-7473.882044348848,1.5881954523463957,3,0.5440735365263667,18.2225,-1.4455057028049403,0.007355787843592722,0.028455284552845527,0.1767324816105304,0.31997677119628337,0.66221447928765,0.8447541618273325
2026-05-15,119532,115548,5798,5801,11599,5798,-8500.114185282511,3,-4.479391649075847,3.7954106077689707,-8504.593576931587,1.5758255021984653,3,0.5378911975170273,16.2985,-1.466042460379872,0.008796136598827182,0.03690927906174543,0.20645050017247327,0.3549499827526733,0.6947223180407037,0.8721973094170403
2026-05-16,22990,18772,1609,1610,3219,1609,-721.6997123272807,1,-3.3206180919684556,0.9161946497637311,-725.0203304192491,1.645852749301025,3,0.5728487107797453,59.974,-0.44853928671676857,0.01305158483530143,0.024238657551274082,0.09695463020509633,0.14481044126786824,0.32442510876320696,0.507147296457427
2026-05-17,26352,33479,2042,2042,4084,2042,-1948.2282875964556,0,0.0,0.0,-1948.2282875964556,1.6939275220372183,3,0.5969637610186092,51.174,-0.9540784953949344,0.004407443682664055,0.015670910871694418,0.07639569049951028,0.1405484818805093,0.35063663075416257,0.5577864838393731
2026-05-18,118822,114752,5073,5070,10143,5070,-12898.1742739996,3,-14.403668358066913,5.365876587356217,-12912.577942357668,1.59045647244405,3,0.5452035886818496,16.391,-2.5440185944772375,0.007495069033530572,0.03767258382642998,0.19368836291913216,0.36489151873767256,0.6745562130177515,0.854043392504931
2026-05-19,130094,124510,4675,4672,9347,4672,-8833.151199533071,3,-5.209858765900847,3.387976756464928,-8838.361058298971,1.6007275061517063,3,0.5503370065261581,18.799,-1.890657362913759,0.007277397260273972,0.030607876712328768,0.171875,0.3180650684931507,0.644263698630137,0.8311215753424658
2026-05-20,99219,108311,3492,3495,6987,3492,-8693.458009425469,3,-5.421335147786428,2.744660447512314,-8698.879344573255,1.6115643337627021,3,0.5557463861456992,25.219,-2.489535512435697,0.006586483390607102,0.03264604810996564,0.17611683848797252,0.30813287514318444,0.5483963344788088,0.7445589919816724
2026-05-21,117084,106991,4491,4490,8981,4490,-7214.763324519839,1,2.221009563622859,0.9117293659087473,-7212.542314956217,1.6086181939650372,3,0.554281260438704,20.43,-1.6068515199375988,0.0069042316258351895,0.03229398663697105,0.16726057906458797,0.30534521158129174,0.6151447661469933,0.8193763919821826
2026-05-22,82116,71758,3083,3085,6168,3083,-4804.237112654807,2,-2.2707719663749013,3.16884210961171,-4806.507884621182,1.633916990920882,3,0.566958495460441,29.641,-1.5582994202577998,0.0042166720726565035,0.016542328900421666,0.09211806681803439,0.1881284463185209,0.5030814142069413,0.7547843010055141
2026-05-23,34829,36076,1734,1732,3466,1732,-2746.904198385768,2,4.356390625125746,4.801896662920976,-2742.547807760642,1.632140796306982,3,0.566070398153491,53.137,-1.5859724009155673,0.005196304849884526,0.01905311778290993,0.08314087759815242,0.16397228637413394,0.3539260969976905,0.5450346420323325
2026-05-24,31384,33895,1423,1424,2847,1423,-3530.395859339596,1,-0.676113508739363,2.4577905703804466,-3531.0719728483355,1.6824727783631894,3,0.5911485774499473,72.127,-2.480952817526068,0.0035137034434293743,0.017568517217146872,0.08995080815179199,0.14687280393534785,0.28952916373858045,0.45045678144764584
2026-05-25,44766,42712,1996,1998,3994,1996,-2105.1736756440732,2,13.818359900835393,2.57777621568178,-2091.355315743238,1.6752628943415122,3,0.5876314471707561,50.8425,-1.0546962302826033,0.004008016032064128,0.011022044088176353,0.0686372745490982,0.14829659318637275,0.3456913827655311,0.5571142284569138
2026-05-26,118699,100498,6090,6091,12181,6090,-13445.451388450892,1,-3.776430934394408,2.1032290671361316,-13449.227819385287,1.5797553567030622,3,0.5398571545850095,13.882,-2.207791689400809,0.010673234811165846,0.048111658456486045,0.25270935960591134,0.41707717569786534,0.713136288998358,0.8875205254515599
2026-05-27,129291,139207,9692,9692,19384,9692,-30854.311964435583,0,0.0,0.0,-30854.311964435583,1.5810978126289723,3,0.5405489063144862,10.027999999999999,-3.183482456091158,0.014651258770119687,0.06376392901361948,0.29158068510111435,0.49834915394139495,0.8521460998761865,0.963268675196038
2026-05-28,117745,122215,7347,7349,14696,7347,-23356.663264717547,2,-28.821085972311828,1.7989498818686285,-23385.484350689858,1.5688622754491017,3,0.5344311377245509,11.715,-3.1790748965179745,0.013066557778685178,0.06016060977269634,0.26500612494895875,0.4513406832720838,0.7893017558187015,0.9158840342997142
2026-05-29,95418,97885,4295,4294,8589,4294,-12721.805075211849,1,-1.6594299467850502,1.3123478229330783,-12723.464505158634,1.6191640470369077,3,0.5595529165211317,18.489,-2.9626933104825017,0.011877037727061016,0.0384257102934327,0.18770377270610153,0.32976245924545877,0.6411271541686073,0.8099673963670238
2026-05-30,29194,29561,1757,1754,3511,1754,-1293.2773124857677,3,-16.49661533582874,3.76443793212231,-1309.7739278215963,1.6377100541156366,3,0.5687838222728567,52.3715,-0.7373302807786586,0.0028506271379703536,0.01710376282782212,0.07240592930444698,0.1516533637400228,0.3312428734321551,0.5353477765108324
2026-05-31,23041,28910,1544,1546,3090,1544,-3053.197372031251,2,-0.8565038401315855,3.1081046505772236,-3054.0538758713824,1.5699029126213593,3,0.5349514563106796,32.9675,-1.9774594378440749,0.005829015544041451,0.021373056994818652,0.13730569948186527,0.23251295336787564,0.4734455958549223,0.6729274611398963
2026-06-01,61222,62996,4035,4038,8073,4035,-9806.872877798432,3,-35.50517664249279,5.423401633196171,-9842.378054440926,1.5660844791279573,3,0.533011272141707,18.423,-2.4304517664927885,0.009665427509293681,0.04460966542750929,0.21412639405204462,0.3524163568773234,0.6250309789343247,0.80272614622057
2026-06-02,66349,63502,4186,4187,8373,4186,-9917.982670691448,1,-0.9339999999999999,2.7377896329932416,-9918.916670691448,1.552729009912815,3,0.5263346470798996,18.6585,-2.36932218602281,0.009316770186335404,0.041328236980410896,0.19923554706163402,0.3432871476349737,0.6208791208791209,0.8043478260869565
2026-06-03,59741,56387,3916,3919,7835,3916,-9005.061255736364,3,7.647997630457924,5.387995251437538,-8997.413258105906,1.586981493299298,3,0.5434588385449904,20.798000000000002,-2.2995559897181663,0.008682328907048007,0.03140960163432074,0.1930541368743616,0.3225229826353422,0.5990806945863125,0.7788559754851889
2026-06-04,88771,90503,5630,5633,11263,5630,-11793.780100218257,3,6.355650499950948,3.464793795903584,-11787.424449718306,1.5631714463286868,3,0.5315635265914943,11.868,-2.0948099645147846,0.009769094138543518,0.041030195381882774,0.2570159857904085,0.4486678507992895,0.7447602131438721,0.8927175843694494
2026-06-05,152573,171369,10669,10669,21338,10669,-21076.334439932547,0,0.0,0.0,-21076.334439932547,1.5696410160277439,3,0.5348205080138719,7.854,-1.9754742187583212,0.014902989970943857,0.0683288030743275,0.3582341362826882,0.5800918549067392,0.8666229262348861,0.9570718905239479
2026-06-06,50315,51495,5624,5627,11251,5624,-7294.751937301522,3,11.529612111774602,4.759384277743268,-7283.222325189748,1.5897253577459782,3,0.5448404586258999,15.117,-1.2970753800322747,0.010490753911806544,0.046052631578947366,0.24270981507823614,0.39455903271692744,0.6971906116642959,0.875
2026-06-07,61228,51145,6322,6325,12647,6322,-6498.330746156134,3,-13.05238303375177,5.241392759416083,-6511.383129189886,1.6073377085474816,3,0.5536490867399383,16.904,-1.027891608060129,0.01091426763682379,0.04065169250237267,0.1841189496994622,0.3366023410313192,0.7108509965200885,0.9019297690604239
2026-06-08,153083,144008,11214,11217,22431,11214,-26832.945434147477,3,-42.12391822298302,4.896701594416796,-26875.06935237046,1.568900182782756,3,0.5344389461013775,8.5635,-2.3928076898651356,0.01435705368289638,0.06268949527376494,0.3283395755305868,0.5508293204922419,0.8853219190297842,0.9728910290708044
2026-06-09,141491,137951,11808,11810,23618,11808,-28795.568745612436,2,-12.312851057770775,4.411512542549642,-28807.881596670206,1.5479295452620883,3,0.5239647726310441,5.92,-2.438649114635199,0.014735772357723578,0.08079268292682927,0.44249661246612465,0.6596375338753387,0.8920223577235772,0.9634146341463414
2026-06-10,172938,185756,12184,12187,24371,12184,-29009.896293903785,3,8.022797998813276,5.444054822832191,-29001.873495904973,1.524680973287924,3,0.5123302285503262,7.1105,-2.3809829525528308,0.01633289560078792,0.07698621142481943,0.39026592252133946,0.610801050558109,0.8924819435325017,0.977757715036113
2026-06-11,166521,146211,7041,7044,14085,7041,-12681.913713560865,3,-13.409083765333552,8.091656177112462,-12695.322797326198,1.5456869009584664,3,0.5228257011004614,12.046,-1.8011523524443775,0.009941769634995028,0.048004544808976,0.26090044027836956,0.4472376082942764,0.7537281636131231,0.9142167305780429
2026-06-12,121406,125490,5470,5467,10937,5467,-6758.2006344784695,3,23.17868770371482,2.689634625759181,-6735.021946774755,1.5970558654109903,3,0.5485050745176923,17.105,-1.2361808367438183,0.004572891896835559,0.030546917870861532,0.18712273641851107,0.3444302176696543,0.6809950612767515,0.8730565209438449
2026-06-13,25268,23953,2000,1997,3997,1997,-1326.4593839575466,3,-32.440434219404864,4.655038637626481,-1358.8998181769514,1.6715036277207906,3,0.5856892669502126,55.16,-0.6642260310253125,0.006509764646970456,0.020030045067601403,0.07961942914371557,0.15623435152729093,0.3405107661492238,0.5553329994992489
2026-06-14,20603,22038,2025,2023,4048,2023,-2534.9102425124097,2,-3.7967300401332005,2.6576471723607336,-2538.706972552543,1.591403162055336,3,0.545701581027668,31.585,-1.2530451025765788,0.009391992090954029,0.03806228373702422,0.16262975778546712,0.27335640138408307,0.4893722194760257,0.6460701927829956
