coin,quoted_half_bp,edge_in_bp,predecay_bp,edge_out_bp,edge_bp,drift_bp,fee_bp,ev_bp,resid_bp,n_pair
xyz:MU,0.7672181012899975,-0.09886229607521124,0.8660803973652087,-0.10068190876291085,-0.19954420483812207,-1.3905651669250927,0.17612554387724041,-1.7662348747253418,-4.091511307535711e-8,446792
xyz:INTC,1.4315870210837778,1.1465394060783312,0.2850476150054466,1.119251680476341,2.265791086554673,-3.7173890562710534,0.1765202953398634,-1.6281182765960693,1.1539824873452176e-8,107808
xyz:AMD,1.3755140344429095,-0.02679509340076641,1.402309127843676,-0.02754150015511497,-0.054336593555881364,-1.9054039160527185,0.17652759641589708,-2.136268138885498,3.2861001475481544e-8,102006
xyz:KIOXIA,8.091234122736651,4.514075988815869,3.577158133920782,4.412379341007349,8.926455329823218,-6.792058943268544,0.17654075538615188,1.9578555822372437,4.893127902860783e-8,49061
xyz:SKHX,1.5733500531777351,0.4387134796141995,1.1346365735635358,0.47319049191777807,0.9119039715319776,-1.4559591366877485,0.17608027228094117,-0.7201354503631592,1.2926447023886567e-8,679886
xyz:SMSN,2.059505585752139,0.5655400915319526,1.4939654942201863,0.5517300242938461,1.1172701158257985,-2.5714556555927848,0.1762036431609378,-1.6303892135620117,3.063408793302358e-8,264276
xyz:SNDK,1.0715387973986616,0.010651223609543414,1.0608875737891181,0.011033094348644742,0.021684317958188152,-1.7830267537669042,0.17618270307036513,-1.9375249147415161,-2.2413756495254233e-7,302863
