wid,n_days,n_ord,n_large,n_cancel,n_fill,n_short_large,n_large_near,n_reached,n_fake,n_cbt,n_cbt_large,sz_sum,szt,szt_fleet,n_bid,reentry,retreat,chase,retreat_large,layer_ep,simul_ep,cycle_ep,bigrep_ep,n_push,push_sum,push_pre_sum,n_base,base_sum,base_pre_sum,canc_per_s_max,asym_abs,large_rate,cancel_rate,fleet_ratio,reentry_rate,retreat_rate,chase_rate,cycle_rate,layer_rate,simul_rate,bigrep_rate,bid_share,cbt_rate,fake_rate,short_large_rate,large_near_rate,retreat_large_rate,push_mean,push_pre_mean,base_mean,base_pre_mean,excess,excess_base,spoof_score,layer_score
18608,15,84046,0,83357,689,0,0,9748,8253,6717,0,374882233,2.4576492534614538e+17,7.548051331113722e+16,39262,14993,33217,34376,0,763,0,12,0,0,0.0,0.0,84046,-4487.032450005918,89491.17045146602,3,1.0,0.0,0.9918021083692263,0.30712483974199073,0.17839040525426553,0.3952240439759179,0.40901411131999144,0.8,50.86666666666667,0.0,0.0,0.46714894224591297,0.08058111496335041,0.8466352072219943,,,,,,-0.053387816790875446,1.0647879786243963,,-1.1181757954152718,0.6793448975267158,0.49120879120879113
12628,41,1250,0,540,710,0,0,994,276,47,0,234047,155667050900036.0,24596106735378.0,979,0,0,27,0,0,0,0,0,0,0.0,0.0,1250,1250.1568211591089,11319.24565045155,1,1.0,0.0,0.432,0.15800457831742937,0.0,0.0,0.0216,0.0,0.0,0.0,0.0,0.7832,0.08703703703703704,0.2776659959758551,,,,,,1.000125456927287,9.05539652036124,,-8.055271063433953,0.6727613295795114,0.4236263736263736
6859,45,23128,0,17786,5342,0,0,17579,12270,1997,0,2184543,2850949332682420.0,261424602192048.0,16895,10862,640,5119,0,21,0,735,0,0,0.0,0.0,23126,5732.422056224151,15105.335398677957,3,1.0,0.0,0.7690245589761329,0.0916973862689019,0.4696471809062608,0.02767208578346593,0.22133344863369075,16.333333333333332,0.4666666666666667,0.0,0.0,0.7304998270494638,0.11227932081412346,0.6979919221798737,,,,,,0.24787780231013365,0.6531754474910472,,-0.4052976451809135,0.6719591015045561,0.6436813186813186
499,44,7748476,58,7600934,147542,53,49,2750366,2461032,507809,8,27034115544,6.062665542317122e+19,6.294302989555783e+18,3919651,678262,2609629,4011630,16,947211,222625,281852,2,49,86.11948052824931,136.90627355555335,7747663,1531872.9567512167,2019472.24135153,210,0.22895438872855955,7.48534292420858e-6,0.9809585781771796,0.10382071954360407,0.08753489073206137,0.3367925512061985,0.5177314868110838,6405.727272727273,21527.522727272728,5059.659090909091,0.045454545454545456,0.5058608944520187,0.06680876323883354,0.8948016373093617,0.9137931034482759,0.8448275862068966,0.27586206896551724,1.7575404189438635,2.794005582766395,0.19772064902038416,0.26065566369517235,-1.0364651638225315,-0.06293501467478818,0.6693793580157217,0.7771978021978022
41,43,30805,0,23555,7250,0,0,23175,15956,2586,0,2890928,3746986861527456.0,367894113477878.0,21184,14161,993,6931,0,17,0,949,0,0,0.0,0.0,30805,9377.753432088,15635.939730885606,3,1.0,0.0,0.7646485960071417,0.09818398811462772,0.45969810095763675,0.03223502678136666,0.22499594221717253,22.069767441860463,0.3953488372093023,0.0,0.0,0.687680571335822,0.10978560815113564,0.6885005393743258,,,,,,0.30442309469527673,0.5075779818498817,,-0.20315488715460495,0.6653641812732722,0.6409340659340659
9265,6,60683,0,55362,5321,0,0,18961,11941,3274,0,320805718,7.482017646135812e+17,9.503057511246341e+16,56780,504,19393,29943,0,1123,7,26,0,0,0.0,0.0,60683,14023.86222805447,51775.85251399751,6,1.0,0.0,0.9123148163406556,0.1270119633592995,0.00830545622332449,0.3195787947201028,0.49343308669643887,4.333333333333333,187.16666666666666,1.1666666666666667,0.0,0.9356821515086597,0.05913803692063148,0.6297663625336216,,,,,,0.23110034487507983,0.8532184057149038,,-0.622118060839824,0.6644809735718826,0.7717032967032967
29347,2,2292,0,1474,818,0,0,1210,440,68,0,56369,146997157548108.0,3869340327720.0,15,31,25,548,0,0,0,3,0,0,0.0,0.0,2292,3441.679613921722,5166.196415957464,1,1.0,0.0,0.6431064572425829,0.026322552029304884,0.013525305410122163,0.010907504363001745,0.23909249563699825,1.5,0.0,0.0,0.0,0.006544502617801047,0.04613297150610583,0.36363636363636365,,,,,,1.5016054161962138,2.2540123978872004,,-0.7524069816909866,0.6614400750764388,0.5173076923076924
10897,7,4439,0,4026,413,0,0,896,472,168,0,2403642,7541847791051565.0,452638087146878.0,4205,48,314,1279,0,2,0,2,0,0,0.0,0.0,4439,439.8651221966723,8770.692525727594,2,1.0,0.0,0.9069610272583916,0.060016868503224775,0.010813246226627618,0.07073665239918901,0.2881279567470151,0.2857142857142857,0.2857142857142857,0.0,0.0,0.9472854246451904,0.041728763040238454,0.5267857142857143,,,,,,0.09909103901704715,1.975826205390312,,-1.8767351663732648,0.6603313353313353,0.4090659340659341
1059,27,2583,0,1089,1494,0,0,2103,550,70,0,503459,380419694740398.0,62978928733476.0,1515,0,0,11,0,0,0,0,0,0,0.0,0.0,2583,1896.9679061941886,12087.37652267972,1,1.0,0.0,0.42160278745644597,0.1655511783543526,0.0,0.0,0.004258614014711576,0.0,0.0,0.0,0.0,0.586527293844367,0.0642791551882461,0.26153114598193056,,,,,,0.7344049191615132,4.679588278234503,,-3.9451833590729897,0.6592748160929979,0.4184065934065934
6340,48,1093,0,569,524,0,0,824,296,31,0,101732,239754773309620.0,4621800654838.0,915,0,1,5,0,0,0,0,0,0,0.0,0.0,1093,843.7078977052948,6268.671700372278,1,1.0,0.0,0.5205855443732845,0.019277199744713293,0.0,0.0009149130832570906,0.004574565416285453,0.0,0.0,0.0,0.0,0.8371454711802379,0.054481546572934976,0.3592233009708738,,,,,,0.7719193940579093,5.73528975331407,,-4.96337035925616,0.6587056882511428,0.46730769230769226
9352,10,5106,0,4959,147,0,0,2159,2021,308,0,136220,97717266880210.0,92567917345780.0,1129,141,25,152,0,0,0,52,0,0,0.0,0.0,5106,10750.201210320898,12220.359282750618,2,1.0,0.0,0.9712103407755581,0.9473035861641269,0.027614571092831962,0.004896200548374461,0.029768899334116725,5.2,0.0,0.0,0.0,0.22111241676459067,0.062109296229078445,0.936081519221862,,,,,,2.1054056424443592,2.3933331928614607,,-0.2879275504171015,0.6581698604425876,0.3931318681318681
8,9,2751,0,2457,294,0,0,1724,1159,170,0,4442533,8818280460420516.0,1121335260510174.0,5,80,97,544,0,0,0,8,0,0,0.0,0.0,2751,-589.1534774102872,-825.5421241539105,2,1.0,0.0,0.8931297709923665,0.12716030812845128,0.029080334423845874,0.03525990548891312,0.19774627408215195,0.8888888888888888,0.0,0.0,0.0,0.0018175209014903672,0.06919006919006919,0.6722737819025522,,,,,,-0.21415975187578598,-0.3000880131420976,,0.08592826126631162,0.6579027033572488,0.5351648351648352
7037,67,244228,195,243910,318,159,47,404,165,321,27,3092810431,4.811007741690356e+19,4.7622258300904486e+17,161853,8741,80997,111626,58,33201,20184,2031,15,47,130.13180282353534,368.19601379762247,244228,-11764.0733400572,-308914.6012950019,38,0.9716149940134015,0.0007984342499631492,0.9986979379923678,0.00989860354790706,0.035790327071425064,0.331645020227001,0.45705652095582816,30.313432835820894,495.53731343283584,301.25373134328356,0.22388059701492538,0.6627127110732595,0.001316059202164733,0.4084158415841584,0.8153846153846154,0.24102564102564103,0.29743589743589743,2.7687617622028795,7.833957740374946,-0.048168405506564364,-1.2648615281417444,-5.065195978172067,1.21669312263518,0.6558570217661127,0.8255494505494505
5126,43,21206,0,20475,731,0,0,8978,8296,1144,0,822750,578909986012860.0,563503921665680.0,9023,375,136,456,0,0,0,251,0,0,0.0,0.0,21204,17404.812076514027,17997.87504297263,2,1.0,0.0,0.9655286239743469,0.9733878068794658,0.017683674431764596,0.006413279260586626,0.02150334810902575,5.837209302325581,0.0,0.0,0.0,0.4254927850608318,0.05587301587301587,0.9240365337491646,,,,,,0.8208268287358058,0.8487962197214031,,-0.027969390985597253,0.6537644174007811,0.5195054945054945
30808,9,1791,0,1086,705,0,0,1252,511,106,0,1411554,2961108430618373.0,149211598414828.0,902,31,0,557,0,0,0,0,0,0,0.0,0.0,1791,72.19312853742652,-3811.75216430138,1,0.9981660404365719,0.0,0.6063651591289783,0.050390454085353406,0.017308766052484645,0.0,0.310999441652708,0.0,0.0,0.0,0.0,0.5036292573981016,0.09760589318600368,0.40814696485623003,,,,,,0.040308837821008664,-2.1282814987724064,,2.168590336593415,0.6532671873580964,0.367032967032967
32266,7,1945,0,1266,679,0,0,1301,565,71,0,1543145,2.5670478400151444e+16,123874698577351.0,908,32,0,717,0,0,0,0,0,0,0.0,0.0,1942,-340.58600892837865,-847.1017886561067,1,1.0,0.0,0.6508997429305913,0.00482557031646984,0.016452442159383032,0.0,0.3686375321336761,0.0,0.0,0.0,0.0,0.4668380462724936,0.05608214849921011,0.4342813220599539,,,,,,-0.17537899532872228,-0.4362007150649365,,0.26082171973621426,0.6532157236702691,0.4519230769230769
4871,1,1129,0,922,207,0,0,523,316,32,0,207533,312647501787408.0,71947681582888.0,1129,0,2,912,0,0,0,0,0,0,0.0,0.0,1129,1834.591412368482,4350.030821667528,2,1.0,0.0,0.816651904340124,0.23012396123929535,0.0,0.001771479185119575,0.8077945084145262,0.0,0.0,0.0,0.0,1.0,0.03470715835140998,0.6042065009560229,,,,,,1.6249702501049441,3.852994527606313,,-2.228024277501369,0.6512495080676899,0.24972527472527473
7735,2,1441,0,1050,391,0,0,1363,882,34,0,775173,1.374351245985088e+16,5257292761315.0,1441,125,8,156,0,0,0,98,0,0,0.0,0.0,1441,59.46034532853852,178.7155237506119,5,1.0,0.0,0.7286606523247745,0.0003825290497369726,0.08674531575294935,0.005551700208188758,0.10825815405968078,49.0,0.0,0.0,0.0,1.0,0.03238095238095238,0.6471019809244314,,,,,,0.041263251442427845,0.12402187630160438,,-0.08275862485917654,0.650965700965701,0.3700549450549451
6932,5,5651,0,4214,1437,0,0,4123,2564,264,0,3188177,2533680086439445.0,1266262539122518.0,4974,165,941,2444,0,10,0,30,0,0,0.0,0.0,5651,1069.694424597018,4913.149666884427,3,1.0,0.0,0.7457087241196249,0.49977206905469423,0.02919837196956291,0.16651920014156787,0.43248982480976816,6.0,2.0,0.0,0.0,0.8801981950097328,0.06264831514000949,0.6218772738297357,,,,,,0.1892929436554624,0.8694301303989429,,-0.6801371867434804,0.6507537916628825,0.5296703296703298
13282,6,2211,0,1956,255,0,0,417,149,72,0,1713810,3791628146753853.0,359948715762432.0,1907,16,69,429,0,2,0,1,0,0,0.0,0.0,2211,1490.5870537915994,8717.002942503383,3,1.0,0.0,0.8846675712347354,0.09493249386034779,0.007236544549977386,0.031207598371777476,0.19402985074626866,0.16666666666666666,0.3333333333333333,0.0,0.0,0.8625056535504296,0.03680981595092025,0.35731414868105515,,,,,,0.6741687262739029,3.9425612584818555,,-3.268392532207953,0.6501543910634819,0.3936813186813187
12570,11,62085,0,58890,3195,0,0,10234,6778,1926,0,20056671,5.259563397960863e+16,6849302774176462.0,18751,5140,21952,29421,0,2,0,583,0,0,0.0,0.0,62084,5013.596399533329,-4925.569357158762,2,1.0,0.0,0.9485382942739792,0.13022569091632097,0.08278972376580494,0.3535797696706129,0.47388258033341385,53.0,0.18181818181818182,0.0,0.0,0.30202142224369816,0.03270504330106979,0.6623021301543873,,,,,,0.0807550479919678,-0.07933717797111593,,0.16009222596308373,0.64904489449944,0.6381868131868131
32741,5,37304,0,16016,21288,0,0,22739,1233,498,0,58432824,2.713259892351852e+17,1.606563650683858e+16,17087,228,7239,7812,0,942,815,912,0,0,0.0,0.0,37302,5177.476803624593,79100.86918305888,3,1.0,0.0,0.4293373364786618,0.05921156521763529,0.006111945099721209,0.19405425691614842,0.2094145399957109,182.4,188.4,163.0,0.0,0.4580473943812996,0.031093906093906092,0.05422402040547078,,,,,,0.13879890632203618,2.1205530315548464,,-1.9817541252328104,0.645741379832289,0.7645604395604396
24936,25,70027,17,66895,3132,14,1,5659,2475,3541,3,75453516,5.092268444274022e+16,2.8296436144090984e+16,0,3510,17590,25251,2,11223,13470,2154,3,1,0.0,0.0,70027,15992.87806240159,31011.966705663097,15,1.0,0.0002427635055050195,0.9552743941622517,0.5556744789428527,0.050123523783683434,0.2511888271666643,0.360589486912191,86.16,448.92,538.8,0.12,0.0,0.05293370207040885,0.4373564233963598,,,,0.0,0.0,0.22838159656134907,0.4428572794159838,0.0,-0.21447568285463472,0.6455150909696364,0.867032967032967
1832,18,11945,0,11665,280,0,0,927,613,502,0,39073066,5.863742307939072e+16,1.1166018965383824e+16,2408,2173,3718,5424,0,123,0,318,0,0,0.0,0.0,11945,2121.0986607147815,14713.310892821302,3,1.0,0.0,0.9765592298032649,0.19042478981837013,0.18191712013394726,0.3112599413980745,0.4540812055253244,17.666666666666668,6.833333333333333,0.0,0.0,0.2015906236919213,0.04303471924560651,0.6612729234088457,,,,,,0.1775720938229202,1.231754783827652,,-1.0541826900047317,0.6422032512941603,0.5354395604395604
443,37,34589,0,28197,6392,0,0,16031,9364,2402,0,34143684,5.220483375155035e+16,2.0252855075188164e+16,18933,1036,1486,14202,0,0,0,80,0,0,0.0,0.0,34586,34184.48336636558,150998.5481421187,1,0.991498916224128,0.0,0.8152013645956807,0.38794980502330795,0.029951718754517333,0.042961635201942815,0.4105929630807482,2.1621621621621623,0.0,0.0,0.0,0.5473705513313482,0.0851863673440437,0.5841182708502277,,,,,,0.9883907756423287,4.365886432143604,,-3.3774956565012753,0.6408909272545636,0.5681318681318681
10106,35,12505,0,10643,1862,0,0,8399,6536,1119,0,256215,6880628388569457.0,36990821893354.0,6873,19,4800,5724,0,2,0,346,0,0,0.0,0.0,12500,-714.9550809827828,5674.54539317269,16,0.9718639174585613,0.0,0.8510995601759296,0.0053760819222275595,0.001519392243102759,0.3838464614154338,0.45773690523790483,9.885714285714286,0.05714285714285714,0.0,0.0,0.5496201519392243,0.10513952832847881,0.7781878795094654,,,,,,-0.05719640647862262,0.4539636314538152,,-0.5111600379324378,0.640084915084915,0.4980769230769231
15995,48,27930,0,23452,4478,0,0,17290,11412,2036,0,73626445,7.066859354193228e+16,2.4613775449547476e+16,12237,9716,2836,7416,0,73,0,1099,0,0,0.0,0.0,27930,2579.4319874639727,20210.31955359141,4,0.9889979632236758,0.0,0.8396706050841389,0.3482986460589812,0.34786967418546366,0.10153956319369853,0.2655209452201933,22.895833333333332,1.5208333333333333,0.0,0.0,0.4381310418904404,0.08681562340098925,0.6600347021399653,,,,,,0.09235345461739967,0.723606142269653,,-0.6312526876522534,0.6400675082493265,0.5357142857142858
6744,13,4419,0,3352,1067,0,0,2924,1543,108,0,18590791,9.67582281923891e+16,2512328505820090.0,2086,125,45,1445,0,0,0,0,0,0,0.0,0.0,4419,2874.8300417897153,15801.431339139368,2,1.0,0.0,0.7585426567096628,0.025965011480209257,0.02828694274722788,0.010183299389002037,0.32699705815795427,0.0,0.0,0.0,0.0,0.47205250056573883,0.032219570405727926,0.5277017783857729,,,,,,0.6505612224009313,3.575793468915901,,-2.92523224651497,0.6397004510640875,0.26153846153846155
30270,5,1277,0,1155,122,0,0,144,29,30,0,2053321,4847364495026312.0,39760806956932.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1277,-48.74465936026854,3335.0146721799406,1,1.0,0.0,0.9044635865309318,0.008202561824622222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.2013888888888889,,,,,,-0.03817122894304506,2.611601152842553,,-2.6497723817855983,0.6391267823086004,0.421978021978022
11145,7,3934,0,3470,464,0,0,1061,565,123,0,2151769,9047783630262400.0,342000208113477.0,3569,36,244,1035,0,0,0,5,0,0,0.0,0.0,3934,1171.8999991279927,7758.413303091886,3,1.0,0.0,0.8820538891713269,0.03779933540514589,0.009150991357397052,0.062023385866802234,0.26309100152516524,0.7142857142857143,0.0,0.0,0.0,0.9072191154041688,0.03544668587896253,0.532516493873704,,,,,,0.297890187882052,1.972143696769671,,-1.674253508887619,0.6377894832440287,0.49010989010989003
17380,10,128507,0,115963,12544,0,0,110953,93748,23635,0,61189518,5.6841901754386376e+16,1.9080986687967024e+16,68389,21782,13394,54800,0,1090,0,4320,0,0,0.0,0.0,128499,107990.56884217159,30244.39443208583,18,0.9364415445295464,0.0,0.9023866404164753,0.33568522690208163,0.16950049413650617,0.10422778525683425,0.4264359139969029,432.0,109.0,0.0,0.0,0.5321811263199671,0.20381500996007348,0.8449343415680514,,,,,,0.8404000719240741,0.23536676886268246,,0.6050333030613916,0.6359874973511337,0.6711538461538462
22441,15,33562,5,9702,23860,2,5,27882,3457,293,0,42425565,6.135753265539101e+17,4886563088984964.0,14303,0,0,0,0,0,0,119,1,5,7.703543558218227,-34.050728719286774,33557,-1931.0082247972773,-3093.972978725435,2,1.0,0.00014897801084559918,0.2890769322448007,0.007964080166700803,0.0,0.0,0.0,7.933333333333334,0.0,0.0,0.06666666666666667,0.42616649782492105,0.030199958771387342,0.12398680152069436,,,,1.5407087116436453,-6.810145743857355,-0.05754412566073479,-0.09220052384675136,8.350854455501,0.03465639818601657,0.6342006478370115,0.5832417582417582
277,69,6344,0,3429,2915,0,0,5339,2344,151,0,953853,5672528070254281.0,54484174492800.0,4407,0,0,99,0,0,0,1,0,0,0.0,0.0,6344,2905.6883187810336,18929.369495224764,1,1.0,0.0,0.5405107187894073,0.009604919326623561,0.0,0.0,0.01560529634300126,0.014492753623188406,0.0,0.0,0.0,0.694672131147541,0.04403616214639837,0.4390335268776924,,,,,,0.45802148782803176,2.9838224298904104,,-2.5258009420623786,0.6339645203281568,0.32939560439560445
3897,37,42567,6,32423,10144,4,5,17420,6489,1536,0,183779863,4.914907461007868e+17,5.3839887993314504e+16,33601,2435,9041,19377,0,656,1,833,0,5,0.47641068985964746,1.2500381224117736,42567,17634.966805685042,42626.21473172365,3,0.9996290984816408,0.00014095426034251886,0.7616933305142481,0.10954405229488066,0.0572039373223389,0.21239457795945216,0.4552117837761646,22.513513513513512,17.72972972972973,0.02702702702702703,0.0,0.7893673502948293,0.047373777873731614,0.3725028702640643,,,,0.0952821379719295,0.2500076244823547,0.4142872837100346,1.001391094785248,-0.1547254865104252,-0.5871038110752134,0.6336966064238791,0.7271978021978022
25450,31,82262,0,63544,18718,0,0,53455,34033,5598,0,7208237,1.3193304593580504e+16,2472248211293482.0,41534,5883,7363,40438,0,4971,191,361,0,0,0.0,0.0,82245,20271.9599914078,138403.89630630493,17,0.9680149591514782,0.0,0.7724587294254942,0.18738657883305518,0.07151540200821764,0.08950669811091391,0.491575697162724,11.64516129032258,160.3548387096774,6.161290322580645,0.0,0.5048989813036396,0.08809643711444039,0.6366663548779347,,,,,,0.24648258242334245,1.6828244428999324,,-1.4363418604765898,0.6329276783822239,0.5840659340659341
29222,11,4791,0,3096,1695,0,0,3061,1268,194,0,4457722,9985400609418376.0,416642720722510.0,2336,63,2,2040,0,0,0,1,0,0,0.0,0.0,4784,4377.21286779546,11051.79169609017,1,0.9925098370669653,0.0,0.646211646837821,0.04172518830436572,0.013149655604257984,0.0004174493842621582,0.4257983719474014,0.09090909090909091,0.0,0.0,0.0,0.4875808808182008,0.06266149870801034,0.4142437112054884,,,,,,0.9149692449405226,2.3101571271091492,,-1.3951878821686265,0.6328974056246783,0.34423076923076923
522,57,541903,0,527888,14015,0,0,117683,94219,72082,0,6319879147,3.773120856675487e+19,9.997817629727087e+17,264236,50277,241881,181366,0,34041,23646,21590,0,0,0.0,0.0,541889,-30541.948474943878,-556151.1843941042,65,0.9338722013122424,0.0,0.9741374378809492,0.026497475192290044,0.09277859690756464,0.44635479043297416,0.3346835134701229,378.7719298245614,597.2105263157895,414.8421052631579,0.0,0.48760756076271955,0.1365479041008699,0.8006169115335265,,,,,,-0.056362001212321856,-1.0263193834790967,,0.9699573822667749,0.6318582932219297,0.7120879120879121
11909,65,25085,0,23669,1416,0,0,6268,4915,1410,0,7122537,4.100182885273692e+16,2211735103772454.0,14534,11,7,36,0,0,0,36,0,0,0.0,0.0,25082,67064.39892467768,22721.11609475286,2,0.9945743373418653,0.0,0.9435519234602352,0.05394235246715875,0.00043850906916483956,0.0002790512258321706,0.0014351205899940202,0.5538461538461539,0.0,0.0,0.0,0.5793900737492526,0.05957159153322912,0.7841416719846841,,,,,,2.6738058737213013,0.9058733791066446,,1.7679324946146568,0.6317901795174523,0.39203296703296703
