wid,n_days,n_ord,n_large,n_cancel,n_fill,n_short_large,n_large_near,n_reached,n_fake,n_cbt,n_cbt_large,sz_sum,szt,szt_fleet,n_bid,reentry,retreat,chase,retreat_large,layer_ep,simul_ep,cycle_ep,bigrep_ep,n_push,push_sum,push_pre_sum,n_base,base_sum,base_pre_sum,canc_per_s_max,asym_abs,large_rate,cancel_rate,fleet_ratio,reentry_rate,retreat_rate,chase_rate,cycle_rate,layer_rate,simul_rate,bigrep_rate,bid_share,cbt_rate,fake_rate,short_large_rate,large_near_rate,retreat_large_rate,push_mean,push_pre_mean,base_mean,base_pre_mean,excess,excess_base,spoof_score,layer_score
22301,33,16921849,125912,16872468,49381,125828,85586,3117959,3018052,2467149,16643,201438813193,1.376234948900073e+20,3.879493563633461e+19,8466308,1199170,6036668,6355591,57326,679979,1590927,1510913,600,85586,94550.32099131007,205017.783563079,16921021,12907703.888060765,32180302.5796005,277,0.5409051277677467,0.007440794442734952,0.9970818200776995,0.2818918068265934,0.07086518736811799,0.35673808459111056,0.3755849020990555,45785.242424242424,20605.424242424244,48209.90909090909,18.181818181818183,0.5003181389929671,0.14622336222537213,0.967957564547834,0.9993328673994536,0.6797286994091111,0.4552862316538535,1.1047405065233808,2.395459345723354,0.7628206293261361,1.9017943763322853,-1.2907188391999733,-1.1389737470061492,0.8095467663649482,0.8513736263736265
22535,33,20208449,125493,20151431,57018,125423,88675,3469966,3354821,2776935,16627,246015237303,1.4747829585656326e+20,5.280743462760818e+19,10059772,1221053,6788842,7815858,56222,744351,1883157,1844110,610,88675,95629.46727482221,189134.65041713082,20207082,16686290.538702613,35602596.9130987,255,0.5232949192368848,0.006209927342766384,0.9971785068710617,0.35806919466284354,0.060422895393901825,0.33594077407919826,0.38676189350305906,55882.121212121216,22556.090909090908,57065.36363636364,18.484848484848484,0.4978003012502345,0.13780336493224724,0.9668166777426638,0.9994421999633446,0.7066131178631477,0.44800905229773774,1.0784264705364783,2.132897100841622,0.8257644789436996,1.7618870905308694,-1.0544706303051437,-0.9361226115871698,0.8073474505292687,0.8527472527472527
7189,58,98278,4221,98097,181,4194,34,753,550,3618,233,3511894888,7.462978879087619e+17,5.583926673487809e+17,39437,13538,38121,39812,1499,12569,2333,4082,60,34,176.13486063645794,-429.6295391998778,98277,-137545.0087363515,-506230.13513097505,47,0.9848804387253264,0.04294959197378864,0.9981582856793992,0.7482168667440298,0.137752091007143,0.387889456439895,0.40509574879423677,70.37931034482759,216.70689655172413,40.224137931034484,1.0344827586206897,0.40128004232890374,0.03688186183063702,0.7304116865869854,0.9936034115138592,0.008054963278843875,0.3551291163231462,5.180437077542881,-12.636162917643464,-1.399564585165924,-5.151054011935397,17.816599995186344,3.751489426769473,0.7483846961119689,0.8219780219780219
403,12,2153,59,2146,7,36,30,550,430,75,3,330493906,1.0691362766766852e+18,6.98693413102783e+16,502,416,561,632,13,7,0,59,4,30,90.97163044714458,100.59317599736151,2153,609.7194495509603,777.4500135944463,3,1.0,0.02740362285183465,0.9967487227124942,0.06535120249353144,0.19321876451463074,0.26056665118439387,0.29354389224338134,4.916666666666667,0.5833333333333334,0.0,0.3333333333333333,0.23316302833255922,0.03494874184529357,0.7818181818181819,0.6101694915254238,0.5084745762711864,0.22033898305084745,3.032387681571486,3.353105866578717,0.2831952854393685,0.36110079591010047,-0.32071818500723115,-0.07790551047073196,0.7372392758756394,0.6461538461538461
576,41,11214855,561988,11172695,42160,292915,87768,1286673,1135827,1258240,68119,364621746285,1.6072333985041935e+21,5.708504596919494e+19,5409778,577686,5921096,4089201,315103,1220969,1016035,229282,1114,87768,115025.19960600194,-30127.207579054964,11214454,-18048.680127985685,-6755925.597851148,106,0.2231105881843605,0.050111035764617555,0.9962407003924705,0.03551758320995717,0.05151078636326551,0.5279690196618682,0.3646236175144485,5592.243902439024,29779.731707317074,24781.341463414636,27.170731707317074,0.4823760984872297,0.11261741236111789,0.8827627532403338,0.5212121967017089,0.15617415318476552,0.5606934667644149,1.3105596527891936,-0.3432595886775928,-0.001609412293098325,-0.6024301849961797,1.6538192414667865,0.6008207727030814,0.7222956336592701,0.8027472527472528
5818,52,30287,785,30095,192,729,18,1370,1089,1855,96,1276577935,5.212667060116626e+17,1.544387548729015e+17,19008,7971,9986,10938,251,2243,706,852,27,18,31.798042382079004,-851.37739479738,30287,-27921.336666056108,-20725.784219597797,55,0.7832645363998526,0.025918710998118006,0.9936606464819889,0.2962758854378974,0.2631822233961766,0.32971241786905275,0.36114504572919076,16.384615384615383,43.13461538461539,13.576923076923077,0.5192307692307693,0.6275959982830918,0.06163814587140721,0.7948905109489051,0.9286624203821656,0.022929936305732482,0.3197452229299363,1.7665579101155002,-47.29874415541,-0.9218917907371516,-0.6843128807606497,49.0653020655255,-0.23757890997650188,0.7148540853086307,0.7329670329670328
26045,28,6880692,15219,6872372,8320,13712,1109,418322,389304,561579,480,207156419126,1.3904848386693032e+20,3.887081335670052e+19,3379563,1003173,3103568,2726915,6455,912447,234475,192813,59,1109,653.0074731779639,-67.88250877432068,6879928,-3064654.348041486,-370138.10628963576,38,0.23621793634442104,0.0022118414833856826,0.9987908192955011,0.2795486313529313,0.14579536476854363,0.45105463229570514,0.39631406259719226,6886.178571428572,32587.39285714286,8374.107142857143,2.107142857142857,0.4911661501488513,0.08171545428565276,0.9306323836661711,0.9009790393586964,0.07286943951639398,0.42414087653590904,0.5888254942993363,-0.06121055795700693,-0.44544860760773747,-0.05379970637623472,0.6500360522563432,-0.39164890123150276,0.6937564960292233,0.7956043956043957
14419,6,1984,379,1961,23,66,17,317,220,66,27,380445623,2.3960615297764946e+18,3.287099108798892e+16,30,31,769,904,156,0,0,0,32,17,2.5033095480746024,-65.03105269919915,1984,-356.56954980263913,878.0259862366053,1,0.9995769881556683,0.19102822580645162,0.9884072580645161,0.013718759171871157,0.015625,0.3876008064516129,0.45564516129032256,0.0,0.0,0.0,5.333333333333333,0.015120967741935484,0.033656297807241206,0.694006309148265,0.1741424802110818,0.044854881266490766,0.41160949868073876,0.1472535028279178,-3.825356041129362,-0.17972255534407214,0.4425534204821599,3.9726095439572795,-0.6222759758262321,0.6904703881976609,0.3989010989010989
8295,5,8227,0,6169,2058,0,0,3327,1037,730,0,25734438,4.056438140195184e+16,8012469202206418.0,456,119,1396,3338,0,1678,1411,136,0,0,0.0,0.0,8227,-2623.971533199295,18584.812873229443,9,1.0,0.0,0.7498480612616992,0.19752474770442036,0.014464567886228272,0.16968518293424092,0.4057372067582351,27.2,335.6,282.2,0.0,0.05542725173210162,0.11833360350137785,0.3116922152088969,,,,,,-0.3189463392730394,2.259002415610726,,-2.5779487548837654,0.6865233251596888,0.6986263736263736
14922,3,2087,0,1546,541,0,0,1089,491,120,0,1725620,3489661384256375.0,416579536012823.0,1336,62,139,746,0,9,0,7,0,0,0.0,0.0,2087,1069.4583685223215,6260.5301344588715,3,1.0,0.0,0.7407762338284619,0.11937534624196597,0.029707714422616195,0.06660277910876856,0.35745088643986583,2.3333333333333335,3.0,0.0,0.0,0.6401533301389555,0.07761966364812418,0.4508723599632691,,,,,,0.5124381257893251,2.9997748607852763,,-2.487336734995951,0.6807162534435263,0.5057692307692309
