x,day_type,k,n,beta_ols,se_ols,t_ols,se_hac,t_hac,beta_gls,se_gls,t_gls,beta_nonoverlap,se_nonoverlap,t_nonoverlap,n_nonoverlap,r2,r2_nonoverlap,rho,dw,beta_placebo
BookSlope_z,立会日,1,15137280,0.03126781333954723,0.0003511733494138166,89.03811576744049,0.0016572407855340642,18.867393086437243,0.03505567588664061,0.00031725720981922036,110.49607322278365,0.03126781333954723,0.0003511733494138167,89.03811576744046,15137280,0.0005234518547587749,0.0005234518547587749,-0.15037291917354054,2.3005766072514,-0.00018029841196259236
BookSlope_z,立会日,2,15137212,0.06551803549634065,0.00045780138093912543,143.1145431714036,0.003288385911696476,19.924071339467556,0.03813913714419595,0.0005054657576333361,75.45345370726776,0.060604200028464866,0.0006218593279904388,97.4564460169948,7568623,0.0013512461379088859,0.0012533135429088126,0.37458568569405304,1.2506154356642991,0.0004800897180856508
BookSlope_z,立会日,3,15137144,0.09544815926177158,0.0005296852466529693,180.19788141145978,0.004786178634816519,19.942456507461852,0.03472261701354815,0.0005455960066726435,63.6416260179515,0.09143095342025925,0.0008921904974308467,102.47918318290094,5045737,0.0021405474136612234,0.002077035356763061,0.5432364620840162,0.9133439711342256,-0.000018566486851265985
BookSlope_z,立会日,5,15137008,0.13553543903497203,0.0006349178487236548,213.4692532387182,0.006908036716238075,19.619965064224626,0.021829672675888652,0.000559288273748497,39.031164607797784,0.1374961249050919,0.001411825202748269,97.38891516983898,3027428,0.003001409294002436,0.0031231083310341713,0.6895098587981553,0.6208025824110636,0.0017470329005651974
BookSlope_z,立会日,10,15136668,0.18814850722229942,0.0008361189319151318,225.02601010521906,0.00971263668546839,19.371517057134316,0.008105780130298147,0.0005582674199611289,14.519529244358443,0.1966379741160432,0.002678794489246676,73.40539742984959,1513697,0.0033341473602456735,0.003547107776160549,0.8224227468222001,0.35492466827712943,0.001791139676977896
BookSlope_z,立会日,20,15135988,0.22901307637707144,0.0011513545765380062,198.90751384832987,0.012065868854726405,18.98023914683634,0.0034695008855263705,0.0005532336997780798,6.271311539622589,0.2623244391077554,0.0055176883520776186,47.542452992833546,756835,0.0026071014590140097,0.0029776114236900434,0.90591607030838,0.18805644182135178,-0.0035030177674242355
BookSlope_z,立会日,30,15135308,0.24369777107585944,0.0014071477383730431,173.1856324891834,0.013043583073819294,18.683345649478987,0.0012845290893297085,0.0005502535833609579,2.3344311208003115,0.31328492832696897,0.008444477831896727,37.099384303387005,504544,0.001977756111497306,0.0027205264974954615,0.9368592079186259,0.1261625678795259,-0.006083366525875133
BookSlope_z,立会日,50,15133948,0.26164892336568796,0.0018225966148504723,143.55832839465353,0.01432351279224416,18.26709182033646,0.001303134596870831,0.0005476413752528398,2.3795400708523684,0.2656097199383085,0.013702280049214349,19.384344721047928,302711,0.001359920740668445,0.0012397615411793674,0.9622239628749235,0.07542587883325795,-0.004513403630555231
BookSlope_z,立会日,100,15130548,0.28622680304048975,0.0025952541618957195,110.28854408287071,0.01749204532516041,16.36325528088951,-0.00036104730942537153,0.0005444647618467431,-0.6631233731284152,0.3328660124859301,0.027279312039635465,12.202141021822419,151342,0.0008032619859311976,0.0009828591608890597,0.9813520578268077,0.03721708614304865,-0.017066573935244984
BookSlope_z,立会日,300,15116948,0.3397463356436293,0.004516914708934545,75.21646024699216,0.028356094353296005,11.98142210315147,-0.001808887604532667,0.0005429835894263148,-3.331385404195795,0.5144322361852851,0.08823768840466327,5.830073809572939,50428,0.0003741099134247593,0.0006735982465773545,0.9937663384544239,0.012390512350759724,0.008735166582433207
BookSlope_z,立会日,500,15103348,0.3490699077780764,0.005846886311729654,59.70184627633248,0.03704269688347456,9.42344745783893,-0.0014143594774795462,0.0005471034441717117,-2.585177433164981,0.45025230558703155,0.13654238829727008,3.2975276850055915,30242,0.0002359390752679292,0.00035945040613462277,0.996255641902364,0.007429120068432207,-0.029974024358510588
BookSlope_z,閉場日,1,2443760,0.003188125478545673,0.0006605802830420985,4.826249829715998,0.0016075564931132028,1.9832120937607185,0.004234611650786064,0.0005068583880160181,8.354624784570477,0.003188125478545673,0.0006605802830420985,4.826249829715998,2443760,9.53141244207611e-6,9.53141244207611e-6,-0.4110580223870822,2.8221153457203,-0.0004074373798984139
BookSlope_z,閉場日,2,2443729,0.006474086264906981,0.0007169413504556185,9.030147669391198,0.003097823367718673,2.0898823129721196,0.005353337483544153,0.000733395732590624,7.29938455550347,0.013374538775323484,0.0009155286753838073,14.608541638214247,1221871,0.00003336741216723628,0.0001746277396175843,0.14117677896408973,1.717642597823151,0.000015039816289634748
BookSlope_z,閉場日,3,2443698,0.009066732619681639,0.0007625891343492242,11.889407036226627,0.00442979685491616,2.046760363202533,0.006328796765809338,0.0007747678332052298,8.168636454132304,0.01674280049509281,0.0027021152133400563,6.196183054088656,814577,0.00005784263801776867,0.00004712994505682986,0.23131831672306133,1.5373589624784796,-0.0007864590907718458
BookSlope_z,閉場日,5,2443636,0.01261745168653393,0.0008230754224473866,15.329642147515923,0.006246898939834278,2.019794430493645,0.00621059463814065,0.0008048178581810614,7.716770415826734,0.03069441897376569,0.0020415965036267186,15.034517799790374,488738,0.00009615815273654223,0.0004622786811547946,0.35213794207546556,1.2957140388396424,0.0021052538406199288
BookSlope_z,閉場日,10,2443481,0.020542432438945622,0.0009697986469384559,21.182162404325627,0.007675085767516731,2.676508518756542,0.006210539193917804,0.0008298982562074059,7.483494690421042,0.03370555346459306,0.0034957935428467446,9.641746016026298,244360,0.00018359135872142654,0.0003802941293232313,0.5370703050578415,0.9258261399422998,0.0004721341194178248
BookSlope_z,閉場日,20,2443171,0.027514646500510855,0.0012313116552245512,22.345802042694935,0.011312510776166903,2.43223162787862,0.0027551017830294744,0.0008288937417377266,3.3238298762559926,0.040753008586408505,0.0073291379970699295,5.560409505551799,122174,0.00020433823273242655,0.00025300667395275126,0.7121614874548257,0.5756525916828763,0.002177908751203989
BookSlope_z,閉場日,30,2442861,0.032534453073248086,0.0014666374000917397,22.18302429162997,0.014080385891274253,2.310622260247142,0.001953632218310245,0.0008182923257705829,2.3874502507041315,0.0788817006920343,0.012336209901550443,6.394322188220896,81442,0.0002013982228867901,0.000501803031034853,0.7979587974744424,0.40404528009334306,-0.0033090679747729613
BookSlope_z,閉場日,50,2442241,0.03883482989797229,0.0018818848193995854,20.636135377489534,0.018116640160541205,2.14360000275085,0.000550312844189325,0.0008083054847343466,0.6808228504971581,0.04686372430267146,0.012910770343415723,3.6298162740204867,48862,0.0001743383187847279,0.00026958686499308523,0.8767959523083897,0.2463739086750837,0.0022042806368858386
BookSlope_z,閉場日,100,2440691,0.044343033831173745,0.0026775709445102046,16.560918365987575,0.02096602705438571,2.11499459178166,0.0016190430939376824,0.0007983199785777579,2.028062853721986,0.12480361818104153,0.04659186686603047,2.6786567393811436,24424,0.00011235892861146332,0.0002937144569197698,0.9389763742258924,0.12201949593052457,0.012592938627971284
BookSlope_z,閉場日,300,2434491,0.0676116135436608,0.004807030578896862,14.06515153876483,0.032507204922281575,2.079896247779748,0.00022415600953680064,0.0007917974824397224,0.2830976537663658,0.18442921416884128,0.1265653331523202,1.4571858626317717,8134,0.00008125418246554962,0.0002610472617980886,0.9809111397609348,0.03815953242468913,-0.003346314506611245
BookSlope_z,閉場日,500,2428291,0.08663149222642666,0.0061693856530964175,14.042158668253503,0.046520795334917105,1.8622100418262557,0.0004870774762085931,0.000790257414627415,0.6163529341110161,-0.04508133704397648,0.2458097593596695,-0.1833992969254461,4872,0.00008119552892993927,6.906585176112725e-6,0.9883504792572579,0.02327951951042615,0.044986188365525245
OBI,立会日,1,15139780,0.16319788369255553,0.0006909026711212726,236.20965805169072,0.0007471152391604028,218.43736432943723,0.1647916586710725,0.0006209869266081657,265.3705764325274,0.16319788369255553,0.0006909026711212728,236.20965805169064,15139780,0.0036717932615971927,0.0036717932615971927,-0.15266267911125558,2.3051532855962122,-0.00008918602546497129
OBI,立会日,2,15139712,0.2963144208992992,0.0008994448256005109,329.4414648519057,0.0011292196031116627,262.40637346604603,0.23329824699287136,0.001007699032531364,231.51579932236373,0.29649215589141714,0.001279894230475347,231.65363889584944,7569873,0.007117652057871137,0.007039177045552935,0.37144863089452007,1.2568873780995495,-0.0008780985355138707
OBI,立会日,3,15139644,0.39880515089995067,0.0010398032242071485,383.53905971395716,0.00145932639214119,273.28029770968897,0.22569041640164797,0.0010975498372557645,205.63113285675323,0.39831231275407786,0.001792262095028363,222.23999149397537,5046570,0.009622860715292027,0.009692114391452192,0.5393192398697085,0.9211755843923362,0.0003047066980933655
OBI,立会日,5,15139508,0.5407575929352233,0.0012452081445790313,434.2708448297515,0.0020346598744098296,265.77296762785704,0.18833195091600188,0.001133088059614689,166.2112219063052,0.5408914772536334,0.002791275102295412,193.7793508095386,3027928,0.0123036254675653,0.012249461894204764,0.6850982427502741,0.6296234165852355,0.0026298551069103347
OBI,立会日,10,15139168,0.7367255962447163,0.0016392194045981188,449.43684425535247,0.003289324633742832,223.97472985401765,0.14451632730323785,0.0011359786350163797,127.21746945632835,0.7355925051931488,0.005173941482887334,142.1725598610074,1513947,0.013166767301870835,0.013175328938008319,0.8184115683451971,0.3629440421414527,-0.0006209831466464197
OBI,立会日,20,15138488,0.8984094729055917,0.0022594457804255776,397.62382469579416,0.005543196359916134,162.07426448071638,0.12019151782778713,0.001127005203501139,106.64681711708322,0.8950817047370165,0.010095113901600084,88.66484454376938,756960,0.010335944067853656,0.010278837194964462,0.9031408295111675,0.19360520864180775,-0.0027465599757122987
OBI,立会日,30,15137808,0.9694899995317399,0.0027634646498452993,350.8241003140795,0.007589760945127964,127.7365659525913,0.1151800023910558,0.0011209244139980003,102.75447742300783,0.9824653983925895,0.015090921667874598,65.10307455137429,504627,0.008064903251708208,0.008329170913289743,0.9348128575693289,0.13025528440045014,0.01966782078898016
OBI,立会日,50,15136448,1.0549007347190111,0.0035824207770748344,294.4658934175713,0.011365870097138468,92.81302053457382,0.11252388888395642,0.0011154691157329749,100.87584433928228,1.0154754814213707,0.025281249415319212,40.16713987268532,302761,0.005695938572873233,0.005300740573675829,0.960831394493958,0.07821026220739538,-0.012117595172125566
OBI,立会日,100,15133048,1.1578808678795074,0.005105115249305027,226.8079781425371,0.01948344189247825,59.42896918672861,0.10860981554001203,0.0011087964519653376,97.95288878089531,1.0739554262235607,0.05116396906060001,20.990463522318574,151367,0.003387790186073869,0.0029023933251611607,0.9805442211585199,0.03882937832701626,0.008337424704443703
OBI,立会日,300,15119448,1.2489170874194129,0.008883688306001688,140.585424026602,0.04522242314592204,27.617208467344913,0.10900559086296652,0.001104661213670009,98.67784757357228,1.0563125194448115,0.15588306477668093,6.776313520382035,50436,0.0013055014830640277,0.0009096374629606828,0.9934902552978818,0.012941429763003283,-0.005652040699857305
OBI,立会日,500,15105848,1.2346269605984048,0.011451875970713461,107.81001852934725,0.06705080073792313,18.413306731773517,0.10642701075026506,0.0011012185838436888,96.64476454691916,1.294304941120464,0.2549316699377273,5.07706610730878,30247,0.0007688456377998808,0.0008515341577911104,0.9960985232611493,0.007742117788601915,0.01352477980868307
OBI,閉場日,1,2443760,0.09700543498155288,0.003789796669473842,25.59647480903525,0.00442824436112413,21.906070909990977,0.09164163263028012,0.0026816590108090844,34.173484496312184,0.09700543498155288,0.003789796669473842,25.59647480903525,2443760,0.0002680314147125982,0.0002680314147125982,-0.4112507629879224,2.8225008390338076,0.0012128203522847277
