d,w,n,p50
2026-05-04,昼 12 時から 1 時間,482,1821.734464885
2026-05-04,閉場前 1 時間,3471,5.508326799000001
2026-05-05,夜 12 時から 1 時間,59,64.122333856
2026-05-05,昼 12 時から 1 時間,3457,4.306880069
2026-05-05,閉場前 1 時間,2911,2.693719272
2026-05-05,開場前 1 時間,1136,0.4805552605000001
2026-05-05,開場後 1 時間,2584,3.2565288395
2026-05-06,夜 12 時から 1 時間,785,24.024111615000002
2026-05-06,昼 12 時から 1 時間,4025,20.284543586
2026-05-06,閉場前 1 時間,2777,25.033804233
2026-05-06,開場前 1 時間,4017,19.677603159
2026-05-06,開場後 1 時間,7873,12.490318656000001
2026-05-07,夜 12 時から 1 時間,407,76.597094029
2026-05-07,昼 12 時から 1 時間,9282,0.9522223295000001
2026-05-07,閉場前 1 時間,8446,0.48237260950000005
2026-05-07,開場前 1 時間,1778,12.350173150500002
2026-05-07,開場後 1 時間,5998,5.4885603195
2026-05-08,夜 12 時から 1 時間,790,27.258160418000003
2026-05-08,昼 12 時から 1 時間,7095,4.173290437
2026-05-08,閉場前 1 時間,6080,4.772344403
2026-05-08,開場前 1 時間,3121,10.119990770000001
2026-05-08,開場後 1 時間,9300,3.1853579250000004
2026-05-11,夜 12 時から 1 時間,8661,5.023338730000001
2026-05-11,昼 12 時から 1 時間,11705,4.735643351
2026-05-11,閉場前 1 時間,10442,4.9368967265000006
2026-05-11,開場前 1 時間,18373,5.972337477
2026-05-11,開場後 1 時間,13662,7.047229218
2026-05-12,夜 12 時から 1 時間,13904,3.7860879555
2026-05-12,昼 12 時から 1 時間,19135,9.292595063
2026-05-12,閉場前 1 時間,16007,9.359104047
2026-05-12,開場前 1 時間,14873,7.706702205000001
2026-05-12,開場後 1 時間,25435,8.267694178000001
2026-05-13,夜 12 時から 1 時間,13773,5.2362322830000005
2026-05-13,昼 12 時から 1 時間,13539,9.988162618
2026-05-13,閉場前 1 時間,11550,9.9147299455
2026-05-13,開場前 1 時間,21620,8.3553107155
2026-05-13,開場後 1 時間,33025,7.615808574000001
2026-05-14,夜 12 時から 1 時間,10972,9.792230965
2026-05-14,昼 12 時から 1 時間,14962,5.133403124000001
2026-05-14,閉場前 1 時間,11849,5.713974757000001
2026-05-14,開場前 1 時間,16101,3.4167885100000004
2026-05-14,開場後 1 時間,30352,3.7609394630000006
2026-05-15,夜 12 時から 1 時間,30023,0.8741100940000001
2026-05-15,昼 12 時から 1 時間,13580,5.087680691
2026-05-15,閉場前 1 時間,18416,2.6130762555000002
2026-05-15,開場前 1 時間,22174,1.415558373
2026-05-15,開場後 1 時間,23905,4.655493023
2026-05-18,夜 12 時から 1 時間,12693,6.338600501
2026-05-18,昼 12 時から 1 時間,25884,4.936307844
2026-05-18,閉場前 1 時間,26294,5.266946116000001
2026-05-18,開場前 1 時間,8863,6.109084071000001
2026-05-18,開場後 1 時間,14565,6.174067452
2026-05-19,夜 12 時から 1 時間,14478,6.260612066
2026-05-19,昼 12 時から 1 時間,27048,5.1600597275
2026-05-19,閉場前 1 時間,21477,5.649750103000001
2026-05-19,開場前 1 時間,33041,2.8012283730000003
2026-05-19,開場後 1 時間,54233,2.937146426
2026-05-20,夜 12 時から 1 時間,17067,7.167076303000001
2026-05-20,昼 12 時から 1 時間,22696,5.850095741500001
2026-05-20,閉場前 1 時間,18677,7.415228053000001
2026-05-20,開場前 1 時間,27705,4.969472875
2026-05-20,開場後 1 時間,26394,3.0041815610000002
2026-05-21,夜 12 時から 1 時間,11568,10.1799957845
2026-05-21,昼 12 時から 1 時間,25961,8.70168722
2026-05-21,閉場前 1 時間,30133,5.3562167810000005
2026-05-21,開場前 1 時間,23118,7.815061007000001
2026-05-21,開場後 1 時間,48564,2.6965284625
2026-05-22,夜 12 時から 1 時間,12336,10.002142935
2026-05-22,昼 12 時から 1 時間,22617,8.076624719
2026-05-22,閉場前 1 時間,22694,7.054092821
2026-05-22,開場前 1 時間,15491,10.080001562000001
2026-05-22,開場後 1 時間,49096,4.2618081375
2026-05-26,夜 12 時から 1 時間,7951,4.966248965
2026-05-26,昼 12 時から 1 時間,38422,2.8260972540000004
2026-05-26,閉場前 1 時間,36087,2.871137065
2026-05-26,開場前 1 時間,23044,2.5084719
2026-05-26,開場後 1 時間,86494,1.6578953840000001
2026-05-27,夜 12 時から 1 時間,39122,2.877486576
