hour,kind,rv_bp,n_5m
0,立会日,179.445227803285,804
0,非立会日,70.72932102142943,372
1,立会日,129.66397387904607,804
1,非立会日,52.64778501748318,372
2,立会日,102.60813023014755,804
2,非立会日,62.69086660578541,372
3,立会日,87.99710270195597,804
3,非立会日,44.584525364505225,372
4,立会日,87.26687618924774,804
4,非立会日,42.21174017209912,372
5,立会日,99.78646425510422,804
5,非立会日,46.96701584895283,372
6,立会日,98.80138691486746,804
6,非立会日,43.167514776181854,372
7,立会日,81.01050108171229,804
7,非立会日,40.790615044518184,372
8,立会日,128.29841049757403,804
8,非立会日,39.96306664863347,372
9,立会日,92.13288468971294,804
9,非立会日,43.2334464324382,372
10,立会日,90.2457038326644,804
10,非立会日,41.8862027663426,372
11,立会日,105.2114054783509,804
11,非立会日,40.540230258098724,372
12,立会日,125.87985938649547,804
12,非立会日,50.42138632382922,372
13,立会日,268.39681545634005,804
13,非立会日,48.968496974387904,372
14,立会日,215.82559597435085,801
14,非立会日,42.6460752989697,372
15,立会日,152.48792801718568,800
15,非立会日,39.51939686004938,372
16,立会日,132.7798821509349,804
16,非立会日,32.41763457038032,372
17,立会日,118.02634084220668,804
17,非立会日,37.89754388912199,372
18,立会日,118.12791375081869,804
18,非立会日,34.572453871845006,372
19,立会日,152.64944957888,804
19,非立会日,30.947143697404684,372
20,立会日,138.2951543637779,804
20,非立会日,33.8267921723772,371
21,立会日,73.63663352565693,804
21,非立会日,53.34252629456724,361
22,立会日,81.92963049045883,804
22,非立会日,66.61951193095999,372
23,立会日,80.74166334369721,804
23,非立会日,72.01166124148439,371
