col,family,h,nday,mean,med,pos,worst,best
micro_bid,2.1 マイクロプライス,10s,99,-0.09037728928094534,-0.08222636702138533,1,-0.2084577332145927,0.0034751888989096864
micro_bid,2.1 マイクロプライス,60s,99,-0.046659318330020745,-0.03907991801733637,11,-0.2241161311994146,0.02983904964781665
delta_bp__dlag1,69 ラグ,1s,99,-0.13167279145609526,-0.13062417330121148,0,-0.2245194170832885,-0.01913016438485954
delta_bp__dlag1,69 ラグ,10s,99,-0.05206469400237561,-0.05176211076656201,6,-0.12553454764085398,0.016298547986140197
delta_bp__dlag1,69 ラグ,60s,99,-0.022938215822346057,-0.020638978607857027,18,-0.11823892745982346,0.04775658099266251
delta_bp__d,61 加速と高次の動き,1s,99,-0.13166908663786903,-0.13062417330121148,0,-0.2245194170832885,-0.01913016438485954
delta_bp__d,61 加速と高次の動き,10s,99,-0.05206469451304847,-0.05176211076656201,6,-0.12553454764085398,0.016298547986140197
delta_bp__d,61 加速と高次の動き,60s,99,-0.022938231583038347,-0.020638978607857027,18,-0.11823892745982346,0.04775658099266251
obi_not1,4 板の偏り OBI,1s,99,-0.1260009408822019,-0.12601776130537407,1,-0.24055186330749379,0.007576993962901571
obi_not1,4 板の偏り OBI,10s,99,-0.07932745781205397,-0.0763809191349535,1,-0.18700406665447256,0.00023687935911065637
obi_not1,4 板の偏り OBI,60s,99,-0.03700229868164661,-0.033379331608519414,10,-0.20483299650389755,0.04594580798028194
obi1,4 板の偏り OBI,1s,99,-0.1259993228034958,-0.1260049911451468,1,-0.2405568460401506,0.0075732016549707095
obi1,4 板の偏り OBI,10s,99,-0.07932832440451777,-0.07637099888255763,1,-0.18699852469436992,0.00024920049730225183
obi1,4 板の偏り OBI,60s,99,-0.03700227642073245,-0.03338290591623925,10,-0.2048725794865529,0.04594250026820395
delta_bp__streak,62 慣性,1s,99,-0.11342148350309385,-0.11295135930136808,0,-0.19265158811873384,-0.019215866525612555
delta_bp__streak,62 慣性,10s,99,-0.04415920784487105,-0.04408142822448472,8,-0.12488298973403494,0.024138902302369484
delta_bp__streak,62 慣性,60s,99,-0.019178982930432673,-0.01746730558193679,26,-0.11505178489555931,0.05790277958990475
obi1__d,61 加速と高次の動き,1s,99,-0.1004807508852035,-0.09572609761426644,0,-0.20243197664009296,-0.018819559864571875
obi1__d,61 加速と高次の動き,10s,99,-0.03759496351399468,-0.038272599189265004,17,-0.11132159315436849,0.0410196379109467
obi1__d,61 加速と高次の動き,60s,99,-0.019132227678118435,-0.01832528453602399,28,-0.08785790582977494,0.049764960231240635
live_imb__dlag1,69 ラグ,1s,99,0.09889812423441839,0.09868008845519452,97,-0.020570471995688056,0.19476971856958353
live_imb__dlag1,69 ラグ,10s,99,0.0677497760019565,0.06987365132239157,95,-0.03094791536228495,0.17951001925201387
live_imb__dlag1,69 ラグ,60s,99,0.028320946763592297,0.029548690407470008,82,-0.042972475423650514,0.10464569871889269
mret_500ms,2.1 マイクロプライス,1s,99,-0.08819703081838325,-0.09202198624110823,4,-0.17118721897490707,0.021489669794490282
mret_500ms,2.1 マイクロプライス,10s,99,-0.024262283469431833,-0.029869811525416266,24,-0.09174945215655049,0.04600586858879515
mret_500ms,2.1 マイクロプライス,60s,99,-0.012609776774618628,-0.014781054435834514,31,-0.08965485586170426,0.0545802602575511
live_imb__dlag5,69 ラグ,1s,99,0.08871092608890321,0.09120379585416964,96,-0.019793652494686398,0.18350499837708284
live_imb__dlag5,69 ラグ,10s,99,0.06403647987607533,0.06227593482332271,97,-0.005668403552577125,0.17231928690191747
live_imb__dlag5,69 ラグ,60s,99,0.02960525449110442,0.02915965540648549,84,-0.03369165293739866,0.12211251859778721
obi1__streak,62 慣性,1s,99,-0.08567339438166036,-0.08238148012361847,0,-0.18286743607263214,-0.019229700933862025
