ts,open,high,low,close,volume,dtm,symbol
1777273200,1246.0,1255.199951171875,1206.0,1212.5999755859375,531691,2026-04-27T07:00:00.000000,ASML.AS
1777359600,1206.800048828125,1214.5999755859375,1167.4000244140625,1171.800048828125,616331,2026-04-28T07:00:00.000000,ASML.AS
1777446000,1189.4000244140625,1194.5999755859375,1176.4000244140625,1192.5999755859375,418252,2026-04-29T07:00:00.000000,ASML.AS
1777532400,1182.0,1222.4000244140625,1179.0,1222.4000244140625,672103,2026-04-30T07:00:00.000000,ASML.AS
1777878000,1228.800048828125,1230.0,1180.0,1187.4000244140625,653592,2026-05-04T07:00:00.000000,ASML.AS
1777964400,1184.199951171875,1232.0,1183.4000244140625,1229.0,500191,2026-05-05T07:00:00.000000,ASML.AS
1778050800,1248.800048828125,1306.199951171875,1248.0,1305.0,966744,2026-05-06T07:00:00.000000,ASML.AS
1778137200,1316.0,1332.5999755859375,1292.5999755859375,1300.0,702028,2026-05-07T07:00:00.000000,ASML.AS
1778223600,1300.0,1329.199951171875,1286.4000244140625,1319.4000244140625,580961,2026-05-08T07:00:00.000000,ASML.AS
1778482800,1325.0,1344.4000244140625,1291.800048828125,1305.5999755859375,624911,2026-05-11T07:00:00.000000,ASML.AS
1778569200,1300.0,1307.4000244140625,1263.800048828125,1265.800048828125,564914,2026-05-12T07:00:00.000000,ASML.AS
1778655600,1299.5999755859375,1327.0,1292.199951171875,1327.0,538129,2026-05-13T07:00:00.000000,ASML.AS
1778742000,1342.0,1371.5999755859375,1330.199951171875,1367.0,464468,2026-05-14T07:00:00.000000,ASML.AS
1778828400,1338.199951171875,1339.4000244140625,1279.4000244140625,1306.5999755859375,774845,2026-05-15T07:00:00.000000,ASML.AS
1779087600,1284.800048828125,1313.199951171875,1259.4000244140625,1264.4000244140625,534327,2026-05-18T07:00:00.000000,ASML.AS
1779174000,1254.0,1279.800048828125,1243.199951171875,1249.0,562705,2026-05-19T07:00:00.000000,ASML.AS
1779260400,1274.0,1336.800048828125,1269.199951171875,1333.0,722132,2026-05-20T07:00:00.000000,ASML.AS
1779346800,1321.199951171875,1361.199951171875,1318.800048828125,1345.199951171875,644698,2026-05-21T07:00:00.000000,ASML.AS
1779433200,1375.0,1412.5999755859375,1369.5999755859375,1409.0,680229,2026-05-22T07:00:00.000000,ASML.AS
1779692400,1433.800048828125,1437.0,1411.199951171875,1430.5999755859375,323447,2026-05-25T07:00:00.000000,ASML.AS
1779778800,1426.0,1428.4000244140625,1388.800048828125,1389.800048828125,600828,2026-05-26T07:00:00.000000,ASML.AS
1779865200,1397.199951171875,1431.199951171875,1359.4000244140625,1376.4000244140625,626063,2026-05-27T07:00:00.000000,ASML.AS
1779951600,1378.4000244140625,1395.0,1358.800048828125,1391.0,390747,2026-05-28T07:00:00.000000,ASML.AS
1780038000,1385.0,1420.5999755859375,1376.0,1384.800048828125,1216681,2026-05-29T07:00:00.000000,ASML.AS
1780297200,1387.0,1394.4000244140625,1360.5999755859375,1394.0,501411,2026-06-01T07:00:00.000000,ASML.AS
1780383600,1405.0,1465.199951171875,1401.0,1461.800048828125,606205,2026-06-02T07:00:00.000000,ASML.AS
1780470000,1496.0,1496.0,1454.5999755859375,1485.199951171875,785035,2026-06-03T07:00:00.000000,ASML.AS
1780556400,1480.0,1499.0,1437.5999755859375,1498.0,756688,2026-06-04T07:00:00.000000,ASML.AS
1780642800,1468.0,1475.0,1444.800048828125,1462.199951171875,665378,2026-06-05T07:00:00.000000,ASML.AS
1780902000,1400.5999755859375,1532.5999755859375,1399.0,1514.5999755859375,840744,2026-06-08T07:00:00.000000,ASML.AS
1780988400,1527.199951171875,1582.4000244140625,1508.4000244140625,1508.4000244140625,955464,2026-06-09T07:00:00.000000,ASML.AS
1781074800,1500.199951171875,1567.199951171875,1487.199951171875,1507.199951171875,942585,2026-06-10T07:00:00.000000,ASML.AS
1781161200,1514.5999755859375,1586.0,1514.5999755859375,1576.0,740892,2026-06-11T07:00:00.000000,ASML.AS
1781247600,1612.0,1629.5999755859375,1574.199951171875,1629.5999755859375,1014928,2026-06-12T07:00:00.000000,ASML.AS
1781506800,1668.0,1669.0,1605.5999755859375,1622.199951171875,763162,2026-06-15T07:00:00.000000,ASML.AS
1781593200,1629.5999755859375,1632.800048828125,1585.199951171875,1591.199951171875,616565,2026-06-16T07:00:00.000000,ASML.AS
1781679600,1594.5999755859375,1658.5999755859375,1591.800048828125,1656.4000244140625,879818,2026-06-17T07:00:00.000000,ASML.AS
1781766000,1664.4000244140625,1691.4000244140625,1655.5999755859375,1676.0,1007603,2026-06-18T07:00:00.000000,ASML.AS
1781852400,1655.0,1676.199951171875,1631.4000244140625,1657.800048828125,2712660,2026-06-19T07:00:00.000000,ASML.AS
1782111600,1660.0,1711.4000244140625,1655.800048828125,1655.800048828125,819297,2026-06-22T07:00:00.000000,ASML.AS
1782198000,1600.0,1608.800048828125,1552.800048828125,1560.800048828125,841790,2026-06-23T07:00:00.000000,ASML.AS
1782284400,1581.0,1585.0,1525.5999755859375,1553.800048828125,582354,2026-06-24T07:00:00.000000,ASML.AS
1782370800,1620.0,1636.0,1565.0,1594.0,714417,2026-06-25T07:00:00.000000,ASML.AS
1782457200,1574.199951171875,1593.199951171875,1547.4000244140625,1578.199951171875,653060,2026-06-26T07:00:00.000000,ASML.AS
1782716400,1581.0,1615.4000244140625,1553.800048828125,1612.0,595189,2026-06-29T07:00:00.000000,ASML.AS
1782802800,1666.5999755859375,1741.0,1652.0,1721.4000244140625,944969,2026-06-30T07:00:00.000000,ASML.AS
1782889200,1715.0,1735.0,1632.0,1641.5999755859375,702396,2026-07-01T07:00:00.000000,ASML.AS
1782975600,1600.0,1644.4000244140625,1566.0,1577.800048828125,797831,2026-07-02T07:00:00.000000,ASML.AS
1783062000,1588.4000244140625,1641.4000244140625,1588.4000244140625,1634.4000244140625,270434,2026-07-03T07:00:00.000000,ASML.AS
1783321200,1610.0,1636.800048828125,1588.199951171875,1628.4000244140625,384517,2026-07-06T07:00:00.000000,ASML.AS
1783407600,1562.5999755859375,1571.5999755859375,1502.5999755859375,1509.800048828125,706631,2026-07-07T07:00:00.000000,ASML.AS
1783494000,1523.800048828125,1555.199951171875,1496.5999755859375,1529.0,607809,2026-07-08T07:00:00.000000,ASML.AS
1783580400,1567.5999755859375,1625.199951171875,1556.0,1602.800048828125,542835,2026-07-09T07:00:00.000000,ASML.AS
1783666800,1567.0,1578.4000244140625,1546.5999755859375,1569.0,500202,2026-07-10T07:00:00.000000,ASML.AS
1783926000,1530.0,1555.199951171875,1522.4000244140625,1540.800048828125,496415,2026-07-13T07:00:00.000000,ASML.AS
1784012400,1532.199951171875,1569.0,1528.0,1555.800048828125,597936,2026-07-14T07:00:00.000000,ASML.AS
1784098800,1660.0,1678.199951171875,1536.199951171875,1549.4000244140625,1016640,2026-07-15T07:00:00.000000,ASML.AS
1784185200,1588.0,1620.0,1543.5999755859375,1598.4000244140625,750765,2026-07-16T07:00:00.000000,ASML.AS
1784271600,1536.0,1559.0,1491.0,1537.0,920647,2026-07-17T07:00:00.000000,ASML.AS
1784530800,1539.0,1574.800048828125,1518.800048828125,1520.800048828125,758336,2026-07-20T07:00:00.000000,ASML.AS
1784617200,1549.0,1596.4000244140625,1548.199951171875,1593.4000244140625,761405,2026-07-21T07:00:00.000000,ASML.AS
1784703600,1558.0,1589.5999755859375,1537.5999755859375,1589.5999755859375,722150,2026-07-22T07:00:00.000000,ASML.AS
1784790000,1590.800048828125,1603.800048828125,1554.4000244140625,1579.199951171875,601906,2026-07-23T07:00:00.000000,ASML.AS
1784876400,1560.0,1594.4000244140625,1542.199951171875,1563.0,540900,2026-07-24T07:00:00.000000,ASML.AS
1785135600,1558.199951171875,1592.0,1419.5999755859375,1429.800048828125,1054840,2026-07-27T07:00:00.000000,ASML.AS
1785222000,1387.0,1426.0,1366.4000244140625,1388.4000244140625,1111714,2026-07-28T07:00:00.000000,ASML.AS
1785308400,1360.199951171875,1420.199951171875,1333.800048828125,1362.199951171875,741639,2026-07-29T07:00:00.000000,ASML.AS
1785394800,1366.0,1456.199951171875,1363.0,1440.0,762188,2026-07-30T07:00:00.000000,ASML.AS
1785481200,1474.0,1495.800048828125,1417.199951171875,1434.199951171875,848806,2026-07-31T07:00:00.000000,ASML.AS
1785740400,1440.0,1443.800048828125,1372.4000244140625,1419.5999755859375,590984,2026-08-03T07:00:00.000000,ASML.AS
1785826800,1453.199951171875,1485.800048828125,1442.199951171875,1472.5999755859375,575851,2026-08-04T07:00:00.000000,ASML.AS
1785913200,1497.800048828125,1500.4000244140625,1454.5999755859375,1465.800048828125,452084,2026-08-05T07:00:00.000000,ASML.AS
1785999600,1451.0,1503.800048828125,1449.5999755859375,1494.0,544751,2026-08-06T07:00:00.000000,ASML.AS
1786086000,1483.0,1529.0,1482.0,1499.0,500140,2026-08-07T07:00:00.000000,ASML.AS
1786345200,1510.0,1558.0,1509.4000244140625,1513.800048828125,532868,2026-08-10T07:00:00.000000,ASML.AS
1786431600,1511.0,1576.800048828125,1510.199951171875,1554.0,524337,2026-08-11T07:00:00.000000,ASML.AS
1786518000,1585.0,1596.4000244140625,1566.199951171875,1567.0,586949,2026-08-12T07:00:00.000000,ASML.AS
1786604400,1582.4000244140625,1613.4000244140625,1569.4000244140625,1609.4000244140625,547625,2026-08-13T07:00:00.000000,ASML.AS
1786690800,1598.800048828125,1613.199951171875,1575.4000244140625,1579.5999755859375,532443,2026-08-14T07:00:00.000000,ASML.AS
1786950000,1619.4000244140625,1632.0,1585.0,1621.199951171875,546583,2026-08-17T07:00:00.000000,ASML.AS
1787036400,1600.0,1606.0,1534.0,1541.800048828125,581999,2026-08-18T07:00:00.000000,ASML.AS
1787122800,1555.199951171875,1562.199951171875,1499.199951171875,1507.5999755859375,539487,2026-08-19T07:00:00.000000,ASML.AS
1787209200,1521.0,1523.800048828125,1487.5999755859375,1505.4000244140625,387035,2026-08-20T07:00:00.000000,ASML.AS
1787295600,1514.4000244140625,1530.4000244140625,1491.0,1506.0,450613,2026-08-21T07:00:00.000000,ASML.AS
1787554800,1487.0,1512.5999755859375,1481.199951171875,1489.800048828125,362425,2026-08-24T07:00:00.000000,ASML.AS
1787641200,1510.0,1517.800048828125,1494.4000244140625,1501.0,359520,2026-08-25T07:00:00.000000,ASML.AS
1787727600,1496.199951171875,1512.4000244140625,1478.199951171875,1497.5999755859375,346851,2026-08-26T07:00:00.000000,ASML.AS
1787814000,1534.0,1541.0,1479.0,1486.4000244140625,520294,2026-08-27T07:00:00.000000,ASML.AS
1787900400,1483.199951171875,1497.800048828125,1476.4000244140625,1494.4000244140625,368687,2026-08-28T07:00:00.000000,ASML.AS
1788159600,1484.0,1485.0,1446.4000244140625,1451.800048828125,773376,2026-08-31T07:00:00.000000,ASML.AS
1788246000,1446.199951171875,1474.5999755859375,1423.4000244140625,1435.4000244140625,491209,2026-09-01T07:00:00.000000,ASML.AS
1788332400,1429.199951171875,1447.5999755859375,1423.4000244140625,1445.800048828125,482013,2026-09-02T07:00:00.000000,ASML.AS
1788418800,1443.800048828125,1452.800048828125,1393.4000244140625,1423.4000244140625,514189,2026-09-03T07:00:00.000000,ASML.AS
1788505200,1425.0,1482.800048828125,1419.4000244140625,1467.4000244140625,436091,2026-09-04T07:00:00.000000,ASML.AS
