var,day_type,lag,lag_ms,n_days,rho,lo,hi,rho_null
OBI,立会日,1,200,68,0.779859104007342,0.7623449517194449,0.7970365182976362,0.00018418104263866978
OBI,立会日,2,400,68,0.6575406687899585,0.6316822592684151,0.6832745120377507,-0.00032810163213828423
OBI,立会日,3,600,68,0.6011662282306608,0.5739674703981749,0.6288029465489683,-0.00013787584524157837
OBI,立会日,4,800,68,0.5622085784882428,0.5345132827911855,0.5905574333572008,0.00016281685573922076
OBI,立会日,5,1000,68,0.5298900796986183,0.5022111086902465,0.5584118477759846,-0.00012221396705689437
OBI,立会日,6,1200,68,0.503048116650144,0.4751107123260567,0.5313245328962862,-0.000023222180277509455
OBI,立会日,7,1400,68,0.48094976739504824,0.45308872803573685,0.5090548011564888,0.0001529289623349881
OBI,立会日,8,1600,68,0.4622310838851731,0.43481025274835117,0.4902534723108806,5.345778161559999e-6
OBI,立会日,9,1800,68,0.44543230504886155,0.4185938801409574,0.47321658190791255,-0.00010523841252563713
OBI,立会日,10,2000,68,0.4306159040761962,0.4043024243826827,0.45822123584224916,4.023491944132955e-6
OBI,立会日,11,2200,68,0.4172141086875764,0.3908961627078041,0.44450538687170377,0.000396561816264333
OBI,立会日,12,2400,68,0.40460390526440404,0.378348395841835,0.43151952065257004,-0.0003999024129464208
OBI,立会日,13,2600,68,0.3930477999662855,0.3671282755839766,0.4196375982888647,0.00005356206295851713
OBI,立会日,14,2800,68,0.3824485148375738,0.3570370993658946,0.408749817679702,0.0002731938984302846
OBI,立会日,15,3000,68,0.3728548212109143,0.34787843401303176,0.39873756907520186,0.00019123486139760006
OBI,立会日,16,3200,68,0.36404287929213214,0.3395549693238179,0.38950792245592,0.000029567249564173282
OBI,立会日,17,3400,68,0.35549608587348586,0.33137500596583475,0.38084406192186027,0.00005346015534839075
OBI,立会日,18,3600,68,0.3476612461809636,0.32391789231424245,0.37267502794680407,0.00022899492698136403
OBI,立会日,19,3800,68,0.34040070511095655,0.3169857936329946,0.3651740151353698,-0.00016462580416607176
OBI,立会日,20,4000,68,0.33330064009727767,0.31020756448241926,0.3577534150341454,0.00008145944157078884
OBI,立会日,21,4200,68,0.3265781392030144,0.3037304565111342,0.3508748671826635,0.00029416844092775745
OBI,立会日,22,4400,68,0.32034808692078465,0.2975665035880542,0.3443250537148085,0.00016987183220483522
OBI,立会日,23,4600,68,0.31452039856000513,0.2918570046152241,0.33818275884451027,-0.000028143965509973365
OBI,立会日,24,4800,68,0.30913409347547893,0.28661494597847703,0.33248362418561284,-0.000022413128217129355
OBI,立会日,25,5000,68,0.3039927957457941,0.281843284906766,0.3271104285072464,-0.00014464524808752727
OBI,立会日,26,5200,68,0.2988197057796264,0.27698425418895134,0.32173871087424044,0.00003824456574425375
OBI,立会日,27,5400,68,0.2939388702245092,0.272312171220735,0.31667435718604825,-0.000050717728086407085
OBI,立会日,28,5600,68,0.2893390438236497,0.26795935406332994,0.31186997296890606,-0.00007774356688044457
OBI,立会日,29,5800,68,0.2850872334515156,0.26395030016229093,0.3074217203308498,0.00008925101106354978
OBI,立会日,30,6000,68,0.28103237748504317,0.2600271878981323,0.3030501880354142,-0.000024521381054286806
OBI,立会日,31,6200,68,0.27702213893569483,0.25597984751928016,0.2987681465957379,-0.00017274659996868976
OBI,立会日,32,6400,68,0.2732352817432009,0.25242361185872636,0.29487120953202783,0.00025492748731967323
OBI,立会日,33,6600,68,0.26962172925369776,0.2489449588398717,0.2911225609187676,0.0000507163160217073
OBI,立会日,34,6800,68,0.2662253179112257,0.24567589281190472,0.2875192746541325,0.00001680987878049663
OBI,立会日,35,7000,68,0.26280826316733114,0.24251301700526268,0.2840384263833607,-0.00014786224360275878
OBI,立会日,36,7200,68,0.2592739434166249,0.2391205925547579,0.2803899182462448,-0.0002291033254413578
OBI,立会日,37,7400,68,0.25604196386870287,0.23607589794515504,0.27689754070133493,-0.0002461566663175515
OBI,立会日,38,7600,68,0.2530346313875284,0.23307854928086663,0.2737147850375094,-0.00011895656589580057
OBI,立会日,39,7800,68,0.2501556770863762,0.23046772388190923,0.2707758036943301,-0.0001143075239261505
OBI,立会日,40,8000,68,0.24735918140137325,0.22780131919141935,0.2678351790614596,-0.00027468916131723333
OBI,立会日,41,8200,68,0.24459205680378476,0.2252156390368143,0.2648428878452889,0.000047467864146964365
OBI,立会日,42,8400,68,0.24185431796817336,0.22264186340538175,0.2618254632767481,0.00004646214830910412
OBI,立会日,43,8600,68,0.23930384499977708,0.22029274981407188,0.25908558106180457,-0.0000113563580078666
OBI,立会日,44,8800,68,0.23692372216804908,0.21806612474769957,0.25656382378689513,-0.00025468770515022784
OBI,立会日,45,9000,68,0.2345515321530178,0.21595724079628276,0.2540489212136291,0.000052986821094835784
OBI,立会日,46,9200,68,0.23206304460982854,0.21371429355544116,0.2513059121183603,-0.0002478418323766449
OBI,立会日,47,9400,68,0.2297276516147123,0.211469854638563,0.2489018366417375,0.00001785405956278751
OBI,立会日,48,9600,68,0.22756409849773016,0.20937473010873986,0.24661622718380458,-0.00003281655112935409
OBI,立会日,49,9800,68,0.22556026887443434,0.20753068524215795,0.24450387502389562,0.000058435504042771434
OBI,立会日,50,10000,68,0.22353875955896682,0.2058053076837893,0.24224980249402497,-0.00012266892118379893
OBI,立会日,51,10200,68,0.22140311979770735,0.20378783476675894,0.24011111599232834,0.0003351410078258472
OBI,立会日,52,10400,68,0.21935583736455738,0.20172892440915097,0.23785722623955077,0.0000957448181024444
OBI,立会日,53,10600,68,0.2173780885673737,0.19992431597688406,0.235761809485138,-0.000357230381704978
OBI,立会日,54,10800,68,0.2155647331579499,0.19824396642213732,0.2337968976937433,-0.00009327000819778179
OBI,立会日,55,11000,68,0.21375144726897027,0.1965059079754994,0.2318440496563861,0.000019047030657412822
OBI,立会日,56,11200,68,0.2118285160279643,0.1946696180255608,0.22979743908761296,-0.00003659795812479749
OBI,立会日,57,11400,68,0.2099389659276746,0.19299237606082642,0.22775111614223692,0.00004027737750713957
OBI,立会日,58,11600,68,0.2081729347291738,0.19136175015727303,0.2259171768898006,-0.00009290814192986121
OBI,立会日,59,11800,68,0.20669110198373927,0.19019657776575496,0.22435708672401064,-0.00027660487304467644
OBI,立会日,60,12000,68,0.2052529290244214,0.18900655713048387,0.22272167167709767,-0.0001668018191466595
OBI,立会日,61,12200,68,0.20349618444106662,0.18738456422015737,0.2209826971930424,0.00003439933034733903
OBI,立会日,62,12400,68,0.20178387613346105,0.18571399608671987,0.21920192746194186,0.0001902576500605282
OBI,立会日,63,12600,68,0.20049107142872796,0.18459894271262284,0.21760556655467755,-0.000015103055882801973
OBI,立会日,64,12800,68,0.19900953820933914,0.18326818277405654,0.21594964519145454,-0.0002773475763077257
OBI,立会日,65,13000,68,0.19752655343512385,0.18176657796301557,0.21441343437739402,7.35465778928238e-6
OBI,立会日,66,13200,68,0.19599360421237744,0.1803948776226036,0.21270738927268754,-0.00013737906083853476
OBI,立会日,67,13400,68,0.1945787411854072,0.17900054354731035,0.21124224275698486,-0.0000613745785943913
OBI,立会日,68,13600,68,0.19330234290102533,0.1779189087100675,0.20997172500156647,-0.00002554550979208518
OBI,立会日,69,13800,68,0.1919646421638975,0.17665042112331725,0.20851408686013564,0.0002791879875592829
OBI,立会日,70,14000,68,0.1907684743380813,0.17566613330468667,0.20727286347145424,0.0004102284273599289
OBI,立会日,71,14200,68,0.1894018391473385,0.1744564829853058,0.20596843216253627,0.00020056190686672072
OBI,立会日,72,14400,68,0.18801342920394676,0.17312774990369223,0.20438296336238895,0.00007009927970497294
OBI,立会日,73,14600,68,0.1868934235298317,0.17219604195453045,0.20314896875989516,0.00010889087578453487
OBI,立会日,74,14800,68,0.1857661484131872,0.17123693888092037,0.20181057524585483,0.00022021861766941708
OBI,立会日,75,15000,68,0.18456830504499305,0.17014913654638478,0.2005661325107921,-0.00004074042836893191
OBI,立会日,76,15200,68,0.18335320977601385,0.1690008678432178,0.19930843938038106,0.0003165820908843505
OBI,立会日,77,15400,68,0.18213457267613295,0.1678285704791263,0.1980209050083745,0.00010764529267678384
OBI,立会日,78,15600,68,0.18094986854410672,0.1667811523591332,0.19664153466421536,0.00023589166729939183
OBI,立会日,79,15800,68,0.17984571589853623,0.16584366689499574,0.1954997116597588,-0.00006921858971285861
OBI,立会日,80,16000,68,0.17881680237102107,0.16481949972049992,0.19441321663194347,-0.0001597638207108396
OBI,立会日,81,16200,68,0.17775150263821593,0.163815486722189,0.19335563480355028,-0.000019556455994054328
OBI,立会日,82,16400,68,0.1766639913202962,0.16276072757530122,0.1922468622082583,0.000221915973497474
OBI,立会日,83,16600,68,0.1758033895958925,0.1620870935270372,0.19135046663282884,-0.00038808892760891825
OBI,立会日,84,16800,68,0.1748965573298649,0.16126942097820235,0.19043837137524847,-0.00007321770860517377
OBI,立会日,85,17000,68,0.17398207851060843,0.16033953101016554,0.18951764540070293,0.00019780833705519043
OBI,立会日,86,17200,68,0.17292886827488968,0.15921615628854247,0.18850493594297402,0.000026490543071793866
OBI,立会日,87,17400,68,0.17208623734027148,0.1583990425534661,0.1875403976749684,0.0001666384806441378
OBI,立会日,88,17600,68,0.171128685019793,0.1574649825432534,0.18649133405597412,-0.00019654754148717862
OBI,立会日,89,17800,68,0.17033152311021227,0.15678146267126067,0.1855259834587635,0.0001280453474036263
OBI,立会日,90,18000,68,0.16959976066257343,0.1561957902494665,0.18478417037459435,-0.00044087069102295245
OBI,立会日,91,18200,68,0.16858671967192967,0.15520119809461183,0.18387345172072123,0.00006618806684493207
OBI,立会日,92,18400,68,0.1676086302181815,0.15430739291403398,0.182940320580706,-0.0003025691883668861
OBI,立会日,93,18600,68,0.16664037017705038,0.1533686406079751,0.18191307220662828,-0.00019200400255889443
OBI,立会日,94,18800,68,0.1659078224511985,0.15276969430352622,0.1809820032780059,1.7750697620846255e-6
OBI,立会日,95,19000,68,0.164968666100154,0.15181547309300017,0.17992530942155122,0.00014825086436192698
OBI,立会日,96,19200,68,0.1640196501628084,0.1508377123397887,0.17894579758774526,-0.000036525908334473914
OBI,立会日,97,19400,68,0.16313323925890508,0.15008718688527442,0.17797154622360387,-0.00003747245771231289
OBI,立会日,98,19600,68,0.16228834369755357,0.14928243762024007,0.1769910381731805,-1.8778695738431808e-6
OBI,立会日,99,19800,68,0.16152623642194144,0.1485709578473704,0.17616194894250733,-0.00026102682835582635
OBI,立会日,100,20000,68,0.16080725594949477,0.14782806997148723,0.17540126325309016,-0.00021463733682637454
OBI,立会日,101,20200,68,0.15997302578927067,0.147073823219878,0.17454837802969106,-0.00011299672570437366
OBI,立会日,102,20400,68,0.159289908031383,0.146489980341219,0.1738541420543642,-2.699842417776234e-6
OBI,立会日,103,20600,68,0.1586659412265476,0.14601579039846593,0.17302308900743307,0.00014557279767052879
OBI,立会日,104,20800,68,0.1579468572789634,0.1455515363337137,0.17221299047417035,-0.000012953877803982615
OBI,立会日,105,21000,68,0.1573133548171703,0.14512126705738346,0.1717074986800762,0.000017538986448501558
OBI,立会日,106,21200,68,0.15656525813281474,0.14443499884778782,0.17104917000504963,0.0003223385739756517
OBI,立会日,107,21400,68,0.15580610832575892,0.14366740138338163,0.1702785764022756,-0.00008368609302891576
OBI,立会日,108,21600,68,0.15497447138401485,0.1428655231417039,0.16930846946036396,-0.00006814927378013928
OBI,立会日,109,21800,68,0.15427015258923482,0.14227419718658801,0.16860127437316508,0.00022512778129545174
OBI,立会日,110,22000,68,0.15368964405953003,0.1418446907453089,0.1679517627311419,0.00010439619366710587
OBI,立会日,111,22200,68,0.15297218623207326,0.1412000937690419,0.16716976160457767,0.00002539617996365519
OBI,立会日,112,22400,68,0.15230196218646908,0.14054887125872778,0.16641139255577994,-0.0004917016258541645
OBI,立会日,113,22600,68,0.1517320496338485,0.1400612852411466,0.1657619688115538,0.000041609131268379495
OBI,立会日,114,22800,68,0.1510560391949333,0.13945746322526723,0.1650646150998873,0.00010637661703369642
OBI,立会日,115,23000,68,0.1504392098233186,0.13889232042572786,0.164373578346038,0.000024808597011192426
OBI,立会日,116,23200,68,0.14960776226652045,0.13808572485529444,0.16342871620905683,0.0002260844896972095
OBI,立会日,117,23400,68,0.14882724763635244,0.13730602063241878,0.162570244953366,0.00002623753295104617
OBI,立会日,118,23600,68,0.1481713490392602,0.13668319707096271,0.1617816711807119,0.00014346478620015223
OBI,立会日,119,23800,68,0.14757842604309662,0.13633115930381876,0.16108890090486433,0.00001711402965327771
OBI,立会日,120,24000,68,0.14694145778363935,0.13579714789731773,0.1604440278807382,-0.00029138312878082496
OBI,立会日,121,24200,68,0.14636727691697116,0.13518698347897665,0.15979900928356755,0.00006168000822609872
OBI,立会日,122,24400,68,0.14580667716034165,0.13473142065983496,0.15921519674168508,-0.00017158743384840708
OBI,立会日,123,24600,68,0.14517708081748626,0.13406536754259848,0.1586411953495079,-4.624858981183987e-6
OBI,立会日,124,24800,68,0.1446385850986257,0.13354484774347355,0.158083099692974,0.00007831307783139594
OBI,立会日,125,25000,68,0.14404422264007416,0.13296228509163874,0.15742289696535214,0.00018102142766022927
OBI,立会日,126,25200,68,0.1433703685600547,0.132378455360053,0.15673476604789147,-0.00016960710813738674
OBI,立会日,127,25400,68,0.14262125813115628,0.13160028894832307,0.15590583767928967,-0.00012232277212663508
OBI,立会日,128,25600,68,0.14186644366519927,0.1310707248102476,0.1550681700334156,0.000014726189306546629
OBI,立会日,129,25800,68,0.14131313885484117,0.13054802353691197,0.15446489623409815,-0.000020546924063311874
OBI,立会日,130,26000,68,0.1408748713407695,0.13011565069009104,0.15394199049719906,-0.00022019738964659978
OBI,立会日,131,26200,68,0.1402653015906239,0.1295603164171215,0.15326550550084475,-0.00009666850718615613
OBI,立会日,132,26400,68,0.1395731349892456,0.12887259782673446,0.15260382310725729,0.00017346615715937378
OBI,立会日,133,26600,68,0.13887308910829912,0.12807341750071774,0.15183914656682357,0.000031050899067903896
OBI,立会日,134,26800,68,0.13836842839584582,0.1275886810307359,0.1513190855830923,0.00020998710408911796
OBI,立会日,135,27000,68,0.13793000314820392,0.12730754471949401,0.1507685290391157,0.00015590152977312019
OBI,立会日,136,27200,68,0.13762566647512284,0.12703915010945752,0.15039203112760277,-0.000027917573199861362
OBI,立会日,137,27400,68,0.13713126353106128,0.12648634809951603,0.14981194182216548,-0.00032106212537463325
OBI,立会日,138,27600,68,0.13652338380825987,0.1259805946577481,0.14917702708154432,-0.00012241999103393725
OBI,立会日,139,27800,68,0.1358228884632278,0.12526286018491944,0.1485528775084767,0.00005327149911317476
OBI,立会日,140,28000,68,0.13544454664353092,0.12497035139035956,0.14821630612989664,-8.672014069851649e-6
OBI,立会日,141,28200,68,0.13506025775602734,0.12458985544077526,0.1478321326752478,6.807321760564719e-6
OBI,立会日,142,28400,68,0.13451875970621727,0.12406588849437859,0.14722660194876977,-0.0000440750858383635
OBI,立会日,143,28600,68,0.1340688357152364,0.12363466111740995,0.14682553495856107,-0.0003404674713951964
