coin,horizon,px,n_days,n_feat,n_bonf,n_bonf_null,n_over_cost,max_abs_spread,p90_abs_spread,thr
xyz:INTC,60s,mid,98,70,29,0,0,15.363148386650385,1.2992203341560484,4.30672766166957
xyz:INTC,60s,micro,98,70,13,0,0,15.278784066871816,1.9508034592745505,4.30672766166957
xyz:AMD,100ms,mid,98,70,41,0,0,0.06724380165631971,0.04626958051346154,4.30672766166957
xyz:AMD,100ms,micro,98,70,30,0,0,0.43680141100857833,0.25072377700279097,4.30672766166957
xyz:AMD,300ms,mid,98,70,44,0,0,0.1853580119609657,0.11797315414493711,4.30672766166957
xyz:AMD,300ms,micro,98,70,38,0,0,0.9353041243035327,0.5449356958557718,4.30672766166957
xyz:AMD,500ms,mid,98,70,46,0,0,0.20201437333901923,0.17607820135313407,4.30672766166957
xyz:AMD,500ms,micro,98,70,34,0,0,1.1646805180127853,0.6867960241361705,4.30672766166957
xyz:AMD,1s,mid,98,70,47,0,0,0.39864200532277794,0.3195664374603944,4.30672766166957
xyz:AMD,1s,micro,98,70,33,0,0,1.3979310531191127,0.7453542760075478,4.30672766166957
xyz:AMD,3s,mid,98,70,46,0,0,0.597568969030244,0.536001951288755,4.30672766166957
xyz:AMD,3s,micro,98,70,31,0,0,1.8385708738864253,0.8033067356197672,4.30672766166957
xyz:AMD,5s,mid,98,70,46,0,0,1.1354612026140467,0.6716210848401342,4.30672766166957
xyz:AMD,5s,micro,98,70,30,0,0,2.0968053857370594,1.1421281944239716,4.30672766166957
xyz:AMD,10s,mid,98,70,46,0,0,2.6077909630378344,0.7969999558282986,4.30672766166957
xyz:AMD,10s,micro,98,70,36,0,0,2.6686508619324174,2.0983792203380673,4.30672766166957
xyz:AMD,30s,mid,98,70,46,0,0,8.010446871003172,1.0174279925336998,4.30672766166957
xyz:AMD,30s,micro,98,70,37,0,0,7.911677946882013,2.9205094077774763,4.30672766166957
xyz:AMD,60s,mid,98,70,40,0,0,15.757239576137485,1.1699985737274412,4.30672766166957
xyz:AMD,60s,micro,98,70,32,0,0,15.698845268539857,3.0800821585991005,4.30672766166957
xyz:KIOXIA,100ms,mid,46,66,16,0,0,0.14388437395212245,0.07557108057300634,4.537950020226074
xyz:KIOXIA,100ms,micro,46,66,31,0,0,1.7399925283703097,1.4081119395005712,4.537950020226074
xyz:KIOXIA,300ms,mid,46,66,19,0,0,0.8089291227611757,0.19900134089664226,4.537950020226074
xyz:KIOXIA,300ms,micro,46,66,35,0,0,4.52468456942698,3.786935893422826,4.537950020226074
xyz:KIOXIA,500ms,mid,46,66,20,0,0,0.835241977147896,0.24978391742595107,4.537950020226074
xyz:KIOXIA,500ms,micro,46,66,37,0,0,6.328089766436287,5.228644878981619,4.537950020226074
xyz:KIOXIA,1s,mid,46,66,26,0,0,1.325807867621342,0.45886248799595264,4.537950020226074
xyz:KIOXIA,1s,micro,46,66,45,0,0,8.507907278183817,6.337488324555477,4.537950020226074
xyz:KIOXIA,3s,mid,46,66,35,0,0,1.688972283979388,1.157726514848114,4.537950020226074
xyz:KIOXIA,3s,micro,46,66,40,0,0,11.361159946080091,7.048812488572189,4.537950020226074
xyz:KIOXIA,5s,mid,46,66,38,0,0,2.5682987840815454,1.9206890081816965,4.537950020226074
xyz:KIOXIA,5s,micro,46,66,40,0,0,12.58763196925844,7.48263780252891,4.537950020226074
xyz:KIOXIA,10s,mid,46,66,38,0,0,4.058913415546588,3.2379025835669637,4.537950020226074
xyz:KIOXIA,10s,micro,46,66,38,0,0,14.239735500324812,8.03425384106247,4.537950020226074
xyz:KIOXIA,30s,mid,46,66,40,0,0,17.33846299271123,6.455781039210605,4.537950020226074
xyz:KIOXIA,30s,micro,46,66,34,0,3,16.592507095347628,13.473431433217867,4.537950020226074
xyz:KIOXIA,60s,mid,46,66,40,0,0,35.81848506373786,8.933380522245967,4.537950020226074
xyz:KIOXIA,60s,micro,46,66,36,0,3,35.05849962976281,17.475265172786944,4.537950020226074
xyz:SKHX,100ms,mid,98,73,40,0,0,0.22282187247752294,0.18588303401081785,4.317790164941431
xyz:SKHX,100ms,micro,98,73,24,0,0,0.8588464539123218,0.38644352587960545,4.317790164941431
xyz:SKHX,300ms,mid,98,73,42,0,0,0.4802489414799794,0.3989582607241788,4.317790164941431
xyz:SKHX,300ms,micro,98,73,29,0,0,1.7696339646667945,0.814832600291885,4.317790164941431
xyz:SKHX,500ms,mid,98,73,45,0,0,0.949463136779927,0.5761560867932575,4.317790164941431
xyz:SKHX,500ms,micro,98,73,33,0,0,2.291629220850218,1.1459299177526605,4.317790164941431
xyz:SKHX,1s,mid,98,73,44,0,0,2.4986528011328266,0.906934864732322,4.317790164941431
xyz:SKHX,1s,micro,98,73,33,0,0,7.056884340220672,2.0433838640335233,4.317790164941431
xyz:SKHX,3s,mid,98,73,46,0,0,2.1204360020781112,1.3068270670669655,4.317790164941431
xyz:SKHX,3s,micro,98,73,37,0,3,6.24755335186545,3.0017239369172932,4.317790164941431
xyz:SKHX,5s,mid,98,73,47,0,0,5.60534079561275,1.5269857802658098,4.317790164941431
xyz:SKHX,5s,micro,98,73,37,0,3,6.427965376282372,4.386908800382978,4.317790164941431
xyz:SKHX,10s,mid,98,73,45,0,0,19.387856550996652,2.211860841226615,4.317790164941431
xyz:SKHX,10s,micro,98,73,34,0,3,19.642771871877382,5.097278748131143,4.317790164941431
xyz:SKHX,30s,mid,98,73,45,0,0,85.68768205395267,9.640256269508674,4.317790164941431
xyz:SKHX,30s,micro,98,73,34,0,3,86.46017626966861,10.110893354624727,4.317790164941431
xyz:SKHX,60s,mid,98,73,42,0,1,184.50886030707892,9.608020239870283,4.317790164941431
xyz:SKHX,60s,micro,98,73,32,0,3,185.38956955480987,15.76365654581299,4.317790164941431
xyz:SMSN,100ms,mid,97,70,23,0,0,0.094982591559026,0.07183140252659262,4.308870509483269
xyz:SMSN,100ms,micro,97,70,25,0,0,0.7711097166088999,0.527197564881951,4.308870509483269
xyz:SMSN,300ms,mid,97,70,31,0,0,0.2235285165959059,0.19364663557018005,4.308870509483269
xyz:SMSN,300ms,micro,97,70,29,0,0,1.7675448692116165,0.936268768499105,4.308870509483269
xyz:SMSN,500ms,mid,97,70,38,0,0,0.3451181041084787,0.29701913845838424,4.308870509483269
xyz:SMSN,500ms,micro,97,70,29,0,0,2.3115724379620306,1.21600497832749,4.308870509483269
xyz:SMSN,1s,mid,97,70,42,0,0,0.5767899335508979,0.51312670182755,4.308870509483269
xyz:SMSN,1s,micro,97,70,27,0,0,5.443108487860778,1.8114484913571107,4.308870509483269
xyz:SMSN,3s,mid,97,70,45,0,0,1.6093451226150526,1.037959995025531,4.308870509483269
xyz:SMSN,3s,micro,97,70,28,0,0,5.606780316378592,1.9969063095602833,4.308870509483269
xyz:SMSN,5s,mid,97,70,46,0,0,6.980045870625805,1.50751718737227,4.308870509483269
xyz:SMSN,5s,micro,97,70,28,0,0,13.836652736488729,2.060354655625248,4.308870509483269
xyz:SMSN,10s,mid,97,70,46,0,0,10.785930578455789,1.9753510170312745,4.308870509483269
xyz:SMSN,10s,micro,97,70,31,0,3,18.64210728657269,2.365468509537722,4.308870509483269
xyz:SMSN,30s,mid,97,70,45,0,0,15.862477385947379,4.404685107924971,4.308870509483269
xyz:SMSN,30s,micro,97,70,27,0,3,26.9829633439638,4.951265224747675,4.308870509483269
xyz:SMSN,60s,mid,97,70,39,0,0,11.723440075593151,8.522953029199762,4.308870509483269
xyz:SMSN,60s,micro,97,70,25,0,3,21.52204447045219,8.751823051436114,4.308870509483269
xyz:SNDK,100ms,mid,98,69,41,0,0,0.2058637204541738,0.16747914652398954,4.302930654247317
xyz:SNDK,100ms,micro,98,69,29,0,0,0.442703204779977,0.12260921266963849,4.302930654247317
xyz:SNDK,300ms,mid,98,69,44,0,0,0.5182111278937307,0.42306039383620025,4.302930654247317
xyz:SNDK,300ms,micro,98,69,34,0,0,0.8468531246345892,0.30158996969311175,4.302930654247317
xyz:SNDK,500ms,mid,98,69,47,0,0,0.6971597601808099,0.5652542018026561,4.302930654247317
xyz:SNDK,500ms,micro,98,69,34,0,0,1.0019719167863463,0.29730956908715983,4.302930654247317
xyz:SNDK,1s,mid,98,69,47,0,0,0.9218875844171076,0.7410454279314398,4.302930654247317
xyz:SNDK,1s,micro,98,69,35,0,0,1.0883332200338824,0.4424727425178204,4.302930654247317
xyz:SNDK,3s,mid,98,69,46,0,0,1.2986995741126963,0.98062382920358,4.302930654247317
xyz:SNDK,3s,micro,98,69,32,0,0,1.1903692136829627,0.6666534165155427,4.302930654247317
xyz:SNDK,5s,mid,98,69,46,0,0,1.46339297352575,1.0699652099406696,4.302930654247317
xyz:SNDK,5s,micro,98,69,33,0,0,1.2386692120526384,0.8442068184548548,4.302930654247317
xyz:SNDK,10s,mid,98,69,45,0,0,1.6347360138729914,1.4147816965778721,4.302930654247317
xyz:SNDK,10s,micro,98,69,33,0,0,1.680431371784426,1.2804330972576794,4.302930654247317
xyz:SNDK,30s,mid,98,69,46,0,0,4.9002355441961365,2.5912814474441968,4.302930654247317
xyz:SNDK,30s,micro,98,69,29,0,0,4.936138796714663,2.614779006599217,4.302930654247317
xyz:SNDK,60s,mid,98,69,40,0,0,8.561633301946337,3.717797852602407,4.302930654247317
xyz:SNDK,60s,micro,98,69,26,0,0,8.635424676745778,3.7544950095314467,4.302930654247317
