coin,horizon,px,n_days,n_feat,n_bonf,n_bonf_null,n_over_cost,max_abs_spread,p90_abs_spread,thr
xyz:MU,100ms,mid,97,66,46,0,0,0.19672220138781862,0.15784776181779836,4.293309174355114
xyz:MU,100ms,micro,97,66,34,0,0,0.4763485112780334,0.1964648292791353,4.293309174355114
xyz:MU,300ms,mid,97,66,48,0,0,0.4950875340973377,0.37588976814355807,4.293309174355114
xyz:MU,300ms,micro,97,66,37,0,0,0.9258595349501069,0.3660031096102392,4.293309174355114
xyz:MU,500ms,mid,97,66,47,0,0,0.6524905945209468,0.5048143371642912,4.293309174355114
xyz:MU,500ms,micro,97,66,37,0,0,1.0905874406828724,0.42368894526120654,4.293309174355114
xyz:MU,1s,mid,97,66,47,0,0,0.8746052235933046,0.71244361202457,4.293309174355114
xyz:MU,1s,micro,97,66,37,0,0,1.218847843825971,0.4632922445459237,4.293309174355114
xyz:MU,3s,mid,97,66,47,0,0,1.1435856052007851,0.9408929969486416,4.293309174355114
xyz:MU,3s,micro,97,66,36,0,0,1.3208990529404827,0.6547022097547045,4.293309174355114
xyz:MU,5s,mid,97,66,48,0,0,1.1708376478232536,1.0236818530541314,4.293309174355114
xyz:MU,5s,micro,97,66,36,0,0,1.3649542185551604,0.6914540901435512,4.293309174355114
xyz:MU,10s,mid,97,66,46,0,0,1.4179274928984769,1.2793256252890728,4.293309174355114
xyz:MU,10s,micro,97,66,35,0,0,1.4216043052868292,1.3555398676406767,4.293309174355114
xyz:MU,30s,mid,97,66,46,0,0,3.9551065629079187,1.5511728471886816,4.293309174355114
xyz:MU,30s,micro,97,66,33,0,0,3.9377576064468247,1.375616815921046,4.293309174355114
xyz:MU,60s,mid,97,66,44,0,0,6.99369567676952,2.004587882984864,4.293309174355114
xyz:MU,60s,micro,97,66,31,0,0,7.009252875028508,2.009283579379347,4.293309174355114
xyz:INTC,100ms,mid,98,70,28,0,0,0.12221207902562266,0.10335059330298398,4.30672766166957
xyz:INTC,100ms,micro,98,70,21,0,0,0.39700044198552986,0.1761905067503175,4.30672766166957
xyz:INTC,300ms,mid,98,70,32,0,0,0.2754232020055847,0.22131594986368353,4.30672766166957
xyz:INTC,300ms,micro,98,70,25,0,0,0.8298531859529892,0.4388584293630911,4.30672766166957
xyz:INTC,500ms,mid,98,70,35,0,0,11.367636587422885,0.35700977135687906,4.30672766166957
xyz:INTC,500ms,micro,98,70,25,0,0,11.69162189121855,1.0069541365538128,4.30672766166957
xyz:INTC,1s,mid,98,70,33,0,0,11.9907515873846,0.46729388221487267,4.30672766166957
xyz:INTC,1s,micro,98,70,29,0,0,12.262426813346677,1.1913564736397115,4.30672766166957
xyz:INTC,3s,mid,98,70,35,0,0,12.241919391395799,0.6511813038574984,4.30672766166957
xyz:INTC,3s,micro,98,70,27,0,0,12.374824515773982,1.4377002009772684,4.30672766166957
xyz:INTC,5s,mid,98,70,39,0,0,12.697032154151026,0.7404700315257925,4.30672766166957
xyz:INTC,5s,micro,98,70,27,0,0,12.664900230544532,1.5686316951703656,4.30672766166957
xyz:INTC,10s,mid,98,70,30,0,0,12.861783722691193,0.8773496180939417,4.30672766166957
xyz:INTC,10s,micro,98,70,26,0,0,12.71230538924773,1.7326700450391674,4.30672766166957
xyz:INTC,30s,mid,98,70,30,0,0,13.870530422998462,1.0692586493935592,4.30672766166957
xyz:INTC,30s,micro,98,70,20,0,0,13.854268085857319,1.9638387939312454,4.30672766166957
