feature,target,n,n_days,d1,d10,spread_bp,se_bp,t,monotone_rho,max_dec_share,n_dec_pop,family,ab
delta_disagree,fwd_micro_60s,1692166,98,0.7935869029428956,-0.8039113751014568,-1.6301589589909873,0.09866643530639208,-16.521920082840754,-0.9878787878787878,0.10234456903164346,10,4 マイクロプライス,1.6301589589909873
delta1,fwd_micro_30s,1692166,98,0.7703748350585201,-0.7641260356206707,-1.6057041795324474,0.08302366046444587,-19.340320223776157,-0.9878787878787878,0.10345734401944018,10,4 マイクロプライス,1.6057041795324474
delta1_bp,fwd_micro_30s,1692166,98,0.7776092990408002,-0.7574884900564571,-1.6011463648229853,0.08471814925105624,-18.899685356417567,-0.9878787878787878,0.10338524707386863,10,4 マイクロプライス,1.6011463648229853
obi_x_spread,fwd_micro_30s,1692166,98,0.7776092990408002,-0.7574884900564571,-1.6011463648229853,0.08471814925105624,-18.899685356417567,-0.9878787878787878,0.10338524707386863,10,4 マイクロプライス,1.6011463648229853
delta1,fwd_micro_60s,1692166,98,0.8113493860627488,-0.742329966603205,-1.5837914699381086,0.100855976459041,-15.703496466382516,-0.9636363636363635,0.10345734401944018,10,4 マイクロプライス,1.5837914699381086
delta_disagree,fwd_micro_30s,1692166,98,0.764363891136111,-0.7834459455296656,-1.576952078662413,0.08264253862827238,-19.081602584300704,-0.9999999999999999,0.10234456903164346,10,4 マイクロプライス,1.576952078662413
delta1_bp,fwd_micro_60s,1692166,98,0.8118145482323091,-0.7354823688052825,-1.575198504992489,0.10390393558238396,-15.160142839281928,-0.9636363636363635,0.10338524707386863,10,4 マイクロプライス,1.575198504992489
obi_x_spread,fwd_micro_60s,1692166,98,0.8118145482323091,-0.7354823688052825,-1.575198504992489,0.10390393558238396,-15.160142839281928,-0.9636363636363635,0.10338524707386863,10,4 マイクロプライス,1.575198504992489
obi_ew,fwd_mid_60s,1692166,98,-0.5859101520394193,0.6476460695098628,1.5218782794911085,0.12642150442333894,12.038128215868245,0.9878787878787878,0.11434575567645254,10,2 板の偏り OBI,1.5218782794911085
obi_dw,fwd_mid_60s,1692166,98,-0.49040872863535695,0.619469463159018,1.495993098484049,0.17083791668724493,8.756797832080697,0.9999999999999999,0.11856342699238727,10,2 板の偏り OBI,1.495993098484049
