group,lag_ms,asym,lo,hi,n_days
全体,100,0.005742021387157013,0.004043817201035678,0.007400958004259275,99
全体,200,0.02811262350291323,0.02150889000649675,0.03373416807537834,99
全体,300,0.02403241016051769,0.02052186036207601,0.027681715434808785,99
全体,400,0.013409561931787542,0.011487746832740004,0.015384306098209299,99
全体,500,0.021182951874432886,0.018012748834618477,0.024488194731678695,99
全体,600,0.02132118617417006,0.01897563069121888,0.023696185334719892,99
全体,700,0.010205048035941713,0.008790058752655214,0.011662168271526828,99
全体,800,0.005130191939602244,0.003924870214807212,0.006339993015704428,99
全体,900,0.003873356012278072,0.002820906119158858,0.004967593076409743,99
全体,1000,0.0035874020598978206,0.0026146675804882918,0.004513177624572038,99
全体,1100,0.0026514174680979706,0.0017342370348587739,0.003531301454719554,99
全体,1200,0.002845254197845376,0.0019461807011083951,0.0038064599913304395,99
全体,1300,0.0016386623828964276,0.0009446567786909652,0.002344676361381695,99
全体,1400,0.0015126525251044948,0.0005941837482135228,0.002488480292876163,99
全体,1500,0.0009315892172455301,7.4802396932973525e-6,0.0017433377391794307,99
全体,1600,0.0012782580261560437,0.0007828087558751229,0.0017957152354236739,99
全体,1700,0.0013704362965049344,0.0008016036763617912,0.0019384012923888293,99
全体,1800,0.0013793323387096936,0.0008871049844386142,0.0018844405820322048,99
全体,1900,0.0012853058213568563,0.0005562784653736679,0.002159448527348765,99
全体,2000,0.0005228262172469989,-0.00011126699512835865,0.001155997294324707,99
00-08 夜,100,0.01166499845142986,0.008398588846029889,0.015231463308745877,99
00-08 夜,200,0.055345226926091416,0.044178461650390424,0.06731862590035285,99
00-08 夜,300,0.03595883241300031,0.028376847207841036,0.04387896141363795,99
00-08 夜,400,0.017979520336609035,0.014502301397168564,0.021679654326908132,99
00-08 夜,500,0.031985806263014865,0.026069210870578674,0.038534023424986956,99
00-08 夜,600,0.03013042445292612,0.024837341638772346,0.036122061030381354,99
00-08 夜,700,0.013028914251912292,0.009893667918103585,0.016636059949454714,99
00-08 夜,800,0.007528958130116588,0.004688365107078651,0.010066167743126738,99
00-08 夜,900,0.006844671305285751,0.0045978804271951,0.009059718535154552,99
00-08 夜,1000,0.007848277655490479,0.005881360553976661,0.010013629582684775,99
00-08 夜,1100,0.003057601436524248,0.001377622301198828,0.0046708129876655334,99
00-08 夜,1200,0.004049848476712347,0.002237570594539722,0.00587691235903587,99
00-08 夜,1300,0.0035304087418899675,0.001711215772656512,0.005167724264727205,99
00-08 夜,1400,0.003784341410625512,0.0014466192361885064,0.00742635191123771,99
00-08 夜,1500,0.0010988394760968502,-0.0019345089678870103,0.0034902583070586923,99
00-08 夜,1600,0.0025557582659260303,0.0012867154157864393,0.003877996170151524,99
00-08 夜,1700,0.0026550631760873648,0.0013697504232848797,0.003988815316800439,99
00-08 夜,1800,0.002061197204981208,0.0009073737924720201,0.0032627569861934883,99
00-08 夜,1900,0.002141732619695459,0.0001262889599378608,0.004209863925551096,99
00-08 夜,2000,-0.0000830995064566371,-0.002347736490419282,0.0017522698631925236,99
08-13.5 プレ,100,0.00649753378421853,0.0038690040249035112,0.009120668431611363,99
08-13.5 プレ,200,0.0316665686413697,0.018072407630843546,0.04266544166808028,99
08-13.5 プレ,300,0.025730491506499475,0.0202908206724074,0.031516459631194406,99
08-13.5 プレ,400,0.0153361961092952,0.012239671270777628,0.018776424271906223,99
