dec,n,sd_med,fill_pct,rt_mean,n_pair
0,1574412,-4.385695701996095,11.23238389951296,-3.3117616,91988
1,1540017,-2.327635179266707,7.062973980157363,-1.9985358,54008
2,1571718,-1.438786848897422,5.834316334100646,-1.6377585,45129
3,1592852,-0.8117351378067461,5.1397116618493115,-1.5129353,40384
4,1609918,-0.2733585851188991,4.667939609346563,-1.4461125,37176
5,1607173,0.23640251860967965,4.356780508383354,-1.3636658,34734
6,1600076,0.7766915131046659,4.098055342371238,-1.205381,32635
7,1575069,1.41234499455134,4.0061102085051505,-1.1489855,31243
8,1547600,2.295928002888914,4.002778495735332,-1.0294774,30890
9,1566214,4.439366570094805,4.3275695403054755,-0.63193655,33115
