wid,n,vol,days,bid_share,touch,inside,fast,fill,life,sz
1,9021348,5103962368.49,53,0.6019772211425609,0.022008573441574364,0.005951549591036728,0.6108035074137479,0.0011867406068361403,1.407302821,456.31
2,32493602,4628001292.83,99,0.5104436867294675,0.03849105433124958,0.0067759493084207775,0.5938704487117187,0.0011325306440326313,16.936712113000002,99.4
3,19706219,2908065218.7,35,0.4828785268244507,0.5640249405530305,0.08139567514194376,0.9498449702604036,0.0026101404840776408,16.601492761,100.0
4,4020016,2244549234.1,34,0.481593108087132,0.0009567126100990642,0.0005937787312289305,0.6022712347413542,0.0007134299962985222,11.657026825625,460.45875
5,18075727,1893708858.83,96,0.4902010856880058,0.232416488697799,0.08292181000520754,0.6992388189974323,0.006574009443714214,14.147537858625,99.42875000000001
6,3782810,1327097727.24,75,0.4960407739220315,0.05867357863598753,0.024294109405441987,0.6891982415188709,0.006778294442491164,3.26568434625,373.3825
7,4463709,902868686.4300001,73,0.5349811109998434,0.012632319893613136,0.004626645688596636,0.5174645121355357,0.0017245747874693445,18.30159940225,200.0
8,2196489,767863422.71,66,0.5009904442954187,0.07039734776727768,0.02267618913638994,0.22951947403333228,0.01627096698412785,95.05604740175,338.59375
9,3696611,764775173.08,89,0.5403286956620537,0.0802508026946844,0.01464341257438232,0.4409365767726169,0.0054758263717767435,9.773012281,195.16
10,3903734,739688773.11,99,0.49074399024113835,0.00019109908615699738,0.0001680442366206304,0.22392073845195395,0.0007518442598804119,38.3491209055,180.675
11,1575691,721928829.02,78,0.7422394365392707,0.0035470152460095284,0.0010560446178851056,0.4756675007980626,0.00037443889696647375,34.1183178175,444.0175
12,12805930,691754276.01,90,0.5133232806988637,0.010621719781382532,0.0033709383074872344,0.4073373819785053,0.0020325739715897242,9.745701738375,49.15875
13,12300492,632743617.65,90,0.5001716191514941,0.044854547281523376,0.012138620146251061,0.42369085724375904,0.0035806697813388277,34.45596476175,52.38125
14,11933799,607636085.56,36,0.4801068796281888,0.30651044147802387,0.10225754598347098,0.9093405209858152,0.006337127012110729,0.21700808900000002,50.0
15,1467404,589199337.26,99,0.49960542563602117,0.00014651725087297022,0.00013970249501841348,0.20803268902088315,0.00013697659267659077,23.801386084500002,490.7875
