wid,n,vol,days,bid_share,touch,inside,fast,fill,life,sz
16,3110774,579350207.03,91,0.5120108371742852,0.03541915934748072,0.016668520438964708,0.44719867145604275,0.0052539978796273855,7.969406081500001,169.1
17,2710010,484262008.89,52,0.5153128586241379,0.005991490806306988,0.0028084767214881126,0.5678336980306345,0.0011579293065339241,1.4592482650000003,255.0
18,5567273,472299037.94,71,0.47749571468832225,0.048708407150143344,0.018569414505090732,0.6348267814421891,0.0026219299825965066,1.0681082455000002,82.32000000000001
19,2794355,463041467.16,86,0.5004453621676559,0.09869647915171838,0.022608437367478362,0.6822179000162828,0.003792288381397496,2.6607323455,78.67
20,1123745,421592150.0,34,0.5037121410996267,0.04554414035212615,0.018236343654476773,0.140637778143618,0.023194763936658227,178.155706748,168.59875
21,2359969,396776845.17,97,0.49548532205295914,0.0011436590904372048,0.0008101801337220955,0.08867913095468627,0.0017610400814586972,16.343570981000003,106.73
22,12113206,365442213.41,69,0.5026504956656397,0.04756453411260404,0.013315715096399748,0.547086956169985,0.004437966298930275,31.065617207000003,13.99
23,1335122,326704837.33,17,0.5972720095991227,0.026637266107516766,0.00911452286757315,0.46320785666029024,0.004615308563561981,1.177395876,172.86
24,4702156,321992029.91,66,0.49933222121937254,0.32641154398110145,0.14280172754795886,0.48310307016611104,0.014100978359714139,1.2951556370000001,61.27
25,4541838,296614025.66,64,0.48522294278219524,0.5373364263542645,0.20199575590322685,0.956024411262577,0.019870589836097192,0.3354760145,61.525
26,562166,250382355.16,67,0.5008947535069712,0.0002241330852452834,0.0001992294091069186,0.15142502392531743,0.00027571927153189626,34.756649303500005,320.95
27,1735752,242409217.41,78,0.5007466504431509,0.0021091722780673737,0.0007990772875387728,0.12285510833344855,0.001800372403430905,13.485882365750001,153.65875
28,881221,235137861.35,99,0.49107999015003045,0.0010553538783120238,0.000636616694336608,0.2050597977124921,0.0015546610895564223,94.437790785,295.7675
29,601428,232036463.07,80,0.3857452596154486,0.0008114021961065996,0.00039738755096204364,0.213493552012876,0.000821378452616107,3.988466046,420.505
30,4336615,204314883.99,89,0.529046964049149,0.007914467851077396,0.002395647296335967,0.3575740525732628,0.0013891018686233386,2.1429177150000003,43.88
31,184375,187417564.46,56,0.5095322033898305,0.00016813559322033898,0.00013016949152542374,0.17317966101694915,0.0004555932203389831,31.174970353250004,1121.8600000000001
32,11481897,185945606.71,53,0.4940397044146973,0.29990828170641143,0.07737667390675948,0.8014283702423041,0.007762741644520936,1.93197302775,10.64
33,641965,142575663.41,2,0.4888101376243253,0.3443193943595056,0.04448684897151714,0.9314588801570179,0.002730678463779178,10.997945479,137.5
34,647825,119489835.62,65,0.49991432871531666,0.00006637595029521862,0.00006328869679311543,0.02899085401150002,0.00006174507004206382,14.925504308,155.915
35,468640,99282205.86,2,0.4762546944349607,0.4045258620689655,0.0931247866165927,0.901468077842267,0.005451946056674633,0.32823038025,200.0
36,340458,90808323.35000001,73,0.4981524887063896,0.00013217489381950196,0.00012630045409419078,0.10287318846964971,0.00011455157464356837,91.53016379,187.4325
37,5483634,81061182.95,99,0.4907942433794816,0.002078548641284229,0.001008820063483449,0.19467601229403714,0.0009041449520518693,13.196471851,6.86
38,1369993,80391473.1,35,0.6687428329925773,0.006992736459237383,0.0016197163051198072,0.35981570708755445,0.002945270523280046,4.003850596,57.980000000000004
39,2045229,72651469.57000001,24,0.5020117551628693,0.12589788233982602,0.05133801642750029,0.38116318514943803,0.009533406772542342,17.46548712275,34.5
40,9683047,71923841.09,77,0.4999361254778584,0.2503560088059058,0.09723086131875638,0.5354476746833925,0.02002850962099017,6.66300999575,4.7825
41,275246,70688391.93,69,0.7717569010993802,0.0025577120103471075,0.0016857647340924118,0.09957637894828626,0.0029900525348233943,5.352702455,232.0
42,6390938,68064636.77,39,0.495718312397961,0.4148414520685383,0.11314630184176407,0.682856100309532,0.016407294203135754,1.83069322225,4.2
43,348152,57465699.17,10,0.49647280498173213,0.5459827891265884,0.12903272134010432,0.626421792780165,0.010501160412693306,0.6126430495,163.945
44,3780413,56509971.49,97,0.49789136795371297,0.057624127310957826,0.02192353057721471,0.3468311531041714,0.008943202766470225,28.3141513125,19.9375
45,930737,54635219.96,61,0.5176016425692758,0.005945825727353699,0.0033349915174748614,0.2315906641725858,0.0021101557153094808,42.238942173750004,54.18
46,862007,52552838.51,52,0.5002372370525994,0.00048143460551944474,0.0002900208466984607,0.5447519567706527,0.00017865284156625178,12.123231411375,7.2275
47,783011,49489544.72,99,0.6201496530700079,0.004693420654371394,0.0023230835837555284,0.26664120938275454,0.003416299387875777,18.442677490250002,87.7175
48,706874,49139505.62,77,0.4204992686108132,0.005665790508633787,0.002134751030593854,0.20826766863684334,0.002509641039279985,11.6178659655,59.230000000000004
49,924278,45251030.57,56,0.44885413263109153,0.00014930572836311154,0.0001136021846241066,0.3759907733387574,0.00006058783179952352,2.4486183405000004,44.625
50,2735877,35071684.35,30,0.4956154827135869,0.265898649683447,0.08338240352179575,0.6385842638393466,0.0193042304167914,5.024938694875001,3.27
51,952140,33278192.51,88,0.5470613565232003,0.04685445417690676,0.01836179553427017,0.326263994790682,0.009101602705484487,49.165449549250006,20.74875
52,1449999,26468496.400000002,61,0.500088620750773,0.09360075420741669,0.048540723131533195,0.20778497088618683,0.008968971702739106,78.65937846,7.1275
53,60488,25784981.380000003,45,0.39923621214125116,0.00004959661420447031,0.00004959661420447031,0.00003306440946964687,0.00013225763787858748,590.16131606625,413.0825
54,86108,24761394.82,39,0.8166836995401124,0.0027639708273331167,0.0018929716170390672,0.8680494263018534,0.0007664793050587634,0.1077784125,219.71
55,517740,23703191.69,50,0.5211109823463514,0.30625217290531925,0.20233514891644455,0.4641325761965465,0.02128674624328814,68.526895372875,8.86
56,2528460,21637730.36,82,0.5432187972125325,0.19835789373769014,0.04449625463721,0.42499466078166154,0.012332803366476037,7.0428016285,1.92
57,1156404,20662396.83,8,0.49237982573564254,0.07439441579240473,0.023665604754047893,0.6177010802453122,0.006019522588991391,0.7936195925,9.26
58,503288,20066815.38,11,0.5009537282828123,0.054815533054632735,0.017006167442895518,0.2585358681311694,0.00992672187693726,31.26394970675,23.435
59,811422,19579128.86,28,0.5097113462538605,0.5320511398507805,0.07411556502042094,0.8702352166936563,0.006871886638518551,0.20163345825,32.465
60,43684,18722882.88,85,0.47825290724292646,0.00006867502975917957,0.00006867502975917957,0.0008927753868693343,0.00013735005951835913,1632.87014211475,426.4575
61,79788,18264414.11,7,0.1483681756655136,0.001879981952173259,0.0009149245500576528,0.6055421867950068,0.0004887953075650474,0.598384299,222.85
62,625017,15552401.770000001,61,0.4963752985918783,0.3393875686581325,0.27361015780370773,0.436384930329895,0.03208712723013934,79.17467035975001,7.55
63,704140,14964868.41,98,0.49607038373050816,0.00900389127162212,0.002590393955747437,0.14000056806884995,0.007995569062970432,1612.6612361726252,19.82625
64,43958,14283803.870000001,24,0.5024341416806952,0.0,0.0,0.0014104372355430183,0.000022748987670048682,60.40610862050001,354.97875
65,627512,13935174.38,17,0.5091010211756907,0.2605097591759201,0.08589636532847181,0.7585305141574982,0.009175920141766214,0.396847051,4.535
66,623022,13813827.53,17,0.47498483199630187,0.2602845485392169,0.08570804883294651,0.7585767436783933,0.009084751421298125,0.401081409,4.5600000000000005
67,625680,13786706.14,17,0.48522887098836465,0.2604957805907173,0.08604877892852576,0.7567782252908836,0.009039764735967267,0.7289997635000001,4.525
68,615961,13671183.83,17,0.4854998936620987,0.26086391833249184,0.08657366294294606,0.7576275121314499,0.009331759640626599,0.5166530365,4.3975
69,557786,13555856.1,8,0.4986374702843026,0.2614622812333045,0.08618179732011919,0.752293890488467,0.00894429046265055,1.2303885930000003,19.5025
70,552590,13499483.16,8,0.5030565156807036,0.2639950053384969,0.08788432653504406,0.7523824173437811,0.008988581045621528,0.957981706375,21.31625
71,559737,13450334.11,8,0.5082619158640576,0.2646850217155557,0.08634233577555173,0.750148730564533,0.009027453964987128,0.5689483855,17.545
72,562766,13421053.280000001,8,0.494923289608825,0.2647157077719692,0.08717832989199774,0.7512411908324241,0.009069488917240914,0.609678743,21.177500000000002
73,407802,12210159.360000001,15,0.5097179513587476,0.441537805111304,0.059634332347560826,0.8674798063766239,0.003876881427751703,0.19957136,33.1
74,982431,11652733.3,17,0.49850116700307706,0.13394528470701758,0.028729753031001667,0.35303039093839667,0.010413962914443865,28.559731385000003,3.58
75,411695,11597424.0,32,0.4822332066214066,0.4725901456175081,0.21614301849670264,0.9822125602691313,0.010247877676435225,0.15305057,30.0
76,634441,10990994.83,5,0.5141092709960422,0.4501758240718995,0.13256709449736068,0.9895876842763945,0.017773126263907913,0.24745116,20.64
77,4306861,10355205.43,91,0.5008513160745146,0.14729381793375732,0.056041511439537985,0.27256858301208237,0.02917461232206008,1383.418290711,2.375
78,131912,9130323.18,6,0.49802898902298504,0.00004548486870034569,0.00004548486870034569,0.25179665231366366,0.000022742434350172843,4.068886118,26.355
79,232781,8892058.200000001,41,0.48905194152443715,0.005271048753979062,0.0022338592926398632,0.10074705409805783,0.008033301686993354,22.121551484250002,29.310000000000002
80,871973,7037295.55,43,0.5081877535198911,0.0011284753082950964,0.000838328709719223,0.01981942101418278,0.0014461456948781672,9.03937042025,8.15
81,2825,6381252.65,37,0.44212389380530975,0.5394690265486726,0.400353982300885,0.15079646017699114,0.8113274336283186,6202.996896232001,2265.86
82,38790,5587854.03,16,0.49956174271719517,0.0005155968032998196,0.0004640371229698376,0.11675689610724413,0.0016756896107244135,100.498634814625,217.01
83,168696,5475663.8,91,0.5255666998624745,0.05113932754777825,0.031180348081756532,0.14188836724047993,0.045448617631716225,2.55621228,37.800000000000004
84,2055032,5361718.28,74,0.5010574044589087,0.029669610984159857,0.009700578871764527,0.25515904375211673,0.007032007287477762,127.07141471287501,2.72
85,62472,5262848.48,53,0.49583813548469713,0.03507171212703291,0.011877321039825842,0.5080195927775644,0.005570495582020745,1.236178507,80.08500000000001
86,589952,5228073.85,47,0.3902927695812541,0.039843919505315684,0.015735178455196355,0.5420305380776741,0.002261200911260577,14.9300803,2.67
87,26059,4931261.75,49,0.510610537626156,0.08139222533481714,0.040523427606585054,0.9173797920104378,0.011819333051920641,0.13052178350000002,92.57000000000001
88,2936,4891864.48,8,0.7292234332425068,0.0010217983651226157,0.0010217983651226157,0.4778610354223433,0.0013623978201634877,1.06042832025,109.87625
89,2667,4890514.66,6,0.583427071616048,0.0003749531308586427,0.0003749531308586427,0.025871766029246346,0.0029996250468691415,14.50852586475,865.015
90,1043378,4608640.4,21,0.5294907502362519,0.11695857110270678,0.023753615659904657,0.4239115641694573,0.008743715125294956,4.94692231575,2.39
91,84510,3975589.04,10,0.49615430126612237,0.023866997988403738,0.011738255827712697,0.43538042835167434,0.004437344692935747,1.4438089290000002,45.0
92,2187,3942570.17,6,0.003200731595793324,0.0,0.0,0.2194787379972565,0.001828989483310471,1.99295696225,800.5500000000001
93,17243,3800400.0,6,0.5373774865162675,0.0,0.0,0.03700052195093661,0.00005799454851243983,3.7667212810000006,200.0
94,465081,3794116.47,22,0.5837241254749173,0.012326884994226812,0.007725535981904228,0.11991459552207034,0.016029465834983582,9.190106297,2.6475
95,35325,3777544.37,62,0.4900495399858457,0.000028308563340410474,0.000028308563340410474,0.002745930644019816,0.00028308563340410475,718.12965663675,100.1975
96,317832,3767935.8000000003,37,0.6263120138941327,0.002957537315311234,0.0015542802486848398,0.08323265121196104,0.005893050416572277,18.45843535575,13.3325
97,117065,3764424.54,11,0.5070687225045915,0.00009396489129970529,0.00008542262845427753,0.43196514756759063,0.00011959167983598856,11.28386885525,32.72
98,97674,3601384.59,66,0.35874439461883406,0.00012285766939001166,0.00011261953027417737,0.04270327825214489,0.0001740483649691832,6.959885249,26.035
99,25978,3487324.0300000003,36,0.7448225421510509,0.003849411040110863,0.0026560936176764955,0.24047270767572562,0.004157363923319732,5.8212743605,120.7225
100,469583,3426133.25,14,0.4802473684098445,0.6586460753477021,0.24075190115485443,0.5208024992386863,0.03333383022809599,0.9969869360000001,7.025
101,95450,3154266.2800000003,66,0.35853326348873754,0.00023048716605552646,0.0001571503404924044,0.041644840230487166,0.0001571503404924044,7.702384036250001,36.52
102,331320,3084735.14,10,0.5400790776288784,0.009036580948931547,0.004201376312930098,0.3921314741035857,0.0027948810817336714,2.0298446435,8.19
103,461852,2980226.22,96,0.4105535972562639,0.2436841239184847,0.07383967158310455,0.17190788391086323,0.09540502152204602,22.0980664705,4.89625
104,54569,2973141.75,51,0.0029687185031794607,0.001117850794407081,0.000696366068647034,0.2979530502666349,0.00185086770877238,2.3279653430000002,41.0
105,1001928,2946881.58,28,0.4505742927635519,0.043869419758705216,0.009049552462851622,0.18992382686181042,0.006020392682907354,49.443239566125,3.015
106,34101,2857194.65,57,0.5395442948887129,0.00008797395970792646,0.00008797395970792646,0.001876777807102431,0.0002052725726518284,483.90032425625003,81.9675
107,64574,2805143.87,45,0.5002632638523244,0.00010840276272183851,0.00010840276272183851,0.0039799300027875,0.000046458326880787935,166.39455975125,36.865
108,19864,2726780.2399999998,9,0.40893072895690696,0.0,0.0,0.13391059202577527,0.000050342327829238826,1.144329701,124.12
109,36325,2201629.92,21,0.48663454920853405,0.000027529249827942188,0.000027529249827942188,0.006276668960770819,0.00033035099793530626,933.69586302425,58.61
110,467029,2178680.75,70,0.4839720873864364,0.580878275224879,0.2737538782388246,0.7575696584152162,0.07468486967618714,0.606640461,4.64
111,194540,2069166.51,53,0.5462938213220931,0.008733422432404646,0.005140331037318803,0.28120694972756244,0.013781227511051711,12.845698945,10.53
112,75320,2034804.51,98,0.541157727031333,0.007926181625066383,0.0040493892724376,0.15215082315454062,0.0056824216675517795,4.253442540750001,25.72
113,46956,1979792.9500000002,25,0.40791379163472186,0.029367918902802624,0.015929806627481048,0.24874350455745806,0.01505664877757901,21.14813188,50.15
114,87130,1978326.85,64,0.16638356478824745,0.04549523700218065,0.04150120509583381,0.2538620452197865,0.04297027430276598,1.660089395,24.44
115,6544,1963200.0,1,0.48823349633251834,0.0,0.0,0.08099022004889976,0.0,2.955303571,300.0
116,5651,1811805.93,11,0.974871704123164,0.00017695983011856308,0.00017695983011856308,0.0014156786409485046,0.00035391966023712616,151.2733442265,369.895
117,58226,1783488.05,72,0.471988458764126,0.6953594614089925,0.18761378078521623,0.699309586782537,0.18249579225775428,0.68376035225,33.62
118,101132,1782897.14,15,0.49614365383854764,0.25526045168690426,0.07968793260293477,0.7877130878455879,0.008948700707985603,0.6213072900000001,18.53
119,17956,1778210.87,99,0.4797282245488973,0.0,0.0,0.00011138338159946537,0.0,2684.22880140125,98.5325
120,78663,1687997.21,93,0.5322451470195645,0.007080838513659535,0.0038264495379021902,0.10322515032480327,0.008237672094885778,6.374157873000001,21.900000000000002
121,5402,1617094.2,10,0.8450573861532765,0.0,0.0,0.00684931506849315,0.00037023324694557573,355.739628448,336.79
122,67601,1507524.1,15,0.8104909690685049,0.0004881584591943906,0.0002514755698880194,0.4855697400926022,0.0019082557950326178,269.87532634900003,12.5325
123,57305,1437777.4200000002,91,0.5671058371869819,0.011813977837885,0.005723758834307652,0.30093360090742516,0.006578832562603612,2.8780674725,23.94
124,110992,1396193.35,97,0.5101809139397434,0.008820455528326367,0.004721060977367738,0.13797390802940754,0.005829248954879631,5.342434349,12.34
125,14977,1355337.29,40,0.5181945649996662,0.05588569139346999,0.026106696935300794,0.8599853108099085,0.006209521265941109,0.19680400350000002,56.11
126,95581,1290754.31,87,0.5270503551961164,0.010933135246544816,0.005994915307435578,0.12185476192967222,0.008631422563061696,5.530926637,12.4
127,20718,1267171.56,41,0.49927599189110916,0.0018341538758567429,0.001785886668597355,0.06269910222994497,0.0019306882903755188,6.196160851,27.825
128,97040,1257472.31,29,0.4849237427864798,0.17119744435284417,0.03888087386644683,0.5233924154987634,0.014128194558944766,1.03080266,9.27
129,96578,1239366.29,88,0.5162873532274431,0.007672554826150884,0.003810391600571559,0.12306115264345917,0.005560272525834041,2.7298479935,12.1725
130,44892,1211645.31,92,0.5271763343134634,0.007573732513588167,0.003541833734295643,0.11919718435355965,0.008353381448810478,4.973612209500001,29.025000000000002
131,121612,1200989.8,58,0.5010031904746242,0.13626122422129394,0.02295826069795744,0.761791599513206,0.018937275926717758,0.31191233900000004,10.85
132,17145,1186105.01,11,0.48183143773694953,0.00005832604257801108,0.00005832604257801108,0.220997375328084,0.0018664333624963546,3.635794488,45.69
133,94397,1161895.66,41,0.29003040350858605,0.0019598080447471846,0.00145131730881278,0.13859550621312117,0.012267339004417514,49.114598091750004,12.325000000000001
134,78789,1078648.1300000001,83,0.5949942250821815,0.006841056492657605,0.0034903349452334717,0.1606696366244019,0.005368769752122758,4.54502279,12.755
135,21524,1059584.76,6,0.4967478163910054,0.0,0.0,0.05249953540234157,0.0003252183608994611,7.624266521000001,27.315
136,1826,1025846.75,7,0.05421686746987952,0.000547645125958379,0.000547645125958379,0.000547645125958379,0.001095290251916758,4.38291511,361.77
137,40371,948723.09,28,0.30663099749820416,0.00004954051175348641,0.00004954051175348641,0.05355329320551881,0.00022293230289068886,5.9361411835,9.3675
138,16067,934236.11,14,0.38943175452791434,0.0002489574905084957,0.0002489574905084957,0.01711582747245908,0.0009958299620339828,36.00185728025001,81.91
139,89120,908986.04,83,0.5051279174147217,0.016573159784560143,0.009178635547576301,0.11196140035906643,0.012847845601436265,4.854137195000001,9.200000000000001
140,54958,856851.97,86,0.5374649732523018,0.012209323483387314,0.006605043851668547,0.13563084537283016,0.008624768004658102,4.776509437750001,15.5375
141,5698,808121.72,7,0.4412074412074412,0.1181116181116181,0.06721656721656721,0.9334854334854334,0.016848016848016848,0.1311222735,104.06
142,7208,793296.07,6,0.4164816870144284,0.0,0.0,0.13304661487236405,0.0,1.2830370962500002,103.18
143,8132,791245.07,60,0.4692572552877521,0.00012297097884899163,0.00012297097884899163,0.09185932120019676,0.0,3.4267408552500003,93.16
144,3332,787389.7000000001,30,0.5516206482593037,0.05612244897959184,0.03391356542617047,0.7307923169267707,0.02611044417767107,0.34508472300000004,126.8
145,70838,771385.03,20,0.5010587537762218,0.18965809311386544,0.037395183376154044,0.5885541658431915,0.010178152968745588,0.9510554990000001,8.870000000000001
146,13115,770517.06,5,0.5015630956919558,0.0004574914220358368,0.0003812428516965307,0.11368661837590545,0.0017537171178040412,6.406924313,34.08
147,71826,767698.22,28,0.4733661905159691,0.18306741291454348,0.0376604572160499,0.47546849330326063,0.014298443460585303,1.0042429827500001,8.925
148,6237,752456.23,35,1.0,0.000481000481000481,0.000481000481000481,0.00160333493666827,0.003848003848003848,38795.1847126215,190.4475
149,14052,752161.89,21,0.5785653287788215,0.00007116424708226587,0.00007116424708226587,0.007614574437802448,0.00035582123541132935,344.75594831700005,61.63
150,21408,736697.17,98,0.48066143497757846,0.00009342301943198804,0.00009342301943198804,0.0015881913303437967,0.0,1750.857490161875,34.9575
151,18125,701902.36,40,0.4627310344827586,0.000055172413793103446,0.000055172413793103446,0.009268965517241379,0.0,656.5974104407501,43.0725
152,58388,700263.3,21,0.5181886689045694,0.13572994450914572,0.030160306912379257,0.4965746386243749,0.013033500034253614,0.9995781600000001,9.18
153,289389,698562.33,85,0.5115571082522141,0.20234355832460804,0.06799152697580074,0.18550808772966493,0.08712839810773734,4798.049188975,2.315
154,8740,675191.86,59,0.4726544622425629,0.0006864988558352403,0.0006864988558352403,0.08295194508009153,0.0009153318077803204,3.385716797,82.36
155,4481,631003.63,72,0.08703414416424905,0.44030350368221377,0.35929480026779737,0.355501004240125,0.3298370899352823,2.65750198425,200.0
156,50212,611882.42,87,0.5471998725404286,0.014140046204094639,0.00778698319126902,0.1525930056560185,0.010475583525850395,3.34138553,11.96
157,744,604245.5700000001,17,0.3185483870967742,0.008064516129032258,0.0013440860215053765,0.1196236559139785,0.006720430107526882,5.4351000085,594.0
158,37695,604066.6900000001,7,0.5420612813370473,0.000716275368085953,0.000716275368085953,0.0024671707122960605,0.0004244594773842685,5.5759117195000005,16.44
159,58968,603451.37,32,0.49308099308099307,0.00005087505087505087,0.00005087505087505087,0.0053757970424637095,0.00008479175145841812,163.20883900162502,4.445
160,120136,579862.49,4,0.5591829260171806,0.0007075314643404142,0.0003828993807018712,0.8920473463408137,0.0021392421921821933,0.36932635425000004,4.355
161,16589,577986.86,4,0.5026825004521068,0.00006028090903610827,0.0,0.1517270480438845,0.00012056181807221654,8.3355543945,5.595
162,7227,577764.15,3,0.38591393385913936,0.0,0.0,0.13601771136017712,0.0,1.119318585,110.61
163,240874,573516.63,51,0.5088926160565275,0.19092969768426646,0.03337014372659565,0.18339463786045818,0.0599483547414831,1055.24057291925,2.1
164,6381,561758.4500000001,67,0.5024290863501019,0.0001567152483936687,0.0,0.16533458705532048,0.0,9.276971040000001,89.05
165,6981,540623.42,54,0.45552213149978515,0.001289213579716373,0.001289213579716373,0.08680704770090245,0.0005729838132072769,3.444273416,80.5525
166,2209,537905.04,6,0.41738343141693074,0.0,0.0,0.0018107741059302852,0.0,13.264947615125,153.1025
167,2241,518399.03,9,0.4422132976349844,0.0004462293618920125,0.0004462293618920125,0.015618027666220438,0.0004462293618920125,10.3782951415,231.615
168,36300,485755.18,88,0.5124242424242424,0.022672176308539946,0.011239669421487603,0.19873278236914602,0.015454545454545455,2.9775840965,13.395
169,61267,477145.67,20,0.24992247049798424,0.0032644000848744024,0.0007508120195211125,0.029657074771083945,0.0053536161391940194,19.32542920775,7.735
170,6152,469569.81,45,0.4723667100130039,0.00032509752925877764,0.00032509752925877764,0.09118985695708713,0.0,3.4743125260000003,80.07000000000001
171,3012,467515.21,2,0.747675962815405,0.0,0.0,0.13811420982735723,0.0,1.08428043675,511.9925
172,47803,466174.42,33,0.5043616509424095,0.0001464343242055938,0.0001464343242055938,0.002468464322322867,0.00004183837834445537,34.511121177,9.96
173,10398,465950.89999999997,9,0.04548951721484901,0.05558761300250048,0.02615887670705905,0.7007116753221774,0.008751683015964608,0.7003680120000001,49.64
174,7560,450913.99,23,0.5005291005291005,0.0,0.0,0.002380952380952381,0.00013227513227513228,1044.3053838845,57.1475
175,12173,440179.87,29,0.6190750020537255,0.00008214901831923109,0.00008214901831923109,0.049535858046496344,0.000903639201511542,10.386439161,80.78
176,272,405785.45999999996,2,1.0,0.0,0.0,0.7022058823529411,0.0,0.6629487700000001,1419.71
177,50056,399517.02,13,0.5368786958606361,0.0698217995844654,0.03729822598689468,0.2032124021096372,0.007911139523733419,8.695371548,4.6000000000000005
178,22680,396131.66000000003,90,0.4302469135802469,0.010008818342151676,0.0051146384479717815,0.31843033509700175,0.009964726631393299,2.4098474885,17.5
179,6568,395220.15,10,0.5006090133982948,0.001218026796589525,0.0007612667478684531,0.003958587088915956,0.0013702801461632156,185.25594060000003,92.4175
180,9104,392187.49000000005,4,0.781304920913884,0.0,0.0,0.117201230228471,0.0,1.2101845635000001,41.39
181,15526,384321.09,82,0.5282751513590107,0.022929279917557645,0.011851088496715187,0.2909957490660827,0.017519000386448536,2.9221751352500003,24.885
182,1417,370756.37,10,0.6203246294989414,0.0,0.0,0.011997177134791814,0.011291460832745237,28.793070434,231.165
183,14067,369018.97000000003,11,0.31570341935025237,0.0,0.0,0.09419208075638018,0.0,1.4897354120000001,28.36
184,27745,365931.28,33,0.49882861776896736,0.0,0.0,0.0003964678320418093,0.0,170.25547534925002,0.9400000000000001
185,15636,361311.79,10,0.5882578664620107,0.0,0.0,0.02334356612944487,0.0,1.4802019510000002,26.52
186,9344,356125.13,20,0.7191780821917808,0.3295162671232877,0.245826198630137,0.5992080479452054,0.23940496575342465,0.0,27.385
187,213025,354337.06,7,0.5266330242929234,0.7245159018894496,0.3019880295739937,0.2642084262410515,0.1349512967961507,10.524840015,2.0
188,68751,353591.10000000003,24,0.543744818257189,0.017352474873092754,0.007272621489141976,0.1919681168273916,0.007461709647859667,5.17010085675,4.0525
189,8038,346921.60000000003,57,0.4550883304304553,0.0,0.0,0.0,0.0001244090569793481,1678.35433515575,45.1375
190,23938,338899.72000000003,18,0.4974099757707411,0.00012532375302865735,0.00012532375302865735,0.005723118054975353,0.00041774584342885786,302.4464820045,16.70125
191,16032,333774.38,10,0.39726796407185627,0.0,0.0,0.19149201596806387,0.00031187624750499,4.38644146125,7.54
192,14276,317510.69,34,0.4756234239282712,0.0005603810591202018,0.0004903334267301765,0.12923788175959652,0.0014710002801905295,3.4570302067500003,21.215
193,352,315648.43,4,1.0,0.0,0.0,0.6107954545454546,0.0,0.706170577,290.73
194,3417,306273.32,1,0.0,0.0,0.0,0.13432835820895522,0.0,1.1019363850000001,89.84
195,11167,299323.12,64,0.5003134234798962,0.00008954956568460644,0.00008954956568460644,0.03295424017193516,0.00008954956568460644,2275.843761179,26.44625
196,12806,295268.31,7,0.3284397938466344,0.0,0.0,0.01842886147118538,0.0,1.79978626,28.135
197,7385,285537.72000000003,7,0.4287068381855112,0.0,0.0,0.035206499661475966,0.0,4.3192692755,17.055
198,9110,284557.43,6,0.7811196487376509,0.0,0.0,0.017014270032930844,0.0001097694840834248,5.026718544,55.2
199,2791,279945.63,1,0.25259763525618056,0.0,0.0,0.10390541024722322,0.0,1.1676833930000001,91.60000000000001
200,8162,275437.4,51,0.5001225189904435,0.00012251899044351874,0.00012251899044351874,0.005758392550845381,0.0,2302.1142847585,32.61
201,7268,272840.13,8,0.4990368739680793,0.0026141992294991746,0.001926252063841497,0.08310401761144744,0.001651073197578426,22.020396557999998,2.545
