dt,grid_s,series,n,rv,rvol,bv,medrv,rho1,rv_ac1,rv_nw5,rs_up,rs_dn,rq,tq,se_rv,jump,rj,z,mean_abs,max_share,zero_share,ret_sum,park_bp,oc_bp,gap_max_s
2026-05-04,0.0,mid,156662,151219.34893491433,388.869321154182,107740.52683185207,129022.57203825584,-0.1731642372789656,99058.9896786532,117921.45055708823,75353.75810398706,75865.59083092725,1332524349412.259,1832948775468.1523,4124.4946194231325,43478.822103062266,0.2875215533547615,11.605123085263862,0.4207723800723002,0.010964310348527725,0.597311409276021,-556.2481126998708,746.4451827297669,-556.2481126998708,4363.846830437
2026-05-04,0.0,micro,156662,456858.5801844975,675.9131454443666,358812.90249937895,417171.78548873944,-0.2620550268683752,217608.5949734641,223160.31837059968,228600.99317396418,228257.58701053326,4201553331127.786,5378722499040.615,7323.827467704387,98045.67768511857,0.21460837540913397,16.840328664948423,0.8467858553363897,0.006061119940168577,0.04852484967637334,-555.7384657942066,746.4451827297669,-556.2481126998708,4363.846830437
2026-05-04,0.0,spread,156662,263643675.4659577,16237.107977283322,172449310.12481216,232372252.72999835,-0.26221962664498055,125380198.99297595,99114780.18245427,143884699.00535852,119758976.46059918,2.0778984549537258e+17,1.032741613264168e+17,1628715.8569024855,91194365.34114555,0.3459000682643752,94.14379147810166,21.07909975199598,0.0004344537161523996,0.6000689382236918,-242.0368128650684,746.4451827297669,-556.2481126998708,4363.846830437
2026-05-04,0.0,bp,156662,55263.471021529214,235.0818389870413,40349.58126015624,52087.88428402284,-0.2865914679746171,23587.82231981218,19458.98614392434,27662.77688596594,27600.694135563266,5326493229.773521,3330164722.5095224,260.76773465730105,14913.889761372971,0.2698688570532044,95.70494058762101,0.34634169745671284,0.0000721011047223655,0.061220972539607565,0.2443564356435738,746.4451827297669,-556.2481126998708,4363.846830437
2026-05-04,0.0,ofi,156662,8939907784.437431,94551.08558042806,4767443260.060832,6229685092.026653,-0.08216434989273887,7472341221.337666,6592739188.565176,4330432686.205568,4609475098.231863,5.427663275360453e+20,9.786103490089787e+19,83241445.45085804,4172464524.3765993,0.4667234411120006,114.08161451643487,106.18688814134931,0.004098776397468838,0.04956530620061023,-330018.5100000023,746.4451827297669,-556.2481126998708,4363.846830437
2026-05-04,0.1,mid,863997,144542.23105588043,380.18710006506063,45972.34224436172,68631.19942937687,-0.057573980014002275,127899.24548309293,123603.97748010595,72466.40586653515,72075.8251893453,6387815124667.947,317606557832.23114,3845.342693109476,98569.88881151871,0.6819452563549494,66.25995117421196,0.07239068566904625,0.011470805869764891,0.9317983742999107,-556.2481126998708,746.4451827297669,-556.2481126998708,4363.846830437
2026-05-04,0.1,micro,863997,430464.61385646486,656.098021530674,156734.69101536818,224246.30134529987,-0.11629510663137826,330343.55558240326,276632.39105182304,215363.9279416583,215100.6859148065,20749240608101.72,5372953095948.699,6930.42685045148,273729.92284109665,0.6358941339888389,51.214522062834476,0.14393040278357475,0.005999804745576853,0.8434172803840754,-555.7384657942066,746.4451827297669,-556.2481126998708,4363.846830437
2026-05-04,0.1,spread,863997,250015403.5858513,15811.875397493219,64765252.90865624,106978496.68313289,-0.09820457632402503,200910090.16751984,154206213.23373038,136779153.28353918,113236250.30231214,1.0979825532225234e+18,1.0606833209544726e+17,1594250.640812036,185250150.67719507,0.740954949256089,175.50548640132703,3.597785468118213,0.0004581356704565245,0.9323018482703065,-242.03681286506628,746.4451827297669,-556.2481126998708,4363.846830437
2026-05-04,0.1,bp,863997,52553.78749796786,229.24612864335978,14309.006107283982,22795.3375928934,-0.10244737227854699,41785.79263321619,31994.88107190348,26288.047640480007,26265.73985748785,28492941748.817715,3201507620.160611,256.8192218119566,38244.78139068388,0.7277264534390165,219.2047997784842,0.05887953409795946,0.00007585011730178023,0.8453293240601529,0.2443564356435477,746.4451827297669,-556.2481126998708,4363.846830437
2026-05-04,0.1,ofi,863997,8860435432.441637,94129.88596849375,2399302429.545913,3530713070.6938324,-0.02625093748324487,8395504690.196251,7357503533.777864,4280199982.38967,4580235450.051967,3.059169019712394e+21,1.544512176519906e+20,84151258.79133658,6461133002.895723,0.7292116795116979,167.68439164110248,18.357279816943876,0.004135539760070527,0.8438837171888328,-330018.5100000023,746.4451827297669,-556.2481126998708,4363.846830437
