block,rule,trig_rate,lat_ms,metric,point,lo95,hi95,se_boot,bias,vs_base,vs_base_lo,vs_base_hi,vs_other,vs_other_lo,vs_other_hi
1,スコア,0.05,300,ev,-0.14320049861320094,-0.16742516091711898,-0.11878452619257615,0.012451734259600663,0.00008999247109078845,0.046368376888312635,0.0341060002478911,0.05986143983878689,0.012707518990433292,0.006991200098031244,0.01938336741866899
1,スコア,0.05,300,mk,-1.132959253796014,-1.1924463565611352,-1.0725614084886417,0.030586397958545664,0.0007353452192044863,0.03264015277416599,0.021407107294120577,0.04270931401670287,0.04845715992204336,0.03518894683838135,0.06145770703075157
1,スコア,0.05,130,ev,-0.12499758458019451,-0.14517558286103227,-0.10474649990305349,0.010265489798699916,0.00009069008001065526,0.06457129092131907,0.04780728604696957,0.08296863299807941,0.021604569075179172,0.013131156038771616,0.03147976195847723
1,スコア,0.05,130,mk,-1.062203716823096,-1.1139286449825334,-1.0119790953859753,0.02606119175756277,0.0004911520238111144,0.10339568974708402,0.08213243595083995,0.12238630103999223,0.11376478563423564,0.0862948496873418,0.14091905727182683
1,無作為,0.05,0,ev,-0.14288756205355127,-0.1689512561525288,-0.11721252298695509,0.013250903271474882,0.0000432350069043963,0.04668131344796231,0.03669618506827768,0.05681719337621143,-0.025235901400605776,-0.036472662283501524,-0.01553380304107521
1,無作為,0.05,0,mk,-1.1729314989827548,-1.2407506700461437,-1.1041417558794477,0.03515480228173691,0.000941722281745605,-0.00733209241257482,-0.02086370114676867,0.005260561022236369,-0.15100956532428245,-0.1880812084245282,-0.1153557823534654
1,スコア,0.0,130,ev,-0.18956887550151358,-0.2249937030498759,-0.15418894475344364,0.018235254956196465,0.00005642451738394061,,,,,,
1,スコア,0.0,130,mk,-1.16559940657018,-1.2261937782760037,-1.1033533058730263,0.031597913780710724,0.0009749150937243822,,,,,,
1,無作為,0.2,200,ev,-0.09450423967921111,-0.11126461312965448,-0.07805556946227024,0.008479671384108323,0.000021823335897716567,0.09506463582230247,0.07583374876226257,0.11448821589387666,-0.012727469574010802,-0.018575486691856827,-0.007471749795445592
1,無作為,0.2,200,mk,-1.197737588329349,-1.2757275224909919,-1.1178103427374586,0.04010520579584828,0.0008239382450707655,-0.03213818175916905,-0.06112986746735472,-0.003495840264881834,-0.15273970269190684,-0.1746918386009672,-0.1287109965999543
