col,family,h,nday,mean,med,pos,worst,best
bid_sz,1.1 最良気配,10s,99,-0.1014297539897736,-0.1081011613440148,2,-0.229438437887025,0.02346540923069059
mret_1s,2.1 マイクロプライス,1s,99,-0.12549586746507432,-0.12307223053618332,0,-0.23715780907759978,-0.016277367633467054
mret_1s,2.1 マイクロプライス,10s,99,-0.05103320992639822,-0.0405364456187079,12,-0.1892601382766477,0.04259407587046773
obi_streak,62 慣性,1s,99,-0.11594739363564281,-0.10806928196654582,0,-0.22405933660476532,-0.033185177918943765
obi_streak,62 慣性,10s,99,-0.11317914938315193,-0.11371861445668117,1,-0.24061153854094822,0.00898486442217576
delta_bp__dd,61 加速と高次の動き,1s,99,-0.09857322194691204,-0.09827726186251562,1,-0.16594545250944223,0.00481448373235782
delta_bp__dd,61 加速と高次の動き,10s,99,-0.032296990931206776,-0.03352863190164227,14,-0.1165343894179042,0.0320138067080929
obi1__dd,61 加速と高次の動き,1s,99,-0.08612443773980162,-0.08611659210638313,1,-0.15909073270355267,0.00343037474028207
obi1__dd,61 加速と高次の動き,10s,99,-0.025041914985458415,-0.02346834453660228,16,-0.10503865891457427,0.05313724817635425
micro_bid__dd,61 加速と高次の動き,1s,99,-0.08440052123663423,-0.08318416994006625,0,-0.1597240232392383,-0.0024805258949249375
micro_bid__dd,61 加速と高次の動き,10s,99,-0.02624005824448189,-0.027998525375909557,19,-0.11641201637618966,0.05400550161036291
mret_5s,2.1 マイクロプライス,1s,99,-0.0813420644437927,-0.073211098447275,3,-0.1845576095666668,0.015495672546231024
mret_5s,2.1 マイクロプライス,10s,99,-0.046627268745656945,-0.0442263131665588,17,-0.16741416892065783,0.06873879331050933
ret_10s,1.2 中値,1s,99,0.022618072503559777,0.025584361179322262,78,-0.10258128697844968,0.1125393513639129
ret_10s,1.2 中値,10s,99,0.043285144817687235,0.03983291641232524,83,-0.14753116644372377,0.15054785789195216
ret_5s,1.2 中値,1s,99,0.02525233270366433,0.029795705811644282,72,-0.1146456037861252,0.1303592296122597
ret_5s,1.2 中値,10s,99,0.04326533870918856,0.04384624407017946,83,-0.14555624061095898,0.15467635985865516
