wid_i,wid_j,n_days,lift_add,lift_can,corr_add,corr_can,corr_flow,corr_dist,null_add,null_can,null_flow,null_dist,pcorr_add,pcorr_can,pcorr_flow,pcorr_dist,pnull_add,pnull_can,pnull_flow,pnull_dist
2802,364,49,1.1389329788602252,1.2740273549396721,0.33678497823032827,0.33904175240187384,0.04509967657013693,0.017348075247985338,0.21804575007949104,0.21796418902078346,-0.0007973686618584533,0.005771439360988319,0.018582974043600785,0.02239865683818821,0.03815594695569911,0.016128108788197384,0.023354542666401315,0.025999715227864595,-0.0010606267571435623,0.005432206758304196
2802,4918,48,1.279150854118263,1.3671165085470351,0.4610689856681561,0.4561775925692172,0.026351441589678445,0.08880014749189188,0.2881900065549834,0.27920659716182866,0.007931844406940603,0.040825544361102584,0.18982113927435582,0.1855477639341314,0.023228290741993306,0.08633652918901649,0.10748175180353234,0.10471252837910264,0.007923591222672435,0.039748631287602434
2802,22535,28,1.1391091054954938,1.3490996880370076,0.3155509931720535,0.3389363027735164,0.03944737706080453,0.0657575624383975,0.1977656447858776,0.1894639886392187,-0.001225982752324866,0.01668185888948169,0.06341704560124019,0.13224373306326934,0.021402230526171913,0.05028933482367005,0.07716534413508164,0.07279545985349067,-0.0006277023678109525,0.013505395553728886
2802,18419,32,1.130308162883186,1.2802495418737379,0.3683397590814199,0.38717676925015726,-0.00012888884659929063,0.1348718031325031,0.2785325561443553,0.28245371461684365,-0.013970894103044293,0.049307450223633344,-0.002281627667355346,0.0189475353653282,-0.01618537447403887,0.11375771727988557,0.07389205380913712,0.07757317855631436,-0.013251194511948955,0.04217528808023874
2802,332,51,1.2298351258549327,1.1568728559596722,0.31956666891722607,0.28652964217929894,0.026912064776905224,-0.00099480128825473,0.21969314167798903,0.21771102270531748,0.003600013500261468,0.0008255460609025498,0.05575412270957445,0.0063158161050519065,0.02475303707054732,-0.0010567010366147598,0.053496990842236934,0.05369392083642767,0.003608522066998087,0.0008467978787679833
2802,5070,45,1.3464229096184508,1.2568972861188334,0.41374282847602983,0.39148853922801796,0.0021507004121964447,0.048428263073638345,0.2590385297789715,0.265283153074426,0.00006587507745992915,0.021429375163738745,0.2573694937763261,0.18441009019631302,0.0021921677299583282,0.045932476728704826,0.12306591240720066,0.1262265552339447,0.00005965525682825954,0.020388696035738292
2802,22301,28,1.1450512336675314,1.3381841669074592,0.27359115170336346,0.2961229997929993,0.029862165041155412,0.057471196564178574,0.16000109150140937,0.15618704679552403,-0.0015031939114319693,0.019632594170129573,-0.00018370755589281552,0.0659502917992212,0.007806794029164065,0.04089813540107002,0.03468987581410999,0.03572084660496171,-0.0009500007045517548,0.015767071009487307
2802,8454,33,1.1181386022667263,1.1536361678709621,0.21388204076497838,0.2168655359986694,-0.004366770217005354,0.049636481458895446,0.1440235692554522,0.14641209152376813,-0.001901123861887321,0.024696157748608196,-0.1858674170156943,-0.1810621640664271,-0.008046537383955903,0.0435656612602033,-0.08858220350945877,-0.08562924009899643,-0.0015819488553522516,0.021989261503070172
2802,11808,32,1.3041919000770459,1.2348311473501403,0.23729313559310528,0.222453627795077,-0.00047297200985065046,0.15116426913570563,0.15029175484644974,0.15128105981971393,-0.004646050168662812,0.09792200987975523,0.14017305230803112,0.11708145088282393,-0.0009946403937907918,0.12158350954772626,0.10030386481772736,0.1014574173790172,-0.004522327692920714,0.08271989437408866
2802,5258,10,1.0611417043126474,1.1469418604488588,0.19090824506021986,0.20377774328635795,0.057004353754582855,0.005940839735825085,0.1177439246198786,0.11667284155316208,0.02632295561616852,-0.0002915147482500622,-0.0765774282955863,-0.03051491184998469,0.053301508427936746,0.00594283565487555,-0.009577326981318642,-0.00847971024591775,0.026323359530679005,-0.00015704509563927132
