horizon,px,n,rank_corr,same_sign
100ms,mid,170,0.6810424948553075,0.711764705882353
100ms,micro,170,0.6869169093984526,0.7941176470588235
300ms,mid,170,0.6459718736451292,0.6764705882352942
300ms,micro,170,0.672644891030221,0.7647058823529411
500ms,mid,170,0.6677792636830503,0.7470588235294118
500ms,micro,170,0.6124620636171006,0.7058823529411765
1s,mid,170,0.676137786163983,0.7588235294117647
1s,micro,170,0.5884539053865084,0.6588235294117647
3s,mid,170,0.68401267701101,0.7588235294117647
3s,micro,170,0.6302196493670655,0.7058823529411765
5s,mid,170,0.7052436172226598,0.7470588235294118
5s,micro,170,0.680351243580584,0.711764705882353
10s,mid,170,0.6974810852400755,0.7705882352941177
10s,micro,170,0.7232088226134429,0.7352941176470589
30s,mid,170,0.7449502628831041,0.8352941176470589
30s,micro,170,0.7645031478801425,0.8117647058823529
60s,mid,170,0.7235752102148865,0.8235294117647058
60s,micro,170,0.7304901655461313,0.8
