model,n,r2,adj_r2,b_nq,b_pre,b_perp,t_nq,t_pre,t_perp
M1 指数先物のみ,90,0.6498790210867781,0.6459003735991278,3.6819112962962928,,,10.199806444120135,,
M2 先物+プレ,90,0.9315924882871212,0.9300199018109631,0.2484535716884908,1.034169901954643,,0.8181292359255249,17.53704106702858,
M3 先物+perp,90,0.962877568713594,0.9620241794886192,-0.31588564221566884,,1.1006510720087779,-1.2759927090821774,,16.122228444782632
M4 先物+プレ+perp,90,0.9631956505216135,0.9619117778653907,-0.30402449472464105,0.09995851374859827,1.006018702951478,-1.2487684322504704,0.8019448675751363,7.7736387152574284
M5 perp のみ,90,0.9614901832709798,0.9610525717172409,,,1.0389069930895531,,,29.713427994988287
M6 プレのみ,90,0.9306080687685135,0.9298195240954285,,1.0841101806266649,,,27.19637712806392,
