dec,n,sd_med,fill_pct,rt_mean,n_pair
0,1574266,-5.337811185188723,4.784451928708363,-1.7106053,34075
1,1534213,-2.9331303770119277,4.451793851310085,-1.6535099,32244
2,1553730,-1.8884824414655554,4.679641894022771,-1.6431648,34955
3,1566427,-1.1334077693447853,4.910729960604612,-1.6342627,37891
4,1582756,-0.4889246746597742,5.150888702996545,-1.6013604,40327
5,1580970,0.11137018735674076,5.315028115650518,-1.6582927,42189
6,1578664,0.73957712627859,5.494139348208359,-1.7169873,43779
7,1558042,1.4549789652074097,5.775389880375497,-1.780264,45829
8,1541726,2.415613881392442,6.187286197417699,-1.9384655,49494
9,1558574,4.540972079918326,7.931673439952161,-2.2743533,66434
