market,n,gap_sd_bp,b_1m,t_1m,b_5m,t_5m,b_placebo,t_placebo
サムスン電子,65,493.2951798908253,0.0008561529688531767,0.03533786102942589,0.009126188619421528,0.20797550375266033,-0.02870389172128508,-1.813519994956699
SK ハイニックス,65,572.5485005142081,-0.00041415082861263625,-0.016829545783499076,0.006342591468264026,0.16118527000611135,-0.024972607457881005,-1.810910594812296
キオクシア,62,622.4378363597726,-0.005310148347541481,-0.41538995243474397,0.007069973272572911,0.3136710339984113,-0.013592688406295132,-1.7917356258459407
東京エレクトロン,65,358.4574304302288,-0.009982247853077872,-0.46599076999286276,-0.039660323227457314,-1.0077744873811951,-0.04496946094295538,-2.3669657657421945
TSMC,67,190.4537714177797,0.02663579950945528,0.8003205857091248,0.04129973007978326,0.7171345234105568,-0.036306367262167606,-2.9768417027953893
