model,term,coef,t,r2,n,oos_r2_vs_mean,oos_r2_vs_rw,oos_r2_vs_best_const,oos_r2_vs_har,placebo_p,placebo_t_hi
HAR,定数,9.086488938076466,2.3514950002212194,0.28874359809823624,76,NaN,NaN,NaN,NaN,NaN,NaN
HAR,RVol(t),0.3811385373253763,4.411630301702247,0.28874359809823624,76,NaN,NaN,NaN,NaN,NaN,NaN
HAR,RVol(5日平均),-1.3602670631517388,-4.168941090568965,0.28874359809823624,76,NaN,NaN,NaN,NaN,NaN,NaN
HAR,RVol(22日平均),0.5311502017689552,0.937064571084764,0.28874359809823624,76,NaN,NaN,NaN,NaN,NaN,NaN
HAR,(標本外),NaN,NaN,0.28874359809823624,76,0.1347295270300577,0.40712705562199436,0.12952077507841164,0.0,NaN,NaN
跳び成分 √(RV−BV),追加項,-0.002480302696059637,-0.5551487449184184,0.2890495302323516,76,0.1350809335407941,0.4073678351460879,0.12987429698474495,0.0004061233125525199,0.7142857142857143,4.244581455191852
下向き半分散 √RS−,追加項,-0.4864361366398028,-0.46828718089912685,0.2910867325001607,76,-0.07478553111337982,0.26356985207305983,-0.08125552102713729,-0.24213822693417586,0.8392857142857143,4.433259154553814
上向き半分散 √RS+,追加項,0.2652294675323477,0.31197261784254976,0.289684083820526,76,-0.01545288230181674,0.304223871015735,-0.021565701758534672,-0.1735670105746132,0.9107142857142857,5.084686136057987
microprice のボラ,追加項,-1.1629373447639546,-0.323956760605812,0.29015159429859183,76,0.12279898405103307,0.39895239074556055,0.11751841266145702,-0.013788223857997162,0.9285714285714286,4.556383545698843
スプレッドのボラ,追加項,0.07628551814484574,0.3585939203286161,0.2901186818273902,76,0.07230361501555782,0.364353569853453,0.06671907179263137,-0.072146125361507,0.75,3.0719153128020507
板圧力のボラ,追加項,-0.2959195678895157,-0.6697613042133469,0.29318604342046817,76,0.09410225467041278,0.3792897361498129,0.08864893481681702,-0.04695326331915206,0.6071428571428571,3.0090255689680445
OFI のボラ,追加項,0.0480031649912816,0.6911398844153412,0.29603440442547424,76,0.10335298481116384,0.38562822542862585,0.09795535246821363,-0.03626212057277001,0.5357142857142857,2.8284935655825123
