window,day_type,n,median,mean,q25,q75,q99,max,share_ge_10,total_sz
開場後 2 時間,全曜日,327726,1.816,7.95731228526269,0.571,5.975,97.62975,4650.0,0.16899177971842333,2607818.126
開場後 2 時間,立会日,308281,1.94,8.233097008897726,0.59,6.146,100.0,4650.0,0.17551519555210993,2538107.3789999997
開場後 2 時間,休場日,19445,0.861,3.585021702237079,0.2,2.41,49.50628000000146,1602.708,0.06556955515556698,69710.747
開場後 2 時間,全曜日(約定 1 件),637386,1.228,4.091426742978352,0.536,3.856,41.56630000000005,3174.335,0.0933390441584848,2607818.1259999997
昼 11 時から 2 時間,全曜日,141860,1.319,5.935297814746933,0.5,4.55725,70.8666000000002,8000.0,0.12821796137036515,841981.348
昼 11 時から 2 時間,立会日,123074,1.396,6.191503696962803,0.53,4.82,75.0,8000.0,0.13383005346376978,762013.126
昼 11 時から 2 時間,休場日,18786,0.96,4.256798786330246,0.22,3.004,50.0,1730.234,0.09145108059193016,79968.22200000001
昼 11 時から 2 時間,全曜日(約定 1 件),259605,1.0,3.2433171472044067,0.425,3.075,32.910679999999935,1730.234,0.06944781494963502,841981.348
閉場前 2 時間,全曜日,126659,1.224,5.734035362666688,0.512,3.9734999999999996,66.51599999999999,5079.85,0.10832234582619474,726267.185
閉場前 2 時間,立会日,113674,1.281,5.987120106620687,0.547,4.221,69.3107700000002,5079.85,0.11287541566233264,680579.8910000001
閉場前 2 時間,休場日,12985,0.892,3.5184670003850593,0.25,2.572,35.01051999999999,1000.0,0.06846361185983828,45687.293999999994
閉場前 2 時間,全曜日(約定 1 件),231449,0.949,3.1379145513698483,0.428,2.84,35.746759999999604,1969.547,0.05971509922272293,726267.185
深夜 11 時から 2 時間,全曜日,428217,2.326,10.56044960382236,0.678,7.133,125.6265999999995,11557.455,0.2029344934927852,4522164.0479999995
深夜 11 時から 2 時間,立会日,364517,2.48,11.002603716699085,0.709,7.5409999999999995,131.5339200000016,11557.455,0.21147161860763697,4010636.099
深夜 11 時から 2 時間,休場日,63700,1.835,8.030266075353218,0.54,5.3572500000000005,100.0,2000.0,0.1540816326530612,511527.949
深夜 11 時から 2 時間,全曜日(約定 1 件),889608,1.388,5.083322146383575,0.598,4.776,50.88385999999987,3859.252,0.10465283585579266,4522164.0479999995
