z_lo,z_hi,n,z_mid,obi,obi_resid,ofi_z,ofi_z_resid,abs_ofi_z,ret_1m,fwd_5m
-9.0,-2.5,5972,-2.956697193035443,-0.07258287072181702,-0.05018248847183905,-0.9471095204353333,-0.8434254791561602,1.1765730381011963,-15.949848906824265,0.9945243281338323
-2.5,-2.0,6586,-2.209588234727371,-0.05844838544726372,-0.03555118129970684,-0.48909175395965576,-0.3827348248332918,0.8282517194747925,-8.277554875555806,1.0515354448926943
-2.0,-1.5,11181,-1.7225216846183573,-0.028850752860307693,-0.008599700578120583,-0.2513964772224426,-0.15927546111109675,0.7238715887069702,-4.337640249392695,-0.45487244022494894
-1.5,-1.0,14767,-1.2375887470611566,-0.019579749554395676,-0.002923416143709601,-0.08326591551303864,-0.010471093318338875,0.6748179793357849,-1.3112998371719802,-0.9397245136938942
-1.0,-0.5,15612,-0.7500444091226426,-0.015446961857378483,-0.0036922267981777425,0.0050698560662567616,0.051497335086461385,0.6663755774497986,-0.10212636407481764,-0.8713113346021277
-0.5,-0.25,7503,-0.37619777661145987,0.0009588505490683019,0.008536602572846724,0.010800128802657127,0.034732904205057924,0.6636236906051636,0.286606670171074,-0.02556541781188918
-0.25,0.25,14661,-0.0013258509810936121,-0.0002888083108700812,0.002871773700659404,-0.0037542376667261124,-0.0035758642295987252,0.6786571145057678,-0.024242921125114707,-0.6842255147379757
0.25,0.5,7509,0.37490558900373344,-0.004700210876762867,-0.005915120185546884,-0.04021747037768364,-0.0635799088125844,0.6732825636863708,0.04365994027157775,0.2560620003456924
0.5,1.0,16033,0.7563386273425192,0.008548303507268429,0.0028073993090645026,-0.0018901221919804811,-0.04960169634803222,0.6754712462425232,0.2502089047420935,0.7747026227307038
1.0,1.5,15346,1.2429176858031694,0.009498042985796928,-0.00036623707602968385,0.06949999183416367,-0.00039467894918453916,0.6734821796417236,1.5232382188619076,1.1751099743596942
1.5,2.0,12115,1.721665737534752,0.023484088480472565,0.010194722791299194,0.24643996357917786,0.15811888229776014,0.7204549908638,4.05881141797995,0.6559992133109759
2.0,2.5,6810,2.211654278477324,0.04951496049761772,0.034111164330040855,0.47298866510391235,0.37329227663171444,0.827810525894165,7.638240182409817,0.2921732835073441
2.5,9.0,6338,2.962619393920018,0.057802267372608185,0.04280708546624774,0.9347628951072693,0.8372647896539276,1.1929612159729004,14.799211057473443,2.219639661977126
