dec,n,sd_med,fill_pct,rt_mean,n_pair
0,1568959,-4.172220925267034,11.013608386197472,-3.0599625,90255
1,1535025,-2.241229925226129,6.873047670233384,-1.9594847,52248
2,1571553,-1.3948973109467744,5.702257575786499,-1.7009102,44209
3,1594295,-0.7899619810469716,5.0635547373604,-1.5505207,39792
4,1617764,-0.2702871769177939,4.647402216887012,-1.4692742,37116
5,1614317,0.22139348951455418,4.348278559911096,-1.4488845,34675
6,1601565,0.7477293603086466,4.1426354846665605,-1.309454,32888
7,1574299,1.3494952242387726,4.101508036275193,-1.2417158,32088
8,1549250,2.188716494895271,4.163821203808294,-1.211758,32100
9,1557863,4.2042139812181745,4.705612752854391,-0.9602004,35930
