stage,set,obj,n,fills,ev,se,per_fill
gate なし,学習,markout,18111407,199720,0.007140521678547633,0.0010158115367684857,0.6796460176463859
gate なし,学習,往復,18111407,199720,-0.017855040623154787,0.000989666340979736,-1.7356541776717658
gate なし,評価,markout,13455490,144097,0.0032901838783577007,0.0006084460879519156,0.36333011051677877
gate なし,評価,往復,13455490,144097,-0.014539073720565968,0.0008914727970918029,-1.5227979049974358
+OBI,学習,markout,3622282,28595,0.00641458805269245,0.0005319025209400041,0.9121715371064169
+OBI,学習,往復,3622282,28595,-0.009935130697038667,0.0004813781880968068,-1.3687487970324235
+OBI,評価,markout,3580443,25267,0.003036623844126001,0.0004504469238976738,0.48925684989656804
+OBI,評価,往復,3580443,25267,-0.009038205650987069,0.0007394632999627065,-1.4100179320232553
+OFI 1s,学習,markout,1223451,7002,0.008300831023615132,0.0019263236819379362,1.297976842815382
+OFI 1s,学習,往復,1223451,7002,-0.0029048892740753045,0.0012362187312902697,-1.135557573383597
+OFI 1s,評価,markout,2005386,10235,0.0031392439887560283,0.00042145018663749325,0.5881911989279605
+OFI 1s,評価,往復,2005386,10235,-0.005617937042005104,0.0006447306117643078,-1.4295329119770255
+スプレッド,学習,markout,1223451,7002,0.008300831023615132,0.0019263236819379362,1.297976842815382
+スプレッド,学習,往復,1223451,7002,-0.0029048892740753045,0.0012362187312902697,-1.135557573383597
+スプレッド,評価,markout,2005386,10235,0.0031392439887560283,0.00042145018663749325,0.5881911989279605
+スプレッド,評価,往復,2005386,10235,-0.005617937042005104,0.0006447306117643078,-1.4295329119770255
