q,side,metric,n,p25,median,mean,p75,p99
0.5,買い(ask を削る),imp,1693341,0.35578685998916626,0.6570106148719788,0.8773511052131653,1.168473243713379,4.111963748931885
0.5,買い(ask を削る),slp,1693341,0.0,0.0,0.08889523893594742,0.0,1.3968346118927002
0.5,買い(ask を削る),lv,1693341,1.0,1.0,1.2582887411117554,1.0,3.0
0.5,買い(ask を削る),mimp,1693341,0.0,0.0,0.15772584080696106,0.0,2.408026695251465
0.5,買い(ask を削る),mdep,1693341,1.8949999809265137,11.937000274658203,39.705467224121094,39.869998931884766,400.6159973144531
0.5,買い(ask を削る),gfr,1692712,0.0,0.0,0.016968097537755966,1.2917514280452735e-12,0.33701151609420776
0.5,売り(bid を削る),imp,1693341,0.353169709444046,0.6538018584251404,0.8694312572479248,1.1658841371536255,4.104607582092285
0.5,売り(bid を削る),slp,1693341,0.0,0.0,0.08097533136606216,0.0,1.308229923248291
0.5,売り(bid を削る),lv,1693341,1.0,1.0,1.263447880744934,1.0,3.0
0.5,売り(bid を削る),mimp,1693341,0.0,0.0,0.15195973217487335,0.0,2.3557567596435547
0.5,売り(bid を削る),mdep,1693341,1.9320000410079956,11.692999839782715,45.55287170410156,40.108001708984375,429.7171936035156
0.5,売り(bid を削る),gfr,1692755,0.0,0.0,0.016036001965403557,1.5225598559709397e-12,0.3163081407546997
5.0,買い(ask を削る),imp,1693341,0.4848954975605011,0.9971083998680115,1.3357552289962769,1.7340037822723389,6.553531169891357
5.0,買い(ask を削る),slp,1693341,0.0,0.17221704125404358,0.5472992658615112,0.7346226572990417,4.4760355949401855
5.0,買い(ask を削る),lv,1693341,1.0,2.0,2.7224888801574707,3.0,12.0
5.0,買い(ask を削る),mimp,1693341,0.0,0.015005762688815594,0.07117731124162674,0.0867624580860138,0.7336092591285706
5.0,買い(ask を削る),mdep,1693341,3.752000093460083,17.94300079345703,45.6772346496582,49.512001037597656,405.3424072265625
5.0,買い(ask を削る),gfr,1692704,0.0,0.004831775091588497,0.05497274547815323,0.035468146204948425,0.720583438873291
5.0,売り(bid を削る),imp,1693341,0.4845665693283081,0.9962143898010254,1.3247720003128052,1.7220494747161865,6.860349655151367
5.0,売り(bid を削る),slp,1693341,0.0,0.16985036432743073,0.5363160371780396,0.7316182255744934,4.491647243499756
5.0,売り(bid を削る),lv,1693341,1.0,2.0,2.7693932056427,3.0,12.0
5.0,売り(bid を削る),mimp,1693341,0.0,0.015142533928155899,0.0707220509648323,0.08783241361379623,0.7181971073150635
5.0,売り(bid を削る),mdep,1693341,3.805999994277954,17.437999725341797,50.916744232177734,48.64699935913086,437.67059326171875
5.0,売り(bid を削る),gfr,1692754,0.0,0.004877708852291107,0.053358666598796844,0.03442660719156265,0.6993169188499451
50.0,買い(ask を削る),imp,1693340,1.1931687593460083,2.0782670974731445,2.8646810054779053,3.40594482421875,17.388036727905273
50.0,買い(ask を削る),slp,1693340,0.6082574725151062,1.345444679260254,2.0762250423431396,2.463775873184204,15.288142204284668
50.0,買い(ask を削る),lv,1693340,4.0,6.0,8.3112154006958,10.0,42.0
50.0,買い(ask を削る),mimp,1693340,0.005573456175625324,0.014441030099987984,0.023518986999988556,0.02810121327638626,0.18277202546596527
50.0,買い(ask を削る),mdep,1693340,9.680000305175781,32.84700012207031,60.74938201904297,73.61299896240234,414.4102478027344
50.0,買い(ask を削る),gfr,1692685,0.015021489933133125,0.06136062741279602,0.21187828481197357,0.18195872008800507,2.3957505226135254
50.0,売り(bid を削る),imp,1693341,1.2022868394851685,2.101682662963867,2.8510067462921143,3.4235386848449707,17.459308624267578
50.0,売り(bid を削る),slp,1693341,0.6094565391540527,1.3650556802749634,2.0625505447387695,2.4949584007263184,15.267245292663574
50.0,売り(bid を削る),lv,1693341,4.0,6.0,8.483951568603516,11.0,40.0
50.0,売り(bid を削る),mimp,1693341,0.0057204244658350945,0.014780274592339993,0.024216804653406143,0.029263650998473167,0.18374823033809662
50.0,売り(bid を削る),mdep,1693341,8.895000457763672,32.016998291015625,65.27852630615234,73.98899841308594,460.130615234375
50.0,売り(bid を削る),gfr,1692710,0.015629751607775688,0.06345006823539734,0.20563417673110962,0.18794134259223938,2.147786855697632
