n_grid,n_good,n_miss,n_thin,n_new_oid,n_carry_out,med_orders,dt,n_raw,warmup_days
86400,86399,0,0,10846646,7365,715.0,2026-07-22,25871266,5
86400,86399,0,0,14191431,7752,735.0,2026-07-23,33623664,5
86400,86399,0,0,12672751,7140,763.0,2026-07-24,29925164,5
86400,86399,0,0,1284263,6808,670.0,2026-07-25,2771951,5
86400,86399,0,0,1943233,6944,727.0,2026-07-26,4258122,5
86400,86399,0,0,13941932,5995,741.0,2026-07-27,32768213,5
86400,86399,0,0,18305096,6054,778.0,2026-07-28,42951118,5
86400,86399,0,0,23490307,8087,710.0,2026-07-29,56131485,5
86400,86399,3600,0,16394236,10067,756.0,2026-07-30,39028920,5
86400,86399,0,0,16821696,9190,852.0,2026-07-31,40070811,5
86400,86399,0,0,1510678,9391,1334.0,2026-08-01,3390404,5
86400,86398,0,0,3466526,9272,1440.0,2026-08-02,7663215,5
86400,86399,0,0,14071429,9498,1563.0,2026-08-03,33904756,5
86400,86399,0,0,17805082,9503,1029.0,2026-08-04,40493067,5
86400,86399,0,0,18500268,9418,922.0,2026-08-05,43228962,5
86400,86399,0,0,16551456,9195,951.0,2026-08-06,38824321,5
86400,86399,0,0,12859146,8858,908.0,2026-08-07,30547793,5
86400,86399,0,0,1077449,8580,915.0,2026-08-08,2613002,5
86400,86399,0,0,1225397,8709,938.0,2026-08-09,2823857,5
