obi_d,ofi_d,n,p_exit_1s,c_unwind_1s,p_exit_10s,c_unwind_10s,t_exit_med,pnl
4,5,5208,0.11117511520737328,2.330317278791761,0.6657066052227343,2.1104430417536353,5.753499984741211,-1.9239790351398307
4,6,5157,0.09424083769633508,2.150334977817419,0.6146984681016094,1.9980985302899135,6.745999813079834,-1.8166500896201714
4,7,3948,0.0797872340425532,1.932009000115549,0.5362208713272543,1.6887787590683192,8.651500225067139,-1.3831076989056055
4,8,3360,0.08244047619047619,1.604281110986622,0.49642857142857144,1.1604230884017699,10.16599988937378,-0.6432789587038791
4,9,3514,0.14655663062037563,1.6740169257588806,0.6997723392145703,1.2835548000319992,4.766499996185303,-1.0471522557275135
4,10,3366,0.22103386809269163,1.73817674324263,0.8163992869875223,1.3636089751985476,3.1134999990463257,-1.1479723209867159
5,1,3793,0.14474031109939361,3.2253829982140076,0.7954126021618771,3.2015359232887852,3.7119998931884766,-3.149210053941713
5,2,4454,0.13538392456219128,2.844318676224123,0.7516838796587337,2.7635619265162044,4.266499996185303,-2.6707728478792414
5,3,4483,0.12781619451260318,2.615819757613983,0.7233995092571939,2.4649843303100476,4.761000156402588,-2.3104152517293928
5,4,4761,0.11594202898550725,2.507386074125785,0.6943919344675489,2.3684062005204156,5.249000072479248,-2.2063891355204928
5,5,4779,0.1132035990793053,2.2894543527214113,0.665829671479389,2.10151838130943,5.664999961853027,-1.9205737720195108
5,6,5261,0.1030222391180384,2.037058702154803,0.611860862953811,1.8931523893257256,6.72599983215332,-1.635225570084259
5,7,5118,0.08499413833528723,1.8756178955902532,0.5427901524032825,1.6622068842893212,8.59850025177002,-1.3238127026441258
5,8,4184,0.07576481835564053,1.6352623606975527,0.48924474187380496,1.2457477130544385,10.302500247955322,-0.7757635487645979
5,9,4024,0.1558151093439364,1.557344166013624,0.6965705765407555,1.1996246691739019,4.759500026702881,-0.9995816806016515
5,10,3822,0.22527472527472528,1.505814233821139,0.8108320251177394,1.213496470192552,2.984499931335449,-1.064068445627963
6,1,3123,0.13896894012167788,3.042190997664395,0.7966698687159782,2.9167392714761307,3.694000005722046,-2.9335000217873444
6,2,3749,0.1424379834622566,2.7311072390661364,0.7719391837823419,2.314261888141554,4.0279998779296875,-2.18862421524349
6,3,4101,0.11899536698366252,2.4345485479334372,0.7222628627164106,2.2640486697293114,4.741000175476074,-2.1363386196515575
6,4,4325,0.1253179190751445,2.4237886313098542,0.7058959537572255,2.1820761337021524,4.8460001945495605,-2.06668882818326
6,5,4516,0.11891054030115146,2.170082995844742,0.6678476527900797,2.0372622201030395,5.628999948501587,-1.8867880650523776
6,6,5184,0.11747685185185185,1.9591452638636986,0.6300154320987654,1.7545301468581938,6.3480000495910645,-1.483222948751602
6,7,5584,0.09419770773638969,1.7921686182306402,0.5433381088825215,1.5869188336546896,8.480500221252441,-1.225376747975214
6,8,5118,0.09046502540054709,1.5575233391300376,0.4824150058616647,1.1170918847020475,10.757999897003174,-0.5291257217403743
6,9,4620,0.16363636363636364,1.4021751402757567,0.6976190476190476,1.042512837559572,4.764999866485596,-0.8243733526437313
6,10,4359,0.22757513191098877,1.401953888588309,0.8029364533149805,1.0859201243578855,3.1029999256134033,-0.987798781962529
7,1,2463,0.1668696711327649,2.727972364447352,0.8112058465286236,2.7296399030561904,3.371999979019165,-2.6858302880402984
7,2,3237,0.146122953351869,2.482850823750078,0.76274328081557,2.263995324326478,4.090000152587891,-2.1544235302518007
7,3,3694,0.15403356794802384,2.2970983798359343,0.7287493232268544,1.8858307826529919,4.456500053405762,-1.7774324696823656
7,4,4164,0.13688760806916425,2.2107041978518365,0.6954851104707013,2.1000438849925014,4.84850001335144,-1.8484987486894158
7,5,4655,0.12094522019334049,2.1333853633730686,0.6713211600429646,1.9131181825855996,5.448999881744385,-1.8131276560969307
7,6,4980,0.1180722891566265,1.8395138945973222,0.6311244979919679,1.5545101108294652,6.278500080108643,-1.2558700416857997
7,7,5516,0.10170413343002176,1.852346965592791,0.5547498187092096,1.4934814737003408,8.037499904632568,-1.2087083069021403
7,8,5745,0.09103568320278503,1.5875637120870605,0.5004351610095735,1.1734495719465097,9.994999885559082,-0.612450268956467
7,9,5460,0.17527472527472526,1.3816442996542533,0.7009157509157509,0.9359142749436198,4.695500135421753,-0.7274354389223915
7,10,4765,0.24050367261280167,1.2846581060238065,0.8071353620146905,0.8335044002469693,3.005000114440918,-0.7642488610116689
8,1,2149,0.1665891112145184,2.5493757936461163,0.8073522568636575,2.3818145431122333,3.437999963760376,-2.3783017316483837
8,2,2867,0.15172654342518313,2.3020352908891053,0.7851412626438786,1.9344570975850963,3.8459999561309814,-1.7010364336623343
8,3,3184,0.15326633165829145,2.217525338173691,0.7396356783919598,2.0889153321393477,4.100500106811523,-1.9915950107610498
8,4,3709,0.145861418172014,2.1308614166631843,0.7163655971960097,1.941194536370527,4.636000156402588,-1.8200121334120285
8,5,4378,0.14412973960712655,1.9716296062741,0.6946094106898127,1.6944167807515629,4.995500087738037,-1.4235097002131671
8,6,5161,0.11896919201705096,1.8571866427650918,0.6351482270877737,1.6872956023977599,6.191999912261963,-1.5454554584921611
8,7,5616,0.10505698005698005,1.7430392990689543,0.5699786324786325,1.359492907793304,7.51800012588501,-1.1052200461607133
8,8,6147,0.08557019684398894,1.5515309843903964,0.5077273466731739,1.138892409471776,9.600000381469727,-0.7069389923073125
8,9,6247,0.1792860573075076,1.2672487280930416,0.7001760845205699,0.9014763192384032,4.533999919891357,-0.6367036674355953
8,10,5221,0.23980080444359317,1.1315336281634156,0.7933346102279257,0.8582214181129072,3.125,-0.6324780424048968
9,1,1813,0.21125206839492552,2.5708964912060943,0.8179812465526751,2.4139665718595142,3.0959999561309814,-2.347768708294277
9,2,2104,0.19344106463878327,2.2200484608658715,0.779467680608365,2.058327026527543,3.4325000047683716,-1.8400767192026748
9,3,2662,0.17017280240420737,2.0224811367551467,0.7498121712997746,1.7538842463917144,4.0975000858306885,-1.5988152213653537
9,4,3119,0.1651170246873998,1.9199284885928973,0.7271561397883937,1.5877240108556399,4.23799991607666,-1.4487193000746839
9,5,3867,0.16033100594776312,1.7401148275707852,0.691750711145591,1.536687646277207,4.8379998207092285,-1.4118233597778382
9,6,4847,0.1295646791829998,1.7664378818649722,0.6354446049102538,1.5410397393998723,5.953000068664551,-1.2381095697960929
9,7,6442,0.10866190624029805,1.6485023315607372,0.5704750077615647,1.2798367518050344,7.566499948501587,-0.946617354238053
9,8,6301,0.10093635930804634,1.5091165314228987,0.5319790509442945,1.0349627573562594,8.939000129699707,-0.5766587968323887
9,9,6839,0.1957888580201784,1.0563147750625401,0.7134083930399181,0.6086576863895208,4.223999977111816,-0.4431918977915975
9,10,6685,0.2715033657442034,0.9277559336666784,0.8035901271503366,0.650351474886459,2.819999933242798,-0.571336265702968
10,1,1657,0.25165962582981294,1.9697013336898814,0.8273989136994568,1.7785345206579872,2.631999969482422,-1.852748188673809
10,2,1969,0.25190452006094466,1.6728221122276123,0.8191975622143219,1.57285503790156,2.9079999923706055,-1.4718731932480167
10,3,2421,0.2127220156959934,1.8419380551053,0.7905824039653035,1.5550497922054518,3.2290000915527344,-1.469525788157089
10,4,2692,0.19799405646359583,1.8765689035650026,0.7622585438335809,1.6740297013414018,3.5195000171661377,-1.545891222649878
10,5,3353,0.21055770951386818,1.6280320089549551,0.7503728004771846,1.24461632427459,3.6440000534057617,-1.0928547838983333
10,6,4117,0.17415593879038135,1.6089598368041436,0.6810784551858149,1.211950789185066,4.664000034332275,-1.0164625525944169
10,7,5790,0.13730569948186527,1.5797804307812082,0.598272884283247,1.1556126799771684,6.656499862670898,-0.7674536164917554
10,8,7266,0.12826864849986236,1.4393463003816536,0.5656482246077622,0.9077854308804819,7.460000038146973,-0.282107410891181
10,9,6561,0.2505715592135345,1.065179005383663,0.7683279987806737,0.6614694935870591,3.249000072479248,-0.5074984478491553
10,10,8854,0.33510277840524055,0.689188896345027,0.838152247571719,0.34260891100639174,2.1559998989105225,-0.2888452448274815
